Реестр выданных лицензий ,,,,,,,,,,
на осуществление розничной продажи алкогольной продукции  действующих на  02.07.2012 г.,,,,,,,,,,
,,,,,,,,,,
№,О лицензиате,ИНН / ОГРН,Дата выдачи лицензии,"Серия, регистр.№",Срок действия лицензии,Адреса территориально обособленных объектов,сведения о действии лицензии,Примечание,Лицензирующий орган,
1,"ООО ""Нико"", юр.адрес: Тюменская область, Омутинский район, с. Омутинское, ул. Шоссейная, д. 42
руков.:Никитенко А.Ф., тел. (34544) 3-21-31",ИНН 7220000471  ОГРН 1027201674191,03/08/2001,72-РАП №2046,03/08/2012,"1)Тюм.обл, Омутиинский р-н, с.Омутинское, ул.Зятькова, д.13, магазин ""Смешанные товары"" (открыт 03.08.01)
2)Тюменская область, Омутинский район, с. Омутинское, ул. Герцена, д. 39-а, магазин ""Ермак"" (открыт 03.08.01)
",продлена реш. №484 от 27/07/2007  до 03/08/2012, Прим: Дата проверки 16.06.2009 (без нарушений),Управление Л и РПР ТО,
,,,,,,"3)Тюменская область, Омутинский район, с. Омутинское, ул. Шоссейная, д. 27, магазин ""Светлячок"" (открыт 03.08.01)
4)Тюменская область, Омутинский район, с. Омутинское, ул. Шоссейная, д. 42, магазин ""Распутин"" (открыт 03.08.01)
",,,,
,,,,,,"5)Тюменская область, Омутинский район, с. Омутинское, ул. Советская, д. 215, магазин ""Продукты"" (открыт 06.10.06)
",,,,
2,"ООО ""Сибирь Синтез"", юр.адрес: 625000, Тюменская область, г. Тюмень, ул. Советская, д. 54
руков.:Ботов С.М., тел. 49-43-51",ИНН 7203088892,03/09/2001,72-РАП №3167,03/09/2012,"1)г. Тюмень, ул. Советская, д. 54, супермаркет ""Новый Пассаж"" (открыт 03.09.01)
",продлена реш. №44 от 31/08/2007  до 03/09/2012, Прим: Переоформление с заменой бланка реш. 260 от 02.06.06 (изменение адреса местонахождения)  2.Дата проверки 13.10.2008 (отбор проб),Управление Л и РПР ТО,
3,"ПО ""Викуловское районное потребительское общество"" (Викуловское РайПО), юр.адрес: 627571, Тюменская область, Викуловский район, с. Викулово, ул. Автомобилистов, д. 50
руков.:Стольникова Г.А., тел. (34557) 2-37-91 2-31-85 2-48-87",ИНН 7213003070  ОГРН 1027201484573  (дата регистрации 18.05.98),27/12/2001,72-РАП №2116,26/12/2016,"1)Тюм.обл., Викуловский район, с. Викулово, Торговая площадь, д.7, магазин №1 ""Товары повседневного спроса"" (открыт 27.12.01)
2)Тюм. Обл., Викуловский район, с. Викулово, ул. Гагарина, д. 103, магазин № 2 ""Смешанные товары""  (открыт 27.12.01)
",продлена реш. №1048 от 20/12/2011  до 26/12/2016, Прим: Дата проверки 12.05.2008 (без нарушений),Управление Л и РПР ТО,
,,,,,,"3)Тюм.обл., Викуловский район, с. Викулово, ул. Карла Маркса, д. 114, магазин № 3 ""Смешанные товары""  (открыт 27.12.01)
4)Тюм.обл., Викуловский район, с. Викулово, ул. Кузнецова, д. 15, магазин № 4 ""Смешанные товары""  (открыт 27.12.01)
",,,,
,,,,,,"5)Тюм.обл., Викуловский район, с. Викулово, ул. Свободы, д. 155, магазин № 5 ""Смешанные товары"" (открыт 27.12.01)
6)Тюм.обл, Викуловский район, с. Викулово, ул. Чапаева, д. 3, магазин № 6 ""Смешанные товары"" (открыт 27.12.01)
",,,,
,,,,,,"7)Тюменская область, Викуловский район, с. Викулово, ул. Шолохова, д. 13/2, магазин № 7 ""Смешанные товары"" (открыт 27.12.01)
8)Тюменская область, Викуловский район, с. Викулово, ул. Кузнецова, д. 37, столовая (общепит) (открыт 27.12.01)
",,,,
,,,,,,"9)Тюменская область, Викуловский район, с. Березино, ул. Новая, д. 5, магазин ""Смешанные товары"" (открыт 27.12.01)
10)Тюменская область, Викуловский район, д. Иковское, ул. Заречная, д. 12 а, магазин ""Смешанные товары"" (открыт 27.12.01)
",,,,
,,,,,,"11)Тюменская область, Викуловский район, с. Боково, ул. Школьная, д. 87, магазин ""Смешанные товары"" (открыт 27.12.01)
12)Тюменская область, Викуловский район, с. Поддубровное, ул. Школьная, д. 6, магазин ""Смешанные товары"" (открыт 27.12.01)
",,,,
