Табл. В. План технической реализации услуги**,,,,,,
,,,,,,
№,Наименование мероприятия,Содержание работ,"Наименование запроса, в рамках реализации которого проводится мероприятие",Дата начала работ,Дата завершения работ,Ответственный
,,,,,,
1,Тестирование процесса получения информации из сервиса УФНС России по Тамбовской области,"1. Определение тестовой информации, для проведения тестирования.
2. Проверка доступности сервиса Федеральной налоговой службы через СМЭВ.
3. Выполнение тестовых запросов в АИС.
4. В случае выявления ошибок тестирования -  взаимодействие с  представителями управления информационных технологий, связи и документооборота администрации Тамбовской области с целью выявления и устранения выявленных проблем и проведение повторного тестирования.",Сведения из Единого государственного реестра юридических лиц,9.01.2012,1.07.2012,Управление по развитию промышленности и предпринимательства Тамбовской  области
2,Тестирование процесса получения информации из сервиса УФНС России по Тамбовской области,"1. Определение тестовой информации, для проведения тестирования.
2. Проверка доступности сервиса Федеральной налоговой службы через СМЭВ.
3. Выполнение тестовых запросов в АИС.
4. В случае выявления ошибок тестирования -  взаимодействие с  представителями управления информационных технологий, связи и документооборота администрации Тамбовской области с целью выявления и устранения выявленных проблем и проведение повторного тестирования.","Сведения о наличии (отсутствии) задолжности по уплате налогов, сборов, пеней и штрафов за нарушение законодательства РФ о налогах и сборах",9.01.2012,1.07.2012,Управление по развитию промышленности и предпринимательства Тамбовской  области
3,Тестирование процесса получения информации из сервиса Росреестра России по Тамбовской области,"1. Определение тестовой информации, для проведения тестирования.
2. Проверка доступности сервиса Росреестра через СМЭВ.
3. Выполнение тестовых запросов в АИС.
4. В случае выявления ошибок тестирования -  взаимодействие с  представителями управления информационных технологий, связи и документооборота администрации Тамбовской области с целью выявления и устранения выявленных проблем и проведение повторного тестирования.",Сведения из ЕГРП,9.01.2012,1.07.2012,Управление по развитию промышленности и предпринимательства Тамбовской  области
4,Тестирование процесса получения информации из сервиса УФК по Тамбовской области,"1. Определение тестовой информации, для проведения тестирования.
2. Проверка доступности сервиса Федерального казначейства через СМЭВ.
3. Выполнение тестовых запросов в АИС.
4. В случае выявления ошибок тестирования -  взаимодействие с  представителями управления информационных технологий, связи и документооборота администрации Тамбовской области с целью выявления и устранения выявленных проблем и проведение повторного тестирования.",Сведения о госпошлине,9.01.2012,1.01.2013,Управление по развитию промышленности и предпринимательства Тамбовской  области
5,"Тестирование процесса получения информации из сервиса Реестра санитарно-эпидемиологических заключений о соответствии (несоответствии) видов деятельности требованиям государственных санитарно-эпидемиологических правил и нормативов ФБУЗ ""Центр гигиены и эпидемиологии в Тамбовской области""","1. Определение тестовой информации, для проведения тестирования.
2. Проверка доступности сервиса через СМЭВ.
3. Выполнение тестовых запросов в АИС.
4. В случае выявления ошибок тестирования -  взаимодействие с  представителями управления информационных технологий, связи и документооборота администрации Тамбовской области с целью выявления и устранения выявленных проблем и проведение повторного тестирования.","Сведения из санитарно-эпидемиологического заключения о соответствии зданий, строений, сооружений, помещений, оборудования и иного имущества, установленным требованиям",9.01.2012,1.07.2012,Управление по развитию промышленности и предпринимательства Тамбовской  области
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
