"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Катангский район""",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
1,"ООО ""Ассорти"" ИНН 3829035995","Администрация МО ""Катангский район"" с.Ербогачен, ул.Комсомольская, 6",38 МЕ 001054 с 01.08.2006 г. по 31.07.2011 г. продлена до 31.07.2012 г.,Катангский район:,,,,,,
,,,,"1. магазин ""ТПС-1""  с.Преображенка пер.Советский, 9-2 ;",,,,,,
,,,,"2. магазин ""ТПС-2"" с.Непа ул.Советская, 9;",,,,,,
,,,,"3. кафе ООО ""Ассорти"" автозимник Усть-Кут-Мирный",,,,,,
2,"ООО ""Виктория"" ИНН 3829036004","Администрация МО ""Катангский район"" с.Ербогачен, ул.Комсомольская, 6",38 МЕ 001053 с 29.06.2006 г. по 28.06.2011 г. продлена до 28.06.2014 г.,Катангский район:,,,,,,
,,,,"1. магазин ООО ""Виктория""  с.Ербогачен ул.Увачана, 12-1 ",,,,,,
3,"ООО ""Восток"" ИНН 3829036068","Администрация МО ""Катангский район"" с.Ербогачен, ул.Комсомольская, 6",38 МЕ 001067 с 26.12.2008 г. по 29.11.2011 г.,Катангский район:,,,30.11.2011 г.,,,
,,,,"1. магазин ""Восток"" с.Ербогачен, ул.Ленина, 9-2;",,,,,,
,,,,"2. магазин ""Восток-2"" с.Ербогачен, ул.Строителей, 18-1;",,,,,,
,,,,"3. кафе ""Восток"" с.Ербогачен, ул.Ленина, 9-2.",,,,,,
4,"ООО ""Восток"" ИНН 3829036068","Администрация МО ""Катангский район"" с.Ербогачен, ул.Комсомольская, 6",38 МЕ 001073 с 30.12.2011 гю по 29.12.2016 г.,Катангский район:,,,,,,
,,,,"1. магазин ""Восток"" с.Ербогачен, ул.Ленина, 9-2;",,,,,,
,,,,"2. магазин ""Восток-2"" с.Ербогачен, ул.Строителей, 18-1;",,,,,,
,,,,"3. магазин ""Восток-3"" с.Ербогачен, ул.40 лет Победы, д.1",,,,,,
,,,,"4. кафе ""Восток"" с.Ербогачен, ул.Ленина, 9-2.",,,,,,
