"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Нижнеудинский район"" ",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
1,ООО «Спектр-Сервис» ИНН 3813002271,"г. Нижнеудинск, ул. Шнеерсон, 178/48","А 209461 №11 от 31.07.2012 по 29.05.2012г., взамен А 209444 № 11 от 05.12.2011г. по 29.05.2011г.","1. виноводочный отдел магазина ""Пионер"" - г. Нижнеудинск, ул. Розы Шнеерсон, 178/48; ",,,,,,
2,ООО «Бахус» ИНН 3813002313,"г. Нижнеудинск, ул. Осоавиахимовская, 11","А 209436 №13 от 10.02.2011 до 16.06.2011,  продлена до 16.06.2012г.","1. г.Нижнеудинск, ул. Ленина, 4, магазин «Двенадцатый»                                                             ",,,6/17/2012,,,
3,ООО «Родник» ИНН 3813002377,"г. Нижнеудинск, ул. Осоавиахимовская, 7","А 209344 №14 от 11.12.2007 до 23.06.2011, продлена до 23.06.2014г.","1. г.Нижнеудинск, ул. Осоавиахимовская, 7, кафе «Нижнеудинское»; 2. г. Нижнеудинск, ул. Осоавиахимовская, 7, к. 1, отдел в магазине «Родной край»; 3. г. Нижнеудинск, ул. Кржижановского, 25, магазин «Юбилейный»",,,,,,
4,ООО «Пульс» ИНН 3813001817,"Нижнеудинский район, г. Алзамай, ул. Первомайская, 106","А 209243 №16 от 26.06.2006г. до 26.06.2011г., продлена до 26.06.2012г.","1. г.Алзамай, ул. Первомайская, 106, магазин «Звездный»; 2. г. Алзамай, ул. Бурмакина, 18, магазин «Мираж»",,,6/27/2012,,,
5,ООО «Арбат» ИНН 3813002137,"г. Нижнеудинск, ул. Ленина, 52","А 209453 №17 от 26.06.2012. до 26.06.2014г, взамен А 209449 №17 от 26.04.2012. до 26.06.2014г, взамен А 209438 №17 от 14.07.2011. до 26.06.2014г.","1. г.Нижнеудинск, ул. Ленина, 54, магазин «Отличный»; 2. г. Нижнеудинск, ул. Масловского, 31А, торговый отдел магазина ""Чемпион""",,,,,,
6,ООО «Витязь» ИНН 3813002360,"г. Нижнеудинск, ул. Индустриальная, 11","А 209457 №18 от 25.07.2012г. по 30.06.2014г, взамен А 209245 №18 от 30.06.2012г. по 30.06.2014г;","1.отдел магазина ""Тройка"" - г.Нижнеудинск, ул. Цветочная, д.1; 2. отдел магазина ""Витязь"" - г. Нижнеудинск, ул. Индустриальная, д.11;",,,,,,
7,ООО «Трио» ИНН 3813002497,"г. Нижнеудинск, ул. Ленина, 14а","А 209458 №19 от 25.07.2012г. по 30.06.2014г., взамен А 209450 № 19 от 14.05.2012г. по 30.06.2014г., взамен А 209434 № 19 от 16.12.2010г. по 30.06.2011г.","1.Закусочная ""Виноград"" -  г.Нижнеудинск, ул. Масловского, 43;",,,,,,
8,ООО «Пирамида» ИНН 3813002320,"г. Нижнеудинск, ул. Калинина, 140","А 209342 №21 от 01.12.2007 до 30.06.2011, продлена до 30.06.2013г.","1. г.Нижнеудинск, ул. Калинина, 140, магазин «777»; 2. г. Нижнеудинск, ул. Калинина, 140а, отдел кафе «Пирамида»",,,,,,
9,ООО «Магнат» ИНН 3813002345,"г. Нижнеудинск, ул. Карла Маркса, 93","А 209249 №22 от 06.07.2006г. до 06.07.2011г., продлена до 06.07.2014г.","1. г.Нижнеудинск, ул. Карла Маркса, 93, магазин «Восход» ",,,,,,
10,ООО «Байк» ИНН 3813002338,"г. Нижнеудинск, ул. Баррикадная, 3","А 209351 №23 от 28.02.2008г. до 06.07.2011г., продлена до 06.07.2016г.","1. г.Нижнеудинск,  ул. Масловского, 30, магазин «Россия»; 2. г. Нижнеудинск, ул. Масловского, 30, магазин «Россия» (подвальное помещение); 3. г. Нижнеудинск, ул. Масловского, 9, отдел магазина ""Экспресс""; 4. г. Нижнеудинск, ул. Баррикадная, 3, магазин ""Россия""; 5. г. Нижнеудинск, ул. Ленина, 19, отдел магазина ""Тройка""; 6. г. Нижнеудинск, ул. Краснопролетарская, 35-1, отдел магазина «Пассаж» ",,,,,,
11,ООО «Ермак» ИНН 3813002472,"г. Нижнеудинск, ул. Просвещения, 25",А 209443 №24 от 05.12.2011г. до 08.07.2012г.,"1. г.Нижнеудинск, ул. Просвещения, 25, магазин «Ермак»",,,,,,
12,ООО «Продсервис» ИНН 3813002426 ,"Нижнеудинский район, г. Алзамай, ул. Комсомольская, 7","А 209416 №27 от 30.09.2009г. до 10.07.2011г., продлена до 10.07.2012г.","1. г. Алзамай, пер. Базарный, 2, магазин ""Лукошко""; 2. г. Алзамай, ул. Комсомольская, 7, магазин ""Ласточка""; 3. г. Алзамай, ул. Ломоносова, 13-43, отдел магазина ""Тройка""",,,11.07.2012г.,,,
13,ОАО «Железнодорожная торговая компания» ИНН 7708639622,"г. Москва, ул. Новорязанская, 12, Иркутский филиал ОАО ""ЖТК"" г. Иркутск, ул. Маяковского, д. 5Б",А 002283 №24 от 28.10.2011г. по 24.10.2012г. ,"1. Нижнеудинский район, с. Худоеланское, магазин №35; 2. Нижнеудинский район, ст. Хингуй, магазин №33                                                                                                   ",,,,,Администрация Зиминского районного МО,
14,ООО «Винар» ИНН 3813002539,"Нижнеудинский район, п. Атагай, ул. Победы, 12","А209263 № 5 от 13.11.2006г. до 13.11.2011г., продлена до 12.11.2012г.","1. Нижнеудинский р-н, п. Атагай, ул. Победы, 12, отдел магазина «Ракель»",,,,,,
15,ООО «Сибиряк» ИНН 3813002930,"Нижнеудинский район, п. Атагай, ул. Победы, 21",А 209340 №28 от 04.10.2007 до 04.10.2012г.,"1. Нижнеудинский р-н, п. Атагай, ул. Победы, 21,  отдел магазина «Сибиряк»",,,,,,
16,ООО «Атлант» ИНН 3813003081,"г. Нижнеудинск, ул. Водопроводная, 2А",А 209430 №30 от 05.10.2010 до 01.12.2012г.,"1. Нижнеудинский р-н, с. Мельница, ул. Гагарина, 14, отдел магазина «Нива»; 2. г. Нижнеудинск, ул. Водопроводная, 2А, отдел магазина «Визит»; 3. г. Нижнеудинск, ул. 2-я Пролетарская, 10-1, торговый отдел магазина «Дельфин» ",,,7/1/2012,,,
17,ООО «Сокол» ИНН 3813002627,"Нижнеудинский район, п. Шумский, ул. 6-ой Пятилетки, 47-2",А 209346 №31 от 14.12.2007 до 14.12.2012г.,"1. Нижнеудинский р-н, п. Шумский, ул. 6-ой Пятилетки,  8, отдел магазина «Саяны»; 2. Нижнеудинский р-н, п. Шумский, ул. Советская, 25-а, отдел магазина «Слада»",,,,,,
18,ООО «Росич» ИНН 3813003099,"г. Нижнеудинск, ул. Масловского, 99",А 209347 №32 от 20.12.2007 до 20.12.2012г.,"1. г. Нижнеудинск, ул. Масловского, 99, отдел магазина «У парка»",,,,,,
19,ООО «Водолей» ИНН 3813003123,"Нижнеудинский район, с. Порог, ул. Центральная, 19а","А 209459 №33 от 30.07.2012г. по 24.12.2012г., взамен А 209419 № 33 от 09.12.2009г. По 24.12.2012г.","1.отдел магазина ""Для Вас"" - Нижнеудинский район, с. Порог, ул. Центральная, 19а; ",,,,,,
20,ООО «Лидер» ИНН 3813003028,"Нижнеудинский район, п. Шумский, ул. Заозерная, 13",А 209350 №34 от 23.01.2008 до 23.01.2013г.,"1. Нижнеудинский р-н, п. Шумский, ул. Заводская, 58, отдел магазина «Лидер»",,,,,,
21,ООО «077» ИНН 3813003275,"г. Нижнеудинск, ул. Октябрьская, 1""б""",А 209359 №35 от 29.12.2008 до 06.08.2013г.,"1. г. Нижнеудинск, ул. Октябрьская, 1 ""б"", Кафе «077» бара ООО «077»; 2.г. Нижнеудинск, ул. Октябрьская, 1 ""ж"", Бар ООО «077» ",,,6/27/2012,,,
22,ООО «Омега» ИНН 3813003162,"г. Нижнеудинск, ул. Лермонтова, 2А","А 209460 №36 от 31.07.2012г. по 22.10.2013г., взамен А 209446 № 36 от 23.03.2012г. по 22.10.2013г., взамен А 209432 № 36 от 30.11.2010г. по 22.10.2013г.","1.магазин ""Вина - Кубани"" - г. Нижнеудинск, ул. Лермонтова, 2, корп. 2;",20.02.2012г. По 20.03.2012г.,3/22/2012,,,,
23,ООО «Риал» ИНН 3813003282,"г. Нижнеудинск, ул. 2-я Пролетарская, 2а-48",А 209356 № 37 от 06.11.2008г. до 06.11.2013г.,"1. г. Нижнеудинск, ул. Гоголя, 172, отдел магазина «Перекресток» ",,,,,,
24,ООО «Ника» ИНН 3813003405,"Нижнеудинский район, с. Шеберта, ул. Трактовая, 3""а""",А 209358 № 38 от 24.12.2008г. до 24.12.2013г.,"1. Нижнеудинский район, с. Шеберта, ул. Трактовая, 3 ""а"", отдел магазина «Ника» ",,,,,,
25,ООО «Баргузин» ИНН 3813003229,"г. Нижнеудинск, ул. 2-я Знаменская, 28",А 209408 № 39 от 31.12.2008г. до 31.12.2013г.,"1. г. Нижнеудинск, ул. 2-я Знаменская, 28, отдел магазина «Сороковой» ",,,,,,
26,Шебертинское сельское потребительское общество ИНН 3835060118,"Нижнеудинский район, с. Шеберта, ул. Трактовая, 111",А 209431 № 40 от 01.11.2010г. до 15.01.2014г.,"Нижнеудинский район:1. с. Шеберта, ул. Трактовая,123, кафе «Березка»; 2. с. Шеберта, ул. Трактовая, 93, магазин № 1; 3. с. Шеберта, ул. Трактовая, 35, магазин № 2; 4. п. Шеберта, ул. Привокзальная, 89, магазин № 10; 5. с. Худоеланское, ул. Московская, 85, магазин № 1;  6. п. Вершина, ул. Московская, 49, магазин № 14; 7. с. Даур, ул. Советская, 45, магазин № 4; 8. ПЖД Шеберта, ул. Дружбы, 2, магазин № 8; 9.  д. Марга, ул. Центральная, 5, магазин № 5; 10.  д. Талый Ключ,ул. Школьная,27, магазин № 6; 11. д. Верхний Хингуй, ул. Московская, 1, магазин № 8; 12.  с. Худоеланское, ул. Московская, 16А, магазин № 4; 13.  д. Большеверстовск, ул. Советская, 45, магазин № 6; 14. д. Виленск, ул. Советская, 7, магазин № 7; 15. с. Иргей, ул. Клубная, 3, магазин «Миллениум» .                                                                                                                              ",,,,,,
27,ООО «Радиан» ИНН 3813003490,"Нижнеудинский район, г. Алзамай, ул. Алтайская, 7-1",А 209428 №41 от 29.04.2010 до 20.08.2014,"1. г. Алзамай, ул. Ломоносова, 13-15, отдел магазина «Баргузин»; 2. Нижнеудинский район, п. Замзор, ул. Центральная, 13-1, отдел магазина «Елена»; 3.  г. Алзамай, ул. Черняева, 1, отдел магазина «Татьяна» ",,,,,,
28,ООО «Золотой Лев» ИНН 3813003388,"г. Нижнеудинск, ул. Сбитнева, 4",А 209418 № 7 от 05.11.2009 до 05.11.2014,"1. г. Нижнеудинск, ул. Сбитнева, 4, бар ООО «Золотой Лев» кафе «Подсолнух» ",,,7/12/2012,,,
29,ООО «Алекс» ИНН 3816010802,"г. Нижнеудинск, ул. Ленина, 32-69",А 209421 № 9 от 11.12.2009 до 11.12.2014,"1. г. Нижнеудинск, ул. Ленина, 32-69, отдел магазина «Елисей» ",,,,,,
30,ООО «Дионис» ИНН 3816010792,"Нижнеудинский район, г. Алзамай, ул. Линейная, 43",А 209435 № 4 от 07.02.2011 до 18.01.2015г.,"1.  г. Алзамай, ул. Линейная, 43, отдел магазина «Люкс»; 2.  г. Алзамай, ул. Ломоносова, 13А, бар в кафе ""Империя""; 3.  г. Алзамай, ул. Ломоносова, 13А, торговый отдел магазина «Гермес»    ",,,,,,
31,ООО «Вектор Т» ИНН 3805709370,"г. Братск, ул. Гайнулина, 1А/1",А 242775 № 52 от 01.09.2011 до 24.04.2014,"1. Нижнеудинский район, г. Алзамай, ул Габелковой, 21, магазин «Восьмерка» ",,,,,Администрация Тайшетского района,
32,ООО «Заряд» ИНН 3812102153,"г. Иркутск, ул. Ракитная, 14",38МЕ 003760 №АН00494Пр26 от 09.08.2011 до 07.07.2013г. ,"1.  отдел по адресу: г. Нижнеудинск, ул. Масловского, 10А; 2.  отдел по адресу: г. Нижнеудинск, ул. Ленина, 1А; 3.  отдел по адресу: г. Нижнеудинск, ул. Ленина, 25А; 4.  отдел по адресу: г. Нижнеудинск, ул. Краснопартизанская, 88; 5.  отдел по адресу: г. Нижнеудинск, ул. Кашика, 234; 6.  отдел по адресу г. Нижнеудинск, пер. Сосновый, 4; 7.  отдел по адресу: г. Нижнеудинск, ул. Советская, 25;8.  отдел по адресу: г. Нижнеудинск, ул. 5-я Рабочая, 3                                                                                                  ",,,,,Администрация г. Иркутска,
,,,," 9.  отдел по адресу: г. Нижнеудинск, ул. Сартакова, 4; 10. отдел по адресу: г. Нижнеудинск, ул. Дорожная, 9; 11. отдел по адресу: г. Нижнеудинск, ул. Кржижановского, 3; 12. отдел по адресу: г. Нижнеудинск, Кашика, 106а; 13. отдел по адресу: г. Нижнеудинск, ул. Некрасова, 1; 14. отдел по адресу: г. Нижнеудинск, ул. Котовского, 21 а; 15. отдел по адресу: г. Нижнеудинск, ул. Гоголя, 47                                                                                                   ",,,,,,
,,,,"16. отдел по адресу: г. Нижнеудинск, пер. Обороны, 17; 17. отдел по адресу: Нижнеудинский район, п. Шумский, ул. Советская, 31; 18. отдел по адресу: Нижнеудинский район, д. Шум, ул. Нагорная; 19. отдел по адресу: Нижнеудинский район, ст. Худоеланская, ул. Водопроводная, 1 ",,,,,,
33,ООО «Магнит» ИНН 3815012821,"г. Тайшет, ул. Кирова, 226-1Н, склад № 3",А 242798 № 77 от 30.12.2011 до 06.02.2013,"1. г. Алзамай, ул. Трактовая, 17, магазин ""Светлана""; 2. г. Алзамай, пер. Базарный, 15А, магазин ""Кварц""; 3. г. Алзамай, пер. Сосновый, 2, магазин ""Русич""",,,,,Администрация Тайшетского района,
34,"ООО ""Вектор Север"" ИНН 3805710496","г. Братск, ул. Гайнулина, 1А/1",38 МЕ 006379 рег. № 806 от 08.08.2011г. по 27.05.2012г.,"1. торговый отдел в магазине""Пятерочка""по адресу: г. Нижнеудинск, ул. Транспортная, 9; 2. торговый отдел в магазине ""Продукты"" г. Нижнеудинск, ул. Кашика, 100.",,,5/27/2012,,Администрация г. Братска,
