Выписка из реестра действующих лицензий,,,,,,,,,,
 за период с  начала работы по 01.10.12,,,,,,,,,,
,,,,,,,,,,
,Лицензиат,ИНН,Срок действия,,Рег.ном,Бланк,Юридический адрес,Адрес осуществления деятельности,Дата приостановления,Дата возобновления
1,"ООО ""Гермес""",2444302590,10.10.07,10.10.12,4800-АР,105216,"662060, г.Боготол, ул.Кирова, 25,пом.57","Магазин г.Боготол, ул.Кирова, 25, пом.57 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
2,"ООО ""Город-N""",2457038913,02.10.07,02.10.12,4803-АР,105217,"663318, г.Норильск,  ул.Талнахская, 69, общ.36, кв.119","Предприятие общественного питания г.Норильск,  ул.Талнахская, 67 (продажа всей алкогольной продукции.)", , 
,,,,,,,,"Предприятие общественного питания г.Норильск,  ул.Павлова, 3 (продажа всей алкогольной продукции.)",,
3,"ООО ""Троица""",2466151337,08.10.07,08.10.12,4805-АР,105226,"660049, г.Красноярск, ул.Карла Маркса, 21","Магазин г.Красноярск, ул.Карла Маркса, 21 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
4,"ООО ""Ф.А.Б.""",2443023716,09.10.07,09.10.12,4807-АР,105228,"662150, г.Ачинск, ул.Кирова, 3","Магазин г.Ачинск, ул.Кирова, 6, пом.66 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
5,"ООО ""БЕЛАР""",2446006733,10.10.07,10.10.12,4808-АР,105219,"663094, г.Дивногорск, ул.Заводская, 4","Магазин г.Дивногорск, ул.Заводская, 4 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
6,"ООО ""Трейд""",2455026486,12.10.07,12.10.12,4811-АР,105236,"662610, г.Минусинск, ул.Абаканская, 43 Б","Магазин г.Минусинск, ул.Абаканская, 43 Б (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
7,"ООО ""УЮТ""",2437003849,15.10.07,15.10.12,4814-АР,105238,"663246, Туруханский район, с.Бор, ул.Кирова, 84","Магазин Туруханский район, с.Бор, ул.Кирова, 84 (продажа всей алкогольной продукции.)", , 
8,"ООО ""Лаура""",2460073322,11.10.07,11.10.12,4817-АР,105240,"660001, г.Красноярск, ул.Карла Либкнехта, 19 Г","Павильон г.Красноярск, ул.Карла Либкнехта, 19 Г (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
9,"СРПХ ""Черкан""",8404000177,18.10.07,18.10.12,4820-АР,105242,"647232, Красноярский край, Усть-Енисейский район, пос.Усть-Порт","Магазин Красноярский край, Усть-Енисейский район, пос.Усть-Порт, ул.Советская, 5 (продажа всей алкогольной продукции.)", , 
10,"ООО ""Страйк""",2452033862,17.10.07,17.10.12,4822-АР,105244,"662970, г.Железногорск, просп.им.Академика И.В.Курчатова, 16 А","Магазин г.Железногорск, просп.им.Академика И.В.Курчатова, 16 А (продажа всей алкогольной продукции, кроме спирта питьевого.)", 23.07.08 23.07.08, 07.08.08
11,"ООО ""Металлург-7""",2465051160,18.10.07,18.10.12,4826-АР,105252,"660133, г.Красноярск, ул.Краснодарская, 9","Магазин г.Красноярск, ул.Краснодарская, 9 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
12,"ООО ""Эверест""",2407063142,24.10.07,24.10.12,4835-АР,105263,"663458, Богучанский район, пос.Такучет, ул.50 лет Октября, 37 А","Магазин Богучанский район, пос.Такучет, ул.50 лет Октября, 37-А (продажа всей алкогольной продукции.)", , 
