Ковылкинский район,,,,,,,,,,
К-во,Регис-,Серия,"Наименование организации,",,Адреса,Кол - тво,Срок ,№ ,Дата,Ф.И.О.
орга,тра-,лицензии,"юридический адрес, почтовый адрес",,торговых объектов,торговых,действия,"телефона,",приоста-,руководителя (учредителя)
низа,цион-,,,,,объектов,лицензииё,факс,новки и,
ций,ный,,,ИНН,,,,,возобнов-,
,№,,,ОГРН,,,,,ления,
,лицен-,,,,,,,,лицензии,
,зии,,,,,,,,,
1,35,13 МЕ,"ООО ""Марк"" г. Ковылкино, ул. Советская, 3",1323123361,"м-н ""Мордовский"" г. Ковылкино, ул. 50 лет Октября, 8""б""",2,28/02/11,2-04-55,пр. 24.05.11,Козлов Сергей Юрьевич
,,001476,,1061323000265,"м-н ""Мордовия""  г. Ковылкино, ул. Советская, 3",,28/02/14,2-12-10,в.07.06.11,Дедина Надежда Евгеньевна
1,99,13 МЕ,"ГУП РМ ""Развитие села"" г. Саранск,",1300000807,"м-н ""Нива-25/1"" г. Ковылкино, ул.Заводская, 1а",3,27/04/12,,,
,,002026,"ул. Московская, 1",,"м-н ""Нива-27"" с. Кочелаево, ул. Цен-ая, 20, Ковылк",,23/12/16,,,
,,,,,"м-н ""Нива-25/2"" г. Ковылкино, ул. Советская, 7",,,2-21-68,,
1,76,13 МЕ,"ООО ""Юнион"",г.Ковылкино,ул.Советская,9",1323121597,"ресторан ""Сталкер"" г.Ковылкино, ул.Советская. 9",1,15/04/11,4-02-25,,Карикова Оксана Геннадьевна
,,001521,,1021300886331,,,15/04/13,,,
1,94,13 МЕ,"ООО ""Айсберг"" г. Ковылкино, ул. Советская, 9",1323123435,"м-н г. Ковылкино, ул. Желябова, 12 в",5,28/04/11,4-06-93,,Степкин Олег Алексеевич
,,001541,,1061323002905,"м-н с. Курнино, Ковылкинский район",,28/04/16,,,
,,,,,"м-н п. Первомайский, Ковылкинский район",,,,,
,,,,,"м-н с. Кр. Пресня, Ковылкинский район",,,,,
,,,,,"м-н г. Ковылкино, ул. Комсомольская, 79б (до 15%)",,,,,
1,411,13 МЕ,"ОАО ""Агрофирма ""Октябрьская"", Лямбирскийр-н",1315012925,"м-н ""Птица"" №20, г.Ковылкино,ул.Советская, 12а",3,15/12/11,25-27-26,,
,,001888," п. Б. Елховка,ул.Заводская.12 ",,"м-н ""Птица"" №21, г.Ковылкино, ул. Есенина, 8 б",,15/04/14,36-22-93,,
,,,,,"м-н ""Птица"" № 48, г.Ковылкино, ул.Желябова, 12б",,"""-""-""",,,
1,113,13 МЕ,"ООО ""Торговый дом № 1"", г. Ковылкино,",1323121491,"м-н № 1, г. Ковылкино, ул. Пролетарская, 48",7,15/05/12,2-00-53,,Васькин Алексей Степанович
,,002041,"ул. Пролетарская, 48а ",1021300885858,"м-н № 10, г. Ковылкино, ул. Кочелаевская, 1а",,15/05/17,2-27-56,,Васькина Галина Семеновна
,,,,,"м-н № 23, г. Ковылкино, ул. Коралева, 9",,"""-""-""-""-",89271761125,,
,,,,,"м-н № 25 г. Ковылкино, ул. Строителей, 1",,,,,
,,,,,"м-н № 4 г. Ковылкино, ул. Гагарина, 44",,,,,
,,,,,"м-н № 5 г. Ковылкино, ул. Пролетарская, 6",,,,,
,,,,,"м-н № 7 г. Ковылкино, ул. Добролюбова, 12а",,"""-""-""-""-",,,
1,171,13 МЕ,"ООО ""Инези"" г. Ковылкино, ул. Щорса, 16",1323123516,"магазин №2, г. Ковылкино, ул. Щорса, 16",2,15/06/11,4-23-16,,Кузнецова Лариса Викторовна
,,001626,,1061323004027,"магазин №!, г. Ковылкино, ул. Заповедная, 9",,15/06/13,2-56-74,,2-56-18
1,117,13 МЕ,"ООО ТД  ""Колос"", г. Ковылкино,",1323122463,"м-н №2, г. Ковылкино, ул. Добролюбова, 1",4,01/07/08,2-19-68,,Тасайкина Светлана Алексеевна
,,000561,"ул. Фролова, 13, 27 ",,"м-н №3, г. Ковылкино, ул. Королева, 13",,15/04/13,2-22-41,,
,,,,,"м-н №14, г. Ковылкино, ул. Калинина,25",,"""-""-""-""",,,
,,,,,"м-н № 11 , п. Изосимовка, Ковылкинский район",,"""-""-""-""",,,
,,,,,"м-н п. Кадошкино, ул. Светотехническая, 6",,,,,
1,129,13 РМ,"МУП МО Ковылкино ""Ковылкинский горторг"" ",1323122939,"м-н №1 г. Ковылкино, ул. Желябова, 5",4,29/05/12,89063791955,,Лисина Марина Павловна
,,000011,"г. Ковылкино, ул. Королева, 13",1051323000387,"м-н №2 г. Ковылкино, ул. Королева, 13",,29/05/13,4-12-48,,
