"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Усть-Илимский район""",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
1,Общество с ог-раниченной от-ветственностью «Успех-Плюс»  3817028263,МИ  ФНС № 9  по  Иркутской  облласти  и  УОБАО,А – 178967        №  17             21.06.11 г.      с  22.06.11 г.  по 21.06.12 г.,"Усть-Илимский р-н:                                                  с. Подьеланка,                                                                               ул.Мира, 5,                                                          вино-водочнвй отдел                                      магазина  ""Продукты""",,,6/21/2012,,,
2,Общество с ог-раниченной от-ветственностью «Максимус»  3817029154,МИ  ФНС № 9 по Иркутской области и УОБАО,А- 244991        № 17       12.07.11г.          с  12.07.11г. по 02.07.16 г.  зарегистрир.   15.07.2011 г.   ,"Усть-Илимский р-н:                                          р.п. Железнодорожный,                     микрорайон Вокзальный,                     № 1-б,    магазин  «Железнодорожный»",,,,,Администрация       города                Усть-Илимска,
3,Общество с ог-раниченной от-ветственностью «Рекорд» 3817021130,МИ МНС России № 9 по Иркутской области,А-244990         № 15              04.07.11 г.                    с 04.07.11 г. по 20.07.12 г.   зарегистрир. 20.07.11 г. ,"Усть-Илимский р-н:                                             Дачное некоммерческое товарищество «Надежда»,                                                    ул. Сосновая, 17,                                                  магазин   ""Надежда"" ",,,7/20/2012,,Администрация             города               Усть-Илимска,
4,Общество с ог- раниченной от-ветственностью «Каспий» 3817029612,МИ  ФНС № 9 по Иркутской области и УОБАО,А – 178961       № 30                30.12.10 г.          с 31.12.10 г. по 03.08.11.г.  продлена  02.08.2011 г. по 03.08.16 г.            ,"Усть-Илимский р-н:                                    р.п. Железнодорожный:                              отдел в магазине «Каспий»                                     ул. Ворошилова,  д. 17А,     ",,,,,,
,,,,"отдел в магазине «Титан»                          ул. Ленина, д. 35А,",,,,,,
,,,,"г. Усть-Илимск:                                                   закусочная  «Стопкас»                                             Усть-Илимское шоссе, 4/1",,,,,,
5,Общество с ог-раниченной от-ветственностью «Милена» 3817029757,МИ  ФНС № 9 по Иркутской области и УОБАО,А – 178972       № 1                         23.01.12 г.             с 23.01.12 г. по 23.01.13 г.,"Усть-Илимский р-н:                                                     п. Эдучанка,                                                  ул. Тани Хомкаловой, д.12                        магазин «Милена» ",,,,,,
6,"Общество с ог-раниченной от-ветственностью  ""Прибыль""  3817029820",МИ  ФНС № 9 по Иркутской области и УОБАО,А – 178970            № 26                   04.10.11 г.                с 04.10.11 г. по 04.10.12 г.,"Усть-Илимский р-н,                                                        п. Невон,                                                                 ул. Транспортная, д.16,                                                   магазин «Амир» ",,,,,,
7,"Общество с ог-раниченной от-ветственностью  ""Исток""  3817030470",МИ  ФНС № 9 по Иркутской области и УОБАО,А 178936              № 31                   29.12.07 г.          с 30.12.07 г. по 06.02.12 г. переоформл,"Усть-Илимский р-н:                                           п. Седаново,                                                           ул. Ангарская, 6                                              отдел в магазине «Березка»",10.04.08 г.  по                11.05.08 г.,12.05.08 г.,2/6/2012,,,
8,"Общество с ог-раниченной от-ветственностью  ""Ширак""  3817030858",МИ  ФНС № 9 по Иркутской области и УОБАО,А – 178943        № 42                        08.05.08 г.          с 09.05.08 г. по 10.05.12 г.  переоформлена.  ,"Усть-Илимский р-н:                           Садоводческое товарищество граждан «Гидростроитель»,                                      ул. Западная, стр. № 1                                отдел в магазине «Ирина».                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            магазин ""Ирина""",,,5/10/2012,,,
9,"Общество с ог-раниченной от-ветственностью  ""ЛойОла""  3817030760",МИ  ФНС № 9 по Иркутской области и УОБАО ,А – 178962                 № 1                   17.01.11 г.          с 18.01.11 г. по 10.05.12 г.   переоформлена  взамен:                  А – 178928        № 23                   07.09.07 г.          с 08.09.07 г. по 10.05.12 г.,"Усть-Илимский р-н:                                                п. Невон:                                                             ул. Геологическая, 1                                           магазин «Геолог»",,,5/10/2012,,,
10,Общество с ог-раниченной от-ветственностью «Эс-Эль» 3817021405,МИ  ФНС № 9 по Иркутской области и УОБАО,А 174896                № 27              19.07.07 г.          с 20.07.07 г. по 19.07.12 г. зарегистр. 27.07.07 г.,"Усть-Илимский р-н:                                                  п. Бадарминск,                                                          ул. Школьная, 1А                                      магазин «Светлана»",04.02.08 г. по  03.03.08 г. ,23.02.08 г.,7/19/2012,,Администрация             города               Усть-Илимска,
11,"Общество с ог-раниченной от-ветственностью ""Надежда"" 3817028810",МИ  ФНС № 9 по Иркутской области и УОБАО,А 178931          № 27              14.12.07 г.          с 14.12.07 г. по 13.12.12 г.,"Усть-Илимский р-н:                                                 п. Бадарминск,                                            ул. Ленина, 12                                            отдел в магазине «Надежда»",,,,,,
12,Общество с ог-раниченной от-ветственностью «ССВ»           3817032301,МИ  ФНС № 9 по Иркутской области и УОБАО,А 178934          № 29              19.12.07 г.          с  20.12.07 г.        по 19.12.12 г.,"Усть-Илимский р-н:                                                      с. Подъеланка,                                                        ул. Мира, 4                                                     отдел в магазине «РАСА»",20.04.09 г. по    30.04.09 г.,01.05.09 г.,,,,
