"Реестр  выданных лицензий на розничную продажу алкогольной продукции
на территории Медвежьегорского муниципального района по состоянию на 01.04.2011 года",,,,,
,,,,,
№, наименование организации,Сведения о структурных подразделениях,Реквизиты лицензии,,Срок действия лицензии до
,," (вид,категория, название, место нахождения )",серия бланка ,"рег.
номер ",
1,2,3,4,5,6
1,"МУП ""Бирюза""","ресторан, г. Медвежьегорск, ул. Дзержинского,2",В927127,153,25/02/12
2,"ООО ""Гера""","кафе ""Фламинго"" п.Пиндуши, ул. Повенецкая, 9",В927177,193,21/04/11
3,"ООО ""Гера""","магазин ""Теремок"" п.г.т.Пиндуши, ул.Гагарина, 10",В927177,193,21/04/11
4,"ООО ""Гера""","магазин ""Погребок"", п.Пиндуши, у. Челюскинцев, 23",В927177,193,21/04/11
5,"ООО ""Гера""","магазин ""Колибри"" п.Повенец, ул. Пролетарская, 27",В927177,193,21/04/11
6,"ООО ""Гера""","кафе, г. Медвежьегорск, ул. Дзержинского,19",В927177,193,21/04/11
7,"ООО ""Гера""","магазин ""Оазис"" п.г.т.Пиндуши, ул. Повенецкая, 9",В927177,193,21/04/11
8,"ООО ""Деликат""","магазин""Деликат"" г.Медвежьегорск, ул. Дзержинского",В927193,192,29/02/12
9,"ООО ""Империя""","магазин, с.Паданы, ул. Григорьева, 17",2595,201,30/06/11
10,"ООО ""Катюша""","магазин ""Катюша"" с.Шуньга, ул. Советская, 14б",В927184,197,15/06/11
11,"ООО ""Катюша""","магазин, д.Толвуя, ул. Пушкина",В927184,197,15/06/11
12,"ООО ""Катюша""","магазин, д.Космозеро",В927184,197,15/06/11
13,"ООО ""Катюша""","магазин, д.Бор Пуданцев",В927184,197,15/06/11
14,"ООО ""Компакт""","магазин ""Компакт"" г. Медвежьегорск, ул.М.Горького, 22А",В927181,203,30/06/11
15,"ООО ""Кредо""","бар ""Beer-лога"" с.Сосновка, ул. Юбилейная, 10",В927174,198,22/06/11
16,"ООО ""Оазис""","магазин ""Эдем"" г. Медвежьегорск, ул. Советская",В927192,191,27/02/12
17,"ООО ""Рунатек""","магазин ""Веруня"" г. Медвежьегорск, ул. Советская",В927162,196,12/06/11
18,"ООО ""Рунатек""","магазин г. Медвежьегорск, ул. Ленина, 32",В927162,196,12/06/11
19,"ООО ""Северный край""","магазин,Онего,п.г.т.Пиндуши,Челюскинцев,13А",2592,199,30/06/11
20,"ООО ""Северный край""","магазин ""Северный""  п.г.т. Пиндуши, ул. Челюскинцев, 24А",2592,199,30/06/11
21,"ООО ""Ава""","магазин, д.Толвуя, ул. Онежская",В927141,156,27/06/12
22,"ООО ""Ава""","магазин, п.Ламбасручей",В927141,156,27/06/12
23,"ООО ""Ава""","магазин, с.Великая Губа, ул. Рябова",В927141,156,27/06/12
24,"ООО ""Ава""","магазин с.Великая Губа, ул. Октябрьская, 19",В927141,156,27/06/12
25,"ООО ""Авеню""","магазин,о.Кижи",927152,181,20/07/13
26,"ООО ""Арс плюс""","магазин ""24 часа"" г.Медвежьегорск, ул. К.Либкнехта, 19А",В927140,139,31/12/11
27,"ООО ""Исток""","магазин  п.г.т.Пиндуши, ул. Труда",В927183,150,27/05/12
28,"ООО ""Койду""","магазин п.г.т.Повенец, ул. Пролетарская, 27",В927133,159,13/07/12
29,"ООО ""Лумбуши""","магазин д.Лумбуши, ул. Совхозная, 12а",В927156,218,18/05/12
30,"ООО ""Прима""","магазин г. Медвежьегорск, ул. Октябрьская, 8а",2531,135,31/12/11
31,"ООО ""Флисс""","магазин г. Медвежьегорск, ул. Верхняя, 2",В927126,147,13/05/12
32,"ООО ""Фортуна""","магазин ""Онежский"" г. Медвежьегорс, ул. М.Горького, 4",В927187,154,27/05/12
33,"ООО ""Фортуна""","магазин п.Пиндуши, ул. Железнодорожная, 3",В927187,154,27/05/12
34,"ООО ""Фортуна""","кафе-бар п.Пиндуши, ул. Железнодорожная, 3",В927187,154,27/05/12
35,"ООО ""Эдельвейс""","магазин д.Челмужи, ул. Гагарина, 38",В927178,143,19/01/12
36,"ООО ""Эдельвейс""",магазин п.Верхнее Волозеро,В927178,143,19/01/12
37,"ООО ""Эдельвейс""","магазин п.Немино, ул. Центральная, 3",В927178,143,19/01/12
38,"ООО ""Эдельвейс""",магазин п.Сергиево,В927178,143,19/01/12
39,"ООО ""Гермес""","магазин г. Медвежьегорск, ул. Болотная",В927190,220,20/02/13
40,"ООО ""Айга""","магазин с.Паданы, ул. Григорьева, 35",2598,205,05/07/11
41,"ООО ""Березка""",магазин д.Челмужи,В927180,207,14/07/11
42,"ООО ""Березка""",магазин д. Габсельга,В927180,207,14/07/11
43,"ООО ""Бобылев и К""","магазин г. Медвежьегорск, ул. Артемьева",В927103,129,18/08/11
44,"ООО ""Бобылев и К""","магазин г. Медвежьегорск, ул. Дзержинского",В927103,129,18/08/11
45,"ООО ""Бобылев и К""","магазин г. Медвежьегорск, ул. Кирова",В927103,129,18/08/11
46,"ООО ""Бобылев и К""","магазин г. Медвежьегорск, ул. Ленина ",В927103,129,18/08/11
47,"ООО ""Бобылев и К""","магазин, г. Медвежьегорск, ул.Октябрьская",В927103,129,18/08/11
48,"ООО ""Бобылев и К""","магазин п.Пиндуши, ул. Повенецкая, 13",В927103,129,18/08/11
49,"ООО ""Валенсо""","магазин г. Медвежьегорск, ул. Артемьева, 20",В927102,200,30/06/11
50,"ООО ""Валенсо""","магазин с.Шуньга, ул. Центральная, 32",В927102,200,30/06/11
51,"ООО ""Заонежье""","магазин о.Кижи, д.Ямка",В927176,211,12/09/11
52,"ООО ""Ирста""","павильон с.Великая Губа, ул. Рябова",В927166,202,30/06/11
53,"ООО ""Ирста""","магазин п.Ламбасручей, ул. Механизаторов",В927166,202,30/06/11
54,"ООО ""Ирста""","магазин п.Ламбасручей, ул. Лесная",В927166,202,30/06/11
55,"ООО ""Ирста""","магазин  с.Толвуя, ул. Школьная",В927166,202,30/06/11
56,"ООО ""Ирста""","магазин с.Толвуя, ул. Пушкина",В927166,202,30/06/11
57,"ООО ""Ирста""","павильон с.Великая Губа, ул. Октябрьская",В927166,202,30/06/11
58,"ПО ""Медвежьегорское""","магазин,с.Великая Губа,Октябрьская",В927189,171,13/02/13
59,"ПО ""Медвежьегорское""","магазин,с.Великая Губа,Рябова",В927189к,171,13/02/13
60,"ПО ""Медвежьегорское""",магазин  д.Великая Нива,В927189к,171,13/02/13
61,"ПО ""Медвежьегорское""","магазин, д.Кажма",В927189к,171,13/02/13
62,"ПО ""Медвежьегорское""",магазин д.Космозеро,В927189к,171,13/02/13
63,"ПО ""Медвежьегорское""",магазин  д.Кузаранда,В927189к,171,13/02/13
64,"ПО ""Медвежьегорское""",магазин д.Патрово,В927189к,171,13/02/13
65,"ПО ""Медвежьегорское""","магазин п.г.т.Повенец, ул. Парамонова, 12",В927189к,171,13/02/13
66,"ПО ""Медвежьегорское""","магазин п.Ламбасручей, ул. Лесная",В927189к,171,13/02/13
67,"ПО ""Медвежьегорское""","магазин с.Сосновка, ул.Юбилейная",В927189к,171,13/02/13
68,"ПО ""Медвежьегорское""","магазин с.Толвуя, ул. Пушкина",В927189к,171,13/02/13
69,"ПО ""Медвежьегорское""","магазин с.Шуньга, ул. Центральная",В927189к,171,13/02/13
70,"ПО ""Медвежьегорское""",магазин ст.Пергуба,В927189к,171,13/02/13
71,"ПО ""Медвежьегорское""",магазин д. Падмозеро,В927189к,171,13/02/13
72,"ООО ""Вега""","магазин п.Огорелыши, ул. Пудожская, 15",В927191,235,23/02/12
73,"ООО ""Березка""","магазин п.Кяппесельга, ул. Центральная, Кондопожский МР",В927180,207,14/07/11
74,"ООО ""Бриз""","магазин ""Березка"" г. Медвежьегорск, ул. М.Горького, 7",В927134,195,14/06/11
75,"ООО ""Магнит""","магазин ""Продукты"" п.г.т.Пиндуши, ул. Повенецкая, 7А",В927188,212,02/11/11
76,"ООО ""Магнит""","магазин ""Продукты"" п.г.т.Пиндуши, ул. Конституции, 1",В927188,212,02/11/11
77,"ООО ""Магнит""","магазин ""Второй дом"" п.г.т.Пиндуши, ул. Онежская",В927188,212,02/11/11
78,"ООО ""Нордик""","магазин г. Медвежьегорск, ул. Советская, 12",В927117,215,11/12/11
79,"ООО ""Эдвин-плюс""","магазин г. Медвежьегорск, ул. М.Горького, 7Б",В927119,216,21/12/11
80,"ООО ""Торговая лавка""",павильон п.при 8 Шлюзе ББК,В927124,217,11/02/12
81,"ООО ""Торговая лавка""",магазин п.при 9 Шлюзе ББК,В927124,217,11/02/12
82,"ООО ""Березка""","магазин г. Медвежьегорск, ул. Первомайская, 25",В927180,207,15/07/11
83,"ООО ""Березка""","магазин Медвежьегорск, Советская",В927180,207,14/07/11
84,"ООО ""Малая Медвежка""","кафе г. Медвежьегорск,Чкалова, ул. 31",В927137,219,24/08/12
85,"ООО ""Этна""","магазин г. Медвежьегорск, ул.М.Горького, 7",В927182,165,31/12/12
86,"ООО ""Этна""","магазин г. Медвежьегорск, ул. Ленина, 52б",В927182,165,31/12/12
87,"ООО ""Этна""","магазин г. Петрозаводск, ул. Торнева, 2",В927182,165,31/12/12
88,"ООО ""Этна""","магазин г. Петрозаводск, ул. Комсомольский, 17а",В927182,165,31/12/12
89,"ООО ""Этна""","магазин г. Петрозаводск, ул. Нойбранденбургская, 5/8",В927182,165,31/12/12
90,"ООО ""Этна""","магазин г. Медвежьегорск, ул. Советская, 21б",В927182,165,31/12/12
91,"ООО ""Этна""","магазин г. Медвежьегорск, ул. Дзержинского, 24",В927182,165,31/12/12
92,"ООО ""Виктория"" п.Шалговаара","магазин п.Шалговаара, ул. Советская, 10",В927170,222,27/05/13
93,"ООО ""Виктория"" п.Шалговаара","магазин п.Маслозеро, ул. Школьная, 16",В927170,222,27/05/13
94,"ООО ""Вираж-Онего""","магазин д.Шуньга, ул. Центральная, 32",В927158,225,25/12/13
95,"ООО ""Вираж-Онего""","магазин с.Великая Губа, ул. Октябрьская",В927158,225,25/12/13
96,"ООО ""ЭЛК""","магазин г. Медвежьегорск, ул. Первомайская, 44",В927154,224,23/10/13
97,"ООО ""ИБИС""","магазин г. Медвежьегорск, ул. Первомайская, 15А",В927160,226,27/02/14
98,"ООО ""ИБИС""","магазин г. Медвежьегорск, ул. Куйбышева, 24А",В927160,226,27/02/14
99,"ООО ""Лилия""","магазин п.Повенец, ул. Ленина, 32",В927159,227,19/02/14
100,"ООО ""Мрия""","магазин п.г.т.Пиндуши, ул. Конституции, 13",В927161,228,24/03/14
101,"ООО ""Онего-Тревел""","магазин  Медвежьегорский район,о.Кижи",В927163,229,27/05/14
102,"ООО ""Рунатек""","магазин ""Веруня"" г. Медвежьегорск, ул. Дзержинского, 19а",В927162,196,12/06/11
103,"ООО ""Виктория"" г. Медвежьегорск","магазин ""Продукты"" г. Медвежьегорск, ул. Артемьева, 40",В927164,230,16/07/14
104,"ООО ""Гривас""","торговый павильон с.Сосновка, ул. Школьная",В927185,231,22/11/14
105,"ООО ""Дельфин""","закусочная ""Гудок"" г. Медвежьегорск, ул. Артемьева, 18",В927172,232,21/12/14
106,"ООО ""Анна""",магазин п.Волозеро.,В927175,234,16/02/12
107,"ООО ""Гривас""","магазин п.г.т.Повенец, ул. Ленина",В927185,231,22/11/14
"Объекты лицензиатов, получивших лицензии в другом МО",,,,,
1,"ООО ""Мария""","магазин ""Локка""  п.Шалговаары, ул. Советская, 2",В 927319  ,156,01/08/11
2,"ООО ""Фирма ГенВик""","магазин д.Челмужи, ул. Гагарина, 67",Б393703,3,01/07/11
3,"ЗАО ""Карелиянефтепродукт""","магазин г. Медвежъегорск, ул. Повенецкая, 1 АЗС-8 ",В554367,104,28/02/13
4,"ООО ""СД""","магазин с.Паданы, ул. Ленина, 28",Б393455,85,20/04/13
5,"ООО ""СД""","магазин с.Паданы, ул. Григорьева, 29",Б393455,85,20/04/13
6,"ЗАО ""Тандер""","магазин г. Медвежьегорск, ул. Дзержинского, 19",Б393450,72,30/12/13
7,"ЗАО ""Тандер""","магазин г. Медвежьегорск, ул. Онежская, 2",Б393450,72,30/12/13
8,"ООО ""ГБК""","магазин г. Медвежьегорск, ул. Ленина, 50",Б393814,44,16/06/14
9,"ООО ""ГБК""","магазин ""Народный""  п.Пиндуши, ул. Ленина, 5",Б393814,44,16/06/14
10,"ООО ""Конторг""","магазин ""Конторг-5"" п.Повенец, ул. Пролетарская",Б393812,26,05/04/12
11,"ООО ""Конторг""","магазин ""Конторг-6"" п.Повенец, ул. Копейкина",Б393812,26,05/04/12
12,"ООО ""Конторг""","магазин ""Конторг-7"" п.Пиндуши, ул. Ленина",Б393812,26,05/04/12
13,"ООО ""ТД Интерторг""","магазин ""Семья"" г. Медвежьегорск, ул. Ленина, 27",Б393484,186,14/08/14
14,"ООО ""Продуктовый рай""","магазин г. Медвежьегорск, ул. Советская",Б393492,161,30/12/13
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
