"Сводный реестр выданных, приостановленных и аннулированных лицензий на розничную торговлю алкогольной продукцией по состоянию на 28.09.2012",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
№ п/п,"Наименование организации, организационно-правовая форма",ИНН организации,КПП организации,Адрес места нахождения организации,Адрес электронной почты,Адрес осуществления вида деятельности ,КПП обособленного подразделения,Код субъекта РФ,Код субъекта по месту осуществления деятельности,Серия лицензии,Номер лицензии,Дата выдачи ,Дата окончания действия ,Дата приостановления действия ,Дата возобновления действия ,Дата прекращения действия ,Дата аннулирования,Статус лицензии,Дата изменения статуса,Руководитель организации,Телефон,Приказ Минэкономразвития,Срок окончания аренды
1,2,3,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
,"АУ ""Центр культуры и досуга""",8202015808,820201001,"пгт. Палана, ул. Поротова, д. 31",,"пгт. Палана, ул. Поротова, д. 31, кафе-бар Цетра культуры и досуга",,41,41,к 007903,17-Т,3/16/2012,3/16/2015,,,,,действующая,,,,Приказ о выдаче от 14.03.2012 № 93,собственность
,ГУ ЦБ РФ по Камчатскому краю,7702235133,410131001,"г. Петропавловск-Камчатский, пр. К. Маркса  д.29/2",,"г. Петропавловск-Камчатский, пр. К. Маркса, д.29/2, столовая",,41,41,к 007473,196-К,3/17/2011,3/17/2016,,,,,действующая,,,,,
,ГУ ЦБ РФ по Камчатскому краю,7702235133,410131001,"г. Петропавловск-Камчатский, пр. К. Маркса  д.29/2",,"Елизовский р-н, с. Паратунка, бар при столовой пансионата ""Светлячок""",,41,41,к 007473,196-К,3/17/2011,3/17/2016,,,,,действующая,,,,,
,"ГУП  ""Камчатстройэнергосервис"" ",4100019108,410101001,"г. Петропавловск-Камчатский, ул. Ленинградская, д.118",,"г. Петропавловск-Камчатский, ул. Ключевская, д.56, магазин ""Ветеран""",,41,41,к 007817,240-К,12/27/2011,11/27/2014,,,,,действующая,,,8(909)8380401,,
,"ГУП  ""Камчатстройэнергосервис"" ",4100019108,410101001,"г. Петропавловск-Камчатский, ул. Ленинградская, д.118",,"г. Петропавловск-Камчатский, ул. Советская, д.51, ресторан ""Октябрьский""",,41,41,к 007817,240-К,12/27/2011,11/27/2014,,,,,действующая,,,,,
,"ЗАО ""Комбинат питания""",4101004337,410101001,"г. Петропавловск-Камчатский, ул. Владивостокская, д. 11",,"г. Петропавловск-Камчатский, ул. Владивостокская, д. 11, магазин ""Букет""",,41,41,к 007905,266-К,5/18/2012,5/18/2015,,,,,действующая,,,8(4152)497990,Приказ о выдаче от  16.05.2012 № 200,
,"ЗАО рыболовецкое предприятие ""Акрос""",4101013772,410101001,"г. Петропавловск-Камчатский, ул. Штурмана Елагина, д.43",,"Елизовский р-н, автодорога Елизово - Паратунка, база ""Лесная"" кафе ""Бриз""",,41,41,к 007898,250-К,2/24/2012,2/24/2013,,,,,действующая,,,,,
,"ПО ""Мильковское"" ",4106000047,410601001,"Мильковский р-н, с. Мильково, ул. Советская, д.36",,"Мильковский р-н, с. Мильково, ул. Советская 40, ""Закусочная""",,41,41,к 007955,2-М,6/27/2012,11/15/2012,,,,,действующая,,,,,
,"ПО ""Мильковское"" ",4106000047,410601001,"Мильковский р-н, с. Мильково, ул. Советская, д.36",,"Мильковский р-н, с. Мильково, ул. Советская 52, магазин № 5",,41,41,к 007955,2-М,6/27/2012,11/15/2012,,,,,действующая,,,,,
,"ПО ""Мильковское"" ",4106000047,410601001,"Мильковский р-н, с. Мильково, ул. Советская, д.36",,"Мильковский р-н, с. Мильково, ул. Советская 52, кафе ""Таежное""",,41,41,к 007955,2-М,6/27/2012,11/15/2012,,,,,действующая,,,,,
,"ПО ""Мильковское"" ",4106000047,410601001,"Мильковский р-н, с. Мильково, ул. Советская, д.36",,"Мильковский р-н, с. Мильково, ул. Советская 34, магазин № 16",,41,41,к 007955,2-М,6/27/2012,11/15/2012,,,,,действующая,,,,,
,"ПО ""Мильковское"" ",4106000047,410601001,"Мильковский р-н, с. Мильково, ул. Советская, д.36",,"Мильковский р-н, с. Мильково, ул. Ленинская 16, магазин № 9",,41,41,к 007955,2-М,6/27/2012,11/15/2012,,,,,действующая,,,,,
,"ПО ""Мильковское"" ",4106000047,410601001,"Мильковский р-н, с. Мильково, ул. Советская, д.36",,"Мильковский р-он, с. Долиновка, ул. Елисеевская 11, магазин № 13",,41,41,к 007955,2-М,6/27/2012,11/15/2012,,,,,действующая,,,,,
,,,,,,"Мильковский р-н, с. Мильково, ул. Советская 40, магазин № 1 ""Продукты""",,41,41,к 008049,10-М,9/19/2012,11/15/2012,,,,,действующая,,,,Приказ о переоф. от 17.09.2012 № 481,
,,,,,,"Мильковский р-н, с. Мильково, ул. Советская 40, ""Закусочная""",,41,41,,,,,,,,,,,,,,
,,,,,,"Мильковский р-н, с. Мильково, ул. Советская 52, магазин № 5",,41,41,,,,,,,,,,,,,,
,,,,,,"Мильковский р-н, с. Мильково, ул. Советская 52, кафе ""Таежное""",,41,41,,,,,,,,,,,,,,
,,,,,,"Мильковский р-н, с. Мильково, ул. Советская 34, магазин № 16",,41,41,,,,,,,,,,,,,,
,,,,,,"Мильковский р-н, с. Мильково, ул. Ленинская 16, магазин № 9",,41,41,,,,,,,,,,,,,,
,,,,,,"Мильковский р-он, с. Долиновка, ул. Елисеевская 11, магазин № 13",,41,41,,,,,,,,,,,,,,
,,,,,,"Мильковский р-н, с. Мильково, ул. Лазо, 54 магазин № 3",,41,41,,,,,,,,,,,,,,6/30/2015
,,,,,,"г. Петропавловск-Камчатский, ул. Попова, д. б/н, магазин ""Людмила""",,41,41,к 007832,222-К,12/2/2011,12/2/2012,,,,,действующая,,,,Приказ о выдаче от 02.12.2011 № 393,
,"ОАО гостиница ""Авача""",4101007049,410101001,"г. Петропавловск-Камчатский, ул. Ленинградская, д.61",,"г. Петропавловск-Камчатский, ул. Ленинградская, д.61, буфет гостиницы ""Авача"", 1 этаж",,41,41,к 007800,209-К,10/18/2011,10/18/2016,,,,,действующая,,,,,
,"ОАО гостиница ""Авача""",4101007049,410101001,"г. Петропавловск-Камчатский, ул. Ленинградская, д.61",,"г. Петропавловск-Камчатский, ул. Ленинградская, д.61, барная стойка кафе гостиница ""Авача"", 2 этаж",,41,41,к 007800,209-К,10/18/2011,10/18/2016,,,,,действующая,,,,,
,"ОАО ""Столовая № 5""",4101117108,410101001,"г. Петропавловск-Камчатский, пл. Ленина, д.1,",,"г. Петропавловск-Камчатский, ул. Советская, д.34, буфет ФСБ",,41,41,к 007884,543-К,2/17/2012,8/17/2012,,,,,,,,,,
,"ОАО ""Столовая № 5""",4101117108,410101001,"г. Петропавловск-Камчатский, пл. Ленина, д.1,",,"г. Петропавловск-Камчатский, пл. Ленина, д.1, столовая № 5",,41,41,к 007993,304-К,8/17/2012,2/17/2013,,,,,действующая,,,,Приказ о выдаче от 15.08.2012 № 406,
,"ОАО ""Управление торговли Тихоокеанского флота"" (ОАО ""УТТФ"")",2537060054,,"г. Владивосток, ул. Сахалинская, д.38",,"г. Петропавловск-Камчатский, ул. Лизы Чайкиной, д.11, магазин № 40",,41,41,к 007543,169-К,5/24/2011,11/10/2014,,,,,действующая,,,,,
