"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""город Свирск""",,,,,,,,,
по состоянию на 1 августа2012 года,,,,,,,,,
,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями)
1,2,3,4,5,6,7,8,9,10
1,ООО  «Успех» 3820010026,"Иркутская область, город Черемхово МИ ФНС № 10 по Иркутской области и  Усть-Ордынскому Бурятскому  автономному округу","38 МЕ 002800 , рег.№2/11 от 01.04.11г.до 01.04.2016г.          на 5лет ","г. Свирск ул.Маяковского,17,  магазин «Успех»,                                                            г. Свирск .Комсомольская,3  магазин «Юбилейный»,                                           г. Свирск Комсомольская,7 магазин «Звезда»",,,,,
2,"ООО""Надежда"" 3820011125","Иркутская область, город Черемхово МИ ФНС № 10 по Иркутской области и  Усть-Ордынскому Бурятскому  автономному округу",38 МЕ 002797 рег.№ 5/11     от 12.07.11 до 12.07.2012г.         на 1 год,"г. Свирск, ул. Киевская, 20 магазин ""Надежда""                                                                г. Свирск, ул. Ленина, 1 магазин ""Надежда""",,,7/12/2012,,
3,"ООО ""Торговая компания ""Агата"", 382001176","Иркутская область, город Черемхово МИ ФНС № 10 по Иркутской области и  Усть-Ордынскому Бурятскому  автономному округу",38 МЕ 002784 рег. № 06/10 от 20.09.10           5 лет                 взамен                       38 МЕ 002759 № 3/06             от 14.07.2006 до 14.07.2011,"г. Черемхово, ул. Первомайская, 195 магазин ""Флагман"",                                            г. Черемхово, ул.Ленина, 24, магазин ""Стрела"",                                                         г. Черемхово, ул.Ленина, 41, отдел в магазине № 23,                                                  г. Черемхово, ул.Некрасова, 16, отдел в магазине ""Империя вкуса""",,,14.07.11г.,,
4,"ООО ""Фортуна"" 3820011340 ","Иркутская область, город Черемхово МИ ФНС № 10 по Иркутской области и  Усть-Ордынскому Бурятскому  автономному округу",38 МЕ 002755 рег.№ 4/06 от 25.07.06           5 лет                 взамен                            А 170756              № 4/06            от 25.07.2006 до 25.07.2011,"г. Свирск. ул.Ленина,3, магазин ""Бахус"",                                                              г. Черемхово,пос. Касьяновка, ул. Ярославского,25а, магазин ""Купец""",,,24.03.11г.,,
5,"ООО ""Торговый дом""      3820010033","Иркутская область, город Черемхово МИ ФНС № 10 по Иркутской области и  Усть-Ордынскому Бурятскому  автономному округу",38 МЕ 002798 № 7/11 от 18.10.2011г. вместо 38 МЕ 002794 рег.№ 7/11 от 18.10.2011  до 18.10.2012г.     ,"г. Свирск,ул.Молодежная, 2а, магазин ""Нива""                                                                 г. Свирск, ул. Тимирязева, 4, магазин ""Магазин №2""",,,,,
6,"ООО ""Парус""  3820011439","Иркутская область, город Черемхово МИ ФНС № 10 по Иркутской области и  Усть-Ордынскому Бурятскому  автономному округу",38 МЕ 002787 № 3/11 от 03.05.2011г.     с 23.04.2009г. до 05.03.2012г.   на 3 года,"г. Свирск, ул. Комсомольская,13а магазин         ""Полтинник""                                                  г. Свирск, ул. Комсомольская, 2е, ,магазин ""Рубин""",,,3/5/2012,,
7,"ООО ""Юлия"" 3820013820 ","Иркутская область, город Черемхово МИ ФНС № 10 по Иркутской области и  Усть-Ордынскому Бурятскому  автономному округу",38 МЕ 002805 № 02/12 от 27.04.2012г.     5 лет                 взамен                38 МЕ 002783 № 11/09 от 16.12.2009г: 38МЕ 002775 № 11/09           от 16.12 2009 до 23.12.2013,"г.Свирск, ул. Ленина, 2б, кафе ""Блюз"",                                                  г. Свирск, ул. Маяковского 8-6,  в магазине ""Дионис"",            г.Свирск, ул. Киевская, 16-2,  в магазине ""Смешаных товаров"",                                  г. Свирск, ул. Чкалова,6,  в магазине ""Смешаных товаров"",                                                                                                        ",,,,,
8,"ООО ""Бахус""  3820012560","Иркутская область, город Черемхово МИФНС № 10 по Иркутской области и Усть-Ордынскому Бурятскому автономному округу",38 МЕ 002886 № 61-08 29.12.08. 5лет,"г. Свирск, ул.Чкалова,6а, отдел в магазине ""Продукты""",,,,,Администрация города Черемхово отдел по потребительскому рынку и услуг
9,"ООО ""Ветер""  3812122167 ","Иркутская область, город Шелехово МИФНС № по Иркутской области",Г 888812 № 03 от 02.02.2011 до 13.10.2014г.     на 5 лет,"г. Свирск, ул. Киевская, 13, отдел в магазине ""Кристалл"",                             г. Свирск, ул. Молодежная, 2/2, отдел в магазине  ""Полина"",                                   г. Свирск, ул. Хасановских боев, 3 отдел в магазине ""Волна""",,,,,Администрация Шелеховского муниципального района отдел по развитию потребительского рынка
