"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ИО ""Казачинско-Ленский район""",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
1,"Юридическое лицо МУП ""Колос""                     ИНН 3828002443","Иркутская обл Казачинско-Ленский р-он          п. Магистральный  ул.Российская, 12",№7 А 196370      09.04.2012  по    28.02.2013 взамен №3  А 196367 28.02.2012  по 28.02.2013,"п. Магистральный                 ул.Вокзальная, 2              маг.Колос-2                           ул. Российская 12             маг. Колос-1      ",,,,,,
2,"Юридическое лицо ""Казачинско-Ленское райпо""                           ИНН 3828000710","Иркутская обл Казачинско-Ленский р-он           с. Казачинское      ул. Лесная, 20",№32 А196333 31.03.2008  25.03.2013        ,с.Казачинское                маг.№2                        маг.№3                        маг.№4                        маг.№5                                      маг.Березовка             маг.Универмаг             маг.Ключи                  маг.Новоселово          маг.Окунайский 1     маг.Юхта                    маг.Тарасово              маг.Карнаухово          маг.Ермаки                         маг.В-Мартыново             маг.Н-Мартыново        маг.Кутима                 маг.Небель                   маг.Ханда                   маг.Карам                   маг.Улькан                       ТОЦ п.Магистральный,,,, ,,
3,"Юридическое лицо ООО ""Эликон""             ИНН 3818019617","Иркутская обл Казачинско-Ленский р-он          п. Магистральный  2 микрорайон, 4",№7 А196271 26.06.2006       08.06.2012г.   ,"п.Магистральный                             ул. 17 съезда ВЛКСМ, 8а                             - маг. Веста                                         2 микрорайон. 4                                 - маг. Торговый Дом",,,6/8/2012,,,
4,"Юридическое лицо ООО ""Кедр""                ИНН 3818019984",Иркутская обл Казачинско-Ленский р-он          п. Окунайский ул. 40 лет Победы 11/1,№60 А196361 12.08.2011 23.05.2012 г.      ,"п.Окунайский                              ул. 40 лет Победы, 11/1                          - маг. Кедр                            ул. 40 лет Победы 19/1            - маг.Кедр",,,5/23/2012,,,
5,"Юридическое лицо ООО ""Киренга""             ИНН 3818019293","Иркутская обл Казачинско-Ленский р-он          п. Магистральный  ул. Пугачева,16",№4 А196364          29.02.2012  по      28.02.2013               ,"п. Магистральный                  ул. Пугачева, 16 а               маг. Киренга",,,,,,
6,"Юридическое лицо ООО ""Надежда""      ИНН 3811095400","Иркутская обл Казачинско-Ленский р-он           п. Улькан ул. 26 Бак.комиссаров,9а",№51А196358 16.03.2011 до  16.03.2013        ,п. Улькан                                        ул. 26 Бак. Комиссаров 9а                               маг. Надежда,,,,,,
7,"Юридическое лицо ООО ""ФУАД""               ИНН 3818019399","Иркутская обл Казачинско-Ленский р-он           п. Улькан     ул. Ульканская, 58",№14 А196359 15.07.2006 до 19.04.2011    продлена до 19.04.2012    ,"п. Улькан                                        ул. Лейманиса, 28а            маг. Мерке-1                                   ул. Лейманиса, 50                          маг. Мерке -2",,,4/19/2012,,,
8,"Юридическое лицо ООО ""Эталон""           ИНН 3818019670","Иркутская обл Казачинско-Ленский р-он          п. Магистральный    ул.Карбышева, 1-4",№15 А196363 19.07.2006 до 19.04.2011    продлена до 19.04.2012        ,"п. Магистральный                           ул. Корчагинская, 2в                      маг. Сибирь                                          ул. 17 съезда ВЛКСМ, 17                               маг. Злата",,,4/19/2012,,,
9,"Юридическое лицо ООО ""Полтина""      ИНН 3818020531","Иркутская обл Казачинско-Ленский р-он          п. Магистральный    ул.17съезда ВЛКСМ, 62",№16 А196315 21.07.2006 до 08.07.2011     продлена до 08.07.2012   ,"п. Магистральный                        ул. 17 съезда ВЛКСМ, 62                               маг. Военторг",,,7/8/2012,,,
10,"Юридическое лицо ЗАО ""Экспресс""      ИНН 3828001513","Иркутская обл Казачинско-Ленский р-он          п. Магистральный     1 микрорайон, 3а",№21 А196320 03.10.2006 до 26.06.2011       продлена до  26.06.2012     ,"п. Магистральный                     ул. Российская, 1д                    маг. Кулинария-булочная               1 микрорайон, 3а                               маг. Продуктовый",,,6/26/2012,,,
11,"Юридическое лицо ООО ""Алиса""                 ИНН 3818021510","Иркутская обл Казачинско-Ленский р-он           п. Улькан ул. 26 Бак.комиссаров,8-57",№46 А196351 01.12.2010 до 13.08.2012г. взамен               №28 А196328   17.08.2007    13.08.2012  ,"п. Улькан                                                               ул. 26 Бак. Комиссаров,     6-2                                                       маг. Алиса",,,,,,
12,"Юридическое лицо ООО ""Ульканлес""      ИНН 3818006720","Иркутская обл Казачинско-Ленский р-он           п. Улькан ул. 26 Бак.комиссаров, 16а-3",№2 А 196366     30.12.2011 до       14.12.2012        взамен №48 А196350 29.12.2010 до 14.12.2012       ,"п. Улькан                                         ул. Спортивная, 1                            маг. Регион 38                             ",,,,,,
13,"Юридическое лицо ПО ""Хлеб""                          ИНН 3818018564","Иркутская обл Казачинско-Ленский р-он           с. Казачинское      ул. Лесная, 20",№33А196334 09.06.2008 до  30.05.2013        ,"с.Казачинское                             ул. Коммунистическая, 5                             столовая                           кафе ""Мечта""",,,,,,
14,"Юридическое лицо ООО ""ЭТАЛОН""                     ИНН 3818020475","Иркутская обл          г. Усть-Кут                  ул. Кирова,90-116",    2 МЕ 007880 №2 02.03.2012г. 02.07.2016 г. взамен                  38 МЕ 007845    №8 01.07.2011   по 02.07.2016        ,"п. Магистральный                 ул. Пионерская, 6                аренда отдела маг. Гермес                                  п. Улькан                                          ул. Лейманиса, 8а                            аренда отдела маг. Визит               ",,,,,Администрация Усть-Кутского муниципального образования,
15,"Юридическое лицо ООО ""Абсент""          ИНН 3818025071","Иркутская обл. Казачинско-Ленский р-он          п. Ключи                  ул. 30 лет Победы, 33          ",№49 А196352 31.12.2010 до 09.12.2013 взамен:     №36 А196336 16.12.2008   09.12.2013        ,"п. Ключи                                          ул. 30 лет Победы, 33          маг. Золотой ключик              п. Магистральный               ул. 17 съезда ВЛКСМ 18а маг.Волга                     ",,,,,,
16,"Юридическое лицо ООО ""Билли""                     ИНН 3818020370","Иркутская обл Казачинско-Ленский р-он          п. Магистральный    ул.2 микрорайон, 7-45",№38 А196338 09.07.2009 до 29.06.2014        ,"п. Магистральный                 ул. 17 съезда ВЛКСМ, 8                   бар 2х2                    ",,,,,,
17,"Юридическое лицо ООО ""Абсолют""                     ИНН 3818026854","Иркутская обл Казачинско-Ленский р-он          п. Магистральный    ул.17 съезда ВЛКСМ, 66а",№40 А196340 15.12.2009 до 09.12.2014        ,"п. Магистральный                  ул. 17 съезда ВЛКСМ, 66а                                маг. Продукты 24 часа             ",,,4/16/2012,,,
