,,    ,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по городу Иркутск",,,,,,,,,
,по состоянию на 1 августа 2012 года,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,№,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка, Серия, номер, дата выдачи, срок действия лицензии","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии 
,1,2,3,4,5,6,7,8,9,10
,1,"Заречье, ОАО, 3809013182","г.Иркутск, ул. Марии Цукановой, д. 2","38ме №004879, лиц.№АН00560 от 11.12.2008, действ.до 11.12.2013","магазин г.Иркутск, ул. Марии Цукановой, д. 2",,,,,
,2,"Многодетных семей г. Иркутска Семья, ОАО, 3808012316","г.Иркутск, ул. Депутатская, д. 73","38ме №004848, лиц.№АН00543 от 25.11.2008, действ.до 25.11.2013","магазин г.Иркутск, ул. Депутатская, д. 73; магазин г.Иркутск, ул. Байкальская, д. 202а",,,,,
,3,"АВИКОМ, ООО, 3812039984","г.Иркутск, ул. Освобождения, д. 133","38ме №005182, лиц.№АП03110Пр2 от 12.11.2009, действ.до 31.12.2014","магазин г.Иркутск, ул. Освобождения, д. 133; магазин г.Иркутск, ул. Помяловского, д. 30",,,,,
,4,"АДА-ДВА, ООО, 3808051308","г.Иркутск, ул. Карла Маркса, д. 18","Д №561409, лиц.№АП03512 от 22.12.2005, действ.до 22.12.2015","магазин г.Иркутск, ул. Карла Маркса, д. 18",,,,,
,5,"БИ-ЛЕНА, ООО, 3812015020","г.Иркутск, ул. Гоголя, д. 7","38ме №003478, лиц.№АН00540 от 21.11.2008, действ.до 30.11.2013","магазин г.Иркутск, ул. Гоголя, д. 7; кафе г.Иркутск, бул. Рябикова, д. 2",,,,,
,6,"СДФ, ООО, 3811052083","г.Иркутск, ул. Дорожная, д. 1","38ме №005156, лиц.№АП03129Пр3 от 22.10.2009, действ.до 28.01.2015","магазин г.Иркутск, ул. Ширямова, д. 13 (международный терминал); бар г.Иркутск, ул. Ширямова, д. 13 (международный терминал); кафе г.Иркутск, ул. Ширямова, д. 13 2 этаж здания аэровокзала, стерильная зона",,,,,
,7,"Звездочет, ООО, 3811053961","г.Иркутск, ул. Советская, д. 77","38ме №004846, лиц.№АН00541 от 25.11.2008, действ.до 15.12.2013","кафе г.Иркутск, ул. Советская, д. 77",,,,,
,8,"ИРКУТ-КОМ, ООО, 3812027650","г.Иркутск, ул. Декабрьских Событий, д. 90","38ме №004883, лиц.№АН00563 от 15.12.2008, действ.до 15.12.2013","магазин г.Иркутск, ул. Декабрьских Событий, д. 90а",,,,,
,9,"ИРТЕКС, ООО, 3812029224","г.Иркутск, ул. Старо-Кузьмихинская, д. 39","38ме №004788, лиц.№АН00515 от 19.09.2008, действ.до 26.09.2013","кафе г.Иркутск, ул. Старо-Кузьмихинская, д. 39",,,,,
,10,"Нина К, ООО, 3808054387","г.Иркутск, ул. Свердлова, д. 41","38ме №004898, лиц.№АН00576 от 18.12.2008, действ.до 18.12.2013","магазин г.Иркутск, ул. Свердлова, д. 41",,,,,
,11,"Приволье, ООО, 3811059040","г.Иркутск, ул. 6-я Советская, д. 18А","38ме №003525, лиц.№АН00526Пр2 от 09.12.2010, действ.до 16.10.2013","магазин г.Иркутск, ул. Волжская, д. 33; магазин г.Иркутск, ул. 6-я Советская, д. 18 б",,,,,
,12,"ТРИО и К, ООО, 3808023491","г.Иркутск, ул. Карла Маркса, д. 15","38ме №004795, лиц.№АН00520 от 26.09.2008, действ.до 25.09.2013","бар г.Иркутск, ул. Карла Маркса, д. 15 (н/к ""Стратосфера""); бар г.Иркутск, ул. Карла Маркса, д. 15 (н/к ""Стратосфера""); ресторан г.Иркутск, ул. Карла Маркса, д. 15; бар г.Иркутск, ул. Карла Маркса, д. 15 (боулинг); бар г.Иркутск, ул. Карла Маркса, д. 15 (к/т ""Второй этаж""); кафе г.Иркутск, ул. Карла Маркса, д. 15",,,,,
,13,"Организация общественного питания Успех, ООО, 3808017561","г.Иркутск, ул. 5-й Армии, д. 67","№, лиц.№АН00374 от 18.09.2007, действ.до 18.09.2012","кафе г.Иркутск, ул. 5-й Армии, д. 67",,,,,
,14,"Фирма ФИАНИТ, ООО, 3808009842","г.Иркутск, ул. Ширямова, д. 35","38ме №003472, лиц.№АН00518Пр от 16.11.2009, действ.до 26.09.2013","кафе г.Иркутск, ул. Ширямова, д. 35; бар г.Иркутск, ул. Ширямова, д. 33",,,,,
,15,"Торговая фирма МАРИАНА, ООО, 3809023286","г.Иркутск, ул. Радищева, д. 67","38ме №004791, лиц.№АН00517 от 22.09.2008, действ.до 27.09.2013","магазин г.Иркутск, ул. Радищева, д. 67",,,,,
,16,"фирма Лена, ООО, 3808057437","г.Иркутск, ул. Байкальская в районе дома № 258а","38ме №003370, лиц.№АН00740 от 01.07.2010, действ.до 01.07.2013","кафе г.Иркутск, ул. Байкальская в районе дома № 258а",,,,,
,17,"фирма СТЕРЛИНГ, ООО, 3812040193","г.Иркутск, ул. Улан-Баторская, д. 1а","38ме №003479, лиц.№АН00574 от 18.12.2008, действ.до 26.12.2013","кафе г.Иркутск, ул. Улан-Баторская, д. 1 А",,,,,
,18,"Российские железные дороги, ОАО, 7708503727","г.Москва, ул. Новая Басманная, д. 2","38ме №004717, лиц.№АН00491 от 01.07.2008, действ.до 01.07.2013","столовая г.Иркутск, ул. Карла Маркса, д. 7; столовая г.Иркутск, ул. Карла Маркса, д. 59",,,,,
,19,"Байкал Бизнес Центр, ЗАО, 3827014799","г.Иркутск, ул. Байкальская, д. 279","38ме №004806, лиц.№АН00525 от 15.10.2008, действ.до 15.10.2013","ресторан г.Иркутск, ул. Байкальская, д. 279; бар г.Иркутск, ул. Байкальская, д. 279; бар г.Иркутск, ул. Байкальская, д. 279; бар г.Иркутск, ул. Байкальская, д. 279",,,,,
