41180,28-Sep-12,,,,,,,,,,,,,
Орг_Прав_Форма,Краткое Наименование,ИНН,Код_ОКПО,Город,Улица,ГородФ,УлицаФ,Поле86,Номер лиценз,Серия бланка,Бланк,Начало действ лицензии,Конец действия лицензии,Конец Срока Продления
Потребительское общество,"ПО ""Зырянский хлебокомбинат""",7005005100,49385135,Зырянский район с. Зырянское,"пер.Калинина, 1",Зырянский район,,ТОМ,005272АЛ00,70МЕ,1486,1/25/2010,1/25/2015,
Общество с ограниченной ответственностью,"ООО ""Торговый дом ""Сибирский купец""",7017013770,53090776,г. Томск,"Интернационалистов, 22- 77",Зырянский район,"с. Зырянское, ул. Смирнова,6/1",ТОМ,003025АЛ02,70МЕ,485,1/25/2010,1/25/2015,
Общество с ограниченной ответственностью,"ООО ""Березка""",7005006383,,Зырянский район,"с. Зырянское, Советская, 113 - 1",Зырянский район,,ТОМ,005275АЛ00,70МЕ,1490,1/25/2010,1/25/2015,
Общество с ограниченной ответственностью,"ООО ""ГАРАНТ""",7005006471,,Зырянский р-он,"с. Зырянское, ул. Советская, 16",Зырянский район,,ТОМ,005279АЛ00,70МЕ,1494,1/25/2010,1/25/2015,
Общество с ограниченной ответственностью,"ООО ""Дионис""",7005006496,,с. Зырянское,"ул. Островского, 1 б",Зырянский район,,ТОМ,005285АЛ00,70МЕ,1501,1/25/2010,1/25/2015,
Общество с ограниченной ответственностью,"ООО ""Компания ""Фатум""",7005006489,,Зырянский район,"с. Зырянское, ул. Островского, 71",Зырянский район,,ТОМ,005297АЛ00,70МЕ,1513,1/25/2010,1/25/2015,
Закрытое акционерное общество,"ЗАО ""РегионМарт-Томск""",7017187818,,г. Томск,"ул. Пролетарская, 38 В",Зырянский район,"с. Зырянское, ул. Калинина, 3/1",ТОМ,004890АЛ14,70МЕ,2407,1/25/2010,1/25/2015,
Общество с ограниченной ответственностью,"ООО ""ШИНаС""",7017188219,,г. Томск,"ул. Шпальная, 1",Зырянский район,"с. Шиняево, ул. Луговая, 50 (магазин)",ТОМ,005820АЛ26,70МЕ,2487,1/25/2010,1/25/2015,
Общество с ограниченной ответственностью,"ООО ""ШИНа""",7017146829,,г.Северск,"ул. Солнечная, 23, кв. 137",Зырянский район,"с. Семёновка, ул. Зеленая, 31, пом. 2 (магазин)",ТОМ,005799АЛ32,70МЕ,2450,1/25/2010,1/25/2015,
Общество с ограниченной ответственностью,"ООО ""Ёлочка""",7005006859,,Зырянский район,"с. Зырянское, ул.Советская,17",Зырянский район,,ТОМ,004951АЛ00,70МЕ,443,1/25/2010,1/25/2015,
