Городской округ Саранск,,,,,,,,,,,,
К-во,Регис-,Серия,"Наименование организации,",,Адреса,Кол - тво,Срок ,№ ,Дата,,Ф.И.О. ,
ор-,тра-,лицензии,"юридический адрес, почтовый адрес",,торговых объектов,торговых,действия,"телефона,",приоста-,,руководителя (учредителя),
гани,цион-,,,,,объектов,лицензииё,факс,новки и,,,
за,ный,,,ИНН,,,,,возобнов-,,,
ций,№,,,ОГРН,,,,,ления,,,
в,лицен-,,,,,,,,лицензии,,,
р-не,зии,,,,,,,,,,,
1,226,13 МЕ,"ООО ""Полет"",г.Саранск,ул.Советская,63",1326000375,"м-н ""Полет""  г. Саранск, ул. Советская, 63",7,30/06/11,89272760611,,,Купцова Елена Анатольевна,
,,001687,Всего 9,1021300974903,"м-н ""Продукты"" г. Саранск, ул. Комарова, 15",,23/06/16,30-03-16,,,Тарасова Любовь Сергеевна,
,,,,,"м-н ""ГородОК"" г. Саранск, ул. Энгельса, 17",,,47-27-40,,,,
,,,,,"м-н ""Услада"" г. Саранск, ул. Невского, 101",,,47-27-50,,,,
,,,,,"м-н ""Раздолье"" г. Саранск, ул. Попова, 69",,,89271926315,,,Купцов Виталий Николаевич,
,,,,,"м-н г. Саранск, ул. Рабочая, 102",,,,,,,
,,,,,"м-н г. Саранск, ул. Московская, 62а",,,,,,,
,,,,,"м-н ""Продукты"" г. Рузаевка, ул. Орджоникидзе, 14",,,,в.24.08.09,,,
,,,,,"м-н ""Продукты"" г. Рузаевка, ул. Беднодемьяновская, 16",,,,пр.14.08.09,,,
1,270,13 МЕ,"ОАО ""Саранск-Лада"",г.Саранск,ул.Сущинского,40",1328003149,"м-н г. Саранск, ул. Сущинского, 40",1,21/07/11,55-60-04,,,,
,,001734,,1021301112755,,,21/07/13,,,,,
1,152,13 РМ,"ООО ""Криз"", г. Саранск, ул. Пушкина, 4",1327150599,"м-н  г. Саранск, ул. Пушкина, 4",1,15/06/12,76-10-62,,,Захарова Мария Ивановна,
,,000035,,1021301070042,,,15/06/13,30-55-74,,,,
1,202,13 РМ,"ООО ""Атриум"" г. Саранск, ",1326002439,"м-н г. Саранск, ул.Московская, 72  ",1,29/06/12,47-21-95,,,Астафьева Антонина П,
,,000093,"ул.Московская, 72",1021300975079,,,29/06/13,,,,,
1,225,13 МЕ,"ООО ""Гренада"", г.Саранск, ул. Коммунистическая, 35",1326184980,"м-н ""Восток"", г.Саранск, пр.Ленина,3",1,30/06/11,47-58-84,дир,,Терентьев Андрей Леонидович,
,,001686,,1021300978236,,,30/06/14,30-47-38,адм,,Лазуткина Валентина Алексеевна,
1,129,13 МЕ,"ООО ""Кашмир"", г.Саранск, ул.Коммун-ая. 119",1326006955,"м-н г. Саранск, ул. Коммунистическая, 119",7,16/05/11,24-32-91,Пр. 3.05.07,,Волахова Ильвира Нагибовна,
,,001581,Всего - 8,1021300977862,"м-н ""Старый город"" г. Саранск, ул. Косарева, 74а",,16/05/16,24-62-55,,,Харабуров Олег Викторович,
,,,,,"м-н ""Продукты"" г. Саранск, ул. Веселовского, 12",,,47-82-45,,,Белов Александр Александрович,
,,,,,"м-н ""ГородОК"" №2 г. Саранск, ул. Коваленко, 56",,,,,,,
,,,,,"м-н ""ГородОК"" №3 г. Саранск, ул. Рабочая, 95а",,,,,,,
,,,,,"м-н ""ГородОк"" г. Саранск, ул. Пушкина, 14а",,,,,,,
,,,,,"м-н г. Саранск, ул. Полежаева, 57",,,24-62-55,,,,
,,,,,"м-н ""МартА"" с. Лямбирь, ул. Ленина, 61",,,,,,,
1,151,13 РМ,"ООО ""Лигос"" г. Саранск, ул. Веселовского, 26а",1326139761,"м-н ""Копеечка"", ул. Веселовского, 26а",2,15/06/12,76-10-62,пр.18.04.11,,Кулагина Надежда Александровна,
,,000034,,1021300986904,"магазин ""Мария"", г. Саранск, ул. Гагарина, 89",,15/06/13,89271832384,в.29.04.11,,Сизова Татьяна Валентиновна,
1,59,13 МЕ,"ООО ""Молочные продукты"", г.Саранск, ул.",1326191899,"м-н № 3, г.Саранск, ул.Попова,75",3,30/03/11,24-36-01,,,Новиков Петр Николаевич,
,,001503,"Попова, 75",1041316012836,"м-н№ 53, г.Саранск, пр.Ленина, 22",,30/03/14,30-57-66,,,,
,,,,,"м-н № 117 ,г.Саранск, ул.Коваленко, 48а",,,35-26-95,,,,
1,76,13 МЕ,"ООО ""Твой стиль"", г.Саранск, ул.Федосеенко, 4 ",1328159080,"кафе ""Мирта"".г.Саранск, ул.Федосеенко, 4",1,16/04/12,47-07-30,,,Лихорадова Светлана Васильевна,
,,002003,,1021301113701,,,16/04/13,,,,Королевцева Наталья Геннадьевна,
1,196,13 РМ,"ООО ""Техпромсвет"". г.Саранск, ул.А.Лусс, 6",1326184651,"кафе ""Камелот"". г.Саранск, ул.А.Лусс, 6",1,29/06/12,73-52-53,в.29.11.07,,Козеев Олег Леонидович,
,,000087,,1021300980755,,,29/06/13,75-55-55,пр.20.11.07,,Кулаков Эдуард Григорьевич,
1,264,13 МЕ,"ООО ""Транснефтепродукт-М"" г. Саранск,",1326188293,"пав-он №1 г. Саранск. ул. Титова, 1, стр. 2 (АЗС)",2,15/07/11,33-91-13,29-20-30,,Ирикин Олег Николаевич,
,,001728,"ул. Пролетарская, 130 ",,"м-н №2 г. Саранск, ул. Строительная, 11 (АЗС)",,15/07/12,24-88-98,30-64-02,,Гринина Ольга Ильинична,
1,61,13 МЕ,"ООО ""Киномакс-Саранск"" г. Саранск, пр. Ленина",1326183295,"кафе г. Саранск, пр. Ленина, 29",1,01/03/10,47-67-84,23-15-10 пр,,Акишева Олеся Викторовна,
,,131172,29,,,,15/09/13,23-15-10,23-15-02 ,,дежур,
1,20,13 МЕ,"ООО ""Соната"" г. Саранск, ул. Пролетарская, 39",1326195396,"кафе ""Соната"" г. Саранск, ул. Пролетарская, 39",1,15/02/12,24-39-96,,,Каршев Андрей Владимирович,
,,001941,,1051326069585,,,15/02/13,89272745519,,,,
1,418,13 МЕ,"ООО ""Мордовская водка"",г.Саранск,",1327156865,"м-н № 1, г.Саранск, пр.Ленина, 58",21,15/12/11,24-26-93,,,Ямбаева Надежда Михайловна,
,,001896,"ул.Веселовского, 62а",1031318003859,"м-н № 1 (стол заказов) г. Саранск пр.Ленина, 58",,15/03/16,24-68-75,,,,
,,,Всего 23,,"м-н № 10, г.Саранск, ул.Попова, 46",,"""-""-""-""",47-01-16,,,,
,,,,,"м-н № 3 ф-л № 1 г. Саранск, ул. Полежаева, 57",,,,,,,
,,,,,"м-н № 3 ф-л №2, г. Саранск, ул. Пролетарская. 108",,"""-""-""-""",48-06-93,,,,
,,,,,"м-н № 3, ф-л №3, г. Саранск, пр. Ленина, 17",,"""-""-""-""",,,,,
,,,,,"м-н № 3, ф-л №4 г. Саранск, ул. Ульянова, 22, корпус 1",,"""-""-""-""",,,,,
,,,,,"м-н № 3, ф-л №5 г. Саранск, ул. Рабочая, 102",,"""-""-""-""",,,,,
,,,,,"м-н № 3, ф-л №7, г. Саранск, ул. Веселовского, 27а",,"""-""-""-""",,,,,
,,,,,"м-н №3 ф-л №16 г. Саранск, ул. Васенко, 15",,"""-""-""-""",,,,,
,,,,,"м-н № 3, ф-л №10 г. Саранск, ул. Косарева (рынок пав.№31)",,"""-""-""-""",,,,,
,,,,,"м-н №3, ф-л №13 г. Саранск, ул. Веселовского, 62а(рынок ""Ринг"")",,"""-""-""-""",,,,,
,,,,,"м-н №3 ф-л № 14, г. Саранск, ул. Косарева(рынок пав.19)",,"""-""-""-""",,,,,
,,,,,"м-н №3 ф-л №15 г. Саранск, ул. Миронова, 1а (рынок ""Данко"")",,,,,,,
,,,,,"м-н №3 ф-л № 17 г. Саранск, ул. Веселовского, 53",,"""-""-""-""",24-68-75,,,,
,,,,,"м-н №3 ф-л №18 г. Саранск, ул. Красина, 1",,"""-""-""-""",,,,,
,,,,,"м-н №3 ф-л №20 г. Саранск, ул. Комарова, 2",,"""-""-""-""",,,,,
,,,,,"м-н №3 ф-л №23 г. Саранск, ул. Терешковой, 2",,"""-""-""-""",,,,,
,,,,,"магазин №3, г. Саранск, ул. Полежаева, 57",,"""-""-""-""",,,,,
,,,,,"магазин №3, филиал №11, г. Саранск, 70 лет Октября, 73в",,"""-""-""-""",,,,,
,,,,,"магазин №4, г. Саранск, ул. Терешковой, 7",,,,,,,
,,,,,"м-н № 3, ф-л №8 с. Большое Игнатово, ул. Советская, 44",,,,,,,
,,,,,"м-н № 8 филиал №1 п.Комсомольский, мкр. 2,30, Чамзинск",,,,,,,
1,214,13 МЕ,"ООО ""Торговый мир"", г.Саранск, пр.70 лет Октяб",1328901921,"м-н ""Русь-1"" г.Саранск пр.70 лет Октября, 91а",2,30/09/10,30-07-26,55-63-09,,Пеганова Лариса Романовна,
,,001346,ря 91а (банкротство),,"кафе ""Метла"", г.Саранск, пр.70 лет Октября, 91а",,27/03/14,56-92-67,,,Бояркин Владимир Николаевич,
1,26,13 МЕ,"ООО ""Вадим-С"" г. Саранск, ул. С. Разина, 23а",1326209835,"кафе ""Максимум"" г. Саранск, ул. С.Разина, 23а",1,27/02/09,30-03-81,,,Макаров Алексей Иванович,
,,000763,,,,,27/02/14,32-73-62,,,,
1,44,13 МЕ,"ООО ""Росток"" г. Саранск, ул. Ярославская, 16",1328904231,"м-н г. Саранск, ул. Ярославская, 16",1,15/03/11,55-56-02,,,Ирышкова Елена Васильевна,
,,001487,,1051328051301,,,15/03/14,,,,,
1,71,13 МЕ,"ООО ""Тридцать три"" г. Саранск, ул. Крупская, 22",1326195526,"м-н г. Саранск, ул. Крупская, 22, корп. 1",2,15/04/11,89279739395,,,Пышкова Раиса Петровна,
,,001515,корп. 1,1051326070410,"кафе ""Мориам"", г. Саранск, ул. Крупская, 22, корп. 1",,30/03/16,24-53-67,,,,
1,207,13 РМ,"ООО ""Объединение розничной торговли"" ",1328904520,"м-н ""Лидия"" г. Саранск, ул. Пушкина, 14",11,29/06/12,30-66-40,,,Селезнев Александр,
,,000098,"г. Саранск, Александровское ш. 7 ",1061328000140,"м-н ""Продукты"" г. Саранск, ул. Котовского, 48",,15/03/13,29-36-53,,,Колмогоров Алексей Валерьевич,
,,,Всего - 112,,"м-н г. Саранск, ул. Металургов, 5а",,,29-43-09,,,Коновалова Светлана Евгеньевна,
,,,,,"магазин ""Продукты"", г. Саранск, ул. Семашко, 13 а",,,,,,,
,,,,,"магазин ""Продукты"", г. Саранск, ул. Титова, 24",,,,,,,
,,,,,"магазин ""Продукты"", г. Саранск, п. Луховка, ул. Садовая, 165",,,,,,,
,,,,,"магазин ""Продукты"", г. Саранск, ул. Пролетарская, 144",,,,,,,
,,,,,"магазин ""Зеленая долина"", г. Саранск, ул. Осипенко, 8",,,,,,,
,,,,,"магазин ""Продукты"", г. Саранск, ул. Ролежаева, 50",,,,,,,
,,,,,"магазин ""Рассвет"", г. Саранск, ул. Полежаева, 111",,,,,,,
,,,,,"магазин ""Пальма"", г. Саранск, ул. Ульянова, 20а",,,,,,,
,,,,,"м-н ""Продукты"" г. Рузаевка, ул. Петрова, 22",,,,,,,
,,,,,"м-н ""Атаман"" с. Р. Давыдово, ул. Пролетарская, 57, Кочкур ",,,,,,,
,,,,,"бар, с. Сабаево, Кочкуровский район (база отдыха)",,,,,,,
,,,,,"магазин ""Умарина"", с. Кочелай, ул. Центральная, 1, Кочкуровский район",,,,,,,
,,,,,"магазин ""Сурские зори"", с. М.Давыдово, ул. Центральная, 12 б",,,,,,,
,,,,,"магазин ""Валдоне"", с. М.Давыдово, ул. Московская, 43 а, Кочкуровский район",,,,,,,
,,,,,"м-н ""Теремок"" с. Дубенки, ул. Центральная, 5а",,,,,,,
,,,,,"м-н ""24 часа"" с. Дубенки, ул. Бровцева, 121а",,,,,,,
,,,,,"м-н ""Сточа"" с. Дубенки, ул. Коммунистическая, 2а",,,,,,,
,,,,,"м-н ""Аленушка"" с. Дубенки, ул. Бровцева, 15а",,,,,,,
,,,,,"м-н Теремок-2"" с. Дубенки, ул. Комсомольская, 2а",,,,,,,
,,,,,"м-н ""Молодость"" с. Кочкурово, ул. Ленина, 4, Дубенский",,,,,,,
,,,,,"м-н ""Продукты"" с. Ломаты, ул. Ленина, 62, Дубенский",,,,,,,
,,,,,"м-н ""Удача-3"" с. Пуркаево, ул. Пуркаева, 61, Дубенский",,,,,,,
,,,,,"м-н ""Молодость 2"" с. Поводимово, ул. Садовая, 1а, Дубенск",,,,,,,
,,,,,"м-н ""Продукты"" с. Енгалычево, ул. Гагарина, 7, Дубенск",,,,,,,
,,,,,"магазин ""Елка"", с. Поводимово, ул. Ленина, 64а, Дубенский район",,,,,,,
,,,,,"магазин ""Чеберчинка"", с. Чеберчино, ул. Большая, 23 а, Дубенский район",,,,,,,
,,,,,"магазин ""Лейне"", с. Дубенки, ул. Манина, 157 а",,,,,,,
,,,,,"магазин ""Продукты"", с. Енгалычево, ул. Лесная, 1а, Дубенский район",,,,,,,
,,,,,"магазин ""Продукты"", с. Дубенки, ул. Бровцева, 134а",,,,,,,
,,,,,"м-н ""Чайка"" г. Ковылкино, ул. Пролетарская, 24",,,,,,,
,,,,,"м-н ""Продукты"" г. Ковылкино, ул. Саранская, 2а",,,,,,,
,,,,,"магазин ""Продукты"", с. Троицк, ул. Куйбышева, 1, Ковылкинский ",,,,,,,
,,,,,"м-н ""Катюша-1"" п. Атяшево, ул. Октябрьская, 13",,,,,,,
,,,,,"м-н ""Катюша-3"" п. Атяшево, ул. Ленина, 30, 1",,,,,,,
,,,,,"м-н ""Катюша-2"" п. Атяшево, ул. Мира, 11",,,,,,,
,,,,,"м-н ""Татьяна"" с. Лобаски, ул. К.Маркса, 1б, Атяшевс",,,,,,,
,,,,,"м-н ""Продукты"" с. Ушаковка, ул. Горюнова, 60а, Атяшевс",,,,,,,
,,,,,"м-н ""Ольга"" п. Атяшево, ул. Центральная, 96а",,,,,,,
,,,,,"м-н Стрелеция"" п. Атяшево, ул. Мелиораторов, 6а",,,,,,,
,,,,,"м-н ""Продукты"" с. Челпаново, ул. Ленина, 30а, Атяшевск",,,,,,,
,,,,,"м-н ""Продукты"" с. Андреевка, ул. Буденного, 57, Атяшевский",,,,,,,
,,,,,"магазин ""Продукты"", с. Чукалы на Вежне, ул. Кр. Слобода, 5, Атяшевский",,,,,,,
,,,,,"магазин ""Ирина-3"", с. Морд. Дубровки, ул. Октябрьская, 88, Атяшевский",,,,,,,
,,,,,"магазин ""Елизавета"", с. Дюрки, Атяшевский район",,,,,,,
,,,,,"магазин ""Продукты"", с. Атяшево, ул. Октябрьская, 86, Атяшевский",,,,,,,
,,,,,"магазин ""Продукты"", с. Атяшево, пер. Советский, 9а, Атяшевский",,,,,,,
,,,,,"м-н ""Надежда"" с. Тарасово, ул. Красная, 11, Атяшевский",,,,,,,
,,,,,"м-н ""У Петровича"" с. Копасово, ул. Центральная, 77, Атяшевс",,,,,,,
,,,,,"м-н ""Продукты"" п. Атяшево, ул. Гражданская, 2в",,,,,,,
,,,,,"м-н ""Ирина-3"" с. Б.Манадыши, ул. Первомайская, 1в, Атяшевский",,,,,,,
,,,,,"м-н ""Надежда-2"", с. Атяшево, ул. Советская, 1а, Атяшевский",,,,,,,
,,,,,"м-н ""Максим"", с. Покровское, ул. Центральная, 3, Атяшевский р-н",,,,,,,
,,,,,"магазин ""Катюша 4"", с. Батушево, ул. Терешковой, 13, Атяшевский район",,,,,,,
,,,,,"магазин ""Елена"", п. Атяшево, ул. Центральная, 38",,,,,,,
,,,,,"магазин ""Петровский"", с. Сабанчеево, ул. Советская, 2а, Атяшевский район",,,,,,,
,,,,,"магазин ""Продукты"", п. Атяшево, мкр., 2, 11а",,,,,,,
,,,,,"м-н с. Турдаково, ул. Школьная, 19, Ардатовский р-н",,,,,,,
,,,,,"м-н ""Татьяна"" п. Лесозавод, 14, Ардатовский р-н",,,,,,,
,,,,,"м-н ""Катюша"" с. Баево, ул. Советская, 121. Ардатовс.",,,,,,,
,,,,,"м-н ""Олак"" с. Низовка, ул. Одере, 8, Ардатовский",,,,,,,
,,,,,"м-н ""Вастома"" г. Ардатов, ул. Эрзи, 6а",,,,,,,
,,,,,"м-н ""МариАнна"" с. Каласево, ул. Нижняя, 25а, Ардат",,,,,,,
,,,,,"м-н ""МариАнна"" с. Кечушево, ул. Фрунзе, 1а, Ардат",,,,,,,
,,,,,"м-н ""МариАнна 3"" с. Кученяево, ул. Полевая, 5, Ардатовс",,,,,,,
,,,,,"м-н ""Такт"" с. Урусово, ул. Ленина, 62а, Ардатовский",,,,,,,
,,,,,"м-н ""Экспресс"" п. ст. Ардатов, ул. Центральная, 13, Ардатовск",,,,,,,
,,,,,"м-н ""МариАнн-4"" ст. Ардатов, ул. Центральная, 14, Ардатовский",,,,,,,
,,,,,"магазин ""Ольга"", г. Ардатов, мкр., 1, 29",,,,,,,
,,,,,"м-н ""Низовка"", с. Низовка, ул. Школьная, 37, Ардатовский район",,,,,,,
,,,,,"магазин ""Дружба"", г. Ардатов, мкр., 2, д. 18",,,,,,,
,,,,,"магазин ""Марианна 5"", с. Чукалы, ул. Советская, 52, Ардатовский район",,,,,,,
,,,,,"магазин ""Продукты"", с. Каласево, ул. Нижняя, 70, Ардатовский район",,,,,,,
,,,,,"м-н ""Дельфин"" с. Б.Игнатово, ул. Гражданская, 14в",,,,,,,
,,,,,"м-н ""Лариса"", с. Андреевка, ул. Первомайская, 60, Б.Игнатовский",,,,,,,
,,,,,"м-н ""Визит"" п. Ромоданово, ул. Касаткина, 3",,,,,,,
,,,,,"м-н ""Катя"" п. Ромоданово, ул. Заводская, 56 а",,,,,,,
,,,,,"м-н ""Продукты"" п. Садовский, ул. Центральная, 86а, Ромодановский",,,,,,,
,,,,,"м-н ""Катя-2"", п. Ромоданово, ул. Ленина, 214, Ромодановский район",,,,,,,
,,,,,"магазин ""Визит"", п. Ромоданово, ул. Вокзальная, 18",,,,,,,
,,,,,"магазин ""Продукты"", с. Пушкино, ул. Школьная, 3, Ромодановский район",,,,,,,
,,,,,"магазин ""Продукты"", п. Ромоданово, ул. Пушкина, 23",,,,,,,
,,,,,"магазин ""Продукты"", п. Ромоданово, ул. Центральная, 13",,,,,,,
,,,,,"магазин ""Продукты"", п. Ромоданово, ул. А.Лусс, 14",,,,,,,
,,,,,"магазин ""Продукты"", п. Махоркосовхоз, ул. Южная, 10, Ромодановский район",,,,,,,
,,,,,"м-н ""Продукты"" п. Кадошкино, ул. Пушкина, 36",,,,,,,
,,,,,"м-н ""Огонек"" п. Кадошкино, ул. Октябрьская, 7",,,,,,,
,,,,,"м-н ""Гельнур"", с. Б.Поляна, ул. Ленина, 10, Кадошкинский район",,,,,,,
