,,,,,,,,,,,,,,,,,,,,,,,
,,Реестр лицензий для Росалкогольрегулирования по состоянию на 31 июля 2012 г.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,№ п/п,"Наименование организации, организационно-правовая форма",ИНН организации,КПП организации,Место нахождение организации,Адрес электронной почты,Адрес осуществления лицензируемого вида деятельности обсобленным подразделением организации,КПП обособленного подразделения,Код субъекта РФ по месту нахождения организации,Код субъекта РФ по месту осуществления лицензируемого вида деятельности обособленным подразделением организации,Вид лицензируемой деятельности,Вид продукции,Номер лицензии,"Наименование лицензирующего органа, выдавшего лицензию","Дата выдачи лицензии (месяц, число, год)","Дата окончания действия (месяц, число, год)","Дата приостановления действия (месяц, число, год)","Дата возобновления действия (месяц, число, год)","Дата прекращения действия (месяц, число, год)","Дата аннулирования (месяц, число, год)",Статус лицензии,Дата изменения статуса
,,1,2,3,4,5,7,8,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,,1,"Общество с ограниченной ответственностью ""Байкал-Альянс""",0323350531,032301001,"670013, Бурятия Респ, Улан-Удэ г, Жердева ул, дом № 138",alyans.baikal@mail.ru,"670034, Бурятия Респ, Улан-Удэ г, Х.Намсараева ул, дом № 7 а ресто-бар ""Че Гевара""
670034, Бурятия Респ, Улан-Удэ г, Х.Намсараева ул, дом № 7 а ресто-бар ""Че Гевара""",,03,03,Розничная продажа алкогольной продукции,Алкогольная продукция,0588,Республиканская служба по потребительскому рынку и лицен.,06.01.2010,06.01.2015,,,,,Выдана,06.01.2010
,,4,"Общество с ограниченной ответственностью ""КРИСТАЛЛ""",0318033248,031801001,"671195, Бурятия Респ, Селенгинский р-н, Тохой у, Фрунзе ул, дом № 1",oookristallchernyh@mail.ru,"670000, Бурятия Респ, Селенгинский р-н, южное побережье озера ""Щучье"", 1,3 км. от пансионата ""Любимый"" магазин ""Чайка""
670000, Бурятия Респ, Селенгинский р-н, южное побережье озера ""Щучье"", 1,3 км. от пансионата ""Любимый"" магазин ""Чайка""
671195, Бурятия Респ, Селенгинский р-н, Тохой у, Кооперативная ул, дом № 13 магазин ""Березка""
671195, Бурятия Респ, Селенгинский р-н, Тохой у, Кооперативная ул, дом № 13 магазин ""Березка""
671195, Бурятия Респ, Селенгинский р-н, Тохой у, Цыденова ул, дом № 1 магазин ""Продукты""
671195, Бурятия Респ, Селенгинский р-н, Тохой у, Цыденова ул, дом № 1 магазин ""Продукты""
671195, Бурятия Респ, Селенгинский р-н, Тохой у, Ленина ул, дом № 7 магазин ""Сказка""
671195, Бурятия Респ, Селенгинский р-н, Тохой у, Ленина ул, дом № 7 магазин ""Сказка""
671195, Бурятия Респ, Селенгинский р-н, Тохой у, Ленина ул, дом № 9 магазин ""Урял""
671195, Бурятия Респ, Селенгинский р-н, Тохой у, Ленина ул, дом № 9 магазин ""Урял""
671195, Бурятия Респ, Селенгинский р-н, Тохой у, Горького ул, дом № 12 магазин Виктория""
671195, Бурятия Респ, Селенгинский р-н, Тохой у, Горького ул, дом № 12 магазин Виктория""",,03,03,Розничная продажа алкогольной продукции,Алкогольная продукция,0586,Республиканская служба по потребительскому рынку и лицен.,05.26.2010,05.26.2015,,,,,Выдана,05.26.2010
,,5,"Общество с ограниченной ответственностью ""У Татьяны""",0323339129,032301001,"670031, Бурятия Респ, Улан-Удэ г, 113-й кв-л, дом № 1-54",tfominova@mail.ru,"671120, Бурятия Респ, Тарбагатайский р-н, Саянтуй п/ст, Железнодорожная ул, дом № 8 закусочная ""У Татьяны""
671120, Бурятия Респ, Тарбагатайский р-н, Саянтуй п/ст, Железнодорожная ул, дом № 8 закусочная ""У Татьяны""",,03,03,Розничная продажа алкогольной продукции,Алкогольная продукция,0190,Республиканская служба по потребительскому рынку и лицен.,10.27.2008,10.27.2013,,,,,Выдана,10.27.2008
,,6,"Общество с ограниченной ответственностью ""Нива""",0303007968,030301001,"671382, Бурятия Респ, Бичурский р-н, Петропавловка с, Гагарина ул, дом № 58",iosifoviz68@bk.ru,"671382, Бурятия Респ, Бичурский р-н, Петропавловка с, Гагарина ул, дом № 50 магазин ""Нива""
671382, Бурятия Респ, Бичурский р-н, Петропавловка с, Гагарина ул, дом № 50 магазин ""Нива""",,03,03,Розничная продажа алкогольной продукции,Алкогольная продукция,0739,Республиканская служба по потребительскому рынку и лицен.,03.01.2011,03.01.2016,,,,,Выдана,03.01.2011
,,7,"Общество с ограниченной ответственностью ""Авангард""",0326495648,032601001,"670023, Бурятия Респ, Улан-Удэ г, Мерецкова ул, дом № 54-20",bandeeva.tuyana@mail.ru,"670000, Бурятия Респ, Улан-Удэ г, Ленина ул, дом № 38-40 Кафе ""Кардинал""
670000, Бурятия Респ, Улан-Удэ г, Ленина ул, дом № 38-40 Кафе ""Кардинал""",,03,03,Розничная продажа алкогольной продукции,Алкогольная продукция,0751,Республиканская служба по потребительскому рынку и лицен.,03.21.2011,03.21.2016,,,,,Выдана,03.21.2011
