"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Братский район""",,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,
,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями)
1,2,3,4,5,6,7,8,9,10
1,"ОАО
«Аэропорт Братск»
ИНН 3805104706
","МНС России № 15 по Иркутской области 
серия 38 № 001010044
","А 194666 № 68                                                                                                                                                                                                                                                                                                                                  18.04.12.                                                                                                                                                                                                                                                                                                                                           13.07.13.                                                                                                                                                                                                                                                                                                                                              Взамен                                                                                                                                                                                                                                                                                                                                        А-194487, № 553
13.07.08.
13.07.13.

","г.Братск, Аэропорт
буфет, 
бар международного отдела
цех бортового питания
",,,,,
2,"ООО «У Петровича»
ИНН
3823017911
","МНС России № 11 по Иркутской обл. 
серия 38 № 000195492
","А-194595, №  577
30.12.08.               30.12.13.
","г.Вихоревка
ул.О. Кошевого, 5
магазин «У Петровича»
",,,,,
3,"ООО «Мотель»
ИНН
3823030140
","МНС России № 17 по Иркутской области 
серия 38 № 000194626
"," А-194633, № 173                   14.12.10.                        01.02.11.               Продлена                             02.02.11.                           02.02.14.                                   ","п.Сосновый
ул.Школьная 10
магазин ""Надежда"".
д. Худобок
ул.Центральная 39 а
магазин «Мотель»
с.Александровка
ул. Школьная 14 а
магазин «Надежда»
д. Воробьево, 5
магазин при гостинице           ""Дорожная""
",,,,,
4,"ООО «Альянс»
ИНН
3823018496
","МНС России № 11 по Иркутской области 
 серия 38 № 002398840
","А-194581, № 78
29.04.08.
27.05.11.                 Продлена по                27.05 12.
","г.Вихоревка
ул.Доковская 1 а
маг. «Центр+»
ул.Папанина,7
маг. «Аксой»
ул.Горького,25
маг. «Динар»
ул.Дзержин. 127»б»
торговый центр «Альянс», кафе ""Фараон"" ",,,28.05.12.,,
5,"ООО «Парламент»
ИНН
3823018665
","МНС России  № 11по 
Иркутской обл. 
серия 38 № 002398954
","А-194521, № 8
07.07.06.
07.07.11.             Продлена по          07.07.12.
","г. Вихоревка
ул.Горького 2 «а»
магазин «Анкор»;
ул.Снежная 32
маг. «Михалыч»
",,,7/7/2012,,
6,"ООО «Ювис»
ИНН
3823030408
","МНС России  № 11по 
Иркутской обл. 
серия 38 № 002399086
","А 194659 № 59                         01.12.11.                                    07.07.12.                                                   Продлена  по                    07.07.12.
","г. Вихоревка
ул. Ленина 29
магазин «Бакор»;
ул.Школьная 13
магазин № 2;
ул. Горького 7
маг. «Винный погреб»;
ул. Ленина 14»а»
маг. «Славянский»;
ул.Маяковского 2а
маг. «Катюша»;
ул.Пионерская 35б
маг. «Фаворит»;
г. Братск
ул.Кирова 30 «а»
магазин № 7; 

",,,7/7/2012,,
7,"ООО «ВЕГАС»
ИНН
3823019027
","МНС России  № 11по 
Иркутской обл. 
серия 38 № 002399382
","А 194650 № 28                    17.06.11.                          07.07.11.                      Взамен                       А-194522, № 10
07.07.06.
07.07.11.           Продлена  по           17.07.14.
","с.Кузнецовка
ул.Депутатская, 20
магазин;
п. Тарма
ул. Набережная,1а
магазин;
СОК «Тимирязевец"" 35 км,          магазин;
СОК «Восход» 36 км,                  магазин;
СОК «Лесохимик"" 37 км,             магазин.
",,,,,
8,"ООО «АМТЕС»
ИНН
3823017943
","МНС России  № 11по 
Иркутской обл. 
серия 38 № 002423096
"," А-194635, № 175                        17.12.10.                          07.07.11.          Продлена по            07.07.12.                                       ","с.Кузнецовка
ул.Депутатская, 3 а
магазин.
",,,7/7/2012,,
9,"ООО «Радуга»
ИНН
3823018672
","МНС России  № 11по 
Иркутской обл. 
серия 38 № 002398973
","А-194524, № 12
07.07.06.
07.07.11.                    Продлена по                07.07.12.
","п. Турма
ул. Нагорная, 3
магазин «Радуга»

",,,7/7/2012,,
10,"ООО «Водолей
ИНН
3823019147
","МНС России  № 11по 
Иркутской обл. 
серия 38 № 002399433 
","А-194645, №15                        07.04.11.                            12.07.11.                       Продлена по                    12.07.12.      
","г.Вихоревка
ул. Ленина, 39                     отд. в маг. «Дом Еды»;
ул. Пионерская, 37 в
отд.в маг. «Водолей
",,,7/12/2012,,
11,"ООО «Таежник»
3823019034
","МНС России  № 11по 
Иркутской обл. 
серия 38 № 002399323
","А-194527, № 15
18.07.06.
18.07.11.              Продлена по                   18.07.12.
","п. Турма
ул. Калинина 15
отдел в магазине.

",,,7/19/2012,,
12,"ООО «ВЕГА»
ИНН
3823018400
","МНС России  № 11по 
Иркутской обл. 
серия 38 № 002399323
","А-194528, № 16
18.07.06.
18.07.11.                Продлена по                     18.07.13.
","п. Озерный
ул. Мира 22
магазин
",,,,,
13,"ООО «Байкал»
ИНН
3823018908
","МНС России  № 11по 
Иркутской обл. 
серия 38 № 002399230
","А-194529, № 17
19.07.06.
18.07.11.            Продлена  по                  18.07.12.
","г. Вихоревка
ул. Горького, 12
магазин «Байкал»
",,,7/18/2012,,
14,"ООО «Дарья
ИНН
3823018263
","МНС России  № 11по 
Иркутской обл. 
серия 38 № 000195594
","А-194530, № 18
21.07.06.
20.07.11.                Продлена по                 20.07.12.
","г. Вихоревка
ул. Пионерская 24 а
магазин «Дарья»
",,,7/20/2012,,
15,"ООО «Престиж»
ИНН
3823018859
","МНС России  № 11по 
Иркутской обл. 
серия 38 № 002399102
","А-194611, № 116
30.07.09.
19.07.11.               Продлена по                 19.07.12.
","г.Вихоревка
ул.Горького 2
отд.в маг. «Надежда"",
ул.Дзержинского 66 «б»
отд. в «Торговом доме»

",,,7/20/2012,,
16,"ООО «Прогресс-Авиа»
ИНН
3805113130
","МНС России  № 15по 
Иркутской обл. 
серия 38 № 002399102
","А-194532, № 20
20.07.06.
20.07.11.               Продлена по                   20.07.12.
","Братский район
аэропорт
гост. Комплекс «Пилот»,закусочная
",,,7/20/2012,,
17,"ООО «Лидия»
ИНН
3823019115
","МНС России  № 11по 
Иркутской обл. 
серия 38 № 002399348

","А-194626, № 149
30.03.10.
20.07.11.                Продлена по                20.07.12.                     
","п. Добчур
ул. Ленина,2
маг. «Родник»;
ул.Некрасова 1
маг. «Диана»;
с. Покосное.
ул. Западная 2
отд. в магазине «Медвежий угол»
",,,7/20/2012,,
18,"ООО «Артур»
ИНН
3823018961
","МНС России  № 11по 
Иркутской обл. 
серия 38 № 002399348
","А-194534, № 22
21.07.06.
20.07.11.             Продлена по                20.07.12.
","г.Вихоревка
ул.Октябрьская 2 а
магазин «Артур»

",,,7/20/2012,,
19,"ООО «Георгий
ИНН
3823019179
","МНС России  № 11по 
Иркутской обл. 
серия 38 № 002399440
","А-194541, № 29
28.07.06.
27.07.11.            Продлена по                27.07.12.
","г. Вихоревка
ул.Комсомольская 10 «а»
магазин «Георгий»
",,,7/27/2012,,
20,"ООО «ФАВОРИТ»
ИНН
3823019186
","МНС России  № 11по 
Иркутской обл. 
серия 38 № 002399441
"," А-194632, № 172                           14.12.10.                                27.07.11.                   Продлена по 27.07.12.        ","г.Вихоревка
ул. Советская
магазин «Привет»;
ул. Пионерская 16 а
магазин «Викинг»;
ул.Дзержинского 89
отдел в маг. № 21;
ул. Советская, 57                              отдел в магазине;                         ул. Дзержинского, 91,                       отдел в магазине № 26",,,7/27/2012,,
21,"ООО «ПАВА»
ИНН
3823020223
","МНС России  № 11по 
Иркутской области
серия 38 № 002422628
","А-194646, № 16                         15.04.11.                          06.04.12.                      
","
п.Зяба
ул. Солнечная 14
отдел в магазине 
«Лучший»
п. Боровской
ул. Центральная 7
отд. в маг «Рассвет»
",,,07.04.12.,,
22,"ООО «Строительно-коммерческая фирмаАтлант»
ИНН
3823010024
","МНС России  № 11по 
Иркутской обл.
серия 38 № 002399917
","А-194558, № 48
13.04.07.
13.04.12.
","г. Вихоревка
ул.Дзержинского, городской рынок, закусочная
",,,14.04.12.,,
23,"ООО «Березка»
ИНН
3823030609
","МНС России  № 11по 
Иркутской обл. 
Серия 38 № 002423122
","А-194561, № 51
08.05.07.
08.05.12.
","г. Вихоревка
ул.Нефтяников 10 б 
отд. в маг «Березка»
",,,09.05.12.,,
24,"ООО «Движение»
ИНН
3805705866
","МИФНС № 15 по Иркутской обл. 
Серия 38 № 002391087
","А194620, № 138
18.12.09.
22.05.12.
","г. Вихоревка
ул. Кошевого 26 «а»
магазин «Гурман»
",,,23.05.12.,,
25,"ООО «Меркурий»
ИНН
3823030486
","МНС России  № 11по 
Иркутской обл.
Серия 38 № 002422923
","А-194564, № 54
31.05.07.
31.05.12.
","с. Тэмь
ул. Ленина 19 «а»
магазин «Шукюр»
",,,6/1/2012,,
26,"ООО «ПиК»
ИНН 3823019066
","МНС России  № 11по 
Иркутской обл.
Серия 38 № 002399389
","
А-194629, № 158
23.07.10
19.10.12.                             
","п. Кежемский
ул.Октябрьская 29
отд.в маг. «ПиК»
",,,,,
27,"ООО «НАТАН»
ИНН
3823031183
","МНС России  № 11по 
Иркутской обл.
Серия 38 № 002678128
","А-194624, № 145
17.02.10.
25.12.12.                                              
","с. Тангуй
ул. Мира 34, пом. 3
отдел в магазине
«Мечта»
",,,,,
28,"ЗАО «Иркутскнефтепродукт»
ИНН
3800000742
",ИФНС налоговой службы по Правобережному округу г. Иркутска,"                            38 МЕ 003609                    АН00432Пр9                       11.01.08.                           10.01.13.
","г.Вихоревка.
кольцо а/д»Братск-Вихоревка-Турма-Чуна», магазин
",,,,,"Администрация 
г. Иркутск.
"
29,"ООО 
«Сириус»
ИНН
3823013353 
","МНС  России № 11 по Иркутской области  
Серия 38 № 002399264
","А-194580, № 77
21.02.08.
21.02.13.
","г. Вихоревка
ул.Ленина 17
кафе «Галактика»
",,,10.04.2012.,,
30,"БПО “Кооператор”.
ИНН 3823042636
","МНС  России № 11 по Иркутской области  
серия 38 № 000456193
","А-194608, № 112
01.07.09.
05.04.13.
",с.Илир                                                                                                                                                                                                                                                                                                                                         ,,,,,
,,,,ул.Дзержинского,,,,,
,,,,магазин  «Росинка»;,,,,,
,,,,"с.Тангуй,                                                                                                                                                                                                                                                                                       ",,,,,
,,,,ул.Мира 24                                                                                                                                                                                                                                                                                     ,,,,,
,,,,магазин 2;,,,,,
,,,,с.Тангуй  ,,,,,
,,,,"  ул.Мира, 24",,,,,
,,,, закусочная;,,,,,
,,,,с. Тангуй,,,,,
,,,,"ул. Кирова 9,",,,,,
,,,,магазин № 3;,,,,,
,,,,"с. Александровка,                                                                                                                                                                                                                                                                                 ",,,,,
,,,,ул. Центральная 14а                                                                                                                                                                                                                                                                          ,,,,,
,,,,магазин № 8;,,,,,
,,,,с. Кобляково  ,,,,,
,,,," ул.Молодежная 9,",,,,,
,,,,закусочная;,,,,,
,,,,с.Покосное ,,,,,
,,,," ул.Парковая,30",,,,,
,,,,магазин № 6;,,,,,
,,,,с.Покосное                                                                                                                                                                                                                                                                                          ,,,,,
,,,,"ул. Южная,22",,,,,
,,,,магазин № 5;,,,,,
,,,,с.Тэмь,,,,,
,,,,"  ул.Мира 23,",,,,,
,,,,магазин № 11;,,,,,
,,,,д Барчим   ,,,,,
,,,," ул.Мира 32,   ",,,,,
,,,, магазин № 12,,,,,
,,,,д. Новое Приречье  ,,,,,
,,,," ул.Березовая 36,",,,,,
,,,,магазин № 15;,,,,,
,,,,д.Худобок ,,,,,
,,,,"ул Центральная 39а,",,,,,
,,,,магазин № 9;,,,,,
,,,,с.Зарбь      ,,,,,
,,,," ул.Центральная 65,",,,,,
,,,,магазин № 11;,,,,,
,,,,п Добчур  ,,,,,
,,,,"ул.Победы,4/1",,,,,
,,,,магазин № 12;,,,,,
,,,,с.Кобь ,,,,,
,,,,"ул.Набережная,2",,,,,
,,,,магазин № 2;,,,,,
,,,,д.Бада        ,,,,,
,,,,"ул.Центральная 25,",,,,,
,,,,магазин № 10;,,,,,
,,,,"с.Илир                                                                                                                                                                                                                                                                                      ул.Ленина 21,                                                                                                                                                                                                                                                                              магазин № 4;",,,,,
,,,,п.Луговое ,,,,,
,,,,ул.Таежная 32-1,,,,,
,,,,магазин № 5;,,,,,
,,,,"д.Кардой                                                                                                                                                                                                                                                                             ул.Трактовая 71,",,,,,
,,,,магазин № 11;,,,,,
,,,,"с.Дубынино                                                                                                                                                                                                                                                                      ул.Центральная 11,",,,,,
,,,,магазин № 9;,,,,,
,,,,"с. Кузнецовка                                                                                                                                                                                                                                                                                  ул.Почтовая, 2;",,,,,
,,,,магазин № 12,,,,,
,,,,с.Кобляково,,,,,
,,,," ул.Погодаева 6,",,,,,
,,,,магазин № 6,,,,,
,,,,"с.Кобляково ул.Молодежная. 9,",,,,,
,,,,магазин № 8,,,,,
,,,,"с.Ключи-Булак ул.Молодежная15-1,",,,,,
,,,,магазин № 3,,,,,
,,,,д.Леоново,,,,,
,,,," ул.Погодаева 34,",,,,,
,,,,магазин № 4,,,,,
,,,,д.Леоново,,,,,
,,,, ул.Садовая5,,,,,
,,,,магазин № 7.,,,,,
,,,,"с.Илир,",,,,,
,,,, ул.Дзержинского 2.,,,,,
,,,,закусочная,,,,,
,,,,"п.Бурнинская Вихоря ул.Центральная10,          магазин № 7",,,,,
,,,,с.Калтук,,,,,
,,,,Ленина 46 а,,,,,
