"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Нукутский район""",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
1,"ООО ""РОСПАК- БАЙКАЛ""     8506005248",Межрайонная инспекция МНС России №7 по Усть-Ордынскому Бурятскому автономному округу,38 МЕ 003062 №24 от 13.04.2012 г. до 12.04.2013,"п.Новонукутский ул.Хангалова 2 А вино-водочный отдел торговый центр ""Байкал""",,,,,,
,,,,"п.Залари ул.Красина, 33",,,,,,
,,,,"г.Усолье-Сибирское ул.Карла Маркса, 18 отдел",,,,,,
,,,,г.Ангарск квартал 215 строение 15 помещение 2 отдел,,,,,,
,,,,"г.Иркутск ул.Рабочего Штаба, 27 магазин и склад",,,,,,
,,,,"г.Братск, П 12 07 01 00, отдел",,,,,,
2,"ООО ""Гауди""            8504003975",Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области и Усть-Ордынскому Бурятскому автономному округу,  38 МЕ 003055 №18 от 11.07.2011 г. до 04.12.2012 г. ,"п.Новонукутский, ул.Гагарина 5-3, отдел в м-не Меркурий    ",,,,,,
,,,,"п.Новонукутский, ул.Байкальская 15    отдел в м-не Меркурий ",,,,,,
,,,,"с.Тангуты ул.Заводская,6 отдел в  м-не Меркурий                ",,,,,,
,,,,с.Первомайское ул.Ленина 39  отдел в м-не Меркурий  ,,,,,,
,,,,"с.Новоленино, ул.Гагарина, 19 отдел в м-не Меркурий  ",,,,,,
,,,,с.Хареты ул.Центральная 36-3 отдел в м-не Меркурий        ,,,,,,
,,,,д.Большебаяновская ул.Центральная 15 отдел в м-не Меркурий ,,,,,,
,,,,"с.Нукуты ул.Октябрьская,22 отдел в м-не Меркурий,   ",,,,,,
,,,,"с.Заречный ул.Шоссейная 2б отдел в м-не Меркурий, ",,,,,,
,,,,"п.Балаганск ул.Ленина.16, отдел в м-не ""Меркурий""",,,,,,
,,,,"п.Залари, ул.Ленина, 49 А отдел в м-не ""Меркурий",,,,,,
,,,,"п.Залари, ул.Ленина, 105 А отдел в м-не ""Меркурий",,,,,,
,,,,"п.Тыреть 1-я мкр.Солерудник отдел в м-не ""Меркурий",,,,,,
3,"ООО""Семенов""        8504004344   ",Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области и Усть-Ордынскому Бурятскому автономному округу,135-РАП 38 МЕ 000694 от 04.10.2011 г. до 04.10.2014 г.,с.Куйта ул.Центральная     м-н Ольга ,,,,,Лицензионная палата Усть-Ордынского Бурятского автономного округа,
,,,,с.Новоленино ул.Трактовая 22     м-н Галина,,,,,,
,,,,с.Хареты ул.Беляевская 27    м-н Галина,,,,,,
4,ОАО Нукутское РТП                              8504000318,ГНИ по Нукутскому району,38 МЕ 003058 №21 от 29 декабря 2011 г. до 21 июля 2014 г.,"с.Алтарик ул.Школьная,17 м-н ОАО ""Нукутское РТП""",,,,,,
5,"ООО""Ургы-Сервис""   8504004016",Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области и Усть-Ордынскому Бурятскому автономному округу,А 228803  №12 от 19.12.2010 г.до 19.12.2015 г. ,"п.Новонукутский  ул.Ленина 25 отдел в м-не ""Ургы""",,,,,,
,,,,"п.Новонукутский  ул.Гагарина 19 отдел в  м-не ""Ургы"" ",,,,,,
,,,,"п.Новонукутский   ул.Шолохова 3 отдел в м-не ""Ургы""",,,,,,
,,,,"с.Первомайское, ул.Ленина, 41 отдел в м-не ""Ургы"" ",,,,,,
,,,,"с.Новоленино, ул.Советская отдел в м-не ""Ургы""",,,,,,
