"Сводный реестр выданных, приостановленных и аннулированных лицензий на розничную торговлю алкогольной продукцией
за период с 01.09.2012 г.  по 01.10.2012 г.",,,,,,,,,,,,,,,,,,,,,,
"
Министерство внешнеэкономических связей, туризма и предпринимательства  Амурской области",,,,,,,,,,,,,,,,,,,,,,
(наименование органа исполнительной власти субъекта РФ),,,,,,,,,,,,,,,,,,,,,,
№ п/п,"Наименование организации, организационно-правовая форма",ИНН организации,КПП организации,Место нахождения организации,Адрес электронной почты,Адрес осуществления лицензируемого вида деятельности обособленным подразделением организации,КПП обособленного подразделения организации,Код субъекта РФ по месту нахождения организации,Код субъекта РФ по месту осуществления лицензируемого вида деятельности обособленным подразделение организации,Вид лицензируемой деятельности,Вид продукции,Номер лицензии,Наименование лицензирующего органа выдавшего лицензию,Дата выдачи лицензии,Дата окончания действия лицензии,Дата приостановления действия лицензии,Дата возобнавления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Статус лицензии,Дата изменения статуса,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,
1,"МУП ""Экспресс города Белогорска""",2804001537,280401001,676850 Амурская область г.Белогорск  1-ая Вокзальная 16,,"Кафе ""Экспресс"" г.Бе-
логорск  ул. 1-ая Вок-
зальная 16",280401001,28,28, розничная продажа алкогольной продукции,с содержанием этилов,МЕ 004531,"
Министерство внешнеэкономических связей, туризма и предпринимательства  Амурской области",13.09.2012,12.03.2013,,,,,,,
2,"ОАО ""ЖТК""",7708639622,770801001,107228  г. Москва  Новорязанская 12,,"Магазин № 2 Архари-
нский район п.Архара
ул. Ленина 64",,28,28, розничная продажа алкогольной продукции,,МЕ 004519,"
Министерство внешнеэкономических связей, туризма и предпринимательства  Амурской области",21.09.2012,20.09.2013,,,,,,,
3,"ОАО ""ЖТК"" (Тындинское ТПО Хабаровского филиала)",7708639622,, Амурская г. Москва  ул.Новорязанская 12,,"Магазин № 8 Тындин-
ский район ст.Белень-
кая здание ТОЦ ",,28,28, розничная продажа алкогольной продукции,,МЕ 005421,"
Министерство внешнеэкономических связей, туризма и предпринимательства  Амурской области",21.09.2012,20.09.2015,,,,,,,
4,"ОАО ""ЖТК"" (Тындинское ТПО Хабаровского филиала)",7708639622,, Амурская г. Москва  ул.Новорязанская 12,,"Магазин № 7 Тындин-
ский район п.Аносовс-
кий здание ТОЦ пом. 6",,28,28, розничная продажа алкогольной продукции,,МЕ 005421,"
Министерство внешнеэкономических связей, туризма и предпринимательства  Амурской области",21.09.2012,20.09.2015,,,,,,,
№ п/п,"Наименование организации, организационно-правовая форма",ИНН организации,КПП организации,Место нахождения организации,Адрес электронной почты,Адрес осуществления лицензируемого вида деятельности обособленным подразделением организации,КПП обособленного подразделения организации,Код субъекта РФ по месту нахождения организации,Код субъекта РФ по месту осуществления лицензируемого вида деятельности обособленным подразделение организации,Вид лицензируемой деятельности,Вид продукции,Номер лицензии,Наименование лицензирующего органа выдавшего лицензию,Дата выдачи лицензии,Дата окончания действия лицензии,Дата приостановления действия лицензии,Дата возобнавления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Статус лицензии,Дата изменения статуса,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,
5,"ОАО ""ЖТК"" (Тындинское ТПО Хабаровского филиала)",7708639622, , Амурская г. Москва  ул.Новорязанская 12, ,"Магазин № 49 Тынди-
нский район п.Лопча
ул.27 съезда КПСС 4", ,28,28, розничная продажа алкогольной продукции,,МЕ 005421," 
Министерство внешнеэкономических связей, туризма и предпринимательства  Амурской области",21.09.2012,20.09.2015,,,,, , ,
6,"ОАО ""ЖТК"" (Тындинское ТПО Хабаровского филиала)",7708639622,, Амурская г. Москва  ул.Новорязанская 12,,"Магазин № 45 Тынди-
нский район п.Чильчи
ул.Ленина д. 2 пом. №
60, 61, 62, 67, 68часть
пом зд. ТОЦ",,28,28, розничная продажа алкогольной продукции,,МЕ 005421,"
Министерство внешнеэкономических связей, туризма и предпринимательства  Амурской области",21.09.2012,20.09.2015,,,,,,,
7,"ОАО ""ЖТК"" (Тындинское ТПО Хабаровского филиала)",7708639622,, Амурская г. Москва  ул.Новорязанская 12,,"Магазин № 39 Тынди-
нский район п.Хорого-
чи ул. Свердловская,
пом.№3, 41, 42, 43, 45
зд. ТОЦ",,28,28, розничная продажа алкогольной продукции,,МЕ 005421,"
Министерство внешнеэкономических связей, туризма и предпринимательства  Амурской области",21.09.2012,20.09.2015,,,,,,,
8,"ОАО ""ЖТК"" (Тындинское ТПО Хабаровского филиала)",7708639622,, Амурская г. Москва  ул.Новорязанская 12,,"Магазин № 42 Тынди-
нский район с. Ларба
здание ТОЦ ",,28,28, розничная продажа алкогольной продукции,,МЕ 005421,"
Министерство внешнеэкономических связей, туризма и предпринимательства  Амурской области",21.09.2012,20.09.2015,,,,,,,
9,Октябрьское райпо,2821000043,282101001,676630 Амурская Октябрьский район с. Екатеринославка ул. Кооперативная, ,"Магазин №2 ""Гастро-
ном"" Октябрьский
район с. Екатеринос-
лавка ул. Ленина 53", ,28,28, розничная продажа алкогольной продукции,,МЕ 004542," 
Министерство внешнеэкономических связей, туризма и",26.09.2012,23.06.2013,,,,, , ,
№ п/п,"Наименование организации, организационно-правовая форма",ИНН организации,КПП организации,Место нахождения организации,Адрес электронной почты,Адрес осуществления лицензируемого вида деятельности обособленным подразделением организации,КПП обособленного подразделения организации,Код субъекта РФ по месту нахождения организации,Код субъекта РФ по месту осуществления лицензируемого вида деятельности обособленным подразделение организации,Вид лицензируемой деятельности,Вид продукции,Номер лицензии,Наименование лицензирующего органа выдавшего лицензию,Дата выдачи лицензии,Дата окончания действия лицензии,Дата приостановления действия лицензии,Дата возобнавления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Статус лицензии,Дата изменения статуса,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,
,,,,1,,,,,,,,,предпринимательства  Амурской области,,,,,,,,,
10,Октябрьское райпо,2821000043,282101001,676630 Амурская Октябрьский район с. Екатеринославка ул. Кооперативная 1,,"Магазин №7 ""Даманс-
кий"" Октябрьский
район с. Екатеринос-
лавка ул. Луговая 19",,28,28, розничная продажа алкогольной продукции,,МЕ 004542,"
Министерство внешнеэкономических связей, туризма и предпринимательства  Амурской области",26.09.2012,23.06.2013,,,,,,,
11,Октябрьское райпо,2821000043,282101001,676630 Амурская Октябрьский район с. Екатеринославка ул. Кооперативная 1,,"Магазин №4 ""Ветеран""
Октябрьский район с.
Екатеринославка ул.
Ленина 40",,28,28, розничная продажа алкогольной продукции,,МЕ 004542,"
Министерство внешнеэкономических связей, туризма и предпринимательства  Амурской области",26.09.2012,23.06.2013,,,,,,,
12,Октябрьское райпо,2821000043,282101001,676630 Амурская Октябрьский район с. Екатеринославка ул. Кооперативная 1,,"Магазин ""Хороший""
Октябрьский район с.
Екатеринославка ул.
Ленина 71",,28,28, розничная продажа алкогольной продукции,,МЕ 004542,"
Министерство внешнеэкономических связей, туризма и предпринимательства  Амурской области",26.09.2012,23.06.2013,,,,,,,
13,Октябрьское райпо,2821000043,282101001,676630 Амурская Октябрьский район с. Екатеринославка ул. Кооперативная 1,,"Магазин ""Парусник""
Октябрьский район с.
Екатеринославка ул.
Кооперативная 1",,28,28, розничная продажа алкогольной продукции,,МЕ 004542,"
Министерство внешнеэкономических связей, туризма и предпринимательства  Амурской области",26.09.2012,23.06.2013,,,,,,,
14,Октябрьское райпо,2821000043,282101001,676630 Амурская Октябрьский, ,"Кафетерий Октябрьс-
кий район с. Екатери-
нославка ул. Ленина 64", ,28,28, розничная продажа алкоголь,,МЕ 004542," 
Министерство",26.09.2012,23.06.2013,,,,, , ,
№ п/п,"Наименование организации, организационно-правовая форма",ИНН организации,КПП организации,Место нахождения организации,Адрес электронной почты,Адрес осуществления лицензируемого вида деятельности обособленным подразделением организации,КПП обособленного подразделения организации,Код субъекта РФ по месту нахождения организации,Код субъекта РФ по месту осуществления лицензируемого вида деятельности обособленным подразделение организации,Вид лицензируемой деятельности,Вид продукции,Номер лицензии,Наименование лицензирующего органа выдавшего лицензию,Дата выдачи лицензии,Дата окончания действия лицензии,Дата приостановления действия лицензии,Дата возобнавления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Статус лицензии,Дата изменения статуса,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,
,,,,район с. Екатеринославка ул. Кооперативная 1,,,,,,ной продукции,,,"внешнеэкономических связей, туризма и предпринимательства  Амурской области",,,,,,,,,
15,Октябрьское райпо,2821000043,282101001,676630 Амурская Октябрьский район с. Екатеринославка ул. Кооперативная 1,,"Столовая Октябрьский
район с. Екатеринос-
лавка ул. Ленина 64",,28,28, розничная продажа алкогольной продукции,,МЕ 004542,"
Министерство внешнеэкономических связей, туризма и предпринимательства  Амурской области",26.09.2012,23.06.2013,,,,,,,
16,Октябрьское райпо,2821000043,282101001,676630 Амурская Октябрьский район с. Екатеринославка ул. Кооперативная 1,,"Магазин ""Северяноч-
ка"" Октябрьский район
с. Екатеринославка ул.
Северная ",,28,28, розничная продажа алкогольной продукции,,МЕ 004542,"
Министерство внешнеэкономических связей, туризма и предпринимательства  Амурской области",26.09.2012,23.06.2013,,,,,,,
17,Октябрьское райпо,2821000043,282101001,676630 Амурская Октябрьский район с. Екатеринославка ул. Кооперативная 1,,"Магазин №10 ""Восто-
чный"" Октябрьский
район с. Восточное ул.
Восточная 11",,28,28, розничная продажа алкогольной продукции,,МЕ 004542,"
Министерство внешнеэкономических связей, туризма и предпринимательства  Амурской области",26.09.2012,23.06.2013,,,,,,,
18,Октябрьское райпо,2821000043,282101001,676630 Амурская Октябрьский район с. Екатеринославка ул. Кооперативная 1, ,"Магазин  ""Варваруш-
ка"" Октябрьский район
с. Варваровка ул. Мо-
лодежная 4", ,28,28, розничная продажа алкогольной продукции,,МЕ 004542," 
Министерство внешнеэкономических связей, туризма и предпринимательства  Амурской",26.09.2012,23.06.2013,,,,, , ,
