"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""город Черемхово"" ",,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,
,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями)
1,2,3,4,5,6,7,8,9,10
1,"ООО «Гарант» г. Черемхово ул. Горького, 10 инн 3820009729 ",Ми ФНС № 10 по Иркутской области и УОБАО № 1053820008461 от 07.04.2005 ,А- 165916 от 20 июня 2005г. до 20 июня 2008 г.  продлена до 20.06.2013 г. ,"г. Черемхово, ул. Куйбышева, 28 маг. «Теремок» ул. Декабрьских событий, 40, маг. «Саяны», ул. Шевченко, 66 маг. «Калинка»",,,,,
2,ООО «Ната» инн 3820002593,Ми ФНС № 10 по Иркутской области и УОБАО № 1023802217768,38 МЕ  № 002853 от 14.05.2007 до 14.05.2012 (закончена),"г. Черемхово, ул. Щорса, 61 маг. «Ната», ул.Некрасова, 24, ТД «Некрасовский» отдел «Продукты», ул.Шевченко, 64, Отдел ООО «Ната»",,,,,
3,ООО «Березка-сервис» инн 3820011132, Ми ФНС № 10 по Иркутской области и УОБАО № 1063820011200 от 31.05.2006 г.,38 МЕ 002871 от 29 июня 2006 до 29 июня 2011 (продлена сроком на 1 год) до 29.06.2012,"г. Черемхово, ул. Школьная, 24, маг. «Продукты», ул.Забойщика, 49 маг. «Ангара», ул. Некрасова, 24 маг. «Некрасовский» отдел,       ул. Декабрьских событий, 9 магазин «Продукты», Черемховский район, Прибайкальская автодорога, 1754 км., кафе «Березка»",,,6/29/2012,,
4,ООО «Натали» инн 3820011196,Ми ФНС № 10 по Иркутской области и УОБАО № 1063820011276 от 06.06.2006 г.,38 МЕ 002859 от 04. июля 2006 г. до 04 июля 2011 г. (продлена на 1 год) от 01.07.2011 до 04.07.2012,"г. Черемхово, ул. Ленина, 41а маг. «Трактовый», ул. Белинского, 8 маг. «У  Натальи»",,,,,
5,ООО «Сидан» инн 3820011044,Ми ФНС № 10 по Иркутской области и УОБАО № 1063820011090 от 17.05.2006 г.,А- 165972 от 05 июля 2006 г. до 05 июля 2011 г.   продлена на 1 год до 05 июля 2012 года,"г. Черемхово, ул. 2-ая Линейная,  № 45 маг. «Дарья»",,,,,
6,ООО «Каспий» инн 3820011069,Ми ФНС № 10 по Иркутской области и УОБАО № 1063820011133 от 24.05.2006 г.,А- 165973 от 07 июля 2006 г. до 07 июля 2011 г (переоформлена). 38 МЕ 002911 от 20.09.2010 до 07.07.2011 (продлена на 1 год) от 01.07.2011 до 07.07.2012,"маг. «Вояж» ул. Некрасова, 17а, маг. «Каспий» ул. Бердниковой отдел в маг. «Южный», ул. Краснопеева, 40,  ООО «Каспий» в магазине «Каскад» ул. Бердниковой, 19, ООО «Каспий» в кафе «Каскад» ул. Бердниковой, 19.",,,7/7/2012,,
7,ООО «Ромашка» инн  3820011157,Ми ФНС № 10 по Иркутской области и УОБАО № 1063820011232 от 01.06.2006 г.,А- 165974 от 12 июля 2006 г. До 12 июля 2011 г. Продлена на 1 год путем выдачи бланка новой лицензии 38 МЕ 002928 от 01.07.2011 до 12.07.2012,"г .Черемхово, ул. Димитрова, 30 маг. «Ромашка», ул. Бердниковой, 5а павильон «Ромашка»",,,7/12/2012,,
8,ООО «Ануш» инн 3820010379,Ми ФНС № 10 по Иркутской области и УОБАО № 1053820016491 от 23.12.2005 г.,38 МЕ 002897 от 18 декабря 2009  до 18 июля 2011 (продлена на 1 год) от 01.07.2011 до 18.07.2012,"г. Черемхово, ул. Первомайская, 166, отдел в ТЦ «Дом одежды», ул. Ленина, 3-51 отдел ООО «Ануш» в магазине ИП Бадалян С.Н.",,,,,
9,ООО «Черный тюльпан» инн 3820011301,Ми ФНС № 10 по Иркутской области и УОБАО №  1063820011474 от 26.06.2006 г.,А- 165976 от 21 июля 2006 г. До 21 июля 2011 г. Продлена сроком на 1 год от 18.07.2011  до 21.07.2012,"г. Черемхово, маг-ны «Черный тюльпан»: ул. Первомайская, 160а, ул. Плеханова, 32, ул. Советская, 4",,,,,
10,ООО «Невада» инн 3820011220,Ми ФНС № 10 по Иркутской области и УОБАО № 1063820011309 от 15.06.2006 г.,А- 165977 от 25 июля 2006 г. до 25 июля  2011г. (закончена),"г. Черемхово, ул. Первомайская, 109 маг. «Невада», ул. Декабрьских событий, 7, маг. «Продукты» ул. Первомайская, 2, маг. «Вино-водка»,  ул. Забойщика, 49 отдел ООО «Невада» ",,,7/25/2011,,
11,ООО «Горячие пельмени» инн 3820011206 ,Ми ФНС № 10 по Иркутской области и УОБАО № 1063820011287 от 07.06.2006 г.,А- 165978 от 27 июля 2006 г. до 27 июля  2011 г. (закончена),"г. Черемхово, ул. Колхозная площадь, 24, ул. Колхозная площадь, 24а-9, кафе «Горячие пельмени» ",,,7/27/2011,,
12,ООО «Прайд» инн 3820011291,Ми ФНС № 10 по Иркутской области и УОБАО № 1063820011452 от 22.06.2006 г., 38 МЕ 002930 от 27.07.2011 до 27.07.2012,"г. Черемхово, ул. Декабрьских событий, 20, маг. «Экспресс»  ул. Димитрова, 34, маг. «Продукты» ул. Шевченко, 58, маг. «Продукты» ул. 1-ая Линейная, 38, маг. «Продукты» ул. Шевченко, 86 маг. «Продукты»",,,,,
13,ООО «Прайд» инн 3820011291,Ми ФНС № 10 по Иркутской области и УОБАО № 1063820011452 от 22.06.2006 г.,38 МЕ  002857 от 26 июля 2007 г. до 28 июля  2011г. Выдана новая 38 МЕ 002930 от 27.07.2011 до 27.07.2012,"г. Черемхово, ул. Декабрьских событий, 20, маг. «Экспресс»  ул. Димитрова, 34, маг. «Продукты» ул. Шевченко, 58, маг. «Продукты» ул. 1-ая Линейная, 38, маг. «Продукты» ул. Шевченко, 86 маг. «Продукты»",С 03.11.2008 г. сроком на 10 дней,13.11.2008 г.,7/28/2011,,
14,ООО «Лазурный» инн 3820011118,Ми ФНС № 10 по Иркутской области и УОБАО № 1033820011166 от 26.05.2006 г.,А- 165980 от 2 августа 2006 г. до 2 августа 2011 г. (продлена на 1 год) от 25.07.2011 до 02.08.2012 продлена до 02.08.2013,"г. Черемхово, ул.Шевченко, 82 маг. «Лазурный», пос.Касьяновка ул. Просвещения, 58 магазин «Центральный»",,,,,
15,ООО «Шанс»  инн 3820011372,Ми ФНС № 10 по Иркутской области и УОБАО № 1033820011562 от 10.07.2006 г.,А- 165981 от 07 августа 2006 г. до 07 августа 2011 г. (продлена сроком на 1 год от 17.07.2011 до 07.08.2012,"г. Черемхово, ул. Первомайская, 207 маг. «Шанс»",,,8/7/2012,,
16,ООО «Багульник» инн  3820011245,Ми ФНС № 10 по Иркутской области и УОБАО № 1063820011310 от 16.06.2006 г.,38 МЕ 002932 от 08 августа 2011 до 12 августа 2012,"г. Черемхово, ул.Степная, 20 маг. «На степной»",,,,,
17,ООО «Багульник» инн  3820011245,Ми ФНС № 10 по Иркутской области и УОБАО № 1063820011310 от 16.06.2006 г.,А- 165982 от 08 августа 200 6г. до 08 августа 2011 г. ,"г. Черемхово, ул.Степная, 20 маг. «На степной»",,,8/8/2011,,
18,ООО «Эй би Сервис» инн 3811098828,ИМНС России  по Октябрьскому округу г. Иркутска № 1063811039082 от 03.04.2006,А- 165983 от 15.08.2006 г. до 15.08.2011 г (переоформлена) 38 МЕ 002907 от 13.09.2010 до 15.08.2011 продлена на 1 год) от 12 августа 2011 до 15 августа 2012,"г. Черемхово, ул.Ленина, 28 –а кафе «В парке»",,,,,
19,ООО «Фортуна» инн 3820011333,Ми ФНС № 10 по Иркутской области и УОБАО № 1063820011518 от 03.07.2006 г.,А- 165984 от 22 августа 2006 г. до 22 августа 2011 г. (продлена на 1 год) от 18 августа 2011 до 22 августа 2012,"г. Черемхово, ул. Орджоникидзе, 20 маг. «Багира» пер. Копейский, 7 отдел «Вино-водка»",,,,,
20,ООО «Слава» инн 3820011380,Ми ФНС № 10 по Иркутской области и УОБАО № 1063820011551 от 10.07.2006 г.,А- 165985 от 28 августа 2006 г. до 28 августа 2011 г. (продлена на 1 год) от 26 августа 2011 до 28 августа 2012,"г. Черемхово, ул. Алябьева,  7 маг. «Продукты»",,,,,
21,ООО «Лола»  инн 3820011277 ,Ми ФНС № 10 по Иркутской области и УОБАО № 1063820011420 от 21.06.2006 г.,А- 165986 от 29 августа 2006 г. до 29 августа 2011 г. (продлена на 1 год) от 12 августа 2011 до 29 августа 2012,"г. Черемхово, ул. Фрунзе, 16а маг. «Лола»",с 14.04.2008 г. сроком на 1 месяц,15.05.2008 г.,,,
22,ООО «Континент» инн 3820010019 ,Ми ФНС № 10 по Иркутской области и УОБАО № 1053820015138 от 21.07.2006 г.,38 МЕ 002921 от 24 декабря 2010 года до 24 декабря 2011 года рег. № 92-10 (закончена)    38 МЕ 002943 от 01.02.2012 до 01.02.2013 рег. № 124,"г. Черемхово, ул. Шевченко, 39 маг. «Континент», ул. Шевченко, 80 отдел в магазине «Люкс»",,,12/24/2011,,
23,ООО «Фортуна» инн 3820011340,Ми ФНС № 10 по Иркутской области и УОБАО № 1063820011485 от 03.07.2006 г.,А- 170755 от 25 июля 2006г. до 25 июля 2011г.,"г. Свирск, ул. Ленина, 3 маг. «Бахус» г. Черемхово, пос. Касьяновка ул. Ярославского, 25а маг. «Купец»",,,,,выдана муниципальным образованием «город Свирск» 25 июля 2006 г. рег.№ 4/06 А- 170755
24,ООО «Сирень» инн 3820011460 ,Ми ФНС № 10 по Иркутской области и УОБАО № 1063820011639 от 19.07.2006 г.,38 МЕ 002876 от 17 июня 2008 г.  до 06 августа 2011 г. (продлена на 1 год) от 25.07.2011 до 06.08.2012 продлена дор 06.08.2013,"г.Черемхово, ул.Маяковского,118, магазин ""Сирень""",,,,,
25,ООО «Байкал- Овик» инн 3820010361 ,Ми ФНС № 10 по Иркутской области и УОБАО № 1053820016502 от 23.12.2005, Выдана 38 MЕ 002939 от 15.12.2011 до 15.12.2012 ,"г .Черемхово, ул. Плеханова, 29 маг. «Байкал», ул. Плеханова, 33, пав. «Байкал» ул. Гейштова, 6 маг. «Елена» ул. Шевченко, 31  маг. «Силуэт»          Выдана на 1 объект ООО ""Байкал-Овик"" в магазине ""Силуэт""",,,,,
26,ООО «Байкал- Овик» инн 3820010361 ,Ми ФНС № 10 по Иркутской области и УОБАО № 1053820016502 от 23.12.2005,А- 165988 от 11 сентября 2006 г. до 11 сентября 2011 г.  (Прекращена) Выдана 38 MЕ 002939 от 15.12.2011 до 15.12.2012 ,"г .Черемхово, ул. Плеханова, 29 маг. «Байкал», ул. Плеханова, 33, пав. «Байкал» ул. Гейштова, 6 маг. «Елена» ул. Шевченко, 31  маг. «Силуэт»          Выдана на 1 объект ООО ""Байкал-Овик"" в магазине ""Силуэт""",,,9/11/2011,,
27,ООО «Торговая компания Агата» инн 3820011076 ,Ми ФНС № 10 по Иркутской области и УОБАО № 1063820011122 от 24.05.2006 г.,А-170754 от 14 июля 2006 г. до 14 июля 2011 г. (закончена),"г. Свирск, ул. Молодежная, 1а магазин «Три кита», г. Черемхово, ул. Первомайская, 195 магазин «Флагман», г. Черемхово, ул. Ленина, 24 магазин «Стрела», ООО ТК «Агата» в магазине по адресу: г. Черемхово, ул. Некрасова, 16 ; ул. Ленина, 41 отдел в магазине № 23                                                                 г. Черемхово: отдел ООО ""ТК ""Агата"" в магазине по ул. Первомайская, 195; отдел ООО ТК ""Агата"" в магазине по ул. Забойщика, 26; отдел ООО ТК ""Агата"" в магазине по ул. Некрасова, 16; отдел ООО ТК ""Агата"" в магазине по ул. Ленина, 41; отдел ООО ТК ""Агата"" в магазине по ул. Ленина. 24",,,7/14/2011,,выдана муниципальным образованием «город Свирск» 14 июля 2006-10-20 рег.№ 3/06 А-170754
28,ООО «Торговая компания Агата» инн 3820011076 ,Ми ФНС № 10 по Иркутской области и УОБАО № 1063820011122 от 24.05.2006 г., 38 ME 002929 от 15.07.2011 до 15.07.2012 ,"Г.Черемхово, ул.Некрасова,16, отдел в магазине ""Империя вкуса"", Г.Черемхово, ул.Ленина,41 отдел в магазине №23, ",,,7/15/2012,,выдана муниципальным образованием «город Свирск» 14 июля 2006-10-20 рег.№ 3/06 А-170754
29,ООО «Русь» инн 3820000162,Ми ФНС № 10 по Иркутской области и УОБАО № 1073820000715 от 01.08.2007 г. ,38 ме 002890 от 24.06.2009 до 17.10.2011 (переоформлена)38 МЕ 002912 от 01 октября 2010 г. до 17 октября 2011 года; (переоформлена) рег. № 96-11 серия 38 МЕ 002925 от 31.03.2011 (переоформлена) 38 Ме 002926 от 04.07.2011 до 17.10.2011; 38 МЕ 002936 от 07.10.2011 до 17.10.2011 (переоформлена) 38 МЕ 002936 от 07.10.2011 до 17.10.2011(Прекращена 17.10.2011) Выдана новая 38 МЕ 002938 от 31.10.2011 до 31.10.2013,"г. Черемхово, ул.Первомайская, 191 ресторан «Черембасс», Отдел ООО «Русь» в магазине «Эконом»,  ул. Первомайская, 2 магазин «Эконом», ул. Забойщика, 51 магазин «Эконом»,  ул. Первомайская, 191 ООО «Русь» в магазине «Эконом» ИП Волобуевой И.Н.; отдел ООО ""Русь"" в магазине ""Эконом"" по ул. Первомайская, 97; отдел ООО ""Русь"" в магазине ""Эконом"" по ул Некрасова, 24; отдел ООО ""Русь"" в магазине ""Эконом"" по ул. Шевченко, 86/А; ",,,10/17/2011,,
30,ООО «Перекресток» инн 3811085811,ИМНС России по Октябрьскому округу г. Иркутска № 1043801558360 от 25.12.2004 г.,Д- 561860 от 16 декабря 2005 г.  до 15 декабря 2008 г.,"г. Черемхово, ул. Школьная, 24 отдел ООО «Перекресток»",,,,,выдана отделом лицензирования главного экономического управления комитета по экономике и финансам администрации г.Иркутска рег. № АП03476Пр4 от 19.10.06 г.
31,ООО «Арамо» инн 3820010668,Ми ФНС № 10 по Иркутской области и УОБАО № 1063820001409 от 27.01.2006 г.,А-165990 от 24.11.2006 г.  до 24.11.2011 г. (закончена),"г. Черемхово, ул. Советская, 20 магазин «Арамо», ул. Лизы Чайкиной, 17 магазин «Арамо»",22.01.2008 г.сроком на 1 месяц,23.02.2008 г.,11/24/2011,,
32,ООО «Эдмон» инн 3820011319,Ми ФНС № 10 по Иркутской области и УОБАО № 1063820011507 от 03.07.2006 г.,А-165991 от 05.12.2006 г.  до 05.12.2011 г. (закончена),"г. Черемхово, пер. Кооперативный, 5 маг. «Кристина», ул. Горького, 10 маг. «Радуга»",,,12/5/2011,,
33,ООО «Дионис» инн 3820011284,Ми ФНС № 10 по Иркутской области и УОБАО № 1063820012046 от 07.11.2006 г.,38 МЕ 002899 от 16.03.2010 г. до 07.12.2011 г. ,"г. Черемхово, ул. Горького, 1 маг. «Привокзальный» Черемховский район с. Рысево ул. Совхозная, 2 маг. «Продукты», г.Черемхово, ул.Первомайская, 191а отдел в павильоне ООО «Техсервис» ",с 20.11.2008 г. сроком на 1 месяц,20.12.2008 г.,12/7/2011,,
34,ООО «Дионис» инн 3820011284,Ми ФНС № 10 по Иркутской области и УОБАО № 1063820012046 от 07.11.2006 г., 38 ME 002940 от 20.12.2011 до 20.12.2012 (переоформлена)  38 МЕ 002944 от 14.03.2012 до 20.12.2012 рег. № 125-12,"г. Черемхово, ул. Горького, 1 маг. «Привокзальный» Черемховский район с. Рысево ул. Совхозная, 2 маг. «Продукты», г.Черемхово, ул.Первомайская, 191а отдел в павильоне ООО «Техсервис» ",,,,,
35,ООО «Жемчужина» инн 3820011750,Ми ФНС № 10 по Иркутской области и УОБАО № 1063820012046 от 07.11.2006 г.,А-165993 от 14.12.2006 г. до 14.12.2011 г. (закончена),"г. Черемхово, ул. Первомайская, 97 маг. «Жемчужина»",,,12/14/2011,,
36,ООО  «Лига» инн 3820011710,Ми ФНС № 10 по Иркутской области и УОБАО № 1063820012013 от 13.10.2006 г.,А-165995 от 15.12.2006 г. до 15.12.2011 г. (переоформлена) 38 МЕ 002910 от 16.09.2010 до 15.12.2011 (закончена),"г. Черемхово, ул. Маяковского, 217а маг. «Лукошко», ул. Шевченко, 68 маг. «Апельсин», ул.  Первомайская, 2 отдел ООО «Лига» в магазине ИП Гусевской Е.В.",,,12/15/2011,,
37,ООО «Эй Би Техно» инн 3808089100,ИМНС России по Правобережному округу г. Иркутска № 1033801024840 от 31.03.2003 г.,38 МЕ 002864 от 21.12.2006 г. до 21.12.2011 г. переоформлена 06.12.2007 г. (закончена),"г. Черемхово, ул.  Шевченко, 65 маг. «Рекорд», ул. Дзержинского, 50 отдел в магазине № 15 ул. Школьная, 22 отдел в магазине № 11, ул. Некрасова, 4 отдел в магазине № 39, отдел ООО «Эй Би Техно» в магазине № 72 по ул.  Линейная, 72, отдел ООО «Эй Би Техно» в ТЦ «Октябрь» ул. Первомайская, 164 ",,,12/21/2011,,
38,ООО «777» инн 3820011630,Ми ФНС № 10 по Иркутской области и УОБАО 1063820011903 от 08.09.2006 г.,А-165997 от 22.12.2006 г. до 22.12.2011 г. (закончена),"г. Черемхово, ул. Фурманова, 8-5 маг. «777»",,,12/22/2011,,
39,ООО «Ермак» инн 3820011090,Ми ФНС № 10 по Иркутской области и УОБАО № 1063820011155 от 25.05.2006 г.,А-165999 от 27.12.2006 г. до 27.12.2011 г. (закончена),"г. Черемхово, ул. Маяковского, 149 маг. «Продукты»",,,12/27/2011,,
40,ООО «Амик кэш энд керри» инн 3810032648,ИМНС России по Ленинскому округу г. Иркутска № 1033801426911 от 17.03.2005 г.,АП03423Пр от 29.01.2007 г. до 30.11.2008,"г. Черемхово, ул. Плеханова, 4 магазин «Бонус»",,,,,Комитетом по экономике и финансам администрации г.Иркутска
41,ООО «Пятерочка» инн 3811105257,ИФНС России по Октябрьскому округу г. Иркутска № 1063811058530 от 27.10.2006 г. ,От 06.06.2007 до 24.01.2012,"г. Черемхово, ул. Плеханова,4 магазин «Бонус» отдел «Вино»",,,,,Комитетом по экономике и финансам администрации г.Иркутска
42,ООО «Дружба» Инн  3820011566,Ми ФНС № 10 по Иркутской области и УОБАО № 1063820011848 от 28.08.2006 г.,38 МЕ  № 002849 от 20.04.2007 г. до 20.04.2012 г. (закончена),"г. Черемхово, ул. Декабрьских событий, 7 Кафе «Дружба»",,,,,
43,ООО «Ковчег» Инн  3820011693,Ми ФНС № 10 по Иркутской области и УОБАО № 1063820011991 от 11.10.2006 г,38 МЕ  № 2851 от 25.04.2007 г.  до 25.04.2012 г. (переоформлена) 38 МЕ 002923 от 25.02.2011 до 25.04.2012 (закончена),"г. Черемхово, ул. Ленина, 116 Ресторан  «Ковчег»; Черемховский район, район Жмуровской развязки на 1740 км Прибайкальской автодороги Новосибирск-Иркутск кафе ""Ной""",,,,,
44,ООО «Русалочка» Инн  3820011975,Ми ФНС № 10 по Иркутской области и УОБАО № 1073820000154 от 17.01.2007 г.,38 МЕ № 2852 25.04.2007 г. до 25.04.2012 г. (закончена),"г. Черемхово, ул. Горького, 8 Кафе «Русалочка»",,,,,
45,ООО    «Анна»  Инн 3820012129,Ми ФНС № 10 по Иркутской области и УОБАО № 1073820000308 от 22.03.2007 г.,38 МЕ № 002854 от 14.06.2007 г. до 14.07.2012 г.,"г. Черемхово, ул. 2-ая Линейная, 81 магазин «Сказка»",,,,,
46,ООО «Орион» Инн 3808141223,ИФНС по Правобережному округу г. Иркутска № 1063808142727 от 03.07.2006 г.,38 МЕ № 002863 от 06.11.2007 г. до 06.11.2012 г.,"г. Черемхово, ул. Колхозная площадь, 40 магазин «Сибирь»",,,,,
47,ООО «Дионис» Инн 3820012168,Ми ФНС № 10 по Иркутской области и УОБАО № 1073820000330  от 03.04.2007 г.,38 МЕ 002865 от 13.12.2007 до 13.12.2012 (переоформлена) 38 МЕ № 002913 от 21.10.2010 г. до 13.12.2012 г.,"г. Черемхово, пер. Сигнальный, 2 магазин ООО «Дионис»; ул. Первомайская, 2 магазин ООО «ДиониС»",,,,,
48,ООО «Березка» Инн 3820012552,Ми ФНС № 10 по Иркутской области и УОБАО  № 1073820000880 от 27.09.2007 г.,38 МЕ № 002866 от  17.12.2007 г. до 17.12.2012 г.,"г. Черемхово, ул. 2-я Красноармейская, 47       магазин  «Березка»",,,,,
49,ООО «Росинка» Инн 3820012778,Ми ФНС № 10 по Иркутской области и УОБАО № 1073820001122 от 17.12.2007 г.,38 МЕ № 002902 от 15.07.2010 г. до 26.12.2012 г. (переоформлена) 38 МЕ 002904 от 26.07.2010 до 26.12.2012 ,"г. Черемхово, отдел в магазине по ул. Шевченко, 31, отдел ООО «Росинка» в магазине «Новый» по ул. Ленина, 49",,,,,
50,ООО  «Ольга»  Инн 3820012760,Ми ФНС № 10 по Иркутской области и УОБАО № 1073820001111 от 13.12.2007 г.,38 МЕ № 002868 от 28.12.2007 г. до 28.12.2012 г. ,"г. Черемхово, отдел в магазине «Продукты», ул. Чапаева, 4а отдел ООО «Ольга» в магазине «Продукты», ул. Октябрьский проезд, 7",,,,,
51,ООО «Пять капель» Инн 3808155025,ИФНС по Правобережному округу г. Иркутска № 1073808020956 от 16.08.2007 г.,"А 154366, рег. №15 от 25.09.2010 г. до 20.12.2012 г. (переоформлена) А 154377 рег. 2 от 29.02.2011 зарегистрирована и внесена в реемтр лицензий администрацией муниципального образования ""город Черемхово"" за № 46  09.03.2011 А 154384 от 03.05.2011 до 20.12.2012 (переоформлена) А 154389 от 15.07.2011 по 20.12.2012 (переоформлена)","г. Черемхово, отдел в магазине ""Минутка"", ул. Волочаевская, 42",,,,,Администрацией городского округа Зиминского  городского муниципального образования от 25.09.2010 г.
