Реестр  действующих лицензии на розничную продажу алкогольной продукции в  Калининградской области (на 01.10.2012 г.),,,,,,,,,,,,,,,,,,,,,
№ лиц.:,До:,ОПФ:,Лицо:,Адрес:,ИНН:,Район:,Город:,Селение:,Улица:,Дом:,Корпус:,Квартира:,Ориентир,Описание,,,,,,,
39/АЛК/09/654,15/10/2012,ООО,"""""ЛК""""","236012, г. Калининград, ул. Дзержинского, д. 100, корп. В, кв. 15",3907206182,,г. Калининград,,пр-кт Ленинский,д. 63-67,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/10/199,04/06/2015,ООО,"""360 градусов""","236039, г. Калининград, ул. Эпроновская, д. 4-6",3907040040,,г. Калининград,,ул. Луговая,д. 1,корп. 2,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/09/720,19/11/2012,ООО,"""777 плюс""","238178, Калининградская обл., Черняховский р-н, п. Заовражное, ул. Калининградская, д. 8",3914017482,Черняховский р-н,,п. Бережковское,ул. Калининградская,кафе,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/09/822,25/12/2012,ООО,"""Аболина плюс""","238550, Калининградская обл., г. Светлогорск, ул. Ленина, д. 20",3912007591,,г. Светлогорск,,ул. Ленина,,,,торговый павильон № 5,литера Д,,,,,,,
39/АЛК/10/508,17/12/2013,ООО,"""Аван Тайс""","238580, Калининградская обл., пгт Янтарный, ул. Советская, д. 3, кв. 10",3912011164,,,пгт Янтарный,ул. Советская,д. 26-а,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/355,29/06/2013,ООО,"""Августо""","236004, Калининградская обл., г. Калининград, ул. З.Космодемьянской, д. 3",3907058590,,г. Калининград,,ул. З.Космодемьянской,д. 3,,,,закусочная,,,,,,,
39/АЛК/12/87,05/03/2013,ООО,"""Авента-Консалтинг""","238550, Калининградская обл., г. Светлогорск, пер. Береговой, д. 2",3905056333,,г. Светлогорск,,пер. Береговой,д. 2,ресторан,,,,,,,,,,
39/АЛК/12/521,10/09/2013,ООО,"""Аверс""","236038, Калининградская обл., г. Калининград, ул. Краснодонская, д. 5, кв. 15",3906241610,,г. Калининград,,пр-кт Мира,д. 4,кафе,,,помещения № 54-56,,,,,,,
39/АЛК/10/158,29/04/2013,ООО,"""АВЕРС""","238520, Калининградская обл., г. Балтийск, ул. Ленина, д.11",3901002016,,г. Балтийск,,ул. Ленина,д. 11,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/10/10,14/01/2013,ООО,"""АВИОР плюс""","238520, Калининградская обл., г. Балтийск, ул. Новая, д. 33",3901500847,,г. Балтийск,,б-р Морской,д. 5,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/09/696,05/11/2012,ООО,"""Аврора""","236010, г. Калининград, ул. Огарева, д. 14, кв. 4",3905078922,,г. Калининград,,ул. А.Невского,д. 137-б,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/183,01/04/2014,ООО,"""АВТОКОМ-2""","236000, г. Калининград, ул. Алябьева, д. 23-а",3904011058,,г. Калининград,,ул. Багратиона,д. 120-126,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/10/515,17/12/2013,ООО,"""Автоматизированная система прямой доставки""","236000, г. Калининград, ул. А.Невского, д. 214",3906109281,,г. Калининград,,ул. А.Невского,д. 214,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/777,14/12/2012,ООО,"""Автотор ПИТ""","236013, Калининградская обл., г. Калининград, ул. Магнитогорская, д. 4",3905068353,,г. Калининград,,ул. Магнитогорская,д. 1,ресторан,,,,,,,,,,
39/АЛК/12/64,20/02/2015,ООО,"""Агат Плюс""","238400, Калининградская обл., г. Правдинск, ул. Кутузова, д. 11",3923500262,,г. Правдинск,,ул. Торговая,д. 12,,,,,,,,,,,
39/АЛК/11/376,10/06/2016,ООО,"""Агеева и С""","236000, Калининградская обл., г. Калининград, ул. Горького, д. 162-а",3906154407,,г. Калининград,,ул. Горького,д. 162-а,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/721,18/11/2012,ООО,"""Адмирал""","238450, Калининградская обл., Багратионовский р-н, г. Мамоново, ул. Артиллерийская, д. 2-а, корп. 7",3915502474,,г. Мамоново,,ул. Артиллерийская,д. 2-а,корп. 7,,,,,,,,,,
39/АЛК/11/824,29/12/2012,ООО,"""Азбука Вкуса""","238423, Калининградская обл., Багратионовский р-н, п. Южный 1, д. 44, кв. 32",3917510872,,г. Калининград,,ул. Е.Ковальчук,д. 3-9,,,,"литер V из литера А, А1",,,,,,,
39/АЛК/12/204,20/04/2015,ООО,"""АКВАТОРИЯ""","238100, Калининградская обл., г. Черняховск, ул. Ленина, д. 11-а",3914016961,,г. Черняховск,,ул. Ленина,д. 11-а,кафе,,,,,,,,,,
39/АЛК/12/259,18/05/2013,ООО,"""Акрон плюс""","236901, Калининградская обл., г. Калининград, ул. Береговая, д.34, кв. 2",3906152551,,г. Калининград,,ул. Парковая Аллея,д. 7-11,,,,,,,,,,,
39/АЛК/09/737,01/12/2012,ООО,"""Алвис""","238439, Калининградская обл., Багратионовский р-н, п. Отважное, ул. Школьная, д. 14",3915501583,Багратионовский р-н,,п. Южный-1,,д. 43,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/357,29/06/2013,ООО,"""Алекс""","236000, Калининградская обл., г. Калининград, ул. Г.Димитрова, д. 14-а, кв. 10",3904612309,,г. Калининград,,ул. Ген.Павлова,д. 14-а,,,,,,,,,,,
39/АЛК/12/447,10/08/2014,ООО,"""АЛЕКС""","238340, Калининградская обл., г. Светлый, ул. Советская, д. 7-а",3913010597,,г. Светлый,,ул. Советская,д. 7-а,,,,литер А,,,,,,,
39/АЛК/12/282,28/05/2013,ООО,"""Александр""","238214, Калининградская обл., Гвардейский р-н, п. Толпаки, ул. Молодежная, д. 2",3916500960,Гвардейский р-н,,п. Толпаки,гостевой дом,,,,,,,,,,,,
39/АЛК/12/4,13/01/2014,ООО,"""АЛЕКСАНДР""","236039, Калининградская обл., г. Калининград, ул. Краснооктябрьская, д. 17",3905045941,,г. Калининград,,ул. Краснооктябрьская,д. 17,кафе,,,литер I из литера А,,,,,,,
39/АЛК/12/330,25/06/2015,ООО,"""АЛИН""","236034, г. Калининград, ул. Емельянова, д. 281-а",3907052937,,г. Калининград,,ул. Емельянова,д. 281,,,,литер А,,,,,,,
39/АЛК/12/283,31/05/2013,ООО,"""Алина и К""","238340, Калининградская обл., г. Светлый, ул. Красноармейская, д. 2",3913004554,,г. Светлый,,ул. Красноармейская,д. 2,,,,,,,,,,,
39/АЛК/08/82,18/03/2013,ООО,"""Алирус-плюс""","238590, Калининградская обл., г. Пионерский, ул. Комсомольская, д. 3, кв. 17",3910004115,,г. Пионерский,,ул. Садовая,д. 3,,,,,,,,,,,
39/АЛК/10/321,27/08/2015,ООО,"""АЛКОВИН""","236034, г. Калининград, пер. Ржевский-2, литера Б, мансарда, д. 20, помещение, № 18",3906218587,,г. Калининград,,пер. Ржевский-2,д. 20,литер А 1,,помещение № 2,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/702,03/11/2016,ООО,"""АЛКООПТТОРГ -КАЛИНИНГРАД""","236030, Калининградская обл., г. Калининград, ул. Ялтинская, д. 126",3906110061,,г. Калининград,,ул. Транспортная,д. 2-д,,,,литер I из литера А,,,,,,,
39/АЛК/09/756,09/12/2012,ООО,"""АЛКООПТТОРГ""","236001, г. Калининград, ул. Ялтинская, д. 126",3911008754,,г. Черняховск,,ул. Тухачевского,д. 4,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/621,09/09/2013,ООО,"""АлкоСити""","236040, Калининградская обл., г. Калининград, ул. Проф.Баранова, д. 30",3906213902,,г. Калининград,,ул. Проф.Баранова,д. 30,,,"ул. Горького, д. 2, кафе",,,,,,,,
39/АЛК/11/775,19/12/2016,ООО,"""АЛКОСНАБ""","236030, Калининградская обл., г. Калининград, ул. Ялтинская, д. 126",3906199398,,г. Полесск,,ул. Театральная,д. 3-а,,,,,,,,,,,
39/АЛК/10/326,01/09/2015,ООО,"""АЛКОТОРГ ПЛЮС""","236010, Калининградская обл., г. Калининград, пр-кт Победы, д. 157-а",3905045451,,г. Нестеров,,ул. Черняховского,д. 38,,,,литер А/1 из лит.А,,,,,,,
39/АЛК/07/315,29/10/2012,ООО,"""Алкоторг""","236034, г. Калининград, пер. Ржевский-2, д. 20",3911009765,,г. Советск,,ул. Победы,д. 15-б,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/270,25/05/2013,ООО,"""Аллюр Сервис""","238560, Калининградская обл., г. Светлогорск, ул. Октябрьская, д. 36",3912008683,,г. Светлогорск,,ул. Октябрьская,д. 36,бар,,,,,,,,,,
39/АЛК/11/67,18/02/2016,ООО,"""АЛОНА""","236013, г. Калининград, ул. Челюскинская, д. 2-а",3905002909,,г. Калининград,,ул. Челюскинская,д. 2-а,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/564,05/08/2013,ООО,"""Альбрехт""","236023, Калининградская обл., г. Калининград, ул. Марш.Борзова, д. 58-д, кв. 17",3904077066,,г. Калининград,,ул. Чернышевского,д. 44-а,-44-б,,"ул. Коммунальная № 45-63, ул. Банковская № 17-23,",закусочная,,,,,,,
39/АЛК/09/204,08/05/2014,ООО,"""Алькор""","238710, Калининградская обл., г. Неман, ул. Кирова, д. 8-а",3909020024,,г. Неман,,ул. Кирова,д. 8-а,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/252,18/05/2013,ООО,"""Альтримо""","238535, Калининградская обл., Зеленоградский р-н, пгт Рыбачий, ул. Пограничная, д. 11",3918502176,Зеленоградский р-н,,пгт Рыбачий,ул. Набережная,д. 18,ресторан,,,,,,,,,,
39/АЛК/11/655,19/10/2016,ООО,"""Альфа-торг""","236010, Калининградская обл., г. Калининград, ул. Белинского, д. 53",3905612904,,г. Калининград,,ул. Белинского,д. 53,,,,,,,,,,,
39/АЛК/12/137,26/03/2013,ООО,"""Альянс 777""","238150, Калининградская обл., г. Черняховск, ул. Горького, д. 4-а",3914012766,Черняховский р-н,,п. Бережковское,ул. Калининградская,д. 30,,,,,,,,,,,
39/АЛК/12/134,26/03/2013,ООО,"""АЛЬЯНС""","238710, Калининградская обл., г. Неман, ул. Красноармейская, д. 12",3909000388,,г. Неман,,ул. Красноармейская,д. 12,,,,,,,,,,,
39/АЛК/11/485,01/07/2016,ООО,"""АМЕЛИЯ""","236006, Калининградская обл., г. Калининград, ул. 9 Апреля, д. 16, кв. 12",3906154975,,г. Калининград,,ул. Киевская,д. 54-56,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
