Табл. А.4.1.Описание запроса 1: общее описание*,,,,Табл. А.5.1.1. Описание ответа на запрос 1: общее описание***,,,
,,,,,,,
№,Наименование поля,"Поле для заполнения
Потребителем данных*","Краткая инструкция 
по заполнению",Наименование поля,"Поле для заполнения
Поставщиком данных***","Краткая инструкция
 по заполнению",
1.  ,Наименование запроса,Сведения из Единого государственного реестра юридических лиц,"Скопируйте из таблицы 
А.3. Перечень запросов.",Наименование запроса,Сведения из Единого государственного реестра юридических лиц,"Скопируйте из таблицы 
А.3. Перечень запросов.",
2.  ,"Наименование органа (организации), направляющей запрос о предоставлении документов и (или) информации",Управление по развитию промышленности и предпринимательства области,-,"Наименование органа (организации), направляющей ответ на запрос о предоставлении документов и (или) информации",УФНС по Тамбовской области,-,
3.  ,"Наименование органа (организации), в адрес которой направляется запрос о предоставлении документов и (или) информации",УФНС по Тамбовской области,-,"Наименование органа (организации), в адрес которой направляется ответ на запрос о предоставлении документов и (или) информации",Управление по развитию промышленности и предпринимательства области,-,
4.  ,"Полное наименование государственной или муниципальной услуги, для предоставления которой необходимо предоставление документа и (или) информации",Выдача лицензий на розничную продажу алкогольной продукции,-,,,,
5.,"Указание на положения нормативного правового акта, в котором установлено требование о предоставлении необходимого для предоставления услуги документа и (или) информации, и указание на реквизиты данного нормативного правового акта"," ст.19
 Федерального закона ""О государственном регулировании производства и оборота этилового спирта, алкогольной и спиртосодержащей продукции и об ограничении потребления (распития) алкогольной продукции"" от 22.11.1995 № 171-ФЗ (в редакции от 21.07.2011)",-,,,,
6.,Наименование запрашиваемого документа (совокупности сведений),Выписка из ЕГРЮЛ,"Скопируйте из таблицы 
А.3. Перечень запросов.",Наименование направляемого документа (совокупности сведений),Выписка из ЕГРЮЛ,"Скопируйте из таблицы 
А.3. Перечень запросов.",
7.,"Способы удостоверения лица, направившего запрос, и неизменности запроса",ЭЦП,"Таким способом, например, может являться ЭЦП, логин-пароль в системе СМЭВ, собственноручная подпись на бумажном документе.","Способы удостоверения лица, направившего ответ на запрос, и неизменности ответа",ЭЦП,"Таким способом, например, может являться ЭЦП, логин-пароль в системе СМЭВ, собственноручная подпись на бумажном документе.",
8.,Способ направления запроса,1,"Введите код:
1 - по каналам СМЭВ,
2 - по каналам РСМЭВ,
3 - по иным электронным каналам,
4 - по почте,
5 - по факсу,
6 - курьером, 
7 - другое или сочетание способов.",Способ направления ответа на запрос,1,"Введите код:
1 - по каналам СМЭВ,
2 - по каналам РСМЭВ,
3 - по иным электронным каналам,
4 - по почте,
5 - по факсу,
6 - курьером, 
7 - другое или сочетание способов.",
8.1.,"Способ направления запроса, детализация",,"Если в предыдущем поле были проставлены коды 3 или 7, пожалуйста, развёрнуто опишите планируемый способ предоставления данных.","Способ направления ответа на запрос, детализация",,"Если в предыдущем поле были проставлены коды 3 или 7, пожалуйста, развёрнуто опишите планируемый способ предоставления данных.",
9.,Срок направления запроса,В течении 3 дней,Укажите срок направления запроса с момента начала предоставления услуги,Срок направления ответа на запрос,В течении 5 дней,"Укажите срок с момента получения запроса, в течение которого будет направлен ответ на запрос.",
,,,,,,,
,,,,,,,
Табл. А.4.2. Описание запроса 1: состав сведений***,,,,,,,
,,,,,,,
№,"Описание сведений, передаваемых в составе запроса",Тип данных,,Источник данных*,,,
,"Перечислите все данные, необходимые для выполнения запроса и передаваемые в составе запроса. Данные, передаваемые в составе различных полей, опишите раздельно. Например, запрос может содержать сведения о заявителе и включать поля: СНИЛС, место жительства,...","Введите код:
1 - значение из контролируемого справочника,
2 - неконтролируемое значение, 
3 - ссылка на приложенные материалы (например, к запросу могут быть приложены фотографии заявителя),
4 - описание приложенных материалов.","Если выбран код 1, укажите наименование справочника.
Если выбран код 4, опишите тип и объём данных (например, формат, число и предельный объём файлов или наименование прилагаемого документа: акт, выписка).","Введите код:
1 - данные представлены заявителем в составе заявления;
2 - данные хранятся в АИС ведомства, ответственного за предоставление услуги;
3 - данные хранятся в ведомстве, ответственном за предоставление услуги в составе бумажных документов (картотек),
4 - данные получены в ходе МВ.","Если выбраны коды 2 или 3, укажите полное наименование НПА, устанавливающего ведение соответствующего государственного информационного ресурса.  
Если выбран код 4, укажите номер и наименование запроса, в рамках которого получены указанные данные.","Если данные хранятся в АИС,  укажите её наименование",
1.,ОГРН,2,,1,,,
2.,ИНН,2,,1,,,
,,,,,,,
Табл. А.5.2. Описание ответа на запрос 1: состав сведений*,,,,,,,
,,,,,,,
№,"Описание сведений, передаваемых в составе ответа на запрос",Тип данных,,Источник данных***,,,
,"Перечислите все данные, передаваемые в составе ответа на запрос. Данные, передаваемые в составе различных полей, опишите раздельно.","Введите код:
1 - значение из контролируемого справочника,
2 - неконтролируемое значение, 
3 - ссылка на приложенные материалы,
4 - описание приложенных материалов","Если выбран код 1, укажите наименование справочника.
Если выбран код 4, опишите тип и объём данных (например, формат, число и предельный объём файлов или наименование прилагаемого документа: акт, выписка).","Введите код:
1 - данные хранятся в АИС ведомства, ответственного за предоставление услуги;
2 - данные хранятся в ведомстве, ответственном за предоставление услуги в составе бумажных документов,
3 - данные получены в ходе МВ.","Если выбраны коды 1или 2, укажите полное наименование НПА, устанавливающего ведение соответствующего государственного информационного ресурса.  
Если выбран код 3, укажите наименование ведомства, предоставившего данные.","Если данные хранятся в АИС,  укажите её наименование.",
1,Идентификационные сведения о выписке,,,,,,
1.1,Дата формирования выписки из ЕГРЮЛ,2,,3,ФНС России,"АИС ""Налог""",
1.2,"Основной государственный регистрационный номер записи (ОГРН) юридического лица, в отношении которого сформирована выписка",1,ЕГРЮЛ,3,ФНС России,"АИС ""Налог""",
1.3,"Дата присвоения ОГРН юридическому лицу, в отношении которого сформирована выписка",2,,3,ФНС России,"АИС ""Налог""",
1.4,"ИНН юридического лица, в отношении которого сформирована выписка",1,ЕГРН,3,ФНС России,"АИС ""Налог""",
1.5,КПП юридического лица,1,ЕГРН,3,ФНС России,"АИС ""Налог""",
2,Сведения об организационно-правовой форме и наименовании юридического лица,,,,,,
2.1,Полное наименование юридического лица,2,,3,ФНС России,"АИС ""Налог""",
2.2,Сокращенное наименование юридического лица,2,,3,ФНС России,"АИС ""Налог""",
2.3,Фирменное наименование юридического лица,2,,3,ФНС России,"АИС ""Налог""",
3,Сведения об адресе (месте нахождения) юридического лица,,,,,,
3.1.,Адрес юридического лица,,,,,,
3.1.1,Почтовый индекс,1,Ведомственный классификатор адресов России,3,ФНС России,"АИС ""Налог""",
3.2,Субъект Российской Федерации,,,,,,
3.2.1,Код субъекта Российской Федерации,1,Ведомственный классификатор адресов России,3,ФНС России,"АИС ""Налог""",
3.2.2.,"Тип адресного объекта (республика, край и т.п.) и наименование",2, ,3,ФНС России,"АИС ""Налог""",
3.2.3.,Район: тип адресного объекта и наименование,2,,3,ФНС России,"АИС ""Налог""",
3.2.4.,Город: тип адресного объекта и наименование,2,,3,ФНС России,"АИС ""Налог""",
3.2.5,"Населенный пункт: тип адресного объекта (деревня, село и т.п.) и наименование",2,,3,ФНС России,"АИС ""Налог""",
3.2.6,"Улица: тип адресного объекта (улица, проспект и т.п.) и наименование",2,,3,ФНС России,"АИС ""Налог""",
3.2.7,Номер дома (владение и т.п.),2,,3,ФНС России,"АИС ""Налог""",
3.2.8,Корпус (строение и т.п.),2,,3,ФНС России,"АИС ""Налог""",
3.2.9,Квартира (офис и т.п.),2,,3,ФНС России,"АИС ""Налог""",
3.3,Контактные данные,,,,,,
3.3.1,Код города и телефон,2,,3,ФНС России,"АИС ""Налог""",
3.3.2,E-mail,2,,3,ФНС России,"АИС ""Налог""",
3.3.3,Факс,2,,3,ФНС России,"АИС ""Налог""",
4 ,"Сведения, о правоспособности (статусе) юридического лица и регистрирующем органе по месту нахождения юридического лица",,,,,,
4.1 ,Сведения о правоспособности (статусе) юридического лица (код и наименование),1,Ведомственный справочник сведений о правоспособности (статусе) юридического лица (СЮЛСТ),3,ФНС России,"АИС ""Налог""",
4.2,Сведения о регистрирующем (налоговом) органе по месту нахождения юридического лица (код и название),1,Ведомственный справочник СОНО,3,ФНС России,"АИС ""Налог""",
5,Сведения об образовании юридического лица,,,,,,
5.1,Способ образования (код и название),1,Ведомствнный справочник способов создания юридического лица (СЮЛНД),3,ФНС России,"АИС ""Налог""",
5.2,Дата регистрации юридического лица при образовании,2,,3,ФНС России,"АИС ""Налог""",
5.3,"Регистрационный номер, присвоенный юридическому лицу при образовании (для юридических лиц, созданных после 01.07.2002 г., указывается ОГРН)",2,,3,ФНС России,"АИС ""Налог""",
6,Сведения о прекращении деятельности юридического лица,,,,,,
6.1,Способ прекращения деятельности (код и название способа),1,Ведомственный справочник способов прекращения деятельности юридическим лицом (СЮЛПД),3,ФНС России,"АИС ""Налог""",
6.2,Дата прекращения деятельности,2,,3,ФНС России,"АИС ""Налог""",
7,Сведения о правопреемстве,,,,,,
7.1,"Сведения о юридических лицах, правопреемником которых являлось юридическое лицо при создании путем реорганизации или/и при реогранизации в форме слияния, присоединения или преобразования",,,,,,
7.1.1,Вид правопрееммства (код и название),1,Ведомственный справочник видов преемства юридического лица - SVPRUL (CВПРЮЛ),3,ФНС России,"АИС ""Налог""",
7.1.2,Основной государственный регистрационный номер (ОГРН) юридического лица,2,,3,ФНС России,"АИС ""Налог""",
7.1.3,"ИНН юридического лица, в отношении которого сформирована выписка",2,,3,ФНС России,"АИС ""Налог""",
7.1.4,Полное наименование юридического лица,2,,3,ФНС России,"АИС ""Налог""",
7.2,"Сведения о юридических лицах, правопреемниках при прекращении деятельности путем реорганизации",,,,,,
7.2.1,Вид правопреемства (код и название),1,Ведомственный справочник видов прееммства юридического лица - SVPRUL (СВПРЮЛ),3,ФНС России,"АИС ""Налог""",
7.2.3,Основной государственный регистрационный номер (ОГРН) юридического лица-правоприемника,2,,3,ФНС России,"АИС ""Налог""",
7.2.4,ИНН юридического лица - правопреемника,2,,3,ФНС России,"АИС ""Налог""",
7.2.5,Полное наименование юридического лица - правопреемника,2,,3,ФНС России,"АИС ""Налог""",
7.3,"Сведения о крестьяском (фермерском) хозяйстве (КФХ), на базе имущества которого создано юридическое лицо",,,,,,
7.3.1,Вид правопреемства (код и название),1,Ведомственный справочник видов преемства юридического лица - SVPRUL (CВПРЮЛ),3,ФНС России,"АИС ""Налог""",
7.3.2,Основной государственный регистрационный номер (ОГРН) юридического лица,2,,3,ФНС России,"АИС ""Налог""",
7.3.3,"ИНН юридического лица, в отношении которого сформирована выписка",2,,3,ФНС России,"АИС ""Налог""",
7.3.4,Полное наименование юридического лица,2,,3,ФНС России,"АИС ""Налог""",
8,"Сведения об уставном капитале (складочном капитале, уставном фонде, паевых взносах)",,,,,,
8.1,Наименование вида уставного капитала,2,,3,ФНС России,"АИС ""Налог""",
8.2.,Размер в рублях,2,,3,ФНС России,"АИС ""Налог""",
9.,"Сведения о физических лицах, имеющим право без доверенности действовать от имени юридического лица",,,,,,
9.1,Количество,2,,3,ФНС России,"АИС ""Налог""",
9.2,"Сведения о физическом лице, имеющем право без доверенности действовать от имени юридического лица",,,,,,
9.2.1.,Фамилия,2,,3,ФНС России,"АИС ""Налог""",
9.2.2.,Имя,2,,3,ФНС России,"АИС ""Налог""",
9.2.3.,Отчество,2,,3,ФНС России,"АИС ""Налог""",
9.2.4.,Наименование должности ФЛ,2,,3,ФНС России,"АИС ""Налог""",
9.2.5.,ИНН физического лица,2,,3,ФНС России,"АИС ""Налог""",
9.3,Адрес (место нахождения) в Российской Федерации,,,,,,
9.3.1,Почтовый индекс,2,,3,ФНС России,"АИС ""Налог""",
9.3.2,Субъект РФ (регион),2,,3,ФНС России,"АИС ""Налог""",
9.3.3,Наименование района,2,,3,ФНС России,"АИС ""Налог""",
9.3.4,Наименование города,2,,3,ФНС России,"АИС ""Налог""",
9.3.5,Наименование населенного пункта,2,,3,ФНС России,"АИС ""Налог""",
9.3.6,Наименование улицы,2,,3,ФНС России,"АИС ""Налог""",
9.3.7,Номер дома (владение),2,,3,ФНС России,"АИС ""Налог""",
9.3.8,Корпус (строение и т.п.),2,,3,ФНС России,"АИС ""Налог""",
9.3.9,Квартира (офис и т.п.),2,,3,ФНС России,"АИС ""Налог""",
9.4,Контактные данные,,,,,,
9.4.1,Код города и телефон,2,,3,ФНС России,"АИС ""Налог""",
9.4.2,Телефон,2,,3,ФНС России,"АИС ""Налог""",
9.4.3,E-mail,2,,3,ФНС России,"АИС ""Налог""",
9.4.4,Факс,2,,3,ФНС России,"АИС ""Налог""",
10.,Сведения об управляющей организации - российском юридическом лице,,,,,,
10.1.,Основной государственный регистрационный номер юридического лица,2,,3,ФНС России,"АИС ""Налог""",
10.2.,ИНН юридического лица,2,,3,ФНС России,"АИС ""Налог""",
10.3.,Полное наименование юридического лица,2,,3,ФНС России,"АИС ""Налог""",
10.4,Адрес (место нахождения) в Российской Федерации ,,,,,,
10.4.1,Почтовый индекс,1,Ведомственный классификатор адресов России,3,ФНС России,"АИС ""Налог""",
10.5,Субъект Российской Федерации,,,,,,
10.5.1,Код субъекта Российской Федерации,1,Ведомственный классификатор адресов России,3,ФНС России,"АИС ""Налог""",
10.5.2,"Тип адресного объекта (республика, край и т.п.) и наименование",2, ,3,ФНС России,"АИС ""Налог""",
10.5.3,Район: тип адресного объекта и наименование,2,,3,ФНС России,"АИС ""Налог""",
10.5.4,Город: тип адресного объекта и наименование,2,,3,ФНС России,"АИС ""Налог""",
10.5.5.,"Населенный пункт: тип адресного объекта (деревня, село и т.п.) и наименование",2,,3,ФНС России,"АИС ""Налог""",
10.5.6,"Улица: тип адресного объекта (улица, проспект и т.п.) и наименование",2,,3,ФНС России,"АИС ""Налог""",
10.5.7,Номер дома (владение и т.п.),2,,3,ФНС России,"АИС ""Налог""",
10.5.8,Корпус (строение и т.п.),2,,3,ФНС России,"АИС ""Налог""",
10.5.9,Квартира (офис и т.п.),2,,3,ФНС России,"АИС ""Налог""",
10.6,Контактные данные,,,,,,
10.6.1,Код города и телефон,2,,3,ФНС России,"АИС ""Налог""",
10.6.2,E-mail,2,,3,ФНС России,"АИС ""Налог""",
10.6.3,Факс,2,,3,ФНС России,"АИС ""Налог""",
11.,Сведения об учете в налоговом органе,,,,,,
11.1.,Дата постановки на учет в налоговом органе,2,,3,ФНС России,"АИС ""Налог""",
11.2.,Дата снятия с учета в налоговом органе,2,,3,ФНС России,"АИС ""Налог""",
11.3.,Код налогового органа по месту нахождения ЮЛ по справочнику СОУН,1,Ведомственный справочник кодов обозначения налоговых органов для целей учета налогоплательщиков,3,ФНС России,"АИС ""Налог""",
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
