"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО Слюдянский район",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
1,"ООО ""Конверсия+""  3837003186",Межрайонная ИФНС России № 1 по Иркутской области и УОБАО,А 200408 бланк А 200408 с 15.12.2005 г. По 15.12.2015г.,"г. Байкальск, мкн. Гагарина, 2а, диско-бар ""Космос""",,,,,,
2,"ООО ""Меркурий""    3837003210",Межрайонная ИФНС России № 1 по Иркутской области и УОБАО,№ 4  бланк А 200417 с 05.07.2011г  по 05.07.2012 ,"Слюдянский район, р.п. Култук, ул. Кирова, 185, магазин ""Меркурий""",,,7/5/2012,,,
3,"ООО ""Авангард""   3837004038",Межрайонная ИФНС России № 1 по Иркутской области и УОБАО,№ 6 бланк А 200419  с 08.07.2011 по 08.07.2012,"г. Байкальск, ул. Гагарина, в районе магазина ""Нива"", павильон ""Михалыч""",,,7/8/2012,,,
4,"ООО ""Надежда""     3837003115",Межрайонная ИФНС России № 1 по Иркутской области и УОБАО,№ 7  бланк А 200502  с 08.07.2011 по 08.07.2012,"г. Слюдянка, ул. Амбулаторная, 10/1, павильон ""Наташа""",,,7/8/2012,,,
,,,,"г. Слюдянка, пер. Красногвардейский, павильон ""Надежда-2""",,,,,,
,,,,"г. Слюдянка, ул. Заречная, 1/1, павильон ""Татьяна""",,,,,,
,,,,"г. Слюдянка. Ул. Амбулаторная, 26/1, павильон ""Надежда""",,,,,,
5,"ООО ""ЕКО""                   3837003323",Межрайонная ИФНС России № 1 по Иркутской области и УОБАО,№ 8 бланк А 200501 с 08.07.2011 по 08.07.2012,"р.п. Култук, ул. Профсоюзная, 7,магазин ""Колосок""",,,7/8/2012,,,
,,,,"р.п. Култук, ул. Кирова, 44, магазин ""Колосок""",,,,,,
6,"ООО ""Лентрансфер"" 3837003355",Межрайонная ИФНС России № 1 по Иркутской области и УОБАО,№14 бланк А 200504  с 27.07.2011 по 27.07.2012,"г. Байкальск, ул. Гагарина, 153, магазин ""Визит""",,,7/27/2012,,,
,,,,"г. Байкальск, п. Строитель, остановка ""МЖК"", магазин ""Кузьмич""",,,,,,
7,"ООО ""Елена""                        3837003203",Межрайонная ИФНС России № 1 по Иркутской области и УОБАО,№ 15 бланк А 200429 с 30.06.2011 по 30.06.2012,"г. Байкальск, ул. Гагарина, строение № 7, площадь у Дома торговли, магазин ""Елена""",,,7/1/2012,,,
,,,,"г. Байкальск, ул. Гагарина, 215, первый этаж, Дом торговли, отдел",,,,,,
,,,,"Слюдянский район, п. Утулик, ул. Горная, 48, магазин ""Лесной""",,,,,,
8,"ООО ""Тигран""           3837003130",Межрайонная ИФНС России № 1 по Иркутской области и УОБАО,№ 83 бланк А 200508  с 03.08.2011 года по 03.08.2012 года ,"г.Байкальск, пер. Школьный, район у дома № 20, магазин ""Тигран""",,,,,,
,,,,"г. Слюдянка, ул. Куприна, 20, магазин",,,,,,
9,"ООО ""Кедр""               3837003404",Межрайонная ИФНС России № 1 по Иркутской области и УОБАО,№ 19 бланк А 200433 с 12.08.2011 по 12.08.2012,"г. Слюдянка, ул. Ленина, 92а, магазин ""Кедр-1""",,,,,,
,,,,"г. Слюдянка, ул. Ленина, между домами №85 и №89, магазин ""Кедр",,,,,,
10,"ООО ""Белочка""       3837004165",Межрайонная ИФНС России № 1 по Иркутской области и УОБАО,№ 25 бланк А 200439  с 11.10.2011 по 11.07.2012,"г. Слюдянка, ул. Ленина, 24/1, магазин ""Белочка""",,,,,,
11,"ООО ""Гермес""           3837004126",Межрайонная ИФНС России № 1 по Иркутской области и УОБАО,№ 27  бланк А 200441 с 17.10.2011 по 17.10.2012,"Слюдянский район, п. Утулик, 140 км а/дороги ""Иркутск-Чита"", кафе ""Полина""",,,,,,
,,,,"Слюдянский район, п. Утулик, 140 км а/дороги ""Иркутск-Чита"", экспресс-кафе ""Полина""",,,,,,
12,"ООО ""Ануш""             3837003394",Межрайонная ИФНС России № 1 по Иркутской области и УОБАО,№ 96 бланк А 200521 с 28.04.2012 по 28.04.2013,"г. Слюдянка, ул. Ленина, 130/2, магазин ""Ануш""",,,,,,
,,,,"г. Слюдянка, ул. Ленина, 63, кафе ""Кристалл""",,,,,,
13,"ООО ""Олимп""          3837003073",Межрайонная ИФНС России № 1 по Иркутской области и УОБАО,А 200446 № 32 с 26.04.2007 по 25.04.2012,"г. Слюдянка, ул. Советская, 39, магазин ""Копеечка-3""",прекращена,,с 26.04.2012,,,
,,,,"г. Слюдянка, ул. Пролетарская, 38а, магазин ""Копеечка-5""",,,,,,
,,,,"г. Слюдянка, ул. Советская, в районе автостанции, магазин ""копеечка-4""",,,,,,
14,"ООО ""Пятерочка""",,4304 № АН 00302Пр2 с 25.01.2007 по 24.01.2012 года,"г. Байкальск, мкн. Гагарина, 215, отдел в магазине",,,,,администрация г. Иркутска,
15,"ООО ""Эдельвейс-Байкал"" 3837004550",Межрайонная ИФНС России № 1 по Иркутской области и УОБАО,№ 35 бланк А 200449  с 20.09.2007 по 20.09.2012,"г. Байкальск, мкн. Красный ключ, 66, кафе ""Эдельвейс""",,,,,,
16,"ООО ""Анюта""           3837004609",Межрайонная ИФНС России № 1 по Иркутской области и УОБАО,№ 36 бланк А 200450  с 27.09.2007 по 26.09.2012,"г. Слюдянка, ул. Парижской Коммуны. 8, кафе ""Анюта""",,,,,,
17,"ООО ""Попов""            3837004133",Межрайонная ИФНС России № 1 по Иркутской области и УОБАО,№ 37 бланк А 200451  с 05.10.2007 по 04.10.2012,"Слюдянский район, д. Быстрая, ул. Советская, 34, магазин ""Смак""",,,,,,
,,,,"Слюдянский район, д. Быстрая, ул. Советская, 34, кафе ""Смак""",,,,,,
18,"ООО ""Чайка""               3837003235",Межрайонная ИФНС России № 1 по Иркутской области и УОБАО, № 39 бланк А 200453 с 12.08.2011 по 11.08.2012,"г. Слюдянка, ул. 40 лет Октября, 49, магазин ""Байкал""",,,,,,
,,,,"г. Слюдянка, ул. 40 лет Октября, 15, магазин ""Чайка""",,,,,,
19,"ООО ""Елена""             3837004567",Межрайонная ИФНС России № 1 по Иркутской области и УОБАО,№ 40 бланк А 200454  с 11.12.2007 по 11.12.2012,"р.п. Култук, ул. Кирова, 19 ""А"", магазин ""Елена""",,,,,,
20,"ООО ""Черемушки"" 3837004045",Межрайонная ИФНС России № 1 по Иркутской области и УОБАО,№ 40 бланк А 200503  с 07.07.2011 по 07.07.2012,"р.п. Култук, ул. Кирова, 52Б, магазин ""Марина""",,,7/7/2012,,,
,,,,"р.п. Култук, ул. Профсоюзная, 3 кафе-бар ""Черемушки""",,,,,,
,,,,,,,,,,
,,,,"р.п. Култук, ул. Профсоюзная, 3, магазин ""минимаркет""",,,,,,
21,"ООО Черемушки""  3837004775",Межрайонная ИФНС России № 1 по Иркутской области и УОБАО,№ 42 бланк А 200456  с 25.12.2007 по 25.12.2012,"г. Слюдянка, ул. Советская, 28/1, павильон ""Черемушки""",,,,,,
22,"ООО ""Слух""       3837002986",Межрайонная ИФНС России № 1 по Иркутской области и УОБАО,№ 82 бланк А 200507  с 02.12.2005 года по 02.12.2020 года ,"г. Слюдянка, ул. Ленина, 94, магазин",,,,,,
23,"ООО ""Веста""  3837003228    ",Межрайонная ИФНС России № 1 по Иркутской области и УОБАО,№ 71  бланк А 200499 с 02.08.2011 по 02.08.2012,"г. Слюдянка, ул. Советская, 32А, магазин ""Янтарь""",,,,,,
,,,,,,,,,,
,,,,"г. Слюдянка, ул. Ленина, 29/2, минимаркет ""Веста""",,,,,,
24,"ООО ПКФ ""Инженерные системы""  3811100690", ИФНС России по Октябрьскому округу г. Иркутска,№ 50 бланк А 200464 с 23.05.2008 по 23.05.2013,"Слюдянский район, п. Утулик, база отдых ""Утулик"", спальный корпус 2, бар",,,,,,
25,"ООО ""Петрович""      3837004824",Межрайонная ИФНС России № 1 по Иркутской области и УОБАО,№ 51  бланк А 200465 с 30.05.2008 по 30.05.2013,"Слюдянский район, п. Тибельти, ул. Засопочная, 2А, магазин",,,,,,
26,"ООО ""Магнит""        3848000162",Межрайонная ИФНС России № 1 по Иркутской области и УОБАО,№ 54 бланк А 200469  с 01.11.2008 по 01.11.2013,"г. Слюдянка, ул. Совествкая, 19 ""А"", кафе ""Магнит""",,,,,,
27,"ООО ""Альянс""            3837003309",Межрайонная ИФНС России № 1 по Иркутской области и УОБАО, № 86 бланк А 200511 18.11.2011 по 30.06.2012,"г. Слюдянка, ул. Парижской Коммуны, 75, магазин ""Альянс-1""",,,7/1/2012,,,
,,,,"г. Слюдянка, ул. Ленина, 54А, магазин ""Альянс-2""",,,,,,
,,,,"г. Слюдянка, ул. Ленинградская, 4а, магазин ""Альянс-3""",,,,,,
,,,,"г. Слюдянка, ул. Советская, 50/1, магазин ""Альянс-4""",,,,,,
,,,,,,,,,,
,,,,"г. Слюдянка, ул. Фрунзе, 5, магазин ""Альянс-6""",,,,,,
,,,,,,,,,,
28,"ООО ""Магнит""        3837003490",Межрайонная ИФНС России № 1 по Иркутской области и УОБАО,№ 102 серия А 200527 от 24.07.2012 взамен № 58 бланк А 200473  с 18.10.2011 по 18.10.2012,,,,,,,
,,,,"Слюдянский район, п. Утулик, ул. Набережная, 4, магазин",,,,,,
29,"ОАО ""Ангарская нефтехимическая компания"" УСКС",,А 167262 № 69 от 08.04.2009 по 08.04.2014,"Иркутская область, Слюдянский район, п. Утулик, столовая базы отдыха ""Утулик""",,,,,Администрация Ангарского муниципального образования,
30,"ООО ""Елена""            3837003789",Межрайонная ИФНС России № 1 по Иркутской области и УОБАО,№ 60 бланк А 200475  от 29.05.2009 по 29.05.2014,"Слюдянский район, п. Мурино, ул. Байкальская, 2, магазин",,,,,,
31,"ООО ""ОМНИ-СЕРВИС"" 3801069916",Инспекция МНС России по г. Ангарску Иркутской области,"А 200476 № 61 от 03.06.2009 по 03,06.2014","Слюдянский район, п. Култук, ул. Депутатская, 69""Б""",с 14.11.2011 по 14.05.2012,,,,,
,,,,"г. Слюдянка, пер. Магистральный, 1/1, магазин ",,,,,,
32,"ЗАО ""Иркутскнефтепродукт""",,АН00432 ПР6 от 01.11.2009 срок действия с 11.01.2008 по 10.01.2013,"г. Байкальск, 146 км +375 м автодороги ""Иркутск-Чита"", магазин",,,,,Администрация г. Иркутска,
,,,,"Слюдянский район, р.п. Култук, 101км+100м автодороги ""Иркутск-Чита"" магазин",,,,,,
33,"ООО ""ВИТЕКС""        3848001945",МРИФНС № 1 по Иркутской области,А 200483 № 65 с 17.12.2009 по 17.12.2014,"г. Слюдянка, ул. Ленина, 17А, магазин",с 14.11.2011 по 14.05.2012,,,,,
34,"ООО ""Валентина"" 3837003179",Межрайонная ИФНС России № 1 по Иркутской области и УОБАО,№ 66 бланк А 200484  от 25.12.2009 по 25.12.2014,"г. Слюдянка, ул. Амбулаторная, 20, магазин",,,,,,
35,"ООО ""Продукты у Ирины"" 3848002000",МРИФНС № 1 по Иркутской области,№ 75 бланк А 200493  от 03.12.2010 по 25.12.2014 ,"г. Байкальск, мкн. Гагарина, район магазина ""Книги"", павильон",,,,,,
