"Реестр действующих, приостановленных лицензий на 01.10.2012",,,,,,,,,,,,
вид деятельности: розничная продажа алкогольной продукции,,,,,,,,,,,,
,,,,,,,,,,,,
,Название/ФИО,Адрес,ИНН,ОГРН,Дата регистрации,Номер бланка,Рег. номер,Дата выдачи,Срок действия,Орган выдавший лицензию,Действующая приостановка,Объекты
1,"Общество с ограниченной ответственностью ""ГАГАТ-М""","г. Обнинск, ул. Лейпунского д.3",4025070215,1024000948938,14.05.2002,М001770,70,14.03.2012,02.04.2012 - 01.04.2014,Министерство конкурентной политики и тарифов Калужской области, ,"магазин - г. Обнинск, ул. Королева д.14"
2,Жиздринское районное потребительское общество,"Жиздринский район, г. Жиздра, ул. Коммунистическая д.23/2",4006000597,1024000596641,29.05.2002,М002001,306,29.08.2012,30.08.2012 - 25.10.2013,Министерство конкурентной политики и тарифов Калужской области, ,"магазин ""Продукты""  №2 - Жиздринский район, г. Жиздра, ул. Коммунистическая д.45"
,,,,,,,,,,,,"магазин ""Продукты""  №17 - Жиздринский район, г. Жиздра, ул. К.Либкнехта д.23"
,,,,,,,,,,,,"магазин ""Продукты"" - Жиздринский район, ст. Судимир, ул. Центральная д.18"
,,,,,,,,,,,,"магазин ""Продукты""  №3 - Жиздринский район, г. Жиздра, ул. Фокина д.18"
,,,,,,,,,,,,"магазин ""Продукты"" - Жиздринский район, с. Зикеево, ул. Школьная д.1"
,,,,,,,,,,,,"магазин  ""Продукты"" - Жиздринский район, д. Коренево, ул. Молодежная д.10"
,,,,,,,,,,,,"магазин ""Пайщик"" - Жиздринский район, г. Жиздра, ул. Коммунистическая д.13/1"
,,,,,,,,,,,,"магазин ""Продукты"" - Жиздринский район, п. Коллективизатор, ул. Центральная д.2"
,,,,,,,,,,,,"магазин ""Продукты"" - Жиздринский район, с. Студенец, ул. Школьная д.12"
,,,,,,,,,,,,"магазин ""Продукты"" - Жиздринский район, с. Зикеево, ул. Центральная д.3а"
,,,,,,,,,,,,"магазин ""Продукты"" № 5 - Жиздринский район, г. Жиздра, ул. Брянская д.1"
,,,,,,,,,,,,"магазин ""Продукты"" - Жиздринский район, с. Овсорок, ул. Центральная д.1"
,,,,,,,,,,,,"магазин ""Продукты"" - Жиздринский район, рзд. Березовский, ул. Пристанционная д.12"
3,"Общество с ограниченной ответственностью ""ПАРАДИЗ""","г. Калуга, ул. Хрустальная д.33",4027023108,1024001344597,06.12.1999,М000623,308,03.12.2008,09.12.2008 - 08.12.2013,Министерство конкурентной политики и тарифов Калужской области, ,"магазин ""Продукты"" - г. Калуга, ул. Хрустальная д.33"
4,"Общество с ограниченной ответственностью ""Вента-Арт""","г. Обнинск, пр-кт Маркса д.8",4025017525,1024000939698,25.07.2002,М000365,50,05.03.2008,06.03.2008 - 25.08.2013,Министерство конкурентной политики и тарифов Калужской области, ,"магазин ""Букет"" - г. Обнинск, пр-кт Маркса д.8"
,,,,,,,,,,,,"магазин ""Букет"" - г. Обнинск, пр-кт Ленина д.104"
,,,,,,,,,,,,"магазин ""Родной"" - г. Обнинск, ул. Красных Зорь д.9"
,,,,,,,,,,,,"магазин ""Родной"" - г. Обнинск, пр-кт Ленина д.67"
,,,,,,,,,,,,"магазин ""Родной"" - г. Обнинск, ул. Гагарина д.30"
,,,,,,,,,,,,"магазин ""Букет"" - г. Обнинск, ул. Гагарина д.45"
,,,,,,,,,,,,"магазин ""Родной"" - г. Обнинск, ул. Циолковского д.8"
