Реестр действующих лицензий на розничную продажу алкогольной продукции на 01.09.2012 года,,,,,,,,,,,,,,,,,,
№п/п,Наименование организациии,ИНН,КПП,Адрес юридический,Адрес осуществления вида деятельности,Код субъекта РФ,Регистрационный номер лицензии,Серия лицензии,Номер лицензии,"Дата выдачи (месяц, число, год)","Дата окончания действия (месяц, число, год)","Дата приостановления действия (месяц, число, год)","Дата возобновления действия (месяц, число, год)","Дата прекращения действия (месяц, число, год)","Дата аннулирования (месяц, число, год)",Руководитель организации,Контактный телефон,"Муниципальный орган, выдавший лицензию"
1,ООО «Бипорт»,2204019395,40701001,"РА Турочакский район, с.Иогач, ул.Центральная, 14/А","РА Турочакский р-он, с. Иогач, ул.Центральная,14/А, с.Артыбаш, ул.Телецкая,78Г; ул.Телецкая,78Л",,4,ГА,1124,06.26.2012,06.26.2015,,,,,Образцов К.Г.,8(38843)27382,"МО ""Турочакскмй район"""
2,ООО «Заркова»,407007151,40701001,"РА Турочакский район, с.Турочак, ул.Советская,45","РА Турочакский район, с. Турочак, ул. Советская, 24/А  ",,1,Г,557,11/7/2006,10/7/2014,,,,,Заркова Н.Е ,8(38843)22718,"МО ""Турочакскмй район"""
,,,,,"ул.Советская,24А, ул.Комсомольская,48",,,,,,,,,,,,,
3,ООО «Байгол лес»,407007120,40701001,"РА Турочакский район, с.Бийка, ул.Набережная,7","РА Турочакский район, с. Бийка ул. Набережная 7",,1,Г,560,01.28.2010,01.27.2015,,,,,Горенков А.М.,89069702358,"МО ""Турочакскмй район"""
4,ООО «Торговый дом Дубровиных»,407007190,40701001,"РА Турочакский район, с.Артыбаш, ул.Телецкая б/н","РА Турочакский район, с. Артыбаш, ул Телецкая,",,3,ГА,1126,07.27.2012,07.27.2013,,,,,Дубровина О.В.,8(38843)27449,"МО ""Турочакскмй район"""
,,,,,"ул. Центральная, 25.",,,,,,,,,,,,,
5,ООО «Зильбер»,407007476,40701001,"РА Турочакский район, с.Иогач, ул.Центральная 14Б ","РА Турочакский район, с. Иогач, ул. Центральная, 14/Б",,4,ГА,1127,07.27.2012,07.27.2013,,,,,Зильбер А.А.,8(38843)27390,"МО ""Турочакскмй район"""
6,ООО «Золотой берег»,407007070,40701001,"РА Турочакский район, с.Артыбаш, ул.Телецкая, 78А","РА Турочакский район, с. Артыбаш, ул. Центральная, 78/А ",,3,Г,562,01.27.2010,01.27.2015,,,,,Попов А.Б.,8(38843)26481,"МО ""Турочакскмй район"""
7,ООО «Жемчужина»,407007955,40701001,"РА Турочакский район, с.Артыбаш, ул.Телецкая,77","РА Турочакский район, с.Артыбаш, ул.Телецкая,77",,21,Г,553,2/12/2008,12/2/2013,,,,,Климченков Н.М.,,
8,ООО «Союз»,407007225,40701001,"РА Турочакский район, с.Турочак, ул.Тельмана,42","РА Турочакский район, с. Турочак, ул. Советская, 126, ",,1,Г,555,3/4/2009,2/4/2014,,,,,Солопов А.В.,8(38843)22278,"МО ""Турочакскмй район"""
,,,,,"ул.Тельмана, с.Верх-Бийск, с.Каяшкан",,,,,,,,,,,,,
9,ООО «Крохалева»,407007257,40701001,"РА Турочакский район, с.Турочак, ул.Лебедская,14","РА Турочакский район, с. Турочак, ул Лебедская 14, ул.Советская 140/2",,12,Г,539,5/9/2006,4/9/2012,,,,,Крохалева В.И.,8(38843)22848,"МО ""Турочакскмй район"""
10,ООО «Пчелка»,407007049,40701001,"РА Турочакский район с.Турочак, ул.Советская,51","РА Турочакский район, с. Озеро-Куреево,",,14,Г,541,12.27.2006,12.26.2012,,,,,Поздеева О.А.,8(38843)22671,"МО ""Турочакскмй район"""
,,,,," с.Турочак, ул. Тельмана,24, ул. Советская, ул.Боляева",,,,,,,,,,,,,
11,ООО «Настроение»,407007338,40701001,"РА Турочакский район, с.Артыбаш, ул.Телецкая б/н","РА Турочакский район, с.Артыбаш, ул.Телецкая б/н",,15,ГА,1117,02.28.2007,02.27.2013,,,,,Кыдатова Л.А.,89618932518,"МО ""Турочакскмй район"""
12,ООО «ВЛЭМ»,407007472,40701001,"РА Турочакский район, с.Турочак, ул.Рабочая,69","РА Турочакский район, с. Артыбаш, ул. Телецкая, 78/Б;с.Турочак, ул.Рабочая, 69",,3,ГА,1122,05.28.2012,05.28.2013,,,,,Сомохвалова В.А.,8(38843)22770,"МО ""Турочакскмй район"""
13,ООО «Надежда»,407007480,40701001,"РА Турочакский район, с.Турочак, ул.Советская, 5Б","РА Турочакский район, с.Турочак, ул.Советская, 5Б",,5,Г,565,03.23.2011,3/7/2013,,,,,Шебалина Н.В.,8 (38843)22336,"МО ""Турочакскмй район"""
14,ООО «Айяна»,407007666,40701001,"РА Турочакский район, с.Кебезень, ул.Береговая,1","РА Турочакский район, с. Артыбаш, ул. Телецкая, 78/Е,с.Кебезень ул.Центральная,32",,20,Г,549,06.27.2008,06.26.2013,,,,,Рецлав Е.П.,8(38843)28360,"МО ""Турочакскмй район"""
15,ООО «Коляда»,407008042,40701001,"РА Турочакский район, с.Турочак, ул.Колхозная, 43/1","РА Турочакский район, с. Турочак, ул. Советская, 1",,2,Г,556,5/6/2009,4/6/2014,,,,,Вялкова М.В.,,"МО ""Турочакскмй район"""
16,ООО «Гостиница Артыбаш»,407007948,40701001,"РА Турочакский район, с.Артыбаш, ул.Телецкая,2/А","РА Турочакский район, с. Артыбаш, ул Телецкая,2/А",,3,Г,558,11.17.2009,11.16.2014,,,,,Буташов А.В.,8(38843)27700,"МО ""Турочакскмй район"""
17,"ООО ""ТК ""Золотое озеро""",407008099,40701001,"РА Турочакский район, с.Артыбаш база отдыха ""Золотое озеро""","РА Турочакский район, с.Артыбаш база отдыха ""Золотое озеро""",,6,ГА,1118,12.28.2011,12.27.2012,,,,,Горохова К.С.,8(38843)27647,"МО ""Турочакскмй район"""
18,ООО «Березка»,407008162,40701001,"РА Турочакский район, с.Озеро-Куреево, ул.Центральная,32","РА Турочакский район, с. Озеро-Куреево ул. Центральная 32",,2,Г,561,01.28.2010,01.27.2015,,,,,Фадеева М.В.,,"МО ""Турочакскмй район"""
19,ООО «Позитив» ,2204030014,220401001,"Алтайский край,г.Бийск, ул.Социалистическая 5/1",РА Турочакский район:,,2,ГА,1119,05.16.2012,12.21.2015,,,,,Сальников О.В.,8(3854)443738,"МО ""Турочакскмй район"""
,,,,,"с. Турочак, ул. Советская, 181, ул. Советская, 61; ул.Тельмана,62, ул.Советская,148А;ул.Советская, 55;ул.Тельмана,30Б;ул.Лесхозная,20;ул.Луговая,14;ул.Майская,3",,,,,,,,,,,,,
,,,,,"с. Кебезень, ул. Центральная,15в; с. Артыбаш, ул. Телецкая, 30а",,,,,,,,,,,,,
,,,,,с. Иогач ул. Центральная 12а;,,,,,,,,,,,,,
,,,,,"с. Санькино ул. Центральная, 16., с.Верх-Бийск, ул.Школьная,17А, с.Тондошка, ул.Школьная,1",,,,,,,,,,,,,
,,,,,Чойский район:,,,,,,,,,,,,,
,,,,,"с. Каракокша ул. Строителей 13;ул.Юбилейная, 40/1;с. Чоя ул. Советская 1/4",,,,,,,,,,,,,
,,,,,с. Ускуч ул. Центральная 1.,,,,,,,,,,,,,
,,,,,Майминский район:,,,,,,,,,,,,,
,,,,,"с. Майма ул.Подгорная,37;ул. Заводская 52, ул.Источная, 52А,ул.Подгорная,43, ул.Ленина,62;ул.Алгаирская,11, ул.Папардэ,25А;61а;с.Карлушка,ул.Трактовая,б/н",,,,,,,,,,,,,
,,,,,"с. Манжерок ул. Дружбы, 61А;с. Кызыл-Озек ул. Советская 64а, ул. Советская 67;с.Соузга, ул.Трактовая,1",,,,,,,,,,,,,
,,,,,Чемальский район:,,,,,,,,,,,,,
,,,,,"с. Анос, ул. Центральная 53а; с. Чепош, ул. Кучияк, 49;с.Элекмонар, ул.Советская,144;с.Узнезя, ул.Центральная, б/н",,,,,,,,,,,,,
,,,,,Шебалинский район:,,,,,,,,,,,,,
,,,,,"с. Черга ул. Октябрьская 104;Усть-Канский район, с.Усть-Кан, ул.Ленинская, 12",,,,,,,,,,,,,
20,ООО «ТЭТ»,404006978,40400101,"РА Онгудайский район, с.Ело","РА Онгудайский район, с.Ело",,25,Г,301,12.21.2006,12/20/2012,,,,,Теркина Е.А.,8(38845)21351,"МО ""Онгудайский район"""
21,ООО «Карлагаш»,404006880,40400101,"РА Онгудайский район, с.Ело, ул.Почтовая,6","РА Онгудайский район, с.Ело, ул.Почтовая,6",,13,ГА,628,06.26.2012,12.26.2012,,,,,Кудачина З.А.,8(38845)21342,"МО ""Онгудайский район"""
22,ООО «Луч»,404006992,40400101,"РА Онгудайский район, с.Ело","РА Онгудайский район, с.Ело",,16,ГА,631,9/7/2012,5/1/2012,,,,,Макышева В.М.,8(38845) 21320,"МО ""Онгудайский район"""
23,ООО «Ника»,404006689,40400101,"РА Онгудайский район, с.Теньга",РА Онгудайский район:,,10,Г,133,06.19.2006,06.18.2013,,,,,Никифорова О.Н.,8(38845)23386,"МО ""Онгудайский район"""
,,,,,"с.Теньга, ул.Центральная, 41;с.Талда, ул.Яш-Корбо, 27;",,,,,,,,,,,,,
,,,,,"с.Шиба, ул.Трактовая, 32А, ул.Школьная, 19",,,,,,,,,,,,,
24,ООО «Шанс»,404006946,40400101,"РА Онгудайский район, с.Туэкта, ул.Семенова 54/1","РА Онгудайский район, с.Туэкта, ул.Семенова 54/1",,8,Г,624,4/5/2012,4/5/2013,,,,,Пионтковская Е.М.,89039199115,"МО ""Онгудайский район"""
25,ООО «Исток»,404006696,40400101,"РА Онгудайский район, с.Теньга, ул.Нагорная,2А","Онгудайский район, с.Теньга, ул.Нагорная 2А, ул.Центральная 39А, ул.Яш-Корбо,29",,8,Г,136,06.22.2006,06.21.2013,,,,,Соснина Г.Т.,8(38845)23338,"МО ""Онгудайский район"""
26,ООО «Эльдорадо»,404007001,40400101,"РА Онгудайский район, с.Туэкта, ул.Семенова,33","РА Онгудайский район, с.Туэкта, ул.Семенова,33",,4,Г,719,1/6/2012,1/6/2013,,,,,Шандынова Е.Е.,89095084685,"МО ""Онгудайский район"""
27,ООО «Золотой кедр»,404006720,40400101,"Онгудайский район, Семинский перевал, 581км.Чуйского тракта","РА Онгудайский район, Семинский перевал, 508 км. Чуйского тракта",,12,ГА,627,06.14.2012,06.15.2013,,,,,Аильдашева Н.П.,89139989229,"МО ""Онгудайский район"""
28,ООО «Байан»,404006640,40400101,"РА Онгудайский район, с.Каракол, ул.Чорос-Гуркина,33","РА Онгудайский район, с.Каракол, ул.Чорос-Гуркина,33",,4,В,131,04.17.2006,04.16.2013,,,,,Оинчинова Е.Ч.,89030745306,"МО ""Онгудайский район"""
29,ООО «Курелей»,404006939,40400101,"РА Онгудайский район, с.Бичикту-Боом","РА Онгудайский район, с.Каракол, с.Бичикту-Боом",,1,Г,306,12.27.2006,12.26.2012,,,,,Кахтунов Э.Р.,89139990892,"МО ""Онгудайский район"""
30,ООО «Кандык»,404006960,40400101,"РА Онгудайский район, с.Нижняя-Талда, ул.Тодубай,67","РА Онгудайский район: с.Нижняя- Талда, ул.Тодубай,67, ул.Талду, 7, ул.Талду,49;",,5,Г,305,12.29.2008,12.25.2013,,,,,Кокулева С.Т.,8(38845)26512,"МО ""Онгудайский район"""
,,,,,"с.Курота, ул.Трактовая,3; с.Каракол, ул.Чорос-Гуркина,9",,,,,,,,,,,,,
31,ООО «Тандалай»,404006671,40400101,"РА Онгудайский район, с.Шашикман","РА Онгудайский район, с.Шашикман",,10,ГА,626,4/6/2012,5/6/2013,,,,,Санарова Л.Ю.,8(38845)27321,"МО ""Онгудайский район"""
