Кадошкинский район,,,,,,,,,,,
№,Регис-,Серия,"Наименование организации,",,Адреса,Кол - тво,Срок ,№ ,Дата,Ф.И.О.,
орга,тра-,лицензии,"юридический адрес, почтовый адрес",,торговых объектов,торговых,действия,"телефона,",приоста-,,
низа,цион-,,,,,объектов,лицензииё,факс,новки и,,
ции,ный,,,ИНН,,,,,возобнов-,,
,№,,,,,,,,ления,,
,лицен-,,,,,,,,лицензии,,
,зии,,,,,,,,,,
1,211,13 МЕ,"ООО ""Созидание"" с. Б. Полянки, Каошкинский р-н",1311088320,"м-н ТПС № 1, с. Б. Полянки, ул. Ленина, 114",7,31/08/09,2-64-32,пр.10.12.09,Кильдеев Рафик Шамильевич,
,,000968,,,"м-н ТПС № 2, с. Б. Полянки, ул. Советская, 5",,31/08/12,2-64-33,в. 24.12.09,,
,,,,,"м-н ТПС № 1, с. Паево, ул. Школьная, 20",,"""-""-""-""",2-64-55,,,
,,,,,"м-н ТПС№ 2, с. Паево, ул. Московская, 4",,"""-""-""-""",89271988793,,,
,,,,,"м-н ТПС, с. Глушково, ул. Центральная, 45",,"""-""-""-""",2-00-75,,,
,,,,,"м-н ТПС, с. Сиал Майдан, ул. Базарная",,"""-""-""-""",,,,
,,,,,"м-н ТПС, ст. Инсар, ул. Кооперативная",,"""-""-""-""",,,,
1,181,13 РМ,"ООО ""Надежда"" п. Кадошкино, ул. Блинкова, 57",1311088377,"м-н п. Кадошкино, ул. Светотехническая",6,29/06/12,2-32-68,,Капкаев Рафик Закирович,
,,000071,,1051323017415,"м-н п. Кадошкино, ул. Блинкова",,30/06/13,2-32-70,,,
,,,,,"м-н п. Кадошкино, ул. Пугачева",,,,,,
,,,,,"кафе п. Кадошкино, ул. Блинова, 1",,,,,,
,,,,,"магазин, п. Кадошкино, ул. Первомайская",,,,,,
,,,,,"м-н с. Пушкино, ул. Пушкинская, Кадошкинский район",,,,,,
1,99,13 МЕ,"ГУП РМ ""Развитие села"" г. Саранск,",1300000807,"м-н ""Нива-24"" п. Кадошкино, ул. Болдина, 1",1,27/04/12,,,,
,,002026,"ул. Московская, 1",,,,23/12/16,,,,
