"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по Зиминскому городскому  МО ",,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,
,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями)
1,2,3,4,5,6,7,8,9,10
1,"Общество с ограниченной ответственностью «Орбита»
ИНН 3806000481

",МИФНС России № 2 по Иркутской области и УОБАО,Переоформление                              № 13 А 154415 с 14.07.2012                         по 19.12.2013                                                                                               Взамен         А 154400 по 19.12.2013                                                                                    ,"1. Маг. № 4 – г. Зима,ул. 5-ой Армии, 34;",01.06.2009               три месяца,7/14/2009,,,
,,,,"2. Маг. «Орбита» -  г. Зима, м/н Ангарский, 7;",,,,,
,,,,"3. Маг. № 11 – г. Зима, ул. Клименко, 40; ",,,,,
,,,,,,,,,
,,,,"4. Маг. № 69 – г. Зима, ул. Садовая, 57;",,,,,
,,,,"5. Маг. «Кедр» - г. Саянск, м/н Юбилейный, 14;",,,,,
,,,,"6. Маг. «Надежда» - г.Саянск, м/н Ленинградский,8.      7. Маг. № 55 - г. Зима, ул. Лазо, 5а                           ",,,,,
2,Общество с ограниченной ответственностью  «Торговый Дом «Окинский»        ИНН 3806009491,МИФНС России № 2 по Иркутской области и УОБАО,"Переоформление                                       № 08                                   А 002276                                         с  26.05.2011  по 05.03.2014                                                                                             ""Взамен""                               № 17                                   А 002271                                         с  25.08.2010  по 05.03.2014 ","1. Маг. «Родник» -  г. Зима, м/н Ангарский, 7; ",,,,,Администрация Зиминского районного муниципального образования
,,,,"2. Маг. «Сибирь» -  г. Зима,ул. Куйбышева, 96;",,,,,
,,,,"3. Маг. «Птица» -  г.Зима, ул. Каландарашвили, 4;",,,,,
,,,,"4. Маг. «Продуктовая лавка» - г. Зима, ул. Тургенева,  12А;",,,,,
,,,,,,,,,
3,Общество с ограниченной ответственностью «Альянс» ИНН 3806000918,МИФНС России № 2 по Иркутской области и УОБАО, Переоформлена               № 8                      А154412                         01.06.2012  до 27.06.2014            Взамен                            № 19                                    А 154372                     22.11.2010 до 27.06.2014  ,"1. Маг. «Альянс» –  г. Зима,ул. Клименко, 192;",,,,,
,,,,"2. Маг. «Березка» - г. Зима, ул.5 Армии, 59Б;",,,,,
,,,,"3. Маг. «Тройка» -  г. Зима, ул. Калинина, 42;",,,,,
,,,,"4. Мини-маркет «Фортуна» - г. Зима, ул. Московский тракт, 37.",,,,,
4.,Общество с ограниченной ответственностью «Гурман»                  ИНН 3806002425,МИФНС России № 2 по Иркутской области и УОБАО,Переоформлена № 30 А 154398 от 03.12.2011 по 28.12.2011             Продлена по 28.12.2012                                  ,"1. Маг. «Первый»  - г. Зима, ул. Московский Тракт, 11;",,,,,
5.,"Общество с ограниченной ответственностью ""Ручеёк""                   ИНН 3806001615",МИФНС России № 2 по Иркутской области и УОБАО,№  1 А 154281 29.03.2006-28.03.2011  Продлена 23.03.2011 по 28.03.2014,"1. Маг. «Виктория» -  г. Зима, ул. Лазо, 27;",,,,,
,,,,"2. Магазин ""Стимул"" - г. Зима, ул. Ангарская, 1",,,,,
6.,"Общество с ограниченной ответственностью ""Прайд""          ИНН 3806003605",МИФНС России № 2 по Иркутской области и УОБАО,Переоформлена № 5 А 154328 09.06.2009 06.04.2011,"1. Маг. «Ермак» - г. Зима, ул. Курзенкова, 2а;",,,4/6/2011,,
,,,,"2. Отдел в кафе «Астория» - г. Зима, ул. Курзенкова, 2а.",,,,,
7.,Общество с ограниченной ответственностью «Торговый Дом «Викан»          ИНН  3826003762,МИФНС России № 2 по Иркутской области и УОБАО,"Переоформлена              № 17                                А 154369                                25.09.2010 по  30.04.2011            ""Взамен""                                                  № 7 А                       154287                                       21.07.2006                    по 30.04.2011 ","1. Отдел в маг. «Маяк» - г. Зима, ул. Лазо, 27;  ",,,С 31.03.2011,,
,,,,"2. Отдел в маг. «Добрый» - г. Зима, ул. Садовая, 26а.",,,,,
8.,Общество с ограниченной ответственностью «Импульс»         ИНН 3806003700,МИФНС России № 2 по Иркутской области и УОБАО,№ 10 А 154383 25.04.2011;            25.04.2011 по 12.07.2011;                                                                                                                                                                                                                                                                                                    Продлена 30.06.2011 по 12.07.2013 ,"2. Маг. № 52  - г. Зима, пер. Больничный, 1А;",,,,,
,,,,,,,,,
