Номер,Дата,Организация,ИНН,КПП,Сумма по услуге,Опл. по услуге,Дата опл.,Отгр. по услуге,Дата отгр.,СЦ,Регион СЦ,Тип,Продукт,Регион,Услуга,Кол-во,Тарифный план,Статус,Продукт2
1202180127,31.05.2012,"ООО ""Продукт Сервис""",5043026130,504301001,5 000.00,5 000.00,31.05.2012,5 000.00,01.06.2012,"0218 ООО ""Максион""",50,Право использования программы,Отчетность в Росалкогольрегулирование,50,"Оказание услуг по тарифному плану ""Отчетность в Росалкогольрегулирование"" для абонентов системы «Контур-Экстерн» с записью сертификата ключа ЭЦП на защищенный носитель Рутокен",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1212066887,30.05.2012,ИП Снетков Дмитрий Александрович,505000372192,,7 000.00,7 000.00,31.05.2012,7 000.00,05.06.2012,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,77,Право использования программы,Отчетность в Росалкогольрегулирование,50,"Оказание услуг по тарифному плану ""Отчетность в Росалкогольрегулирование"" с записью сертификата ключа ЭЦП на защищенный носитель Рутокен",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1212067143,01.06.2012,"ООО ""ИРБИС""",5027112896,502701001, 100.00, 100.00,04.06.2012, 0.00,,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,77,Право использования программы,Отчетность в Росалкогольрегулирование,50,"Право использования программы для ЭВМ ""Контур-ЭЦП""",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1212066997,31.05.2012,"ООО ""Бекет""",5027052380,505601001,3 500.00,3 500.00,04.06.2012,3 500.00,07.06.2012,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,77,Право использования программы,Отчетность в Росалкогольрегулирование,50,"Оказание услуг по тарифному плану ""Отчетность в Росалкогольрегулирование"" для абонентов системы «Контур-Экстерн»",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1207700226,30.05.2012,"ООО ""АЛЕНТАС""",7731408736,773101001,3 500.00,3 500.00,05.06.2012,3 500.00,07.06.2012,0770 ООО «Компас Ай Ти»,77,Право использования программы,Отчетность в Росалкогольрегулирование,77,"Оказание услуг по тарифному плану ""Отчетность в Росалкогольрегулирование"" для абонентов системы «Контур-Экстерн»",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1207700224,30.05.2012,"ООО ""ДОМАШНЯЯ КУХНЯ""",7704701083,770401001,3 500.00,3 500.00,05.06.2012,3 500.00,07.06.2012,0770 ООО «Компас Ай Ти»,77,Право использования программы,Отчетность в Росалкогольрегулирование,77,"Оказание услуг по тарифному плану ""Отчетность в Росалкогольрегулирование"" для абонентов системы «Контур-Экстерн»",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1207700223,30.05.2012,"ООО ""ПРОФКАРТ""",7731415042,773101001,3 500.00,3 500.00,05.06.2012,3 500.00,07.06.2012,0770 ООО «Компас Ай Ти»,77,Право использования программы,Отчетность в Росалкогольрегулирование,77,"Оказание услуг по тарифному плану ""Отчетность в Росалкогольрегулирование"" для абонентов системы «Контур-Экстерн»",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1212067624,06.06.2012,ООО «Мастерские 44»,7706715973,770601001,3 500.00,3 500.00,06.06.2012,3 500.00,08.06.2012,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,77,Право использования программы,Отчетность в Росалкогольрегулирование,77,"Оказание услуг по тарифному плану ""Отчетность в Росалкогольрегулирование"" для абонентов системы «Контур-Экстерн»",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1202210524,04.06.2012,"Муниципальное унитарное предприятие ""Общепит""",5040012890,504001001, 100.00, 100.00,06.06.2012, 100.00,07.06.2012,0221 ООО «КМЦ Баланс-Информ»,50,Право использования программы,Отчетность в Росалкогольрегулирование,50,"Право использования программы для ЭВМ ""Контур-ЭЦП""",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1201654013,01.06.2012,"ООО ""Боулингифтс""",7720559331,772001001, 100.00, 100.00,06.06.2012, 100.00,08.06.2012,0165 ЗАО «Расчетный Центр «Практик»,77,Право использования программы,Отчетность в Росалкогольрегулирование,77,"Право использования программы для ЭВМ ""Контур-ЭЦП""",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1204120210,07.06.2012,"ООО ""Вкусные продукты""",5019022631,501901001,7 000.00,7 000.00,07.06.2012,7 000.00,14.06.2012,0412 ООО «Айвенго»,50,Право использования программы,Отчетность в Росалкогольрегулирование,50,"Оказание услуг по тарифному плану ""Отчетность в Росалкогольрегулирование"" с записью сертификата ключа ЭЦП на защищенный носитель Рутокен",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1201654089,06.06.2012,"ООО "" КОМПАНИЯ ТИАЛ """,7723819588,773001001, 100.00, 100.00,07.06.2012, 100.00,19.06.2012,0165 ЗАО «Расчетный Центр «Практик»,77,Право использования программы,Отчетность в Росалкогольрегулирование,77,"Право использования программы для ЭВМ ""Контур-ЭЦП""",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1207430083,06.06.2012,Индивидуальный предприниматель Герасимов Анатолий Николаевич,501706320872,,7 000.00,7 000.00,07.06.2012, 0.00,,0743 ООО КИЦ развития предпринимательства Истринского р-на,50,Право использования программы,Отчетность в Росалкогольрегулирование,50,"Оказание услуг по тарифному плану ""Отчетность в Росалкогольрегулирование"" с записью сертификата ключа ЭЦП на защищенный носитель Рутокен",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1204120211,07.06.2012,Индивидуальный предприниматель Юхманов Сергей Юрьевич,501900007205,, 100.00, 100.00,08.06.2012, 100.00,14.06.2012,0412 ООО «Айвенго»,50,Право использования программы,Отчетность в Росалкогольрегулирование,50,"Право использования программы для ЭВМ ""Контур-ЭЦП""",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1202270337,06.06.2012,ИП Ярославцев Николай Викторович,503504121797,, 100.00, 100.00,08.06.2012, 100.00,13.06.2012,"0227 ООО фирма ""НЭРТИС""",50,Право использования программы,Отчетность в Росалкогольрегулирование,50,"Право использования программы для ЭВМ ""Контур-ЭЦП""",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1212068219,09.06.2012,Индивидуальный предприниматель Шувалова Марина Николаевна,505602118002,, 100.00, 100.00,09.06.2012, 100.00,13.06.2012,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,77,Право использования программы,Отчетность в Росалкогольрегулирование,50,"Право использования программы для ЭВМ ""Контур-ЭЦП""",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1212068364,13.06.2012,"ООО ""КВиД-СЕРВИС""",7701281320,770401001, 100.00, 100.00,13.06.2012, 100.00,20.06.2012,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,77,Право использования программы,Отчетность в Росалкогольрегулирование,77,"Право использования программы для ЭВМ ""Контур-ЭЦП""",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1202180147,13.06.2012,МУП Городские бани,5043014649,504301001,5 000.00,5 000.00,13.06.2012,5 000.00,14.06.2012,"0218 ООО ""Максион""",50,Право использования программы,Отчетность в Росалкогольрегулирование,50,"Оказание услуг по тарифному плану ""Отчетность в Росалкогольрегулирование"" для абонентов системы «Контур-Экстерн» с записью сертификата ключа ЭЦП на защищенный носитель Рутокен",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1203541602,06.06.2012,"ООО ""Гартекс""",7733761288,773301001, 100.00, 100.00,13.06.2012, 100.00,15.06.2012,"0354 ЗАО ""ОВИОНТ ИНФОРМ""",77,Право использования программы,Отчетность в Росалкогольрегулирование,77,"Право использования программы для ЭВМ ""Контур-ЭЦП""",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1208222682,14.06.2012,"ООО ""Два Д""                              ",7702539678,770201001, 100.00, 100.00,14.06.2012, 100.00,15.06.2012,"0822 ЗАО ""Группа Компаний ""Новые Бизнес Системы",77,Право использования программы,Отчетность в Росалкогольрегулирование,77,"Право использования программы для ЭВМ ""Контур-ЭЦП""",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1212068333,13.06.2012,ИП Кириллов Валерий Васильевич,500800065755,, 100.00, 100.00,14.06.2012, 100.00,18.06.2012,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,77,Право использования программы,Отчетность в Росалкогольрегулирование,50,"Право использования программы для ЭВМ ""Контур-ЭЦП""",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1209510032,15.06.2012,ИП Хасанова Флоря Габтрахмановна,505500015600,, 100.00, 100.00,15.06.2012, 100.00,26.06.2012,"0951 Московский филиал ООО ""РПЦ ""Партнер",77,Право использования программы,Отчетность в Росалкогольрегулирование,50,"Право использования программы для ЭВМ ""Контур-ЭЦП""",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1204180267,14.06.2012,ИП Петрова Татьяна Васильевна,501100528858,,3 500.00,3 500.00,15.06.2012,3 500.00,18.06.2012,0418 ООО «Интернет сервис»,50,Право использования программы,Отчетность в Росалкогольрегулирование,50,"Оказание услуг по тарифному плану ""Отчетность в Росалкогольрегулирование"" для абонентов системы «Контур-Экстерн»",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1209510031,14.06.2012,ИП Хасанов Альберт  Габдулхакович,505500017301,, 100.00, 100.00,15.06.2012, 100.00,26.06.2012,"0951 Московский филиал ООО ""РПЦ ""Партнер",77,Право использования программы,Отчетность в Росалкогольрегулирование,50,"Право использования программы для ЭВМ ""Контур-ЭЦП""",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1205420666,13.06.2012,ИП Летягин Виталий Викторович,501600083773,, 100.00, 100.00,15.06.2012, 100.00,18.06.2012,0542 СЦ «МособлКонтур»,50,Право использования программы,Отчетность в Росалкогольрегулирование,50,"Право использования программы для ЭВМ ""Контур-ЭЦП""",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1212068354,13.06.2012,ПБОЮЛ Барсуков Владимир Михайлович,500300078555,,3 500.00,3 500.00,15.06.2012,3 500.00,18.06.2012,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,77,Право использования программы,Отчетность в Росалкогольрегулирование,50,"Оказание услуг по тарифному плану ""Отчетность в Росалкогольрегулирование"" для абонентов системы «Контур-Экстерн»",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1207332957,14.06.2012,"ООО ""Вкусное Пиво""",7731634559,773101001,3 500.00,3 500.00,16.06.2012,3 500.00,09.07.2012,0733 ООО «Новые Интернет Технологии»,77,Право использования программы,Отчетность в Росалкогольрегулирование,77,"Оказание услуг по тарифному плану ""Отчетность в Росалкогольрегулирование"" для абонентов системы «Контур-Экстерн»",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1201654468,18.06.2012,"ООО ""ТЕЛЕФЛОТ КОНСАЛТИНГ""",7709667020,770901001, 100.00, 100.00,18.06.2012, 100.00,19.06.2012,0165 ЗАО «Расчетный Центр «Практик»,77,Право использования программы,Отчетность в Росалкогольрегулирование,77,"Право использования программы для ЭВМ ""Контур-ЭЦП""",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1201654440,15.06.2012,ООО «Фуд Инвест»,7723816450,772301001, 100.00, 100.00,18.06.2012, 100.00,18.06.2012,0165 ЗАО «Расчетный Центр «Практик»,77,Право использования программы,Отчетность в Росалкогольрегулирование,77,"Право использования программы для ЭВМ ""Контур-ЭЦП""",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1202700400,15.06.2012,"ООО ""Каприз""",5042090220,504201001,5 500.00,5 500.00,18.06.2012,5 500.00,19.06.2012,0270 ООО Бизнес-Эксперт,50,Право использования программы,Отчетность в Росалкогольрегулирование,50,"Оказание услуг по тарифному плану ""Отчетность в Росалкогольрегулирование""",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1202210585,15.06.2012,ИП Храпов Михаил Александрович,503407614846,,5 500.00,5 500.00,18.06.2012,5 500.00,20.06.2012,0221 ООО «КМЦ Баланс-Информ»,50,Право использования программы,Отчетность в Росалкогольрегулирование,50,"Оказание услуг по тарифному плану ""Отчетность в Росалкогольрегулирование""",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1208222692,14.06.2012,ООО ВайнДом,5007063778,500701001,3 500.00,3 500.00,18.06.2012,3 500.00,19.06.2012,"0822 ЗАО ""Группа Компаний ""Новые Бизнес Системы",77,Право использования программы,Отчетность в Росалкогольрегулирование,50,"Оказание услуг по тарифному плану ""Отчетность в Росалкогольрегулирование"" для абонентов системы «Контур-Экстерн»",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
