,,,,,,,,,,,,,,,,,,,,
"Сведения о выданных (продленных), переоформленных, приостановленных и аннулированных в судебном порядке лицензиях на розничную продажу алкогольной продукции,",,,,,,,,,,,,,,,,,,,,
"а также о лицензиях, действие которых прекращено по истечению срока действия таких лицензий, и в случае ликвидации организации или в случае принятия лицензирующим ",,,,,,,,,,,,,,,,,,,,
"органом решения о досрочном прекращении действия такой лицензии на основании заявления организации, по состоянию на 08.10.2012 г.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
№ п/п,Лицензиат,,,ИНН,КПП,Адрес юридический,Адрес осуществления деятельности,Код субъекта РФ,Регистрационный номер лицензии,Серия лицензии,Номер лицензии,"Дата выдачи (месяц, число, год)","Дата окончания действия (месяц, число, год)","Дата приостановления действия (месяц, число, год)","Дата возобновления действия (месяц, Число, год)","Дата прекращения действия (месяц, число, Год)","Дата анулирования (месяц, число, год)",Контактный телефон,Руководитель,"Орган исполнительной власти, выдавший лицензию"
4,Баловневское сельпо,,,4803000943,480301001,"399830, Липецкая обл, Данковский р-н, Баловнево с, Зеленая ул, дом № 6",Согласно выданным лицензиям,48,60,Г,603199,01.21.2002,01.21.2005,,,,,(47465) 5-32-41; 5-31-46,Ряховский Владимир Петрович,Управление лицензирования администрации Липецкой области
127,Березовское сельпо,,,4803000968,480301001,"399811, Липецкая обл, Данковский р-н, Березовка с, Сельпо пер, дом № 1",Согласно выданным копиям,48,62,Г,603201,01.21.2002,01.21.2005,,,,,(47465) 4-11-10; 4-11-37,Шемякина Галина Сергеевна,Управление лицензирования администрации Липецкой области
183,Воловское райпо,,,4801000070,,с.Волово ул.Советская д.82,Согласно выданным копиям лицензии,48,100,Г,603274,02.05.2002,02.05.2005,,,,,2-12-75,Сухарева Наталья Ивановна,Управление лицензирования администрации Липецкой области
246,Данковский районный союз потребительских обществ,,,4803001009,,"399850, Липецкая обл, Данковский р-н, Данков г, Л.Толстого ул, дом № 42",Согласно выданным лицензиям,48,59,Г,603198,01.21.2002,01.21.2005,,,,,(47465) 6-28-68,Сучкова Валентина Николаевна,Управление лицензирования администрации Липецкой области
265,Данковское сельпо,,,4803000990,480301001,"399850, Липецкая обл, Данковский р-н, Данков г, Горького ул, дом № 2/1",Согласно выданным копиям,48,61,Г,603200,01.21.2002,01.21.2005,,,,,(47465) 6-66-90,Баранцева Татьяна Ивановна,Управление лицензирования администрации Липецкой области
362,Добринское райпо,,,4804001876,480401001,"399431, Липецкая обл, Добринский р-н, Добринка п, Октябрьская ул, дом № 19",Согласно выданным копиям лицензии,48,96,Г,603257,02.04.2002,02.04.2005,,,,,(47462) 2-16-49,Будаев Юрий Васильевич,Управление лицензирования администрации Липецкой области
896,Елецкое РАЙПО,,,4807000165,482101001,"399774, Липецкая обл, Елецкий р-н, Елец г, Федеративная ул, дом № 9","Липецкая обл, Елецкий р-н",48,80,Г,603237,01.29.2002,01.29.2005,,,,,(47467) 2-66-53,Уточкин Николай Иванович,Управление лицензирования администрации Липецкой области
1100,"ЗАО ""Агрофирма им.15 лет Октября""",,,4811004620,481101001,"399626, Липецкая обл, Лебедянский р-н, Троекурово с",Лебедянский р-н с.Троекурово,48,474,Д,235696,09.01.2004,09.01.2007,,,,,9-71-25,Еремеев Николай Дмитриевич,Департамент потребительского рынка адм. Липецкой области
1103,"ЗАО ""Витамин""",,,4821010454,,"399774, Липецкая обл, Елецкий р-н, Елец г, Юбилейная ул, дом № 19-а","399774, Липецкая обл, Елецкий р-н, Елец г, Юбилейная ул, дом № 19-а",48,709,Д,235114,12.23.2003,12.23.2006,,,,,(47467) 4-03-50,Кузьмина Галина Александровна,Департамент потребительского рынка адм. Липецкой области
1106,"ЗАО ""Глория""",,,4821009699,,"399774, Липецкая обл, Елецкий р-н, Елец г, Мира ул, дом № 125",г.Елец ул.Мира д.125,48,656,Д,235916,12.29.2004,12.29.2007,,,,,(47467) 2-23-89,Целыковская Татьяна Петровна,Департамент потребительского рынка адм. Липецкой области
1108,"ЗАО ""Грязинский сахарный завод""",,,4802000958,,"399059, Липецкая обл, Грязинский р-н, Грязи г, Крылова ул, дом № 6",По месту нахожд.обособ.подразд.,48,322,Г,603572,04.04.2002,04.04.2005,,,,,(47461) 2-04-40,Трубкин Анатолий Степанович,Управление лицензирования администрации Липецкой области
1122,"ЗАО ""Дольчевита""",,,4824015355,482401001,"398024, Липецкая обл, Липецк г, Папина ул, дом № 6",г.Липецк ул.Папина д.6,48,481,Г,603788,06.07.2002,06.07.2005,,,,,(4742) 40-66-77,Кондратьев Владимир Геннадьевич,Управление лицензирования администрации Липецкой области
1137,"ЗАО ""Исток""",,,4805003080,,"399151, Липецкая обл, Добровский р-н, Трубетчино с, Почтовая ул","399155, Липецкая обл, Добровский р-н, Порой с, Сельская ул",48,25,Г,599102,09.11.2002,09.11.2005,,,,,(47463) 4-05-77,Тасенко Сергей Юрьевич,Департамент потребительского рынка адм. Липецкой области
1146,"ЗАО ""Каскад-Наука""",,,4804003810,,р.п.Добринска ул.Эртеля д.38,р.п.Добринска ул.Октябрьская д.32,48,455,Г,603753,05.29.2002,05.29.2005,,,,,2-32-51,Джегерук Виктор Михайлович,Управление лицензирования администрации Липецкой области
1161,"ЗАО ""ЛАЛ""",,,4826021690,,"398600, Липецкая обл, Липецк г, Доватора ул, дом № 2-а","398046, Липецкая обл, Липецк г, Стаханова ул, дом № 48-а",48,152,Г,599244,11.27.2002,11.27.2005,,,,,(4742) 47-75-87,Сметанин Леонид Антипович,Департамент потребительского рынка адм. Липецкой области
1168,"ЗАО ""Липецкнефтепродукт""",,,4822000201,482201001,"398016, Липецкая обл, Липецк г, Гагарина ул, дом № 102",Лип.р-н с.Боринское а/м Дон подъезд к г.Липецку км 36+300,48,90,Г,599192,10.29.2002,10.29.2005,,,,,(4742) 36-87-89,Бровкин Александр Иванович,Департамент потребительского рынка адм. Липецкой области
1802,"ЗАО ""Международная ассоциация делового сотрудничества С.А.""Липецкий""",,,4824005710,,"398059, Липецкая обл, Липецк г, К.Маркса ул, дом № 30","398059, Липецкая обл, Липецк г, Фрунзе ул, дом № 30",48,670,Д,476667,12.09.2005,12.09.2008,,,,,(4742) 77-26-26,Казаров Азат Сергеевич,Департамент потребительского рынка адм. Липецкой области
1803,"ЗАО ""МРИЯ""",,,4821011497,,г.Елец ул.Спутников д.15,г.Елец ул.Спутников д.15,48,713,Д,235958,12.29.2004,12.29.2007,03.30.2007,04.07.2007,,,2-34-15,дир.Лизунова Марина Анатольевна,Департамент потребительского рынка адм. Липецкой области
1804,"ЗАО ""Мясокомбинат Данковский""",,,4803004391,,"399850, Липецкая обл, Данковский р-н, Данков г, Зайцева ул, дом № 10","399850, Липецкая обл, Данковский р-н, Данков г, Зайцева ул, дом № 10, корпус 2",48,744,Д,235151,12.30.2003,12.30.2006,,,,,(47465) 6-24-34,Зубкова Надежда Егоровна,Департамент потребительского рынка адм. Липецкой области
1827,"ЗАО ""Огонек""",,,4821011257,,"399774, Липецкая обл, Елецкий р-н, Елец г, Коммунаров ул, дом № 34","399774, Липецкая обл, Елецкий р-н, Елец г, Коммунаров ул, дом № 34",48,729,Д,235133,12.30.2003,12.30.2006,,,,,(47467) 2-22-80,Дорохина Любовь Никитична,Департамент потребительского рынка адм. Липецкой области
