,"Реестр действующих лицензий на розничную продажу алкогольной продукции, 
выданных на предприятия торговли и общественного питания Белгородской области по состоянию на 01.05.2012",,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,№ п/п,Наименование территориально обособленного объекта,Дата добавления объекта,Муниципальное образование,Место нахождения объекта,ИНН организации,КПП объекта,Тип предприятия,Наименование организации,ОПФ,Местонахождения организации,Регистрационные номера и срок действия лицензии
3123285866/312301001,1,"Кафе ""Шашлычный двор""",,г. Белгород,"г. Белгород, ул. Магистральная, д. 4-д, стр. 2",3123285866,312301001,Общепит,"""ЭЛ-РОСС""",ООО,"г. Белгород, ул. Магистральная, д. 4-д, строение 2","2492, 01.11.2011 - 31.10.2012, Спиртные напитки (в том числе водка); 2493, 01.11.2011 - 31.10.2012, Вино (в том числе натуральное вино)"
3123230793/312301001,2,"Магазин ""Винная гавань""",,г. Белгород,"г. Белгород, ул. Шумилова, д. 18, нежилое помещение №5",3123230793,312301001,Торговое,"""АЛГОЛЬ ПЛЮС""",ООО,"г. Белгород, ул. Шумилова, д. 18, нежилое помещение № 5","2472, 03.10.2011 - 02.10.2016, Спиртные напитки (в том числе водка); 2473, 03.10.2011 - 02.10.2016, Вино (в том числе натуральное вино)"
3122504762/311132003,3,"Магазин ""Владимир""",,Красногвардейский район,"Красногвардейский район, с. Хуторцы, ул. Кирова, д.101",3122504762,311132003,Торговое,"""БОЧКАРЕВА""",ООО,"309850, Белгородская обл., г.Алексеевка, ул.Привокзальная, д.12","0447, 10.06.2011 - 09.06.2016, Спиртные напитки (в том числе водка); 0448, 10.06.2011 - 09.06.2016, Вино (в том числе натуральное вино)"
3122504762/311132001,4,"Магазин ""Дмитриевский""",,Красногвардейский район,"Красногвардейский район, с. Казацкое, пл. Ленина, д. 2",3122504762,311132001,Торговое,"""БОЧКАРЕВА""",ООО,"309850, Белгородская обл., г.Алексеевка, ул.Привокзальная, д.12","0447, 10.06.2011 - 09.06.2016, Спиртные напитки (в том числе водка); 0448, 10.06.2011 - 09.06.2016, Вино (в том числе натуральное вино)"
3122504762/311132025,5,"Магазин ""Наталья""",,Красногвардейский район,"Красногвардейский район, с. Засосна, ул. Ленина, д. 113",3122504762,311132025,Торговое,"""БОЧКАРЕВА""",ООО,"309850, Белгородская обл., г.Алексеевка, ул.Привокзальная, д.12","0447, 10.06.2011 - 09.06.2016, Спиртные напитки (в том числе водка); 0448, 10.06.2011 - 09.06.2016, Вино (в том числе натуральное вино)"
3122504762/311132027,6,"Магазин ""Продукты""",,Красногвардейский район,"Красногвардейский район, с.Завальское",3122504762,311132027,Торговое,"""БОЧКАРЕВА""",ООО,"309850, Белгородская обл., г.Алексеевка, ул.Привокзальная, д.12","0447, 10.06.2011 - 09.06.2016, Спиртные напитки (в том числе водка); 0448, 10.06.2011 - 09.06.2016, Вино (в том числе натуральное вино)"
