"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Аларский район""",,,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,,
,,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),,
1,2,3,4,5,6,7,8,9,10,,
1,ООО «Радуга»,МИ ФНС №7 по Иркутской обл и УОБАО,Д 518161 РЕГ.№ 9 ОТ 29.07.2011Г. ДО 29.07.2013Г.,"г. Иркутск-45 ,",30.12.2011г. по 20.01.2012г.,1/14/2012,,,,,
,ИНН 8501006390,п. Усть-Ордынский,,"отдел в магазине, ул. Молодежная, здание № 226 ГДО",,,,,,,
2,ООО «Жарки»,МИ ФНС №7 по Иркутской обл. и УОБАО,Д-518199 рег. № 12 от 20.10.2011г по 20.10.2012г. ,"м-н «Жарки», п. Кутулик, ул.Дзержинского , 8",,,,,,,
,ИНН 8501006505,п. Усть-Ордынский,,"м-н «Лидия», п. Кутулик, ул. Механизаторов 9",,,,,,,
,,,,"м-н «У Данилы», п. Кутулик, ул. Советская  , 154",,,,,,,
,,,,"м-н «Лена-Маркет», п. Кутулик,ул. Советская , 108",,,,,,,
,,,,"м-н «Сабрина»п. Кутулик, ул. Советская 83 ""а""",,,,,,,
,,,,,,,,,,,
3,ООО «Орион»,МИ ФНС №7 по Иркутской обл и УОБАО,Д-518198 рег. № 11 от 18.10.2011г. по 23.10.2013г.,"м-н «Орион» г. Иркутск -45 ул. Молодежная , 17",,,,,,,
,ИНН 8501006449,п. Усть-Ордынский,,,,,,,,,
4,ООО «Александра»,МИ ФНС №7 по Иркутской области и УОБАО,  Д-057059 от  07.09.2009 г..срок,"п. Кутулик, 1708 км. + 700м  слева  федеральной дороги Байкал, кафе",,,,,,,
,ИНН8501006752,п. Усть-Ордынский, действия  до 28.02.2013г., « Минутка»,,,,,,,
,,, ,,,,,,,,
5,Фермерское хозяйство Демиденко А.П.,МИ ФНС № 7 по Иркутской обл. и УОБАО ," Д057060 от 08.09. 2009 г., срок действия до 03.03. 2013 г.","п. Кутулик, кв. Нефтяников, м-н «Феникс»",,,,,,,
