                  Государственный реестр лицензий  за июль 2012 г. по Хабаровскому краю,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Полное и сокращенное нименование организации с указанием ее организационно-правовой формы,ИНН организации,КПП организации, Адрес место нахождения) организации,Адрес электронной почты организации,"Место нахождения (адрес) обособленного подразделения организации, осуществляющего лицензируемый вид деятельности","КПП обособленного подразделения организации, осуществляющего лицензируемый вид деятельности ",Код субъекта РФ по месту нахождения организации,"Код субъекта РФ  по месту нахождения обособленного подразделения , осуществляющего лицензируемый вид деятельности",Вид лицензируемой деятельности организации,Вид продукции,Номер  ранее выданной лицензиилицензии,"Наименованите лицензирующего органа, выдавшего лицензию",Дата выдачи лицензии,Дата окончания действия лицензии,"Номер лицензии, соответствующий номеру записи в реестре",Сведения о действии лицензии,Дата изменения  сведений о действии лицензии,Основание изменения сведений о действии лицензии,,
,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,,
"ООО ""Тамара""",2720031479,272001001,"Хабаровский р-н, с. Черная речка, 19 км, д.1, 21",,"Хабаровский р-н, с. Черная речка, 19 км, д.7",272001001,27,27,розн. продажа АП,АП,ХБ 002622,Минсельхоз (МСХ),15.02.2011,15.02.2013,44,досрочное прекращение лиц.,31.07.2012,личное заявление организации,,
"ОАО ""Гостиничный комплекс ""Софрино""",5038079305,503801001,"Московская обл. Пушкинский р-н, с. Софрино, 1 мкр.",,"г. Хабаровск, ул. Георгиевская д.29",272443001,50,27,розн. продажа АП,АП,ХБ 000727,МСХ,15.11.2011,15.11.2012,2474,досрочное прекращение лиц.,31.07.2012,личное заявление организации,,
"ООО ""Арбат""",2703050714,270301001,"г. Комсомольск-на-Амуре, пр-т Победы д.45",,"г. Комсомольск-на-Амуре, пр-т Победы д.45; ул. Калинина д.41",270301001,27,27,розн. продажа АП,АП,ХБ 002195,МСХ,15.09.2009,15.09.2012,2053,досрочное прекращение лиц.,31.07.2012,личное заявление организации,,
"ООО ""Прокор""",2721076377,272101001,"г. Хабаровск, ул. Панькова д.24",,"г. Хабаровск, ул. Панькова д.24",272101001,27,27,розн. продажа АП,АП,ХБ 000937,МСХ,13.03.2012,13.03.2013,1219,досрочное прекращение лиц.,31.07.2012,личное заявление организации,,
"ООО ""Компания ""А-Конто""",2724908143,272101001,"г. Хабаровск, ул. Ленина д.32",,"г. Хабаровск, ул. Ленина д.32",272101001,27,27,розн. продажа АП,АП,ХБ 001283,МСХ,18.01.2011,18.01.2014,18,действующая лицензия,31.07.2012,закрытие объекта осуществления деятельности,,
"ООО ""ЛОЯ""",2725020015,272501001,"г. Хабаровск, ул. Быстринская д.8в",,"г. Хабаровск, ул. Быстринская д.8в; ул. Руднева д.102в",272501001,27,27,розн. продажа АП,АП,ХБ 001258,Минпищепром,2/12/2008,2/12/2013,1582,действующая лицензия,31.07.2012,изм. юр. адреса и адресов объектов,,
"ООО ""Хамелеон""",2715004840,271501001,"Хабаровский край, р.п. Охотск, ул. Ленина д.9-6",,"р.п. Охотск, ул. Ленина д.7а",271501001,27,27,розн. продажа АП,АП,ХБ 000547,МСХ,8/16/2011,16.08.2016,847,возобновление действ. лиц.,31.07.2012,устранение нарушений,,
"ООО ""Амрита""",2703034920,270301001,"г. Комсомольск-на-Амуре, ул. Почтовая д.13",,"г. Комсомольск-на-Амуре, ул. Почтовая д.13",270301001,27,27,розн. продажа АП,АП,ХБ 001093,МСХ,16.06.2012,16.06.2013,1996,приост. действ. лиц,07.08.2012,нарушение лиц. требований,,
"ООО ""Сакура""",2725045683,272501001,"г. Хабаровск, пр-т 60 лет Октября д.186",,"г. Хабаровск, ул. Руднева д.63", 272501001,27,27,розн. продажа АП,АП,ХБ 002015,Минэкономразвития,17.03.2009,17.03.2014,1951,приост. действ. лиц,07.08.2012,нарушение лиц. требований,,
"ООО ""Меркурий-1""",2706012629,270601001,"г. Амурск, ул. Амурская д.4, 107",,"г. Амурск, ул. Амурская д.10",270601001,27,27,розн. продажа АП,АП,ХБ 001259,МСХ,31.07.2012,7/31/2013,2389,продление,31.07.2012,личное заявление организации,,
"ООО ""Надежда""",2706026413,270601001,"Амурский р-н, п.г.т. Эльбан, ул. Школьная д.7",,"п.г.т. Эльбан, ул. Школьная д.7",270601001,27,27,розн. продажа АП,АП,ХБ 001267,МСХ,31.07.2012,31.07.2013,590,продление,31.07.2012,личное заявление организации,,
"ООО ""Радуга""",2706026452,270601001,"г. Амурск, пр-т Победы д.4",,"г. Амурск, пр-т Строителей д.14а",270601001,27,27,розн. продажа АП,АП,ХБ 001771,МСХ,16.12.2008,12/16/2013,1893,доп. объект,31.07.2012,личное заявление организации,,
"ООО ""Лакс""",2709013998,270901001,"п.г.т. Ванино, 2-я линия д.7",,"п.г.т. Ванино, 2-я линия д.7",270901001,27,27,розн. продажа АП,АП,ХБ 001277,МСХ,31.07.2012,7/31/2017,2601,впервые,31.07.2012,личное заявление организации,,
"ООО ""Паллада""",2711007078,271101001,"г. Вяземский, ул. Орджоникидзе д.20а",,"г. Вяземский, ул. Коммунистическая д.9",271101001,27,27,розн. продажа АП,АП,ХБ 001273,МСХ,31.07.2012,7/31/2013,2601,впервые,31.07.2012,личное заявление организации,,
"ООО ""Уссури""",2711007134,271101001,"г. Вяземский, ул. Карла Маркса д.67а",,"г. Вяземский, ул. Карла Маркса д.67а",271101001,27,27,розн. продажа АП,АП,ХБ 001268,МСХ,31.07.2012,31.07.2013,787,впервые,31.07.2012,личное заявление организации,,
"ООО ""Мадина""",2721182840,272101001,"г. Хабаровск, ул. Ленинградская д.3-1",,"г. Вяземский, ул. Казачья д.28",272101001,27,27,розн. продажа АП,АП,ХБ 001264,МСХ,31.07.2012,31.07.2014,2392,продление,31.07.2012,личное заявление организации,,
"ООО ""Одиссей-ДВ""",2703066224,270301001,"г. Комсомольск-на-Амуре, пр-т Победы д.45-88",,"г. Комсомольск-на-Амуре, ул. Калинина д.41",270301001,27,27,розн. продажа АП,АП,ХБ 001276,МСХ,31.07.2012,31.07.2017,2600,впервые,31.07.2012,личное заявление организации,,
"ООО ""Юниколь""",2712007112,271201001,"Комсомольский р-н, с. Большая Картель, ул. Клубная д.7",,"с. Большая Картель, ул. Клубная д.7; 337 км трассы Хабаровск - Комсомольск-на-Амуре",271201001,27,27,розн. продажа АП,АП,ХБ 001262,МСХ,31.07.2012,31.07.2017,627,продление,31.07.2012,личное заявление организации,,
"ООО ""ВЕИС""",2704021650,270401001,"г. Советская Гавань, ул. Пионерская д.13а, 43",,"г. Советская Гавань, ул. Рабочая д.13",270401001,27,27,розн. продажа АП,АП,ХБ 001263,МСХ,31.07.2012,31.07.2014,2597,впервые,31.07.2012,личное заявление организации,,
"ООО ""Русь""",2717000576,271701001,"р.п. Солнечный, ул. Геологов д.4, пом. (1-7)",,"р.п. Солнечный, ул. Геологов д.4, пом. (1-7)",271701001,27,27,розн. продажа АП,АП,ХБ 001269,МСХ,31.07.2012,31.07.2015,2598,впервые,31.07.2012,личное заявление организации,,
"ООО ""Аэлита""",2717014360,271701001,"р.п. Солнечный, ул. Геологов д.23, 2",,"р.п. Солнечный, ул. Геологов д.23, 2; ул. Геологов д.6",271701001,27,27,розн. продажа АП,АП,ХБ 001261,МСХ,31.07.2012,31.07.2013,749,продление,31.07.2012,личное заявление организации,,
"ООО ""Клен""",2720034575,272001001,"Хабаровский р-н, с. Князе-Волконское-1, ДОС-54-9",,"Хабаровский р-н, с. Князе-Волконское-1, ДОС-47",272001001,27,27,розн. продажа АП,АП,ХБ 001274,МСХ,25.09.2012,25.09.2017,1439,продление,31.07.2012,личное заявление организации,,
"ООО ""Дуэт""",2720031609,272001001,"Хабаровский р-н, с. Восточное, ул. Центральная д.1",,"Хабаровский р-н, с. Черная Речка, ул. 19 ка",270001001,27,27,розн. продажа АП,АП,ХБ 002079,Минэкономразвития,14.04.2009,14.04.2014,1978,доп. объект,31.07.2012,личное заявление организации,,
"ООО ""Исток""",2720031944,272001001,"Хабаровский р-н, городок Хабаровск-43, ул. Интернациональная д.21, 71",,"Хабаровский р-н, городок Хабаровск-43, ул. Интернациональная д. 6г",272001001,27,27,розн. продажа АП,АП,ХБ 001266,МСХ,7/31/2012,7/31/2013,571,продление,31.07.2012,личное заявление организации,,
"ООО ""Валентина""",2713014151,271301001,"Р-он им. Лазо, п.с.т. Сукпай, ул.Лесная д.1",,"Р-он им. Лазо, п.с.т. Сукпай, ул.Лесная д.1",271301001,27,27,розн. продажа АП,АП,ХБ 001260,МСХ,31.07.2012,7/31/2013,538,продление,31.07.2012,личное заявление организации,,
"ООО ""Аякс-ВМВ""",2708000474,270801001,"Аяно-Майский р-н, с. Аян, ул. Советская д.15",,"Аяно-Майский р-н, с. Аян, ул. Советская д.15",270801001,27,27,розн. продажа АП,АП,ХБ 001171,МСХ,6/19/2012,6/19/2013,544,доп. объект,31.07.2012,личное заявление организации,,
"ООО ""Азурит""",2722096400,272201001,"г. Хабаровск, ул. Серышева д.60-333",,"г. Хабаровск, ул. Ленина д.31",272201001,27,27,розн. продажа АП,АП,ХБ 001272,МСХ,16.08.2012,16.08.2013,2420,продление,31.07.2012,личное заявление организации,,
"ООО ""Калейдоскоп""",2721192373,272101001,"г. Хабаровск, ул. Волочаевская д.124, пом.1 (69-76,79-91); 0 (77-92)",,"г. Хабаровск, ул. Волочаевская д.124",272101001,27,27,розн. продажа АП,АП,ХБ 001271,МСХ,31.07.2012,31.07.2013,2599,впервые,31.07.2012,личное заявление организации,,
"ООО ""Кристалл-ДВ""",2723147337,272301001,"г. Хабаровск, ул. Ворошилова д.6а",,"г. Хабаровск, ул. Ворошилова д.6а",272301001,27,27,розн. продажа АП,АП,ХБ 001279,МСХ,31.07.2012,31.07.2013,2603,впервые,31.07.2012,личное заявление организации,,
"ООО ""Мароми""",2722056366,272201001,"г. Хабаровск, пер. Зеленоборский д.20",,"г. Хабаровск, пер. Зеленоборский д.20",272201001,27,27,розн. продажа АП,АП,ХБ 001281,МСХ,31.07.2012,31.07.2013,2604,впервые,31.07.2012,личное заявление организации,,
"ООО ""Очаг""",2724105072,272401001,"г. Хабаровск, ул. Лазо д.2б",,"г. Хабаровск, ул. Запарина - Яшина",272401001,27,27,розн. продажа АП,АП,ХБ 001275,МСХ,14.08.2012,14.08.2017,1411,продление,31.07.2012,личное заявление организации,,
"ООО ""Прага""",2721187863,272101001,"г. Хабаровск, ул. Дзержинского д.56, п/я 89",,"г. Хабаровск, ул. Дзержинского д.56",272101001,27,27,розн. продажа АП,АП,ХБ 001282,МСХ,31.07.2012,7/31/2014,2605,впервые,31.07.2012,личное заявление организации,,
"ООО ""Таис""",2722113529,272201001,"г. Хабаровск, Амурский б-р д.23, пом. 1-7",,"г. Хабаровск, Амурский б-р д.23, пом. 1-7",272201001,27,27,розн. продажа АП,АП,ХБ 001278,МСХ,31.07.2012,7/31/2013,2602,впервые,31.07.2012,личное заявление организации,,
"ЗАО ""Хабаровсктурист""",2724018422,272401001,"г. Хабаровск, ул. Синельникова д.9",,"г. Хабаровск, ул. Синельникова д.9",272401001,27,27,розн. продажа АП,АП,ХБ 001280,МСХ,16.10.2012,10/16/2017,1455,продленеие,31.07.2012,личное заявление организации,,
"ООО ""Крондор""",2721119503,272101001,"г. Хабаровск, ул. Стрельникова д.6а",,"г. Хабаровск, ул. Панькова д.24",272101001,27,27,розн. продажа АП,АП,ХБ 000498,МСХ,16.08.2011,16.08.2014,821,доп. объект,31.07.2012,личное заявление организации,,
"ООО ""Луна""",2724094409,272401001,"г. Хабаровск, Матвеевское ш. д.1а",,"г. Хабаровск, ул. Морозова П.Л.",272401001,27,27,розн. продажа АП,АП,ХБ 000280,МСХ,14.06.2011,6/14/2016,361,доп. объект,31.07.2012,личное заявление организации,,
"ООО ""Мария""",2705101137,272501001,"г. Хабаровск, ул. Тихоокеанская д.178-206",,"г. Хабаровск, ул. Стрельникова д.10",272501001,27,27,розн. продажа АП,АП,ХБ 001045,МСХ,28.04.2012,28.04.2017,2343,доп. объект,31.07.2012,личное заявление организации,,
"ООО ""Продмаркет 2""",2723113641,272301001,"г. Хабаровск, ул. Суворова д.82а",,"г. Хабаровск, ул. Мухина д.7а",272301001,27,27,розн. продажа АП,АП,ХБ 001873,МСХ,17.02.2009,17.02.2014,1921,доп. объект,31.07.2012,личное заявление организации,,
"ООО ""Софт-Сервис""",2722069252,272401001,"г. Хабаровск, ул. Владивостокская д.61а",,"г. Хабаровск, ул. Морозова П.Л. д.113",272401001,27,27,розн. продажа АП,АП,ХБ 000010,МСХ,17.02.2009,17.02.2014,1937,доп. объект,31.07.2012,личное заявление организации,,
"ООО ""Тадж-Махал""",2724116451,272401001,"г. Хабаровск, пр-т 60 лет Октября д.158-5",,"г. Хабаровск, ул. Лермонтова д.7",272401001,27,27,розн. продажа АП,АП,ХБ 001284,МСХ,31.07.2012,31.07.2013,2604,впервые,31.07.2012,личное заявление организации,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
