Табл. А.6. Правила обмена данными по запросам в ходе предоставления услуги*,,,,,,,,,,,,
,,,,,,,,,,,,
,Описание запроса,,,,,,Описание ответа на запрос,,,,,
№,Наименование запроса,"Орган, ответственный 
за направление запроса","Орган, ответственный за направление ответа на запрос",Срок направления запроса,Способ направления запроса,"Перечень сведений, передаваемых в составе запроса",Срок направления ответа на запрос,Способ направления ответа на запрос,"Перечень сведений, передаваемых в составе полей формы ответа на запрос","Перечень сведений, передаваемые в виде приложенных документов",Источник данных,
,"Скопируйте из таблицы 
А.3. Перечень запросов.","Скопируйте из таблицы 
А.3. Перечень запросов.","Скопируйте из таблицы 
А.3. Перечень запросов.","Скопируйте из таблицы 
А.4.1. Описание запроса: общее описание.","Скопируйте из таблицы 
А.4.1. Описание запроса: общее описание.","Скопируйте из таблицы 
А.4.2. Описание запроса: состав сведений, однако разместите их в одной ячейке таблицы.","Скопируйте из таблицы 
А.5.1. Описание ответа на запрос: общее описание.","Скопируйте из таблицы 
А.5.1. Описание ответа на запрос: общее описание.","Скопируйте из таблицы 
А.5.2. Описание ответа на запрос: состав сведений те сведения, которые имеют код типа данных 1, 2 и 3. Разместите их в одной ячейке таблицы.","Скопируйте из таблицы 
А.5.2. Описание ответа на запрос: состав сведений те сведения, которые имеют код типа данных 4. Разместите их в одной ячейке таблицы.","Скопируйте из таблицы 
А.5.2. Описание ответа на запрос: состав сведений наименования всех АИС. Разместите их в одной ячейке таблицы.",
1,Копия документа об оплате государственной пошлины за предоставление лицензии,Министерство экономического развития и торговли Камчатского края,Федеральное Казначейство ,в течении 1-5 дней после получения заявления ,1 - по каналам СМЭВ,"Идентификационный номер (ИНН);  Период времени, за который требуется получить сведения ",5,1 - по каналам СМЭВ,Сумма оплаты; КБК;  Назначение платежа; ИНН получателя; КПП получателя; ОКАТО  ,,,
2,Копия документа о государственной регистрации организации юридического лица,Министерство экономического развития и торговли Камчатского края,ФНС России,в течении 1-5 дней после получения заявления ,1 - по каналам СМЭВ,ОГН; ИНН,1,1 - по каналам СМЭВ,,,,
3,Копия документа о постановке организации на учет в налоговый орган,Министерство экономического развития и торговли Камчатского края,ФНС России,в течении 1-5 дней после получения заявления ,1 - по каналам СМЭВ,ОРГН; ИНН,5,1 - по каналам СМЭВ,,,,
4,Свидетельство о государственной регистрации права собственности,Министерство экономического развития и торговли Камчатского края,Росреестр,в течении 1-5 дней после получения заявления ,1 - по каналам СМЭВ,"Полное наименование юридического лица, ИНН, ОГРН, Дата госудаствренной регистрации юридического лица, Страна регистрации, Дата и номер регистрации, Адрес (место нахождения) постоянно действующего исполнительного органа  ",14,1 - по каналам СМЭВ,Вид права; Номер государственной регистрации права; Дата государственной регистрации права; Доля в праве; Адрес объекта недвижимости; Строение (Квартира); Город (Населенный пункт); Улица; Дом; Корпус; Наименование региона; Описание объекта недвижимости; Площадь объекта; Кадастровый номер; Наименование объекта; Назначение объекта,,,
5,Договор о закреплении имущества на праве хозяйственного ведения или оперативного управления;   ,Министерство экономического развития и торговли Камчатского края,Росреестр,в течении 1-5 дней после получения заявления ,1 - по каналам СМЭВ,"Полное наименование юридического лица, ИНН, ОГРН, Дата госудаствренной регистрации юридического лица, Страна регистрации, Дата и номер регистрации, Адрес (место нахождения) постоянно действующего исполнительного органа  ",5,1 - по каналам СМЭВ,Вид права; Номер государственной регистрации права; Дата государственной регистрации права; Доля в праве; Адрес объекта недвижимости; Строение (Квартира); Город (Населенный пункт); Улица; Дом; Корпус; Наименование региона; Описание объекта недвижимости; Площадь объекта; Кадастровый номер; Наименование объекта; Назначение объекта,,,
6,Договор аренды на срок один год и более;  ,Министерство экономического развития и торговли Камчатского края,Росреестр,в течении 1-5 дней после получения заявления ,1 - по каналам СМЭВ,"Полное наименование юридического лица, ИНН, ОГРН, Дата госудаствренной регистрации юридического лица, Страна регистрации, Дата и номер регистрации, Адрес (место нахождения) постоянно действующего исполнительного органа  ",5,1 - по каналам СМЭВ,Вид права; Номер государственной регистрации права; Дата государственной регистрации права; Доля в праве; Адрес объекта недвижимости; Строение (Квартира); Город (Населенный пункт); Улица; Дом; Корпус; Наименование региона; Описание объекта недвижимости; Площадь объекта; Кадастровый номер; Наименование объекта; Назначение объекта,,,
7,Заключения специально уполномоченных государственных органов о соответствии стационарных торговых объектов и складских помещений заявителя санитарно-эпидемиологическим требованиям,Министерство экономического развития и торговли Камчатского края,Роспотребнадзор,в течении 1-5 дней после получения заявления ,1 - по каналам СМЭВ,Полное наименование организации; ОГН; ИНН; Юридический адрес организации;  Наименование торгового объекта; Место расположение торгового объекта; название услуги/вида деятельности ,5,1 - по каналам СМЭВ,"Полное наименование заявителя; ОГРН; ИНН; название и юридический адрес организации - получателя заключения (юридический адрес указывается, если он был указан при заполнении заявления на получение заключения); название объекта, на который было выдано заключение, включая адрес объекта; информация о соответствии государственным санитарно-эпидемиологическим правилам и нормативам",,,
8,"Документ, содержащий сведения о наличии (отсутствии) задолженности по уплате налогов, сборов, пеней и штрафов за нарушение законодательства Российской Федерации о налогах и сборах",Министерство экономического развития и торговли Камчатского края,ФНС России,в дату подачи заявления,Запрос направляется через информационно-телекоммуникационную сеть Интернет www.nalog.ru," ИНН, Дата, по состоянию на которую сформирован запрос ",5,1 - по каналам СМЭВ," ИНН; Наличие (отсутствие) задолженности (0/1);  Дата, по состоянию на которую сформированы сведения ",,,
