"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО Мамско-Чуйского района",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
1.,ООО,Св-во гос.рег.,Лицензия № 11,"1. магазин ""Аквамарин"",",,,,,,
,"""Аквамарин""",серия 38,Серия А-172933,"п. Мама, ул.Первомайская, № 16",,,,,,
,ИНН,№ 002692069 от,от  30.04.2008г. ,"2 магазин ""Аквамарин"",",,,,,,
,3802011676,27.12.2007г. ,на 5 лет,"п. Луговский , Школьная, № 18",,,,,,
,,ОГРН 1073802000436,до 30.04.2013г.,"3. магазин  ""Аквамарин"",",,,,,,
,,МИ ФНС № 3 по Иркут,,"п. Горно-Чуйский, Гоголя , № 19",,,,,,
,,ской обл. и УОБАО,,"4. Кафе ""Пристань""ООО""Аквамарин""",,,,,,
,,,,"п. Мама, Октябрьская, № 1",,,,,,
2.,ООО,Св-во гос.рег.,Лицензия № 21,"1. магазин  ""Яшма"",",,,20.01.2011г.,,,
,"""Фирма",серия 38,Серия А-172903,"п. Мама, ул.Советская, № 23",,,,,,
,"Стиль""",№ 000304274 от,от  20.01.2003г. ,"2 магазин  ""Стиль"",",,,,,,
,ИНН,13.12.2002г. ,на 3 года,"п. Мама, ул.Комсомольская, № 10",,,,,,
,3833001043,ОГРН 1023802649200,до 20.01.06г.,,,,,,,
,,МИ ФНС № 3 по Иркут,продлена,,,,,,,
,,ской обл. и УОБАО,до,,,,,,,
,,,20.01.2011г.,,,,,,,
3.,ООО,Св-во гос.рег.,Лицензия № 1,"1. магазин  ""Яшма"",",,,08.02.2012г.,,,
,"""Фирма",серия 38,Серия 38МЕ 002053,"п. Мама, ул.Советская, № 23",,,,,,
,"Стиль""",№ 000304274 от,от  08.02.2011г. ,"2 магазин  ""Стиль"",",,,,,,
,ИНН,13.12.2002г. ,на 1 год,"п. Мама, ул.Комсомольская, № 10",,,,,,
,3833001043,ОГРН 1023802649200,до 08.02.2012г.,,,,,,,
,,МИ ФНС № 3 по Иркут,,,,,,,,
,,ской обл. и УОБАО,,,,,,,,
4.,ЗАО,Св-во гос.рег.,Лицензия № 1,"1. магазин № 1 ЗАО ""Рифт"",",,,01.03.2011г.,,,
,"""Рифт""",серия 38,38 МЕ 002052,"п. Мама, ул.Первомайская, № 16",,,,,,
,ИНН,№ 000304248 от,от  01.03.2010г. ,"2 магазин № 2 ЗАО ""Рифт"",",,,,,,
,3833000307,28.11.2002г. ,на 1 год,"п. Луговский , Школьная, № 18",,,,,,
,,ОГРН 1023802649144,до,"3. магазин  № 3 ЗАО ""Рифт"",",,,,,,
,,МИ ФНС № 3 по Иркут,01.03.2011г.,"п. Горно-Чуйский, Гоголя , № 19",,,,,,
,,ской обл. и УОБАО,,"4. Кафе ""Пристань"" ЗАО ""Рифт""",,,,,,
,,,,"п. Мама, Октябрьская, № 1",,,,,,
5.,ЗАО,Св-во гос.рег.,Лицензия № 2,"1. магазин № 1 ЗАО ""Рифт"",",,,,,,
,"""Рифт""",серия 38,38 МЕ 002054,"п. Мама, ул.Первомайская, № 16",,,,,,
,ИНН,№ 000304248 от,от  01.04.2011г. ,"2 магазин № 2 ЗАО ""Рифт"",",,,01.04.2012г.,,,
,3833000307,28.11.2002г. ,на 1 год,"п. Луговский , Школьная, № 18",,,,,,
,,ОГРН 1023802649144,до,"3. магазин  № 3 ЗАО ""Рифт"",",,,,,,
,,МИ ФНС № 3 по Иркут,01.04.2012г.,"п. Горно-Чуйский, Гоголя , № 19",,,,,,
,,ской обл. и УОБАО,,"4. Кафе ""Пристань"" ЗАО ""Рифт""",,,,,,
,,,,"п. Мама, Октябрьская, № 1",,,,,,
6.,ООО,Св-во гос.рег.,Лицензия № 2,"1. магазин ""Девятка"" ,",,,,,,
,"""Эрдокс""",серия 38,38 МЕ 002051,"п. Мама, Связи, № 2-1",,,,,,
,ИНН,№ 002603355 от,02.04.2010г.,,,,02.04.2012г.,,,
,3802012359,30.06.2009г. ,до 02.04.11г.,,,,,,,
,,ОГРН 1093802000280,продлена с,,,,,,,
,,МИ ФНС № 3 по Иркут,02.04.11г.,,,,,,,
,,ской обл. и УОБАО,до 02.04.12г.,,,,,,,
7.,ООО,Св-во гос.рег.,Лицензия № 10,"1. магазин ""Самовар"" ,",28.06.2011г. ,06.07.2011г.,06.07.2012г.,,,
,"""Оникс""",серия 38,А 172932,"п. Мама, Комсомольская, 52",на срок,,,,,
,ИНН,№ 001683582 от,от  21.12.07г. ,"2. магазин  ""Аметист"",",до,,,,,
,3802010418,23.12.05г. ,до 06.07.11г.,"п. Луговский , Школьная, 8-1",переоформления,,,,,
,,ОГРН 1053802020392,продлена с,"3. магазин  ""Оникс"",",,,,,,
,,МИ ФНС № 3 по Иркут,06.07.11г.,"п. Горно-Чуйский, Гоголя , 1",,,,,,
,,ской обл. и УОБАО,до 06.07.12г.,"4. Летнее кафе ""Парус"",",,,,,,
,,,,"п. Мама, Набережная, 60а",,,,,,
8.,ООО,Св-во гос.рег.,Лицензия № 4,"1. магазин ""Самовар"" ,",,,,,,
,"""Оникс""",серия 38,38 МЕ 002056,"п. Мама, Комсомольская, 52",,,,,,
,ИНН,№ 001683582 от,от  06.07.11г. ,"2. магазин  ""Аметист"",",,,,,,
,3802010418,23.12.05г. ,до 06.07.12г.,"п. Луговский , Школьная, 8-1",,,,,,
,,ОГРН 1053802020392,(переоформлена),"3. магазин  ""Оникс"",",,,,,,
,,МИ ФНС № 3 по Иркут,,"п. Горно-Чуйский, Гоголя , 1",,,,,,
,,ской обл. и УОБАО,,,,,,,,
9.,ООО,Св-во гос.рег.,Лицензия № 2,"1. магазин ""Мастер"" ,",,,,,,
,"""Косандра""",серия 38,А 172923,"п. Мама, Октябрьская, 39/1",,,,,,
,ИНН,№ 002436143 от,от  01.07.06г. ,"2. магазин  ""Маргарита"",",,,,,,
,3802010802,29.03.06г.,до 01.07.11г.,"п. Мама, Советская, 23",,,,,,
,,ОГРН 1063802002626,продлена,,,,,,,
,,МИ ФНС № 3 по Иркут,с 01.07.11г.,,,,,,,
,,ской обл. и УОБАО,до 01.07.13г.,,,,,,,
10.,ООО,Св-во гос.рег.,Лицензия № 3,"1. магазин ""Каролис"" ,",,,,,,
,"""Каролис""",серия 38,А 172934,"п. Мама, Октябрьская, 17",,,,,,
,ИНН,№ 002436178 от,от  22.01.09г. ,"2. магазин  ""Светлана"",",,,,,,
,3802010922,11.04.06г.,до 06.07.11г.,"п. Мама, Южная, № 3",,,,,,
,,ОГРН 1063802003319,продлена,"3. магазин  ""Байкал"",",,,,,,
,,МИ ФНС № 3 по Иркут,с 06.07.11г.,"п. Мама, Горная, № 2",,,,,,
,,ской обл. и УОБАО,до 06.07.16г.,"4. магазин  ""Кристалл"",",,,,,,
,,,,"п. Витимский, Советская, № 13",,,,,,
,,,,"5. магазин ""Людмила"" ,",,,,,,
,,,,"п. Колотовка, Геологическая, 10",,,,,,
,,,,"6. магазин  ""Кедровый"",",,,,,,
,,,,"п. Мусковит, Комсомольская, № 1",,,,,,
,,,,"7. магазин  ""Северянка"",",,,,,,
,,,,"п. Луговский, Школьная, № 29",,,,,,
,,,,"8. магазин  ""Березка"",",,,,,,
,,,,"п. Согдиондон, Пионерская, № 5",,,,,,
,,,,"9. магазин  ""Тайга"",",,,,,,
,,,,"п. Горно-Чуйский, Советская, № 17",,,,,,
,,,,"10. кафе ""Каролис"",",,,,,,
,,,,"п. Мама, Октябрьская, 17",,,,,,
11.,ООО,Св-во гос.рег.,Лицензия № 3,"1. магазин ""Каролис"" ,",,,,,,
,"""Каролис""",серия 38,38 МЕ 002055,"п. Мама, Октябрьская, 17",,,,,,
,ИНН,№ 002436178 от,от  06.07.11г. ,"2. магазин  ""Светлана"",",,,,,,
,3802010922,11.04.06г.,до 06.07.16г.,"п. Мама, Южная, № 3",,,,,,
,,ОГРН 1063802003319,(переоформлена),"3. магазин  ""Байкал"",",,,,,,
,,МИ ФНС № 3 по Иркут,,"п. Мама, Горная, № 2",,,,,,
,,ской обл. и УОБАО,,"4. магазин  ""Кристалл"",",,,,,,
,,,,"п. Витимский, Советская, № 13",,,,,,
,,,,"5. магазин ""Людмила"" ,",,,,,,
,,,,"п. Колотовка, Геологическая, 10",,,,,,
,,,,"6. магазин  ""Кедровый"",",,,,,,
,,,,"п. Мусковит, Комсомольская, № 1",,,,,,
,,,,"7. магазин  ""Северянка"",",,,,,,
,,,,"п. Луговский, Школьная, № 29",,,,,,
,,,,"8. магазин  ""Березка"",",,,,,,
,,,,"п. Согдиондон, Пионерская, № 5",,,,,,
,,,,"9. магазин  ""Тайга"",",,,,,,
,,,,"п. Горно-Чуйский, Советская, № 17",,,,,,
12.,ООО,Св-во гос.рег.,Лицензия № 4,"1. магазин ""Радуга"" ,",,,,,,
,"""Радуга""",серия 38,38 МЕ 002149,"п. Мама, Советская, 23",,,,,,
,ИНН,№ 002436152 от,от  17.02.09г. ,"2. магазин  ""Чуя"",",,,,,,
,3802010834,04.04.06г.,до 07.07.11г.,"п. Мама, Октябрьская, 45",,,,,,
,,ОГРН 1063802002890,продлена,,,,,,,
,,МИ ФНС № 3 по Иркут,с 07.07.11г.,,,,,,,
,,ской обл. и УОБАО,до 07.07.14г.,,,,,,,
13.,ООО,Св-во гос.рег.,Лицензия № 6,"1. магазин ""Авиасервис"" ,",,,,,,
,"""Авиасервис""",серия 38,А 172927,"п. Мама, Комсомольская, 36",,,,,,
,ИНН,№ 002436258 от,от  19.07.06г. ,"2. магазин  ""Авиасервис"",",,,19.07.2012г.,,,
,3802010930,05.05.06г.,до 19.07.11г.,"п. Согдиондон, Профсоюзная, 8",,,,,,
,,ОГРН 1063802004595,продлена,"3. магазин  ""Авиасервис"",",,,,,,
,,МИ ФНС № 3 по Иркут,с 19.07.11г.,"п. Горно-Чуйский, Гоголя, 10",,,,,,
,,ской обл. и УОБАО,до 19.07.12г.,,,,,,,
14.,ООО,Св-во гос.рег.,Лицензия № 7,"1. магазин ""Новинка"" ,",,,22.12.2011г.,,,
,"""Новинка""",серия 38,А 172928,"п. Мама, Первомайская, 2",,,,,,
,ИНН,№ 002436378 от,от  22.12.06г. ,,,,,,,
,3802011154,05.07.06г.,до 22.12.11г.,,,,,,,
,,ОГРН 1063802006113,,,,,,,,
,,МИ ФНС № 3 по Иркут,,,,,,,,
,,ской обл. и УОБАО,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
