"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по Иркутскому районному МО",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
1,"ООО ""Капитель""                                                                                            ИНН - 3808101333",Инспекция МНС России по Правобережному округу г.Иркутска Иркутской области,А 238955 №1955                                     от 13.09.04г.                                        с 14.09.04г.                                                     по 13.09.07г продлено  до13.09.2012г.  ,"1.п.Новолисиха, ул.Дорожная, 1А - магазин ""Байкал-Севан""                                                                                                   2.  кафе ""Байкал-Севан""",,,,,,
2,"ООО ""Герал""                                                                                             ИНН - 3827012632",Межрайонная инспекция МНС России №12 по Иркутской области          ,А 203008 №СА 0078                                    от 19.11.07г.                                   с 19.11 07г.                                по 19.11.12г.,"1п.Б.Голоустное, ул.Кирова, 13- магазин                                                 2. с.М.Голоустное, ул.Мира, 29 - магазин",,,,,,
3,"ООО ""Смак""                                                                                                          ИНН - 3827014510",Администрация Иркутского района                                   ,А 239000 №2000                                     с 29.04.08г.                     по 29.04.13г.,"р.п.Маркова, 6 ""А""   -магазин",,,,,,
,,Администрация Иркутского района                                     ,А 244534 №2001                                     с 29.04.08г.                                     по 29.04.13.,"р.п.Маркова, 34 ""А""   - магазин",,,,,,
4,"ООО ""Иркут""                                   ИНН - 3827019564",МИ  ФНС №12 по Иркутской области и  УОБАО ,А 203028  № 013                                                      от 20.02.08г.                                                            с 15.10.07г.                                                        по 15.10.12г.," 1. с.Смоленщина, ул.пер.Трудовой, 1     магазин ""Бест 2"" , 2. с.Смоленщина, ул.Совхозная, 6 ""Б""  магазин  ""Иркут""",,,,,,
5,"ООО ""Виктория""                  ИНН - 3827021683",Межрайонная инспекция Федеральной налоговой службы №12 по Иркутской области и УОБАО,А 203186 №51                                           от 15.06.11г.                             с 15.06.11г.                                 по 14.06.12г.,"с.Хомутово, ул.Горького, 1 ""А""                                     специализированный отдел в магазине",,,6/14/2012,,,
6,"ООО ""Вахрушев""                                       ИНН - 3827020930",Межрайонная инспекция Федеральной налоговой службы №12 по Иркутской области и УОБАО,А 203183 №46                                07.06.11г.                              с 07.06.11г.                            по 07.06.12г.,"1.д.Карлук, ул.Фабричная, 1 ""А"" - магазин,                                                   2. с.Урик, ул.Лунина, 1 - магазин, 3. д.Грановщина, ул.Загоскина, 52 ""А"" - магазин",,,6/7/2012,,,
7,"ООО ""Валентина""                                   ИНН - 3827021605",Межрайонная инспекция Федеральной налоговой службы №12 по Иркутской области и УОБАО,А 203190 №54                                            от 28.06.11г.                                    с 28.06.11г.                                по 27.06.12г.,"р.п.Маркова, ул.Лесная, 1 ""А"" - специализированный отдел в магазине",,,6/27/2012,,,
8,"ООО ""Надежда""                                ИНН - 3827020136",Межрайонная инспекция Федеральной налоговой службы №12 по Иркутской области и УОБАО,А 203048    №033                             от 30.04.08г.                                      с 30.04.08г.                                   по 10.10.12г.,"1.р.п.Листвянка, ул.Октябрьская, 7 ""Б"", кафе ""Любава""                                                                                           2.  р.п.Листвянка, ул.Октябрьская, 7 ""А"" - магазин  ""Огонек""                                                                      3..р.п.Листвянка, ул.Октябрьская, 7 ""Б""бар  в цокольном   этаже  кафе  ""Любава""                                                   ",,,,,,
