"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО города Бодайбо и района",,,,,,,,,,,
по состоянию на 1 августа  2012 года,,,,,,,,,,,
,,,,,,,,,,,
№ п/п,"Название лицензиата, ИНН",,Место государствен ной регистрации лицензиата,"Серия, номер бланка лицензии, номер, дата выдачи и срок действия лицензии","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемы вид деятельности ","Дата приостановления лицензии, на какой срок",Дата возобнов ления действия лицензии,Дата прекращения  действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муници пальными образованиями),
,,,,,,,,,,,
,,,,,,,,,,,
1,2,,3,4,5,6,7,8,9,10,
1.,"ООО ""Дорсевер"" ИНН 3811099839",,МИ ФНС России по Октябрьскому округу г. Иркутска ,МЕ 003417   № 9           от 24.06.2006г.               до 24.06.2011 г.                  Срок действия лицензии   продлен до 24.06.2012 г.,"1. Магазин ""Вероника""                             п.Кропоткин,                             ул. Центральная, 1.",,,24.06.2012г. прекращено действие лицензии по истечении срока,,,
2.,"ООО ""Ташир""                                                                                                                                                                                                                                      ИНН 3802010915",,МИ ФНС России № 3 по Иркутской области,МЕ 003418  № 10      от 24.06.2006г.                         до 24.06.2011 г.              Срок действия лицензии продлен до 24.06.2012 г.,"1. Ресторан ""Ташир""                                                                                                                                                                                                                   г. Бодайбо,                                  ул. Солнечная, 17.",,,24.06.2012г. прекращено действие лицензии по истечении срока,,,
3.,"ООО ""Сонал""                                                                                                                                                                                                                            ИНН 3802010827",,МИ ФНС России № 3 по Иркутской области,МЕ 003419    № 11                         от 24.06.2006г.                                                           до 24.06.2011г.                            Срок действия лицензии продлен до  24.06.2012г.,"1. Магазин ""Рубин""                                             г. Бодайбо,                             ул. Лыткинская, 55;                  2. Кафе ""Янтарь""                                                г. Бодайбо,                           ул. Лыткинская, 55.",,,24.06.2012г. прекращено действие лицензии по истечении срока,,,
4.,"ООО ""Лена-сервис""              ИНН 3802007856",,МИ ФНС России № 3 по Иркутской области,МЕ 003421  № 13          от 27.06.2006г.                       до 26.06.2011г.              Срок  действия лицензии продлен до 26.06.2016г.,"1. Магазин ""Юбилейный""                                                                                                                                                                                                                    г. Бодайбо,                                         ул. Урицкого, 8А;                                                                                                                     2. Магазин ""Якорь""                                                                       г. Бодайбо,                                   ул. Стояновича, 50;                                                                                   3. Магазин ""Эридана""                                                                                                                                                                                                                          г. Бодайбо,                            ул. Урицкого, 65;                                                                                                                                                                                              4. Магазин ""Пятерочка""                                                                                                                                                                                                                        п. Мамакан,                          ул. Красноармейская, 36/1",,,,,,
5.,"ООО ""Шиц""                                                                                                                                                                                                                               ИНН 3802010721",,МИ ФНС России № 3 по Иркутской области,МЕ 003428  № 20        от 29.06.2006 г.                      до 28.06.2011 г.                Срок действия лицензии продлен до 28.06.2013г.,"1. Магазин ""Родник""                                                   п. Перевоз,                                                 пер. Новый, 8.",,,,,,
6.,"ООО ""Витим""            ИНН 3802011115",,МИ ФНС России № 3 по Иркутской области,МЕ 003429  № 21         от 05.07.2006г.                               до 04.07.2011г.                 Срок действия лицензии продлен до 04.07.2012г,"1. Магазин ""Шанс""                                                    г. Бодайбо,                                             ул. П. Поручикова, 32.",,,04.07.2012г. прекращено действие лицензии по истечении срока,,,
7.,"ООО ""Эдельвейс""             ИНН 3802010993",,МИ ФНС России № 3 по Иркутской области,МЕ 003431  № 23            от 10.07.2006г.                        до 09.07.2011г.               Срок действия лицензии продлен  до 09.07.2012г.,"1. Магазин ""Эдельвейс""                                          п. Артемовский,                                     ул. Подгорная, 20",,,09.07.2012г. прекращено действие лицензии по истечении срока,,,
