"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Боханский район""",,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,
,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями)
1,2,3,4,5,6,7,8,9,10
1,"ООО ""Раскат"" ИНН 3849016158",МИФНС № 17 по Иркутской области ,"А 195029, рег. № 11 от 04.05.2012г. до 27.07.2012г. ","1. отдел в магазине «Сервер» - с. Каменка, ул. Гагарина,14.",19.12.2011г.,04.05.2012г.,7/27/2012,,
2,"ООО ""Алко Трейд"" ИНН 3810314988",МИН ФНС России № 17 по Иркутской области,А195025 № 7 от 07.03.2012г. до 28.06.2013г.,"Иркутская область, Осинский район, д. Лузгина, ул. Жданова,52 - магазин «Тополек»; Иркутская область, Шелеховский район, с. Введенщина, ул. Мира,6б – магазин; Иркутская область, Ангарский район, р.п. Мегет, ул. Юбилейная,22 – магазин; Иркутская область, Боханский район, с. Каменка, ул. Ленина,38А – отдел в магазине; Иркутская область, Боханский район, п. Бохан, ул. Гагарина,33А – отдел в магазине; Иркутская область, г. Иркутск, ул. 6-я Кировская, 29 – магазин; Иркутская область, Боханский район, д. Захаровская, ул. Трактовая, 7А – отдел в магазине; Иркутская область, Боханский район, Иркутская область, Осинский район, д. Лузгина, ул. Жданова,52 - магазин «Тополек»; Иркутская область, Шелеховский район, с. Введенщина, ул. Мира,6б – магазин; Иркутская область, Ангарский район, р.п. Мегет, ул. Юбилейная,22 – магазин; Иркутская область, Боханский район, с. Каменка, ул. Ленина,38А – отдел в магазине; Иркутская область, Боханский район, п. Бохан, ул. Гагарина,33А – отдел в магазине; Иркутская область, г. Иркутск, ул. 6-я Кировская, 29 – магазин; Иркутская область, Боханский район, д. Захаровская, ул. Трактовая, 7А – отдел в магазине; Иркутская область, Боханский район, д. Заглик, ул. Трактовая, 22А – отдел в магазине; Иркутская область, Боханский район, п. Бохан, ул. Солнечная,1 – отдел а магазине; Иркутская область, Боханский район, п. Бохан, ул. Калинина,30 – отдел в магазине «Анастасия»;Иркутская область, Боханский район, п. Бохан, ул. Ленина,108 – отдел в магазине «Ивушка»; Иркутская область, Шелеховский район, с. Баклаши, ул. Строителей – магазин «Саяны»; Иркутская область, г. Шелехов, 1-мкр, остановка «Юбилейная» - магазин «Карпов»; Иркутская область, Слюдянский район, пос. Солзан, ул. Привокзальная, 8 –  магазин; Иркутская область, Слюдянский район, пгт. Култук, ул. Кирова, 46 – магазин; Иркутская область, Слюдянский район, г. Слюдянка, ул. Горняцкая, 4 – магазин; Иркутская область, Слюдянский район, пгт. Култук, остановка «Роща» - магазин; Иркутская область, Эхирит-Булагатский район, п. Усть-Ордынский, ул. Шувалова, 19 «а» - отдел в магазине; Иркутская область, Боханский район, п. Бохан, ул. Заречная,5А – отдел в магазине; Иркутская область, Ольхонский район, с. Еланцы, ул. Набережная, д.21",19.12.2011г.,30.12.2011г.,,,
,,,," – специализированный отдел в магазине «Восток»; Иркутская область, Ольхонский район, с. Еланцы, ул. Ленина, д.33 – специализированный отдел в магазине «Баяр»; Иркутская область, Иркутский район, д. Ширяева, ул. Ленина, 31«а» - отдел в магазине; Иркутская область, Шелеховский район, с. Большой Луг, ул. Геологов,4 – отдел в магазине; Иркутская область, Боханский район, п. Бохан, ул. Калинина,21 – специализированный отдел в магазине «Анастасия»; Иркутская область, Боханский район, д. Хандагай, ул. Комсомольская, 9-1А – специализированный отдел в магазине «Визит; Иркутская область, Боханский район, п. Бохан, ул. Ленина,20 – специализированный отдел в магазине; Иркутская область, г. Иркутск, ул. Красногвардейская, д. 22/1 – магазин  «Авоська»; Иркутская область, г. Иркутск, ул. Халтурина, 15 «а» - отдел в магазине; Иркутская область, Боханский район, п. Бохан, ул. Циолковского, 1-2 – специализированный отдел в магазине «Радуга»; Иркутская область, Боханский район, с. Тараса, ул. Молодежная , 2 «а» - магазин «Мечта»; Иркутская область, Боханский район, п. Бохан, ул. Солнечная, 2 «а» - магазин «Мечта»; Иркутская область, Боханский район, п. Бохан, ул. Карла Маркса, 7 «б» - магазин «Багдад».",,,,,
3,ООО «Дали» ИНН 3849005004,МИН ФИНС России № 16 по Иркутской области,А 195013 № 23 от 10.08.2011 г. 22.12.2014 г.,"1. магазин «Дали» - с. Середкино ул. Степная,7; 2. магазин ""Дали"" - с. Середкино, ул. Быкова,21",23.12.2011г.,29.12.2011г.,,,
4,ООО «ВДВ» ИНН 8503006243,МИНФНС России №7 по Иркутской области и УОБАО,А195017 № 27 от 30.12.2011г. до 30.12.2012г.  ,"1. магазин «Всё для Вас» - п. Бохан, ул. Ленина,69.",,,,,
5,ООО «Шаман» ИНН 8503006187,МИНФНС России №16 по Иркутской области     ,А 195014 № 24 от 14.08.2011 г. по 14.08.2013,"1. магазин «Золотое Руно» - с. Александровское, ул. Джержинского 99А",,,,,
6,ООО «Байкал» ИНН 8503005680,МИНФНС России №7 по Иркутской области и УОБАО,А 195010 № 20 от 11.07.2011 до 11.07.2012,"1. магазин «Байкал""» - д. Ижилха, ул. Ленина, 2; 2. магазин «Байкал» - с. Харатирген, ул. Заречная,2.",,,7/11/2012,,
7,ООО «Надежда» ИНН 8503005698,МИНФНС России №7 по Иркутской области и УОБАО,А195001 № 16 от 21.06.2011г. до 21.06.2012г.,"1. магазин «Багульник» - с. Укыр, ул. Школьная, 9 «а»; 2. магазин «Багульник» - д. Хоргелок; 3. магазин «Багульник» - с. Тихоновка, ул. Лермонтова.",,,21.06.2012г.,,
8,ООО «Новый век» ИНН 8503005715,МИНФНС России №7 по Иркутской области и УОБАО,А195011 № 21 от 13.07.2011 до 13.07.2012,"1. магазин «Новый Век» - с. Олонки ул. Пушкина,19.",,,7/13/2012,,
