На 10.10.2012,,,,,,,
,,,,,,,
Наименование,ИНН,Место нахождения,Адрес места осуществления деятельности,Наименование места осуществления деятельности,Серия и номер лицензии,Дата начала,Дата окончания
Анучинское рыболовецкое потребительское общество,2513003681,"Приморский край, Анучинский р-н, с Анучино, ул 100 лет Анучино д.3","Приморский край, Анучинский р-н, с Анучино, ул 100 лет Анучино д.3",Магазин,ПК0060742/4155,05.10.2012,05.10.2014
"ООО ""Аврора""",2513004244,"Приморский край, Анучинский р-н, с Нововарваровка, ул Центральная д.15а","Приморский край, Анучинский р-н, с Нововарваровка, ул Центральная д.15а",Магазин,ПК0057311/724,01.10.2009,20.10.2014
"ООО ""Агат""",2513004163,"Приморский край, Анучинский р-н, с Анучино, ул Петровского д.9-1","Приморский край, Анучинский р-н, с Анучино, ул 100 лет Анучино д.3","Магазин ""Агат""",ПК0059534/2947,18.11.2011,22.11.2013
"ООО ""Агат""",2513004163,"Приморский край, Анучинский р-н, с Анучино, ул Петровского д.9-1","Приморский край, Анучинский р-н, с Анучино, ул Петровского д.14","Магазин ""Гарси""",ПК0059534/2947,18.11.2011,22.11.2013
"ООО ""Аист""",2513004075,"Приморский край, Анучинский р-н, с Анучино, ул 100 лет Анучино д.4а-28","Приморский край, Анучинский р-н, с Анучино, ул Лазо д.22а",закусочная,ПК0060647/4060,12.09.2012,12.09.2014
"ООО ""Аист""",2513004075,"Приморский край, Анучинский р-н, с Анучино, ул 100 лет Анучино д.4а-28","Приморский край, Анучинский р-н, с Староварваровка, ул Центральная д.20, помещение15,",магазин,ПК0060647/4060,12.09.2012,12.09.2014
"ООО ""Бриз""",2513004068,"Приморский край, Анучинский р-н, с Анучино, ул Маяковского д.7а","Приморский край, Анучинский р-н, с Анучино, ул Маяковского д.7а",Магазин ,ПК0059443/2856,18.10.2011,21.10.2016
"ООО ""Восток""",2513004082,"Приморский край, Анучинский р-н, с Чернышевка, ул Первомайская д.3","Приморский край, Анучинский р-н, с Чернышевка, ул Первомайская д.3",Магазин,ПК0057588/1001,22.01.2010,28.01.2013
"ООО ""Дуэт""",2513004269,"Приморский край, Анучинский р-н, с Анучино, ул Чкалова д.10, нежилое помещение № 2","Приморский край, Анучинский р-н, с Анучино, ул Чкалова д.10, нежилое помещение №2","Магазин ""Визит""",ПК0059983/3396,28.03.2012,29.03.2014
"ООО ""Жемчужина""",2513004533,"Приморский край, Анучинский р-н, с Гражданка, ул Горяйнова д.1","Приморский край, Анучинский р-н, с Гражданка, ул Горяйнова д.1",Магазин,ПК0060440/3853,19.07.2012,19.07.2015
"ООО ""Ирис""",2513004036,"Приморский край, Анучинский р-н, с Анучино, ул 50 лет ВЛКСМ д.53","Приморский край, Анучинский р-н, с Анучино, ул 50 лет ВЛКСМ д.53/1","Магазин ""Таежный""",ПК0060393/3806,12.07.2012,12.07.2017
"ООО ""Канд""",2513004011,"Приморский край, Анучинский р-н, с Анучино, ул 100 лет Анучино д.4а-28","Приморский край, Анучинский р-н, с Новогордеевка, ул Пионерская д.1а",Магазин,ПК0059700/3113,22.12.2011,27.12.2012
"ООО ""Канд""",2513004011,"Приморский край, Анучинский р-н, с Анучино, ул 100 лет Анучино д.4а-28","Приморский край, Анучинский р-н, с Чернышевка, ул Первомайская д.7",Магазин,ПК0059700/3113,22.12.2011,27.12.2012
"ООО ""Канд""",2513004011,"Приморский край, Анучинский р-н, с Анучино, ул 100 лет Анучино д.4а-28","Приморский край, Анучинский р-н, с Анучино, ул 100 лет Анучино д.4а",Магазин,ПК0059700/3113,22.12.2011,27.12.2012
"ООО ""Квадрат""",2501012272,"Приморский край, г Арсеньев, ул Калининская д.26","Приморский край, Анучинский р-н, с Анучино, ул Лазо д.8а",Магазин ,ПК0059867/3280,21.02.2012,31.12.2016
"ООО ""Людмила""",2501012307,"Приморский край, г Арсеньев, ул Ломоносова д.74/1-5","Приморский край, Анучинский р-н, с Гражданка, ул Мира д.1",Магазин,ПК0060515/3928,06.08.2012,06.08.2013
"ООО ""Малахит""",2513003064,"Приморский край, Анучинский р-н, с Анучино, ул Пушкина д.3","Приморский край, Анучинский р-н, с Анучино, ул Пушкина д.3",Магазин,ПК0059595/3008,02.12.2011,09.12.2012
