Табл. А.1.1. Описание услуги: правовая база*,,,,,,,,,
,,,,,,,,,
№,"Правовые акты, в соответствии с которыми предоставляется услуга ",,Противоречение с нормами ФЗ №210,,,,,,
,"Укажите все акты, определяющие основания предоставления услуги и порядок предоставления (включая реквизиты)",,"Если нормы акта вступают в прямое или косвенное в противоречие с нормами ФЗ №210, укажите номер(а) статьи(ей), содержащей указанные противоречия",,,,,,
1,"Федеральный закон от 22.11.1995 № 171-ФЗ ""О государственном регулировании производства и оборота этилового спирта, алкогольной и спиртосодепжащей продукции и об ограничении потребления (распития) алкогольной продукции"" ( в ред. от 21.07.2011)",,,,,,,,
2,"Административный регламент исполнения государственной функции (предоставления государственной услуги) ""выдача лицензий на розничную продажу алкогольной продукции""",,"Требуется актуализация административного регламента исполнения государственной (региональной) услуги ""выдача лицензий на розничную продажу алкогольной продукции""",,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Табл. А.1.2. Описание услуги: перечень подуслуг*,,,,,,,,,
,,,,,,,,,
№,Наименование подуслуги,Срок предоставления подуслуги,Тип получателя,Платность предоставления подуслуги,,,,,
,Укажите наименование подуслуги,Укажите срок предоставления подуслуги,"Введите код:
1 - граждане России;
2 - иностранные граждане;
3 - индивидуальные предприниматели;
4 - организации","Введите код:
1 - платная подуслуга,
2 - бесплатная подуслуга","Для платных подуслуг укажите наименование, реквизиты соответствующего НПА и статью. Для услуг, предоставляемых бесплатно, оставьте поле незаполненным",,,,
1,Выдача лицензии на осуществление  розничной продажи алкогольной продукции,30 дней,4,1,"от 05.08.2000 № 118-ФЗ Налоговый кодекс Российской Федерации (часть вторая) статья 333.33  ( в редакции, действующей с 01.01.2011)",,,,
2,"Переоформление лицензии в связи с реорганизации организации в форме слияния, присоединения или преобразования",30 дней,4,1,"от 05.08.2000 № 118-ФЗ Налоговый кодекс Российской Федерации (часть вторая) статья 333.33  ( в редакции, действующей с 01.01.2011)",,,,
3,Переоформление лицензии без реорганизации организации,30 дней,4,1,"от 05.08.2000 № 118-ФЗ Налоговый кодекс Российской Федерации (часть вторая) статья 333.33  ( в редакции, действующей с 01.01.2011)",,,,
4,Продление срока действия лицензии,30 дней,4,1,"от 05.08.2000 № 118-ФЗ Налоговый кодекс Российской Федерации (часть вторая) статья 333.33  ( в редакции, действующей с 01.01.2011)",,,,
,,,,,,,,,
,,,,,,,,,
Табл. А.1.3. Описание услуги: перечень входных документов*,,,,,,,,,
,,,,,,,,,
№,"Наименование ""входного"" документа услуги","Перечень подуслуг, для предоставления которых необходим документ",Правовые основания для получения документа,Способ получения документа - фактическое состояние,Источник документа - фактическое состояние,Наименование источника документа,"В соответствии с ФЗ №210, подлежит получению по каналам межвед. взаимодействия",Почему данный документ не подлежит получению по каналам межвед. взаимодействия?,Может ли данный документ быть признан избыточным и исключён из перечня необходимых для предоставления услуги?
,Укажите наименование документа,"Перечислите номера подуслуг (из таблицы А.1.2), для предоставления которых необходим данный документ","Укажите наименование и реквизиты акта, в соответствии с которым для предоставления услуги используется данный документ","Введите код:
1 - предоставляется заявителем,
2 - получается по каналам межведомственного взаимодействия,
3 - получается по каналам межуровневого взаимодействия,
4 - получается по каналам внутриведомственного взаимодействия.","Введите код:
1 - составляется заявителем,
2 - выдаётся в рамках предоставления государственной или муниципальной услуги, исполнения функции
3 - выдаётся организацией бюджетного сектора,
 4 - выдаётся коммерческой организацией, физическим лицом","Для всех документов, кроме составляемых заявителем, укажите наименование органов или организаций, выдающих документы. Для документов, составляемых заявителем, оставьте поле незаполненным","Введите код:
1 - да, подлежит,
2 - нет, не подлежит.","Введите код:
1 - документ входит в перечень лично предоставляемых,
2 - документ, является результатом предоставления необходимых и обязательных услуг,
3 - документ отсутствует в распоряжении органов власти, местного самоуправления, подведомственных организаций","Введите код:
1 - да, может,
2 - нет, не может."
1,Заявление,"1, 2,3,4","В соответствии с п. 3.2. ст. 19 Федерального закона от 22.11.1995 № 171-ФЗ (в ред от 21.07.2011)
",1,1,,2,3,2
2,Копии учредительных документов ( с предъявлением оригиналов),"1, 2","В соответствии с п. 3.2. ст. 19 Федерального закона от 22.11.1995 № 171-ФЗ (в ред от 21.07.2011)
",1,2,ФНС России,2,1 (3),2
3,Копия документа о государственной регистрации организации - юридического лица,,,,,,,,
3.1,Свидетельство о государственной регистрации юридического лица,1.2,"В соответствии с п. 3.2. ст. 19 Федерального закона от 22.11.1995 № 171-ФЗ (в ред от 21.07.2011)
",1,2,ФНС России,1, ,2
4,Копия документа о постановке организации на учет в налоговом органе,,,,,,,,
4.1,Свидетельство о постановке на учет юридического лица в налоговом органе по месту нахождения на территории Российской Федерации,1.2,В соответствии с п. 3.2. ст. 19 Федерального закона от 22.11.1995 № 171-ФЗ (в ред от 21.07.2011),1,2,ФНС России,1, ,2
5,Копия документа об оплате государственной пошлины за предоставление лицензии,,,,,,,,
,,"1,2,3,4","Налоговый кодекс Российской федерации, ст. 333.33, п.1",1,"(2,4)",Кредитные организации,2,3,2
,,,,,,УФК по Тамбовской области,1,3,2
,,"1,2,3,4","Налоговый кодекс Российской федерации, ст. 333.33, п. 1",1,"(2,4)",Кредитные организации,2,3,2
,,,,,,УФК по Тамбовской области,1,3,2
6,"Документ, подтверждающий наличие у заявителя уставного капитала",,,,,,,,
6.1,"Справка банка, подтверждающая зачисление на расчетный счет денег в оплату уставного капитала",1, В соответствии с п. 3.2. ст. 19 Федерального закона от 22.11.1995 № 171-ФЗ (в ред от 21.07.2011),1,4, Кредитные организации,2,3,2
6.2,"Копия документа, подтвержающего право акционера (участника) на имущество, с приложением отчета об оценке объектов оценки и акта приема-передачи имущества",1, В соответствии с п. 3.2. ст. 19 Федерального закона от 22.11.1995 № 171-ФЗ (в ред от 21.07.2011),1,1,,1,3,2
6.3,Выписка из ЕГРЮЛ ,1, В соответствии с п. 3.2. ст. 19 Федерального закона от 22.11.1995 № 171-ФЗ (в ред от 21.07.2011),1,2,ФНС России,2,3,2
7,"Документы, подтверждающие наличие у заявителя стационарных торговых объектов и складских помещений в собственности, хозяйственном ведении, опреративном управлении или в аренде","1,2,3",В соответствии с п. 3.2. ст. 19 Федерального закона от 22.11.1995 № 171-ФЗ (в ред от 21.07.2011)  ,1,2,Росреестр по области,1,,2
7.1,Свидетельство о гос. регистрации права,1,,1,2,Росреесстр,1,,2
7.2,Договор аренды (сведения содержатся в ЕГРП),1,,1,2,Росреесстр,1,,2
7.3,Договор аренды (сведения не содержатся в ЕГРП),1,,1,"1,3,4",,2,3,2
8,Заключения специально уполномоченных органов о соответствии торговых и складских помещений организации санитарно-эпидемиологическим требованиям,"1,2,3",В соответствии с п. 3.2. ст. 19 Федерального закона от 22.11.1995 № 171-ФЗ (в ред от 21.07.2011),1,2,"Федеральное бюджетное учреждение здравоохранения ""Центр гигиены и эпидемиологии в Тамбовской области""",1 (2), ,2
,,,,,,,,,
