,Регистра-ционный номер лицензии,"Название предприятия,  ИНН.",Место государственной регистрации предприятия.,"Серия, номер лицензии.",Дата выдачи и окончания действия лицензии.,Срок действия (лет).,Срок действия,Вид деятельности.,Количество торговых точек,Место осуществления деятельности (адрес объекта).,Окончание (приостановка) деятельности торговой точки,"Дата приостановления действия лицензии, на какой срок.","Дата возобновления действия лицензии,   на какой срок.",Дата аннулирования лицензии.,Дополнительная информация,Просмотр и удаление лицензий с истекшим сроком действия.,Адрес элесктронной почты,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
№ п.п.,Абакан,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,А-8/0869-6-1,"Общество с ограниченной ответственностью ""ВСК-Прометей"" ИНН 1901065189","г. Абакан, ул. пр.Ленина, 61 т.  т 8 (3902) 285-500",Г 00000827,c 10/10/07 по 10/10/12,5.00,,Розничная продажа алкогольной продукции,     1,"Отдел в магазине ""Продукты ВСК"",г. Абакан, пр.. Ленина, 61.",,,,,т 8 (3902) 285-500,"Г 00000482 , 20 мая 2009г. Переоформление",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,А-8/0870-6-1,"Общество с ограниченной ответственностью ""Удача"" ИНН 1901080451","г. Абакан, пр. Др. Народов, 7-81 т.  т. 8  (3902) 25-26-48",  Г 00000880,c 14/11/07 по 14/11/12,5.00,,Розничная продажа алкогольной продукции,     3,"Магазин,г.Абакан, ул. Гагарина, 26, помещение, 1-3.",,,,,т. 8  (3902) 25-26-48,"Г 00000586 , 26 августа 2009г. Переоформление",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"павильон №57,г. Абакан, ул. Итыгина, 9 тер-я базы ""Жарки"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"павильон ""Продукты"",г. Абакан, ул. Гагарина, 2 лит. Б-1.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,А-8/0872-6-1,"Открытое акционерное общество ""Абакан-Тур"" ИНН 1901000174","г.Абакан,ул.Пушкина 54 ""А"" т.  т. 8 (3902) 22-71-37",Г 00000535,c 12/12/07 по 12/12/12,5.00,,Розничная продажа алкогольной продукции,     1,"Ресторан,г.Абакан,ул.Пушкина,54 А.",,,,прекр. с 17/04/12,т. 8 (3902) 22-71-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,А-8/0873-8-1,"Общество с ограниченной ответственностью ""Сальвадор"" ИНН 1901054388","г. Абакан, ул. Пушкина, 115 т. т 8 (3902) 22-43-11",Г 00000556,c 23/01/08 по 23/01/13,5.00,,Розничная продажа алкогольной продукции,     1,"Кафе ""Сальвадор"",г. Абакан, ул. Пушкина, 115.",,,,,т 8 (3902) 22-43-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,А-8/0875-8-1,"Общество с ограниченной ответственностью ""Примавера"" ИНН 1901065809","г. Абакан, ул. Торговая, 18 т.   т. 8 (3902) 23-04-72",Г 00000567,c 06/02/08 по 06/02/13,5.00,,Розничная продажа алкогольной продукции,     2,"Кафе -бар ""Асахи"",г. Абакан, ул. Щетинкина, 63-202Н.",,приостановлено с 16/12/09 на 1 мес.,возобновлено с 24/12/09,,т. 8 (3902) 23-04-72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"Кафе-бар-ресторан   ""Примавера"",г. Абакан, ул. Торговая, 18.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,А-8/0874-8-1,"Общество с ограниченной ответственностью Торговый Дом ""Конли"" ИНН 1901041519","г. Абакан, ул. Торговая, 18 т.   т. 8 (3902) 23-04-72",Г 0001227,c 05/03/08 по 05/03/13,5.00,,Розничная продажа алкогольной продукции,     1,"магазин ""Продукты"",г. Абакан, ул. К.Перекрещенко, 8.",,,,,т. 8 (3902) 23-04-72,"Г 00000590 , 19 октября 2011г. Переоформление",konly@khakasnet.ru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
