"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Жигаловский район""",,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,
,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями)
1,2,3,4,5,6,7,8,9,10
1,"ООО «Источник»
ИНН3824001953
","Межрайонная ИФНС № 12
По Иркутской области и Усть-Ордынскому автономному округу"," Г 888547
№ 5  от  31.01.06г
5 лет. Продлена  до  31.01 2012 года
","Жигаловский район
с Чикан,ул.Центральная,21
м-н «Исток»",,,окончание срока действия лицензии 31.01.2012г.,,
2,"ООО «Раздолье»
ИНН 3824001960
","Межрайонная ИФНС № 12
По Иркутской области и Усть-Ордынскому автономному округу"," А 167477
№ 19 от  29.12.10 г
по 03.02.2011 год   ( ранее выдана Г 888548 , рег № 6 от 03.02.2006 год) продлена до 03.02.2012 года","п.Жигалово
ул. Неугодниковская  
м-н Славянка»
ул.Геологическая 
            м-н Дуэт», ул.Ерохина,
магазин ""Дуэт""",,,окончание срока действия лицензии 03.02.2012г.,,
3,"ООО «Рост»
ИНН 3824002322
","Межрайонная ИФНС № 12
По Иркутской области и Усть-Ордынскому автономному округу","
Г 888554
№ 12  от 29.11.2006 г
 5 лет
","п.Жигалово
ул.Мира,2а
магазин
«Колизей»","
",,Окончание срока действия лицензии 29.11.2011,,
4,"ООО «Исток»
ИНН 3824001008
",Обособленное структурное подразделение Межрайонной инспекции МНС России №1 по Иркутской области (п.Жигалово),"Г 888555
№ 13  от  22.12..2006 г
по 27..01.11 г продлена  до 27.01.2012 года, А 176504 от24.03.2011

","п.Жигалово
ул.Рабочая,1
розничный склад «Крепыш»,
      магазин Крепыш»;
ул.Партизанская,71
      магазин «Каравай» с.Тутура,ул.Куйбышева,1
магазин «Агат»;
п.Качуг, ул.Красной               Звезды,21
магазин «Изумруд», п.Жигалово,ул. Мичурина 1, п.Жигалово, 136 км трассы Качуг-Жигалово, АЗС ""ДаГаз""","
",,окончание срока действия лицензии27.01.2012,,
5,"ООО «Фент»
ИНН 3824002202
","Межрайонная ИФНС № 12
По Иркутской области и Усть-Ордынскому автономному округу","
А 167471
№ 15 от 22.10.2007 г
5 лет
","п.Жигалово
ул Партизанская,94
кафе «Гранд»","
",,,,
6,"МТП «Ленаречторг»
ИНН 3824000068
",Обособленное структурное подразделение Межрайонной инспекции МНС России №1 по Иркутской области (п.Жигалово),"
А 167472
№ 16  от  29.04.2008 г
по 31.01.11 продлена до 31.01.2012 года
","п.Жигалово
ул.Партизанская,2
магазин № 3
ул.Партизанская,117
магазин № 9
ул.Депутатская,6
магазин № 4","
",,Окончание срока действия лицензии 31.01.2012,,
7,"ООО Евгения
ИНН  3824002509
","Межрайонная ИФНС № 12
По Иркутской области и Усть-Ордынскому автономному округу","А 167473
№ 17 от 28.11.2008 г. 
5 лет
","п.Жигалово
ул.Партизанская,108 а
магазин «Евгения»","
",,,,
8,"ООО Антоника
ИНН  3824002555
","Межрайонная ИФНС № 12
По Иркутской области и Усть-Ордынскому автономному округу","А 167475
№ 18 от 27.10.2009 г
5 лет
","п.Жигалово
ул.Еловая,1а
кафе Антоника",,,,,
9,"ЗАО «Иркутскнефтепродукт»
ИНН 3800000742
","Инспекция МНС России
по Правобережному округу
г. Иркутска Иркутской области
","АН00432Пр8
от  15.07.2010 г  переоформлена  на АН 00432 Пр9 от 27.12.2010 года внесено предписание лицензия АН 00432Пр9 от 15.02.20011г.
","п.Жигалово
ул Еловая,2
магазин «Подсолнух»
","
",,,,"администрация
г.Иркутска
(г.Иркутск,
Ул.Поленова, 1)
"
10,"ООО ""Айсберг               ИНН  3827035654",МИФНС № 17 по Иркутской области,"АН  00784 Пр от 17.01 2011 года     5 лет АН00784Пр2 от 24.02.2011г.АН 00784 ПР3 от 08.04.2011г   АН00784Пр5 от 07 июля 2011. на 5 лет до 09.12.2015г. ,АН007784Пр6 от 24 февраля 2012г.  ,АН00784Пр7 от 02 апреля 2012 г.         ","Жигаловский район с.Знаменка.ул Молодежная,61 а, Жигаловский район  с.Нижняя Слобода.ул.Центральная, 30а  п.Жигалово, ул Чупановская,71, п.Жигалово,ул.Левина,23,   п.Жигалово,ул.Советская,21.п.Жигалово, ул.Геологическая.3б, п.Жигалово, ул Каландарашвили, 52, с.Знаменка,ул.Магистральная,12а, с.Дальняя Закора,ул.Центральная,31, п. Жигалово,ул.Левина,14,п. Жигалово, ул Советская ,50, ул. Партизанская 60а, ул. Партизанская 101, ул. Партизанская, 64",,,,,"Администрация г.Иркутск.ул.Карла Маркса, 37"
11,Качугское РАПО ИНН 3830000041,Межрайонная МНС России №1 по Иркутской области,МЕ 002193 №12 от 08.02.2011г.,"Жигаловский район, д. Петрово, ул.Ленская ,36",,,Окончание срока действия лицензии 08.02.2012,,"Администрация МО ""Качугский район"", Иркутская обл, п. Качуг, ул. Л.Событий, 29"
12,"ООО ""Сибторг"" ИНН3824001946",Мехрайонная ИМНС России №12 по Иркутской области,А 176503 от 03.03.2011г.,"Иркутская обл., п. Жигалово ул. Советская 44, п. Жигалово, ул. Власова, 10",,,Окончание срока действия лицензии 03.03.2012,,
13,"ООО ""Лена""",Мехрайонная ИМНС России №12 по Иркутской области,А 176505 3 27 от 07.04.2011г,"Иркутская обл ,п.Жигалово. Ул. Советская 50, ул. Партизанская 60а, ул. Партизанская 101.",,,Окончание срока действия лицензии 07.04.2012,,
14,"ООО «Байкал»
ИНН 3811097687
",ИФНС России  по Октябрьскому округу,А 176507 от 26.08.2011г.,"п.Жигалово
ул Партизанская,65
 м-н «Байкал»
ул Чупановская,40
м-н «Сибирячка»",,,,,
15,"ООО ""Ленторг"" 3824001858",Мехрайонная ИМНС России №12 по Иркутской области,А 176508 от 01.098.2011г.,"п.Жигалово, ул. Советская, 26",,,,,
16,"ООО «Рост»
ИНН 3824002322
","Межрайонная ИФНС № 12
По Иркутской области ","
А 176509 № 32 от 27.12.2011года на 1 год
","п.Жигалово
ул.Мира,2
магазин
«Колизей»",,,,,
17,"МТП «Ленаречторг»
ИНН 3824000068
","Межрайонная ИФНС № 12
По Иркутской области ",А 176510 № 01 от 30 января 2012 года на 2года,"п.Жигалово
ул.Партизанская,2
магазин № 3
ул.Партизанская,117
магазин № 9
ул.Депутатская,6
магазин № 4",,,,,
