"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по Чунскому РМО",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
1,"ООО ""Кедр""              ИНН 3815008871",Межрайонная инспекция Федеральной налоговой службы № 5 по Иркутской области и УОБАО,А 176943 № 94 от 31.07.2012г. (с 31.07.2012г. По 12.12.2015г.) вместо А 176924 № 77 от 11.11.2011г. (с 31.07.2012г.до 12.12.2015 г.)  вместо А 556307 № 62 от 09.09.2010г. продлена до 12.12.2015г. вместо А 232753 № 101 от 12.12.2005г. до 12.12.2010г.,"п. Чунский:     ул. Щорса,24 магазин ""Кедр""; ул. Радищева, 53а магазин ""Кедр""; ул. 50 лет Октября, 104а магазин ""Кедр"".                   ",-,-,-,-,-,
2,"ООО""Аленка"" 3815009025",Межрайонная ИФНС России №5 по Иркутской обл. и УОБАО,А  232759  №106 продлена  до 29.12.2015 г. А 232759 №106  (с 29.12.2005 г.- по 29.12.2010г.),"п. Октябрьский:    ул. Горького, 73 магазин и кафе ""Аленка""",-,-,-,-,-,
3,"ООО ""Надежда""            3815010623",Межрайонная ИФНС России №5   по Иркутской обл. и УОБАО,А 176927 №80 от 13.02.2012г. (с 13.02.2012г. по 04.07.2012г.) вместо  А 556342 № 69 от 27.05.2011г.  продлена  на 1 год по 04.07.2012 года  вместо А 556341 № 68 от 27.05.2011г. вместо А 556335 № 66 от 08.04.2011г. вместо Д 561305  №29 от 01.08.2007г. вместо Д 561316 №4 от 04.07.2006 г. по 04.07.2011 г.," п. Лесогорск:  ул.Шастина,33А-3Н магазин ""Надежда""; ул. Ленина,17-3Н магазин ""Надежда""; ул. Шастина,31н магазин и кафе ""Надежда""; ул. Комсомольская,7 минимаркет ""Надежда"".",-,-,05.07.2012г.,-,-,
,,,,,,,,,,
,,,,,,,,,,
4,ООО «Екатерина» ИНН 3815010782,Межрайонная ИФНС России №5  по Иркутской обл. и УОБАО,А 176932 № 83 от 23.04.2012г. (с 23.04.2012г. По 20.07.2012г. ) вместо А 176921 № 74 от  20.07.2011г.  с 20.07.2011г. по 20.07.2012г.,"п. Лесогорск:   ул. Комсомольская, д. 4  пом. 1Н    магазин  «Екатерина»",-,-,20.07.2012г.,-,-,
,,,,,,,20.07.2012г.,,,
5,"ООО ТК """"Надежда""   3815010662",Межрайонная ИФНС                                                      № 5  по Иркутской области и  УОБАО,А 176944 № 95 от 31.07.2012г. (с 31.07.2012г. по 25.07.2014г.) А 176929 № 82 от 13.04.2012г. (с 13.04.2012г. по 25.07.2014г.) вместо А 176922 № 75 от 02.09.2011г. (с 02.09.2012г. по 25.07.2011г.) вместо Д 556352 № 72  от 20.07.2011г.   выдана  сроком  на  3  года  с 25.07.2011г. по 25.07.2014г.,"п. Чунский: ул. Мира, 10б магазин ""Надежда"";ул.Солнечная,25 магазин ""Надежда""; ул. Ленина,52А магазин ""Надежда"".",-,-,-,-,-,
6,ООО «Исток»            ИНН 3815010670,Межрайонная ИФНС России №5  по Иркутской обл. и УОБАО,А 556349 № 70 от  07.07.2011г.  Продлена 19.07.2011г. на 1 год по 25.07.2012 года   вместо Д 561324 № 12 с 25.07.2006г. по 25.07.2011г.,"п. Чунский: ул. Ленина,52 магазин ""Журавленок"".              с.Новобалтурино: магазин ""Журавленок"".                              п. Лесогорск: ул. Кедровая, 2а-1 магазин ""Журавленок""",-,-,"досрочно,по заявлению лицензиата              с 17.07.2012г.",-,-,
,,,,,,,"досрочно,по заявлению лицензиата              с 17.07.2012г.",,,
,,,,,,,"досрочно,по заявлению лицензиата              с 17.07.2012г.",,,
,,,,,,,"досрочно,по заявлению лицензиата              с 17.07.2012г.",,,
7,"ООО ""Каскад""   ИНН 3815005422",Межрайонная ИФНС России №5  по Иркутской обл. и УОБАО,Д 561296 № 24 от 15.01.2007г. (с 15.01.2007г. по 15.01.2012г. ),"п. Чунский: ул. Мира,61 кафе ""Ануш""",-,-,16.01.2012г.,-,-,
8,"ООО ""Лидер""",Межрайонная ИФНС России №5  по Иркутской обл. и УОБАО,Д  561297  № 25 от  17.01.2007 г.  (с 17.01.2007 г. по  17.01.2012 г.),"п. Веселый: ул. 40 лет Победы,1а магазин ""Лидер""; ул. Мира,8 магазин ""Лидер"".",-,-,18.01.2012г.,-,-,
9,"ООО Соболек""  ИНН 3815012074 ",Межрайонная ИФНС России №5  по Иркутской обл. и УОБАО,Д 561300 № 27 от 24.04.2007г. (с 24.04.2007г. по 24.04.2012г.),"п. Тарея:  ул. Станционная, 7-1 магазин ""Соболек"".",-,-,25.04.2012г.,-,-,
10,"ООО ""Дорсервис""           3815010790",Межрайонная ИФНС                                  № 5  по Иркутской области и УОБАО,А 176923 № 76 от 23.09.2011г.  с 23.09.2011г. по 23.09.2012 г.," п. Джижива, Чунский район:  ул. Дорожная,1  кафе ""Филин"" ",-,-,04.06.2012г,-,-,
11,ООО  «Тетра» 3815010711,Межрайонная ИФНС                                                      № 5  по Иркутской области и  УОБАО,"Лицензия А 556353 № 73  от 20.07.2011г.     выдана сроком   на  1 год,    с 20.07.2011г. по 20.07.2012 г.","п.Чунский:                                                                                                                                                         ул. Фрунзе,5 магазин ""Тетра""; ул.50 лет Октября,1а магазин ""Тетра""; ул. 8 Марта,2 минимаркет ""Тетра""; ул. Мира, 2ж павильон ""Тетра"".                                                                                п. Октябрьский: ул. Октябрьская,23а магазин ""Тетра""; ул. Горького, 86 магазин ""Тетра"".",-,-,21.07.2012г,-,-,
