"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по Шелеховскому району",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
1.,"ООО «Алекс»
3821015429
",Межрайонная ИФНС России №1 по Иркутской области и УОБАО,"Г 888708 № 23
от  25.10.2007
25.10.2007 
25.10.2012
","Шелеховский район, с.Баклаши, ул. 8 марта, дом 22, магазин «Продукты»",,,,,Администрация Шелеховского раона,
2.,"ООО «Ален»
3821001881
",ГНИ по г. Шелехову и Шелеховскому району (код 3821),"Г 888868 № 15
от  14.05.2012  
14.05.2012 
14.05.2013
","г. Шелехов, квартал 6, дом 1, кафе «Багульник»; магазин ""Близнецы"", г. Шелехов, 4 квартал, дом 15; буфет г.Шелехов, в районе Автостанции.
",,,,,Администрация Шелеховского раона,
3.,"ООО «Алтынъ»
3821005318
",ГНИ по г. Шелехову и Шелеховскому району (код 3821),"Г 888713 № 1
от 17.01.2008
17.01.2008 
17.01.2013
","г. Шелехов, 4 микрорайон, между домами № 89 и 90
магазин «Алтынъ»
",,,,,Администрация Шелеховского раона,
4.,ООО «Аленка» 3821013830,Межрайонная ИФНС России №1 по Иркутской области и УОБАО,"Г 888830  № 35
от  17.06.2011
с 01.07.2011 
до 01.07.2012
","Иркутская область,       г. Шелехов, 
микрорайон Привокзальный, около дома № 19, магазин. 
",,,7/1/2012,,Администрация Шелеховского раона,
5,"ООО «АСМИК»
3821013510
",Межрайонная ИФНС России №1 по Иркутской области и УОБАО,"Г 888839 № 50
от 21.07.2011
с 21.07.2011 
до 21.07.2012
","Иркутская область, Шелеховский район, с. Баклаши, ул.  Майская,  1, магазин; Иркутская область, Шелеховский район, 
с. Баклаши, ул. 9-ой Пятилетки, павильон; Иркутская область, 
Шелеховский район, 
с. Баклаши, 
ул. Ангарская, 44 ""А"", павильон
",,,7/21/2012,,Администрация Шелеховского раона,
6,"ООО «АМИК КЭШ ЭНД КЕРРИ»
3810032648
",ИМНС РФ по Ленинскому округу г. Иркутска Иркутской области,"Г 888841 № 56 от 13.09.2011
с 08.04.2008 до
08.04.2013 ","г. Шелехов, м-н Привокзальный, дом 8 ""А"", магазин ""Бонус"";
г. Шелехов, 4 микрорайон, дом 93 ""А"", магазин ""Бонус"";
г. Шелехов, квартал 7, дом 7, магазин ""Бонус"";
г. Шелехов, 4 микрорайон, дом 40, магазин ""Бонус""; Иркутская область, г.Слюдянка, ул. Ленина, 3/1, специализированном отделе в магазине ""Поляна""
",,,,,Администрация Шелеховского раона,
7,"ООО «Байкальский регион»
3821013580
",Межрайонная ИФНС России №1 по Иркутской области и УОБАО,"Г 888745 № 38
от  30.12.2008
30.12.2008 
30.12.2013
","г. Шелехов, 1 микрорайон. у филиала Сбербанка №7990, магазин «Янта»,
г. Шелехов, квартал 6, дом 2, магазин «Янтарь» 
",,,,,Администрация Шелеховского раона,
8,"ООО «Береж’ОК»
3848002233
",Межрайонная инспекция Федеральной налоговой службы№1 по Иркутской области (код 3848),"Г 888776 № 02
от 05.02.2010 
05.02.2010
05.02.2015
","Шелеховский район, с.Шаманка, ул. Выгузовская, дом 1 а, магазин «Береж’ОК»",,,,,Администрация Шелеховского раона,
9,"ПО «Баклашинский СРК»
 3821004970
",Межрайонная инспекция Федеральной налоговой службы№1 по Иркутской области (код 3848),"Г 888849 № 69
от 14.12.2011
с 14.12.2011
до 14.12.2012
","Иркутская область, Шелеховский район, с. Баклаши, ул. Ангарская, дом 49 А, 
магазин № 4; Иркутская область, Шелеховский район, д. Олха, ул. Советская, дом 21, 
магазин № 7; Иркутская область, Шелеховский район, д. Олха, ул. Сибирская, дом 31 А, 
магазин № 10;Иркутская область, Шелеховский район, с. Введенщина, ул. Мира, дом 32 А
магазин № 9
",,,,,Администрация Шелеховского раона,
10,"ЗАО «Волынь»
3821009721
",Инспекция МНС по г. Шелехову и Шелеховскому району(код 3821),"Г 888733 № 26
от 02.12.2008 
с 02.12.2008
до 02.12.2013 
","г. Шелехов, Култукский тракт, 34, магазин",,,,,Администрация Шелеховского раона,
11,"ООО «ВЕГА»
3848000420
",Межрайонная инспекция Федеральной налоговой службы№1 по Иркутской области (код 3848),"Г 888743 
от 29.12.2008 
29.12.2008 
29.12.2013
","г. Шелехов, ул. Островского, в районе жилого дома № 29, павильон «Вега»",,,,,Администрация Шелеховского раона,
12,"ООО «Ветер»
3812122167
",ИФНС России по Свердловскому округу г. Иркутска,"Г 888852 № 68 от 14.11.2011 
с 13.10.2009 до
13.10.2013 взамен Г 888840 № 53 от 19.08.2011


","Шелеховский район, п.Большой Луг, ул.Таёжная на остановке маршрутного транспорта у дома № 5, специализированном отделе магазина,
г.Шелехов, 4 микрорайон, дом 6, в отделе магазина, г.Шелехов,4 квартал, д.11, 2 А, в отделе магазина «Орион», г.Шелехов, 4 квартал, д.24 А, в отделе магазина,  г. Свирск, ул.Хасановских  Боёв, 3, в отделе магазина, г. Свирск, ул. Киевская, д.13, в отделе магазина, г. Свирск, ул.Молодежная, 2/2, в отделе магазина, г.Черемхово, пер., Ветеринарный, 9, в отделе магазина, г.Черемхово, ул. Дзержинского, 46, в отделе магазина, г.Черемхово, ул. Кузнечная, 67, в отделе магазина,  г.Черемхово, п.Касьяновка, ул. Ярославского, 25 А, в отделе магазина, г. Черемхово, ул. Ферефёрова, 35, в отделе магазина,  г.Черемхово, ул. Маяковского, 187, в отделе магазина, г.Черемхово, ул. Гейштова, 6 , в отделе магазина, г.Черемхово, ул. Первомайская, 28, в отделе магазина, г.Черемхово, ул. Маяковского, 168, в отделе магазина,

",,,,,Администрация Шелеховского раона,
