"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по Усть-Кутскому МО",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
1.,"ООО ""Балтика""                                                                 ИНН 3818020309 ","г. Усть-Кут, ул. Геологическая, 5, 2","Лицензия выдана № 3 от 23.04.2012 г. 38 МЕ 007885 с 23.04.2012 г. по 23.04.2017 г.                                                                                                                                    
","1. Магазин ""Балтика"", г. Усть-Кут, ул. Вернадского, д. 7",-,-,-,-,-,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2.,"ООО ""Высшая Лига"" ИНН 3818019230","г. Усть-Кут, ул. Ушинского, д. 4","Лицензия переоформлена  
38 МЕ 007883 № 4 от 26 марта 2012 г.  с 26.03.2012 г. по 27.06.2016 г.
","1. Магазин ""Весна"", ул. Толстого, д. 47А, г. Усть-Кут;",-,-,-,-,-,
,,,С 26 марта 2012 г. по 27 июня 2016 г.  Взамен: 38 МЕ 007841 № 6 от 24.06.2011г.,"2. Бар ""Высшая Лига"", ул. Радищева, д. 36, г. Усть-Кут;",,,,,,
,,,,"3. магазин ""Алтай"", ул. Зверева, д. 86""а"", г. Усть-Кут ",,,,,,
,,,,"4. Магазин ""Империя"", ул. Речников, д. 48, г. Усть-Кут",,,,,,
,,,,"5. Магазин ""Весна"", ул. Радищева, д. 36, г. Усть-Кут",,,,,,
,,,,"6. Магазин ""Класс"", ул. Коммунистическая, д. 9, г. Усть-Кут",,,,,,
,,,,"7. Магазин ""Империя+"", ул. Российская, д. 1, помещение 102",,,,,,
3.,"ООО ""Крепость""                                              ИНН 3818028428","г. Усть-Кут, ул. Щорса, д. 2А",Лицензия выдана № 4 от 23.04.2012 г. 38 МЕ 007886 с 23.04.2012 г. по 23.04.2013 г.,"1. Магазин ""Экономыч"", г. Усть-Кут, ул. Речников, 44, помещение 119.",-,-,-,-,-,
4.,"ООО «ЕРМАК+»
ИНН 3818020228
","г. Усть-Кут, ул. Кирова, д. 122, кв. 57",Лицензия выдана № 5 38 МЕ 007843 от 23.06.2011 г. с 27.06.2011 г. по 26.06.2012 г.,"1. Кафе ""Ермак"", ул. Кирова , 88   г. Усть-Кут; 2. Кафе""Альтаир"", ул. Калинина, 6а г. Усть-Кут; 3. Летнее кафе, бульвар Кирова   г. Усть-Кут",-,-,-,-,-,
