№ п/п,Наименование организации,ИНН организации,ОГРН организации,Адрес места нахождения организации (юридический адрес),Адрес осуществления вида деятельности ,Регистраци-онный номер организации Серия лицензии Номер лицензии,"Дата выдачи лицензии (месяц, число, год)","Дата окончания действия лицензии (месяц, число, год)",Продленна лицензия,Основание и дата переоформления лицензии,"Дата приоста-новления действия лицензии (месяц, число, год)","Дата возобно-вления действия лицензии (месяц, число, год)","Дата прекра-щения действия лицензии (месяц, число, год)","Дата аннули-рования (месяц, число, год)",Дата прове-дения последней проверки,Примечание
1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19
1,"ООО ""Смолемос Ко ЛТД""",6705003153,1026700976972,"216200, Смоленская область, г. Духовщина, ул. Смоленская, д. 111","216200, Смоленская область, г. Духовщина, ул. Смоленская, д. 111 (магазин), без ограничений",№ 1082                 Б 004911,16 июня 2011,по 10 июля 2011,,,,,,,,
,,,,,"216200, Смоленская область, г. Духовщина, ул. Луначарского, д. 31-а (магазин) , без ограничений",,,,,,,,,,,
,,,,,"216200, Смоленская область, Духовщинский район, п. Озерный, ул. Ленина, д. 6 (магазин), без ограничений",,,,,,,,,,,
,,,,,"216200, Смоленская область, г. Духовщинский район, д. Третьяково (магазин)",,10 июля 2006,по 10 июля 2011,,исключение объекта,,,,,,
2,"ООО ""БЕРЕЗКА""",6705004044,1066727015398,"216239, Смоленская область, Духовщинский район, пгт. Озерный, ул. Строителей, д. 19-а, кв. 45","216239, Смоленская область, Духовщинский район, п.г.т Озерный, ул. Ленина, д. 3/3 (магазин), без ограничений",№1062               Б 005900,05 июля 2006,по 05 июля 2011,до 06 июля 2014,,,,,,,
,,,,,"216239, Смоленская область, Духовщинский район, п.г.т. Озерный, ул. Строителей, д. 9 (магазин), без ограничений",,,,,,,,,,,
3,"ООО ""Спектр""",6705004020,1066727015310,"216200, Смоленская область, г. Духовщина, ул. Бугаева, д. 61","216200, Смоленская область, г. Духовщина, ул. Луначарского, д. 31-б (магазин), без ограничений",№ 1054               Б 005821,04 июля 2006,по 04 июля 2011,до 05 июля 2012,,,,,,,
,,,,,"216200, Смоленская область, г. Духовщина, ул. Смоленская, д. 40-г (магазин), до 15%",,,,,,,,,,,
4,"ООО ""ФОРСАЖ""",6705003971,1066727009887,"216200, Смоленская область, г. Духовщина, ул. Смоленская, д. 135","216200, Смоленская область, г. Духовщина, ул. Бугаева, д. 80-а (магазин), без ограничений,",№ 697                    Г 245969,14 апреля 2006,по 14 апреля 2011,до 15 апреля 2012,,,,,,,
,,,,,"216200, Смоленская область, г. Духовщина, ул. Смоленская, д. 135 (магазин), без ограничений",,,,,,,,,,,
5,"ООО ""Меркурий""",6705003989,1066727014155,"216200, Смоленская область, г. Духовщина, ул. Смоленская, д. 37","216200, Смоленская облас, д. 37 (магазин), без ограниченийть, г. Духовщина, ул. Смоленская",№ 744                 В 317902,23 мая 2006,по 23 мая 2011,до 24 мая 2012,,,,,,,
,,,,,"216200, Смоленская область, г. Духовщина, ул. Бугаева, д. 48 (магазин), без ограничений",,,,,,,,,,,
6,"ООО ""Полянка""",6705004407,1086727001349,"216239, Смоленская область, Духовщиновский район, п. Озерный, ул. Садовая, д. 18, кв. 2","216239, Смоленская область, Духовщиновский район, п. Озерный, ул. Богатырева, д. 3 (магазин)",№ 1783               Б 005031,10 декабря 2008,по 10 декабря 2013,,,,,,,,
7,"ООО ""Пороцветание""",6705004220,1076727000635,"216239, Смоленская область, Духовщинский район, пос. Озерный, ул. Кольцевая, д. 6","216239, Смоленская область, Духовщиновский район, пос. Озерный, ул. Кольцевая, д. 6 (магазин ""Пятачок"")",№ 1544                     Г 679544,16 августа 2007,по 16 августа 2012,,,,,,,,
8,"ООО ""АРМАДА""",6705003700,1046713005877,"216230, Смоленская область, Духовщиновский район, пгт. Озерный, ул. Садовая, 14","216230 , Смоленская область, Духовщинский район, пгт. Озерный, ул. Ленина, 16 (магазин)",№ 1510                 Г 679504,22 июня 2007,по 22 июня 2012,,,,,,,,
9,"ЗАО "" Эверест""",6705003650,1036713004162,"216239, Смоленская область, Духовщинский район, п. Озерный, ул. Строителей, д. 24","216239, Смоленская область, Духовщинский район, п. Озерный, ул. Строителей, д. 24 (магазин ""Русский хлеб"")",№ 1486                    Г 679476,03 мая 2007 ,по 03 мая 2012,,,,,,,,
10,"ООО ""Каштан""",6705004083,1066727016157,"216239, Смоленская область, Духовщинский район, пгт. Озерный, ул. Строителей, 1 А","216239, Смоленская область, Духовщинский район, пгт. Озерный, ул. Строителей, д. 1-А (закусочная)",№ 1297                 Г 254937,05 сентября 2006,по 05 сентября 2011,,,,,,,,
11,"ООО ""Коммерсант""",6705004051,1066727015519,"216239, Смоленская область, Духовщинский район, пгт. Озерный, ул. Ленина, 7","216239, Смоленская область, Духовщинский район, пгт. Озерный, ул. Ленина, д. 7 (магазин)",№ 1203                   Б 005999,27 июля 2006,по 27 июля 2011,,,,,,,,
12,"ООО ""Эльф""",6705003996,1066727014903,"216239, Смоленская область, Духовщинский район, пгт. Озерный, ул. Строителей, 18","216239, Смоленская область, Духовщинский район, пгт, Озерный, ул. Строителей, 18 (закусочная)",№ 1158                Б 005947,19 июля 2006,по 19 июля 2011,,,,,,,,
13,"ООО ""Айсберг""",6705004037,1066727015376,"216239, Смоленская область, Духовщинский район, пгт. Озерный, ул. Строителей, 17, 31","216239, Смоленская область, Духовщинский район, пгт. Озерный, ул. Строителей, 17 (магазин)",№ 1079                   Б 005851,10 июля 2006,по 10 июля 2011,,,,,,,,
14,"ООО ""Спектр""",6705004020,1066727015310,"216200, Смоленская область, г. Духовщина, ул. Бугаева, д. 61","216200, Смоленская область, г. Духовщина, ул. Ул. Луначерского, д. 31-б (магазин)",№ 1054               Б 005821,04 июля 2006,по 04 июля 2011,,,,,,,,
,,,,,"216200, Смоленская область, г. Духовщина, ул. Смоленская, д. 40-г (магазин)",,,,,,,,,,,
,,,,,"216200, Смоленская область, г. Духовчина, ул. Смоленская, д. 40-г (магазин)",,,,,,,,,,,
15,Духовщинское РАЙПО,6705000385,1026700974904,"216200, г. Духовщина, ул. Советская, д. 63","216200, г. Духовщина, ул. Смоленская, д. 78/13 (магазин), без ограничений","1123                            Б 005290
(приложение № 1 67 МЕ 000014)",14 июля 2006,14 июля 2011,,,,,,,,
,,,,,"216200, г. Духовщина, ул. М. Горького, д. 9-а (магазин), без ограничений",,,,,,,,,,,
,,,,," 216200, г. Духовщина, ул. Советская, д. 67/46 (магазин), без ограничений",,,,,,,,,,,
,,,,," 216200, Духовщинский район, д. Шиловичи (магазин), без ограничений",,,,,,,,,,,
,,,,," 216200, Духовщинский район, д. Троицкое (магазин), без ограничений",,,,,,,,,,,
,,,,," 216200, Духовщинский район, п. Озёрный, ул. Ленина, д. 3/3 (магазин), без ограничений",,,,,,,,,,,
,,,,,"216200, Духовщинский район, с. Пречистое, ул. Советская (магазин), без ограничений",,,,,,,,,,,
,,,,," 216200, Духовщинский район, с. Пречистое (магазин № 2), без ограничений",,,,,,,,,,,
,,,,,"216200, Духовщинский район, с. Пречистое (магазин № 3), без ограничений",,,,,,,,,,,
,,,,,"216200, Духовщинский район, д. Вершковичи (магазин), без ограничений",,,,,,,,,,,
,,,,," 216200, Духовщинский район, д. Добрино (магазин), без ограничений",,,,,,,,,,,
,,,,," 216200, Духовщинский район, д. Третьяково (магазин), без ограничений",,,,,,,,,,,
,,,,," 216200, Духовщинский район, д. Митяево (магазин), без ограничений",,,,,,,,,,,
,,,,," 216200, Духовщинский район, д. Афанасьево (магазин), без ограничений",,,,,,,,,,,
,,,,," 216200, Духовщинский район, д. Спас-Углы (магазин), без ограничений",,,,,,,,,,,
,,,,,"216200, Духовщинский район, д. Ерыши (магазин), без ограничений",,,,,,,,,,,
,,,,," 216200, Духовщинский район, д. Булгаково (магазин), без ограничений",,,,,,,,,,,
,,,,," 216200, Духовщинский район, д. Петрищево (магазин), без ограничений",,,,,,,,,,,
,,,,,"216200, Духовщинский район, д. Зимец (магазин), без ограничений",,,,,,,,,,,
,,,,," 216200, г. Духовщина, ул. Смоленская, д. 78/13 (бар ресторана), без ограничений",,,,,,,,,,,
,,,,,"216200, г. Духовщина, ул. Советская, д. 61 (бар), без ограничений",,,,,,,,,,,
,,,,," 216200, г. Духовщина, ул. Смоленская, д. 50 (кафе), без ограничений",,,,,,,,,,,
,,,,," 216200, г. Духовщина, ул. Советская, д. 45 (кафе), без ограничений",,,,,,,,,,,
,,,,," 216200, Духовщинский район, п. Льнозавод (магазин), без ограничений",,,,,,,,,,,
,,,,,"216200, Духовщинский район, с. Пречистое (бар), без ограничений",,,,,,,,,,,
,,,,," 216200, Духовщинский район, д. Велисто (магазин), без ограничений",,,,,,,,,,,
,,,,," 216200, Духовщинский район, д. Воронцово (магазин), без ограничений",,,,,,,,,,,
,,,,,"216200, Духовщинский район, д. Берестнево (магазин), без ограничений",,,,,,,,,,,
,,,,,"216200, Духовщинский район, д. Савино (магазин), без ограничений",,,,,,,,,,,
,,,,," 216200, г. Духовщина, ул. М. Горького, д. 9-а (кафе «Закусочная» ПМК), без ограничений",,,,,,,,,,,
,,,,,"216200, Духовщинский район, д. Бабино (магазин), без ограничений",,,,,,,,,,,
,,,,,"216230, Духовщинский район, п. Озерный, ул. Строителей, д. 17-а (магазин), без ограничений.",,,,,,,,,,,
,,,,," 216230, Духовщинский район, п. Озерный, ул. Строителей, д. 9-а (магазин), без ограничений.",,,,,,,,,,,
,,,,,"214038, г. Смолленск, ул. Гарабурды, д. 17-д (магазин), без ограничений.",,,,,,,,,,,
,,,,,"216239, Духовщинский район, п. Озерный, ул. Строителей, д. 16 (магазин), без ограничений.",,,,,,,,,,,
,,,,,"216201, Духовщинский район, д. Третьякова, ул. Московская, д. 7 (закусочная), без ограничений.",,,,,,,,,,,
