                                                      Атюрьевский район,,,,,,,,,,
№,Ре,Серия,"Наименование организации,",,Адреса,Ко-тво,Срок,№ ,Дата,Ф.И.О.
орга,ги,лицензии,"юридический адрес, почтовый адрес",,торговых объектов,торговых,действия,"телефона,",приоста-,руководителя (учредителя)
низа,ст,,,,,объектов,лицензии,факс,новки и,
ции,ра,,,ИНН,,,,,возобнов-,
,ци,,,ОГРН,,,,,ления,
,он,,,,,,,,лицензии,
,№,,,,,,,,,
1,176,13 РМ,"ООО ""Стрельниковское"", с.Стрельниково, ул. Новая, 13",1302014851,"магазин № 1,  с. Стрельниково, ул. Новая, 13, Атюрьевский район",12,29/06/12,2-42-20,,Ивашкин Федор Дмитриевич
,,000066,,1021300763956,"магазин № 2, с. Стрельниково, ул. Новая, 13, Атюрьевский район",,29/06/14,89276424804,,
,,,,,"магазин, д. Пичеполонга, ул. Центральная, 89, Атюрьевский район",,,,,
,,,,,"магазин, с. Верхний Пишляй, 5, Атюрьевский район",,,,,
,,,,,"м-н ТПС, с. Барашево, ул. Центральная, 16, Атюрьевский район",,,,,
,,,,,"магазин, с. Новая Кярьга, ул. Центральная, 11 а, Атюрьевский район",,,,,
,,,,,"магазин, с. Кишалы, ул. Нижняя, 78, Атюрьевский район",,,,,
,,,,,"магазин, с. Кишалы, ул. Верхняя, 24 а, Атюрьевский район",,,,,
,,,,,"магазин, д. Степановка, ул. Центральная, 6, Атюрьевский район",,,,,
,,,,,"м-н ТПС, с. Морд. Козловка, ул. Центральная, 76а, Атюрьевский район",,,,,
,,,,,"магазин, д. Потьма, ул. Центральная, 1 а, Атюрьевский район",,,,,
,,,,,"м-н ""Продукты"", с. Сосновка, ул. Родниковая, 6, Атюрьевский район",,,,,
1,99,13 МЕ,"ГУП РМ ""Развитие села"" г. Саранск,",1300000807,"м-н""Нива-12"", с.Атюрьево, ул.Ленина,2а",2,27/04/12,,,
,,002026,"ул. Московская, 1",,"кафе, с. Атюрьево, ул. Ленина, 2а",,23/12/16,,,
1,49,13 МЕ,"ООО ""Диана"" с. Атюрьево, ул. Ленина, 2 б",1302000150,"м-н ""Продукты"" с. Атюрьево, ул. Ленина, 2 б",1,30/03/12,2-20-53,,Сиркина Анна Ивановна
,,001975,,1061314002133,,,30/03/13,,,
1,97,13 МЕ,"ООО ""Шанс"" с. Каменка, ул. Новая, 17, Атюрьевский район",1302000055,"м-н с. Б.Шуструй, ул. Центральная, 12, Атюрьевский район",3,27/04/12,89093274166,,Еремкин Петр Федорович
,,002024,,1051314031823,"м-н с. Каменка, ул. Центральная, 2, Атюрьевский район",,12/05/16,2-20-38,,
,,,,,"м-н с. Атюрьево, ул. Московская, 70а",,,,,
1,411,13 МЕ,"ОАО ""Агрофирма ""Октябрьская"", Лямбирскийр-н",1315012925,"м-н ""Птица"" №25 с. Атюрьево, ул. Ленина, 1",1,15/12/11,,,
,,001888," п. Б. Елховка,ул.Заводская.12",,,,15/04/14,,,
1,267,13 МЕ,"ООО ""Колос"", с. Атюрьево, ул. Коммунистическая, 3",1302026656," м-н, с. Кишалы, ул. Нижняя, 75, Атюрьевский",4,21/07/11,2-14-16,,Енин Григорий Григорьевич
,,001731,,1021900764737,"м-н ""Фермер"" , с. Курташки, ул. Новая, 2а, Атюрьевск",,21/07/13,,,
,,,,,"м-н, с.Вольно-Никольское, ул. Центральная, 1, Атюрьевский район",,,,,
,,,,,"магазин ""Фермер"", с. Каменка, ул. Молодежная, 1, Атюрьевский",,,,,Анна Андреевна
1,237,13  МЕ,"ООО ""Авангард"" с. Дм.Усад, ул. Центральная, 86а",1302000224,"м-н с. Дм. Усад, ул. Центральная, 86а, Атюрьевский",1,15/07/11,89271723849,,Романов Олег Александрович
,,001699,Атюрьевский район ,1061314009019,"магазин ""Причал"", п. Торбеево, ул. Павлова, 38а",,15.0714,89200121792,,
1,169,13 МЕ,"ООО ""Фортуна"" с. Новочадово, Атюрьевский р-н",1302000182,"м-н с.Новочадово, ул. Центральная, 2а, Атюрьевский район",2,15/07/09,2-18-49,,Бочарова Алия Амировна
,,000925,,,"м-н с. Усть-Рахмановка, Атюрьевский район",,15/07/14,,,
1,194,13 МЕ,"МП ""Атюрьево-рынок"" с. Атюрьево, ул. Централь-",1302063908,"м-н с. Атюрьево, ул. Центральная, 6",2,14/08/09,2-13-85,,Неяскина Нина Ивановна
,,000950,"ная, 6",,"м-н с. Усть-Рахмановка, Атюрьевский район",,14/08/12,,,
1,323,13 МЕ,"ООО ""Кристалл""  с. Атюрьево, ул. Центральная,9",1302000418,"м-н №1, с. Атюрьево, ул. Центральная, 5",3,30/09/11,2-10-52,,Голышев Иван Николаевич
,,001792,,1061314010460,"м-н № 2 д. Русская Велязьма, ул. Мелиораторов, Атюрьевский район",,30/09/13,89876925060,,Голышева Ольга Александровна
,,,,,"м-н с. Атюрьево, ул. Коммунистическая, 76а",,,,,
1,322,13 МЕ,"ООО СМП ""Атюрьевское"" с. Атюрьево, ул. Дорож-",1302064740,"м-н с. Атюрьево, ул. Пушкина, 1 ",1,30/09/11,2-18-14,,Понимаскин Иван Егорович
,,001791,"ная, 7",1041306005619,,,30/09/12,89603395533,,
1,193,13 МЕ,"ООО ""Ника"" с. Перевесье, ул. Центральная, 56,",1302000376,"м-н с. Перевесье, ул. Центральная, 56, Атюрьевский",1,14/08/09,2-43-42,,Мелешева Екатерина Васильевна
,,000949,Атюрьевский район,,,,14/08/11,,,
1,195,13 МЕ,"ООО ""Торг-сервис"" с. Атюрьево, ул. Централь-",1302000030,"зак-ная с. Атюрьево, ул. Советская, 1",3,14/08/09,2-13-85,,Голышев Иван Николаевич
,,951,"ная, 9 ",,"кафе ""Придорожное"" с. Каменка, ул. Молодежная, 3, Атюр",,14/08/12,2-23-94,,
,,,,,"м-н ""Продукты"" с. Каменка, ул. Молодежная, 3, Атюр",,,,,
1,206,13 РМ,"ООО ""Региональное Объединение Розничной",1327010520,"магазина, с. Атюрьево, ул. Равочкина, д. 80;",9,29/06/12,,,
,,000097,"Торговли"" г. Саранск, ул. Строительная, 1",,"м-н, Атюрьевский район, с. Мордовская Козловка, ул. Центральная, 76б",,15/07/14,,,
,,,,,"магазина, Атюрьевский район, д. Духонькино, ул. Центральная, д. 93 «а»;",,,,,
,,,,,"м-н, Атюрьевский район, с. Вольноникольское, ул. Центральная, д. 41;",,,,,
,,,,,"магазина, Атюрьевский район, с. Атюрьево, ул. Пушкина, д.1 А.",,,,,
,,,,,"м-н д. Пичеполонга, Атюрьевский район",,,,,
,,,,,"м-н с. Кишалы, ул. Нижняя, 93в, Атюрьевский район",,,,,
,,,,,"м-н с. Перевесье, ул. Центральная, 56, Атюрьевский район",,,,,
,,,,,"магазин ""Продукты"", с. Стрельниково, ул. Новая, 16, Атюрьевский район",,,,,
1,329,13 МЕ,"ООО ""Глобус"", с. Атюрьево, ул. Кирова, 11а",1302001002,"м-н ""Продукты"", с. Атюрьево, ул. Кирова, 11а",1,14/10/11,89272747904,,Кулягин Сергей Мванович
,,001799,,1101314000116,,,14/10/12,,,
1,123,13 РМ,"ЗАО ""Тандер"" г. Краснодар, ул. Леваневского,",2310031475,"магазин ""Магнит"", с. Атюрьево, ул. Коммунистическая, 6",1,15/05/12,,,
,,000004,"185, филиал г. Саранск, ул. Невского, 101б",1022301598549,,,15/03/16,,,
1,205,13 РМ,"ООО ""Сартория"" г. Саранск, ул. 2-Промыш-",1327007920,"магазин ""Продукты-1"", с. Атюрьево, ул. Ленина, 2",2,29/06/12,,,
,,000096,"ленная, 7а ",1091327000280,"магазин ""Продукты"", с. Атюрьево, ул. Школьная, 1а",,16/04/15,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
17,,,,,,,,,,
,,,,,,49,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
