"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Тайшетский район""",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии  (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
1,Алга ООО        ИНН     3815010493,г.Тайшет  МИ ФНС №5 по Иркутской обл.,№ 10 от 26.06.2006         А 244791    с 01.07.2006   по 01.07.2011 А242753 № 12 от 15.04.2011 по 01.07.11 продлено с02.07.11 до 02.01.12; продлено  с02.01.12 до 03.07.12," магазин- Тайшет, Интернациональная, 28",,,5/24/2012,,,
2,"Грань ООО""  ИНН3815001932",г.Тайшет  МИ ФНС №5 по Иркутской обл.,А 556215 № 44 от 04.12.2009 с 04.12.09 по 01.12.14,"кафе-п. Половино Черемхово, 1ая,Зеленая,30",,,2/2/2012,,,
3,"Каримов ООО"" ИНН      3815010503 ",г.Тайшет  МИ ФНС №5 по Иркутской обл.,А 244803 №30 от 17.07.2006   с 17.07.2006 по 17.07.2011 продлен срок до 18.01.2012г переоф. №45 от 02.08.2011 А242768  с02.08.11 до 18.01.12,"магазин-Тайшет, Суворова, 9-2 ;  кафе- Тайшет, ул. Кирова,224",,,1/18/2012,,,
4,"Саяны ООО""    ИНН3815014480",г.Тайшет  МИ ФНС №5 по Иркутской обл.,А 556325 № 10 от 16.04.2009 с16.04.2009 по 16.04.2014; А 176234; № 29 от 18.08.2010 с 18.08.10 по 16.04.14,"кафе -Трасса, М53-1201км     магазин-  Тайшет, Кирова, 33а;                     магазин- Тайшет,м-н Мясникова, 12",,,2/1/2012,,,
5,Юнис ООО ИНН 3815006754 ,г.Тайшет  МИ ФНС №5 по Иркутской обл.,А 556134 № 19 от 23.05.2007        с 23.05.07 по  23.05.12       ,"бар- Юрты, Бульварная,17; магазин: Тайшет, Мясникова9-50н;магазин- Юрты, Бульварная,17 ",,,5/30/2012,,,
6,"Микс Патио  ООО""      ИНН      3815014829",г.Тайшет  МИ ФНС №5 по Иркутской обл.,А 556356 № 25 от12.08.2010   с 12.08.10 по 12.08.2011 срок продлен до 13.08.2012,"кафе -г. Тайшет, Транспортная, 13- ресторан-Тайшет; Транспортная,13",,,4/16/2012,,,
7,Авангард ООО ИНН     3838005050,г.Тайшет  МИ ФНС №5 по Иркутской обл.,А 244764  №45 от 28.12.2005 с 01.01.2006 по 01.01.2011                                        п/оф А 244825 № 16 от 29.06.2006  с 01.01.2006 по 01.01.2011             п/оф  А 556114 № 5 от 05.02.2007   с 01.01.2006 по 01.01.2011                          п/офА 556162  №5 от 11.03.2008г  с 11.03.2008 по 01.01.2011 продлено до 02.01.2012; продлено  с 03.01.12 до  03.01.13,"магазин-Тайшет, Тимирязева,90; магазин- Тайшет,Пушкина,30 ;магазин- Тайшет, Пушкина,24; магазин-Тайшет, Сибирская,1; магазин- Тайшет,Тимирязева, 89; магазин- Тайшет, м-н Новый,5-17н; магазин- ТайшетАк. Павлова, 38",,,,,,
8,Алмаз-Тайшет ООО ИНН3816012207, МИ ФНС № 6 по Иркутской обл., № 29 от 23.07.2012 взамен № 50 от 25.08.2011 А 242774; переофор. А 242782 № 65 от 12.12.2011. с 12.12.11 по 25.08.12 А 242801 № 1 от 31.01.2012г с 31.01.12 по 25.08.12; переоформ. А 242810  № 8 от 26.03.2012г до 25.08.2012г; переоформ. А242812 № 12 от 04.04.12 до 25.08.12 ; А 242823 № 17 от 21.05.2012г до 25.08.12,"Тайшет, ул. Транспортная, 35-1Н; Тайшет, ул. 19Парсъезда, 27-4Н; Тайшет, мкр Мясникова, 9-50н; Тайшет, ул. Суворова, 5А; Тайшет, ул. Интернациональная, 28; Тайшет, ул. Пушкина, 24-2; Тайшет, ул.Интернациональная, 28; Тайшет, ул. Чернышевского, 8-1н; Тайшет, ул. Горная, 131; Тайшет, ул. Ленина, 130/3; Чунский район, п. Чунский, ул. Ленина, 52; Чунский район, п. Чунский, ул. Изыканская,2А; Чунский район, п. Октябрьский, ул. Мира,43",,,,,,
9,"АПА ООО"" ИНН3815012927",г.Тайшет  МИ ФНС №5 по Иркутской обл.,А556158 №2 от 30.01.2008 с 06.02.08 до 06.02.13п/оф А 556271 № 12 от 04.05.2008 с  04.05.2008 по 06.02.2013п/оф  А 556234  № 28 от 08.10.08 с 08.10.08 по06.02.13  п/оф  А 556257  № 2 от 27.01.09  с 27.01.09 по 06.02.13  А556314  № 19 от 04.06.2009  с 04.06.09 по 06.02.13                         А 556311 № 29 от 02.09.2009 с 02.09.09 по 06.02.13      А 556219  № 41 от 26.11.09 с26.11.09 по 06.02.13 А 556292 № 8 от 26.02.10 26.02.10по 06.02.13  А 556295  № 12 от 09.04.2010  с 09.04.10 по 06.02.13 А 176123 № 40 от 10.11.2010 с 10.11.10 по06.02.13 А 176124 № 42 от 29.11.2010 с29.11.2010по 06.02.13г.; А 242813 от 15.02.12 по 06.02.13г.; А 242829 № 22 от 06.06.2012г до 06.02.2013,"магазин - Тайшет, ул.Локомотивная,9;   магазин -Тайшет, ул. Транспортная,113 А; магазин- г.Тайшет, ул. Транспортная,95н;        магазин. -г.Тайшет, ул.Гастелло,103; кафе -бар -г.Тайшет, м-н Пахотищева,12А; маг.- г. Тайшет, ул.Гагарина, 16-2н;",,,,,,
10,"Барс ООО""       ИНН      3815011377",г.Тайшет  МИ ФНС №5 по Иркутской обл.,А 556123 № 58 от 13.12.2006 с 13.12.2006 по 13.12.2011  п/оф А556132   № 20 от 31.05.2007    с 13.12.2006 по 13.12.2011            п/оф.  А556159 № 3 от 14.02.08    с 13.12.2006 по 13.12.2011 п/оф  А 556275 № 17 от 21.07.2008   с 21.07.2008 по 13.12.2011 п/оф . А 556263 № 33 от 15.12.08 с 15.12.08 по 13.12.11 А556264 №1 от 21.01.10. от 21.01.10 по 13.12.11; продлено- с 14.12.11 до 14.12.12; переофор.А 242783 № 68 от 16.12.2011,"магазин-Тайшет, -Марата,203; магазин- Тайшет,Новый,13-71н; магазин-Тайшет, Капустина,22",,,,,,
11,"Бизнес-группа ООО"" 3815011105",г.Тайшет  МИ ФНС №5 по Иркутской обл.,А 244815 №44 от 29.09.2006   с 29.09.2006 по 29.09.2011 срок продлен до 30.03.2012; А 244815 №44 от 29.09.2006 срок продлен до 30.09.12;,"кафе-Тайшет, Кирова, 232",,,,,,
12,"Бирюса + ООО"" ИНН 3815014145",г.Тайшет  МИ ФНС №5 по Иркутской обл.,А 556262 № 34 от 19.12.2008 с 19.12.08 по 19.12.13," маг.-п Мирный, Школьная,16; маг. - с. Шелаево, Кооперативная,4",,,,,,
13,Валерия ООО ,,А242825 № 18 от 21.05.2012 с 21.05.12 до 21.05.13,"магазин- Тайшет, ул. Гагарина,92-5н; магазин - Тайшет, ул. Андреева, 2, ТК ""Мика""",,,,,,
14,Вариант ООО ,,А242827 № 20 от 28.05.2012 с 28.05.12 до 28.05.13,"магазин- Тайшет, ул. Гастелло, 98А",,,,,,
15,Вектор С  ООО ИНН3805711595,"г. Братск, МИ №15 ФНС по Иркутской области",38 МЕ 006242 № 676 от 12.11.2010,"Магазин- Тайшет, ул. Пушкина, 6-7Н",,,,,Администрация г. Братска,
16,"Вектор-Т ООО""  ИНН3805709370",г.Братск  МИ ФНС № 15 по Иркутской обл., № 31 от 30.07.2012 взамен А 556324 № 18 от 24.04.2009с 24.04.09 по 24.04.14 А 556343 №27 от 27.07.09 с 27.07.09 по 24.04.14                          А556330 № 30 от 15.09.2009 с 15.09.09 по 24.04.14 А 556225 № 36 от 06.10.2009 06.10.09 по 24.04.14 А 556224 № 37 от 16.10.2009 19.10.09 по 24.04.14 № 20 от 24.06.10 А556304 с 24.06.10 по 24.04.14 п /оф; А 556357 №27 от 12.08.2010 с 12.08.10 по 24.04.14; №35 от 18.10.2010 с 18.10.10 по 24.04.14  А 176122 № 39 от 01.11.2010 с01.11.10 по 24.04.14 А 176135 № 1 от 19.01.2011   с 19.01.11до 24.04.14 А176139 № 5 от 05.03.11 по 24.04.14  А176143  № 9 от30.03.11 по 24.04.14 А 242754 № 14 от 20.04.2011 по 24.04.14 А 242757 № 18 от 12.05.2011г  до 24.04.2014;       А 242762 № 37 от 01.07.2011 с 01.07.11 до 24.04.14; А 242767 № 44 от 20.07.2011 с 20.07.11 до 24.04.2014;  А242775 № 52 от 01.09.2011 ; ,"г. Тайшет: м-н Мясникова, 4-118Н; Ул. Горная, 78; Ул. Калинина, 67н; Ул. Пушкина, 36; ул. Бурлова,10/2; Тайшетский район: п. Юрты, ул. Центральная, 12; с. Николаевка, ул. Сушкова, 9А; п. Юрты, ул. Путевая, 6; п. Квиток, ул. Первомайская, 45А; Чунский район:п. Чунский, ул. Фрунзе, 8-1н;п. Парчум, ул. Студенческая,19-1н;п, Заводской, ул. Первомайская, 7; п.Лесогорск, ул. Веселая,34н (Бидоги); п. Новочунка, ул. Толстого, 7Б;",,,,,,
17,"Вектор-Т ООО""  ИНН3805709370",г.Братск  МИ ФНС № 15 по Иркутской обл.,продолжение: А242820 № 15 от 03.05.2012 до 24.04.14,";магазин- п. Тахтамай, ул. Тахтамайская,46;магазин- п. Чунский, м-н Северный, 1-18н; магазин-п.Заводской, ул. Первомайская, 7; магазин-п. Лесогорск, ул. Весеоая,34Н(Бидоги); магазин-п. Новочунка, ул. Толстого, 15; магазин-п.Новочунка, ул. Толстого, 7Б; маг.-Тайшетский р.,с.Николаевка, ул. Сушкова,9А;  Тайшет, ул. Кирова,151/7- бар в кафе;  маг.-г.Тайшет, ул. Бурлова,10/2; маг. -Тайшетский р.,Юрты, ул. Путевая,6; Чунский р-он:  маг.-п. Парчум, ул.Центральная,7; маг.№ 1 -п. Чунский, м-н Северный, 5-5н; маг. №2-п. Чунский, м-н Северный, 5-5н; ",,,,,,
18,Вера ООО ИНН 3815007099,г.Тайшет  МИ ФНС №5 по Иркутской обл.,"№4 от 31,01,2007 по 29,12,2023 :А 556115 п/оф с 29,12,2003; п/оф А556165 №31 от 13,11,2008 с 13,11,08 по 29,12,2023;п/оф А556301 №18 от 09,06,2010 с 09,06,20 по 29,12,23","магазин-Тайшет, м-н Пахотищева,2А",,,,,,
19,Виктория ООО ИНН      3815001467,г.Тайшет  МИ ФНС №5 по Иркутской обл.,"А 244751 №17 от 15.04.2005г  с 15.04.2005 по 15.04.2020                       п/оф  А556124  № 56 от 08.12.2006                                                           с 15.04.2005 по 15.04.2020                        п/оф  А 556252 № 6 от 27,02.2009 с 27.02.09 по 15.04.20; переоформ. А 242818 от 30.03.2012г до 15.04.2020г"," магазин -Тайшет, Космодемьянская,12",,,,,,
20,Вит ООО         ИНН     3815008825,г.Тайшет  МИ ФНС №5 по Иркутской обл.,А244782 № 42 от 28.12.05   с 01.01.2006 по 01.01.2011            п/оф.А244814 № 43 от 07.09.2006  01.01.2006 по 01.01.2011                п/оф  А556100                                                        № 7 от 01.04.08  с  01.04.08 по 01.01.2011 продлено до 02.01.2012; продлено с03.01.12 до 03.01.13,"магазин- Бирюсинск, Советская.21; магазин- ст.Тагул,Павлова,5; магазин- Тайшет, м-н Новый,6; магазин, Тайшет,м-н Новый 19/1 ; магазин.-Бирюсинск, ул. Дружбы, 4",,,,,,
21,Восточная Сибирь ООО            ИНН     3815004316,г.Тайшет  МИ ФНС №5 по Иркутской обл.,№4 от  02.02.2005              А 174745       с 04.02.2005 по 04.02.2025 ,"магазин-Тайшет, Кирова,111;  магазин-Тайшет, Мясникова, 9",,,,,,
22,Восход ООО   ИНН     3815010479,г.Тайшет  МИ ФНС №5 по Иркутской обл.,№12 от 27.06.2006.  А244821                                                             с 01.07.2006 по 01.07.2011 продлен срок с 02.07.11 до 02.01.2012; продлено  с 03.01.12 до 03.01.13,"магазин-Тайшет,м -н Новый, 6А",,,,,,
23,"Грация ООО""  ИНН     3815005038 ",г.Тайшет  МИ ФНС №5 по Иркутской обл.,А 556206 № 47 от 10.10.2006 с10.10.2006 по 10.10.2011 п/оф А 556146   № 7 от 14.02.2007 п/оф    с 10.10.2006 по 10.10.2011 А 556346 № 26 от 14.07.2009 с 14.07.09 по 10.10.11   А556339 № 39 от 28.10.2009 28.10.09 по 10.10.11; срок продлен до 11.10.2012," магазин- п. Юрты, Советская, 27""Б"";  магазин-с.Половино-Черемхово, Трактовая, 121А; магазин- Юрты, Комсомольская,100А",,,,,,
24,Данилова ООО ИНН     3838005309,г.Тайшет  МИ ФНС №5 по Иркутской обл.,А 244771 № 39 от 02.12.2005г с 02.12.2005 по 02.12.2025                   п/оф  А 556135  № 17 от 13.04.2007        с 02.12.2005 по 02.12.2025     п/оф. А 556317 № 16 от 05.05.2009 с 05.05.09 по 02.12.25," магазин -Тайшет,Тимирязева,92; магазин- Тайшет. Чернышевского, 8;",,,,,,
25,"Диво ООО""   ИНН3815014547",г.Тайшет  МИ ФНС №5 по Иркутской обл.,А 556250 № 9 от 14.04.2009 с 04.04.09 по 14.04.14  А 556327 № 33 от 25.09.2009 с 25.09.09 по 14.04.14 №10 А 556294 от 19.03.2010 с 19.03.10 по 14.04.14  А 176126 № 43 от 02.12.2010 по 14.04.2014 А 242755 № 16 от 04.05.2011  по 14.04.2014; А 242766 № 43 от 19.07.2011 с 19.07.2011 до 14.04.2014; А 242784 № 69 от 16.12.2011 с 16.12.11 до 14.04.14,"магазин- Тайшет, Транспортная, 115-84Н; ",,,,,,
26,"Долина грез ООО""      ИНН3815013790",г.Тайшет  МИ ФНС №5 по Иркутской обл.,А 556279 № 19 от 04.08.2008г с 04.08.08 по 04.08.13п/оф №22 от 04.09.08 с 04.09.08 по 04.08.13  А 556315 № 18 от 22.05.2009 с 22.05.09 по 04.08.13         А556312 № 47 от 16.12.09г по 04.08.13,"магазин- Тайшет,Транспортная,35-47н",,,,,,
27,Енисей ООО  ИНН          3815008776,г.Тайшет  МИ ФНС №5 по Иркутской обл.,А 244778 № 53 от 28.12.2005г с 01.01.2006 по 01.01.2011                 п/оф  А 556210 № 51 от 02.11.2006    с 01.01.2006 по 01.01.2011                            п/оф А 556210 № 51 от 02.11.2006 с01.01.2006 по 01.01.2011продлено до 01.01.2012; продлено  с 02.01.12 до 02.01.13 А 242790,"магазин-Тайшет, Гагарина,125Н;магазин- Тайшет, Пахотищева,1н; магазин- Тайшет, Транспортная, 48а-1н",,,,,,
28,"Застава ООО"" ИНН 3815014748",г.Тайшет  МИ ФНС №5 по Иркутской обл.,А 556350 № 24 от 03.07.2009 с 03.07.09 по 03.07.14; А 242822 № 16 от 11.05.2012  до 03.07.2014,"кафе-п. Квиток, Чапаева,51: магазин- Квиток, ул. Чкалова,51",,,,,,
