№ п/п,Наименование организации,ИНН организации,ОГРН организации,Адрес места нахождения организации (юридический адрес),Адрес осуществления вида деятельности ,Регистраци-онный номер организации Серия лицензии Номер лицензии,"Дата выдачи лицензии (месяц, число, год)","Дата окончания действия лицензии (месяц, число, год)",Продленна лицензия,Основание и дата переоформления лицензии,"Дата приоста-новления действия лицензии (месяц, число, год)","Дата возобно-вления действия лицензии (месяц, число, год)","Дата прекра-щения действия лицензии (месяц, число, год)","Дата аннули-рования (месяц, число, год)",Дата прове-дения последней проверки,Примечание,,,,,,,
1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,,,,,,,
1,"ООО ""Тракт""",6720003743,1066725012518,"216410, Смоленская область, Шумячский район, 420-й км, а/д Москва-Малоярославец","216410, Смоленская область, Шумячский район, 420-й км. а/д Москва-Мароярославец (магазин), без ограничений",№ 1137                  Б 005917,17 июля 2006,по 17 июля 2011,до 18 июля 2012,,,,,,,,,,,,,,
,,,,,"216500, Смоленская область, г. Рославль, ул. К. Маркса, д. 51 (кафе), без ограничений",,,,,,,,,,,,,,,,,,
2,"ООО ""Вино-Водка""",6720003736,1066725012441,"216410, Смоленская область, п. Шумячи, ул. Заводская, д. 93","216410, Смоленская область, п. Шумячи, ул. Заводская, д. 93 (магазин)",№ 928                 Б 005695,29 июня 2006,по 29 июня 2011,,,,,,,,,,,,,,,
,,,,,"216410, Смоленская область, п. Шумячи, ул. Сельхозтехника, д. 1-б (магазин)",,,,,,,,,,,,,,,,,,
3,"ООО ""Соколянка""",6720003976,1086725000450,"216432, Смоленская область, Шумячский район, д. Студенец","216432, Смоленская область, Шумячский район, д. Студенец (магазин)",№ 1692                  Г 679730,28 июня 2008,по 28 июля 2013,,,,,,,,,,,,,,,
4,"МУП ""Рембыттехника""",6720001129,1026700838625,"216410, Смоленская область, Шумячский район, п. Шумячи, ул. Советская, д. 95","216410, Смоленская область, Шумячский район, п. Шумячи, ул. Советская, д. 95 (магазин)",№ 1664                 Г 679585,08 мая 2008,по 08 мая 2013,,,,,,,,,,,,,,,
,,,,,"216410, Смоленская область, Шумячский район, д. Снегиревка (магазин)",,,,,,,,,,,,,,,,,,
,,,,,"216570, Смоленская область, Шумячский район, д. Русское (магазин)",,,,,,,,,,,,,,,,,,
,,,,,"216550, Смоленская область, Шумячский район, д. Озерная, ул. Руссковская, 23 (магазин)",,,,,,,,,,,,,,,,,,
5,"ОАО ""Первомайский стекольный завод""",6720000397,1026700838669,"216426, Смоленская область, Шумячский район, с. Первомайский, ул. Советская, 1","216426, Смоленская область, Шумячский район, с. Первомайский, ул. Советская, д. 7 (магазин)",№ 1572                  Г 679579,20 октября 2007,по 20 октября 2012,,,,,,,,,,,,,,,
,,,,,"216426, Смоленская область, Шумячский район, с. Первомайский, ул. Советская, д. 4-б (закусочная)",,,,,,,,,,,,,,,,,,
6,"ООО ""Околица""",6720003790,1066725014003,"216410, Смоленская область, Шумячский район, рабочий (заводской) п. Шумячи, ул. Советская, 102-а","216410, Смоленская область, п. Шумячи, ул. Советская, 102-а (магазин)",№ 1394               Г 679375,12 декабря 2006,по 12 декабря 2011,,,,,,,,,,,,,,,
7,"ООО ""Ассорти""",6720003817,1066725014036,"216410, Смоленская область, Шумячский район, рабочий (заводской) п. Шумячи, ул. Советская, 71-а","216410, Смоленская область, п. Шумячи, ул. Советская, 71-а (магазин)",№ 1391                  Г 679374                      (Г 301978),12 декабря 2006,по 12 декабря 2011,до 13 декабря 2012,,,,,,,,,,,,,,
8,"ООО ""Кристина""",6720003694,1066725012287,"216410, Смоленская область, п. Шумячи, ул. Сельхозтехника, 16","216410, Смоленская область, п. Шумячи, ул. Сельхозтехника, д. 16 (магазин)",№ 1201                Г 254842,27 июля 2006,по 27 июля 2011,,,,,,,,,,,,,,,
9,"ООО ""Веста""",6720003687,1066725012276,"216410, Смоленская область, Шумячский район, п. Шумячи, ул. Заводская, 15","216410, Смоленская область, Шумячский район, п. Шумячи, ул. Заводская, 15 (магазин)",№ 1174                Б 005945,19 июля 2006,по 19 июля 2011,,,,,,,,,,,,,,,
10,"ООО ""ЛАЗУРЬ""",6720003662,1066725012210,"216410, Смоленская область, п. Шумячи, ул. Советская, д. 60","216410, Смоленская область, п. Шумячи, ул. Советская, д. 60 (магазин)",№ 802                    Б 005567,01 июля 2006,по 01 июля 2011,,,,,,,,,,,,,,,
11,ШУМЯЧСКОМУ РАЙПО,6720000044,1026700836953,"216410, Смоленская область, п. Шумячи, ул. Советская, д. 68","216410, Смоленская область, п. Шумячи, ул. Советская, д. 60 (магазин)",№ 1447                  Г 679432,16 февраля 2010,по 26 февраля 2012,,,,,,,,,,,,,,,
