Кочкуровский район,,,,,,,,,,,
К-во,Регис-,Серия,"Наименование организации,",,Адреса,Кол - тво,Срок ,№ ,Дата,,
орга,тра-,лицензии,"юридический адрес, почтовый адрес",,торговых объектов,торговых,действия,"телефона,",приоста-,,
низа,цион-,,,,,объектов,лицензииё,факс,новки и,Ф.И.О.,
ций,ный,,,ИНН,,,,,возобнов-,руководителя (учредителя),
,№,,,ОГРН,,,,,ления,,
,лицен-,,,,,,,,лицензии,,
,зии,,,,,,,,,,
1,99,13 МЕ,"ГУП РМ ""Развитие села"" г. Саранск,",1300000807,"м-н ""Нива-11"" с. Кочкурово, ул. Школьная, 31",1,27/04/12,,,,
,,002026,"ул. Московская, 1",,,,23/12/16,,,,
1,411,13 МЕ,"ОАО ""Агрофирма ""Октябрьская"", Лямбирскийр-н",1315012925,"м-н ""Птица"" №55 с. Кочкурово, ул. Школьная, 3",1,15/12/11,,,,
,,001888," п. Б. Елховка,ул.Заводская.12",,,,15/04/14,,,,
1,372,13 МЕ,"ООО ""ПТН""  с. Сабаево, ул. Крупской, 128,",1313902175,"м-н с. Кочкурово, ул. Советская, 3а",4,15/11/11,2-95-62,пр.28.03.08,Пищикова Татьяна Николаевна,
,,001848,Кочкуровский район,1061324009890,"м-н с. Сабаево, ул. Ленина, 59а, Кочкуровский район",,28/01/15,89271843508,в.02.04.08,,
,,,,,"м-н Т.Умыс, ул. Московская, Кочкуровский район",,,,,,
,,,,,"м-н с. Качелай, ул. Нагорная, Кочкуровский район",,,,,,
1,207,13 РМ,"ООО ""Объединение розничной торговли"" ",1328904520,"м-н ""Атаман"" с. Р. Давыдово, ул. Пролетарская, 57, Кочкур ",5,29/06/12,,,,
,,000098,"г. Саранск, Александровское ш. 7 ",,"бар, с. Сабаево, Кочкуровский район (база отдыха)",,15/03/13,,,,
,,,,,"магазин ""Умарина"", с. Кочелай, ул. Центральная, 1, Кочкуровский район",,,,,,
,,,,,"магазин ""Сурские зори"", с. М.Давыдово, ул. Центральная, 12 б",,,,,,
,,,,,"магазин ""Валдоне"", с. М.Давыдово, ул. Московская, 43 а",,,,,,
1,244,13 МЕ,"ООО ""Любава"" с. Атемар, ул. Центральная, 15,",1315487904,"м-н ""Продукты"", Кочк-ий р-н, с. Ст. Турдаки, ул. Мос-ая, 2;",4,15/07/11,,,,
,,001706,Лямбирский р-н,,"м-н ""Продукты"" Кочк-ий р-н, с. Воеводск, ул. К. Маркса, 1;",,15/07/12,,,,
,,,,,"м-н ""Все для дома"" Коч-ий р-н, п. Красномайский",,,,,,
,,,,,"м-н ""Железн-ный"" Коч-ий р-н, ст. Воеводск, ул. Раб-ая, 8а;",,,,,,
1,96,13 МЕ,"ООО ""Лейне"" с. Кочкурово, ул. Школьная, 3а",1313901823,"м-н с. Н.Турдаки, ул. К.Маркса, 18, Кочкуровский р-н",4,27/04/12,2-13-66,,Мустайкин Сергей Александрович,
,,002023,,1031320003428,"м-н с. Семилей, ул. Рабочая, 2, Кочкуровский район",,27/04/13,89271753039,,,
,,,,,"м-н п. Красномайский, ул. Прудная, 2, Кочкуровский р-н",,,,,,
,,,,,"м-н с. Кочкурово, ул. Советская, 5а",,,,,,
1,08,13 МЕ,"ООО ""Агрофирма ""Тавла"", г. Саранск,  ",1313094305,"м-н с. П.Тавла, ул. Школьная, 5а, Кочкуровский р-н",1,30/01/12,2-46-50,пр.30.10.09,Ширманкин Николай Андреевич,
,,001928,"ул. Энергетическая, 49",1021301120928,,,30/01/13,89053780240,в.18.11.09,,
1,147,13 РМ,"ООО ""Ливадия"" с. Кочкурово, ул. Советская",1313902418,"магазин ""Продукты"", с. Кочкурово, ул. Советская",1,15/06/12,89603364455,,Келина Елена Николаевна,
,,000030,,1071324000318,,,15/06/14,,,,
1,177,13 МЕ,"ООО ""Флора"" с. Сабаево, ул. Ленина, 6, ",1313902457,"м-н ""Купец""  с. Сабаево, ул. Ленина, 6, Кочкуровский р-н",1,28/09/07,89176904151,пр.24.05.11,Кафтайкин Александр Валентинович,
,,000343,Кочкуровский р-н,,,,28/09/12,,в.23.06.11,,
1,405,13 МЕ,"ООО ""РТИ"" с. Кочкурово, ул. Калядина, 56",1313902577,"м-н с. Булгаково, ул. Центральная, 1а, Кочкуровский р-н",1,15/12/11,89053894493,,Русяйкина Татьяна Ивановна,
,,001882,,1071324000747,,,15/12/12,,,,
1,146,13 РМ,"ООО ""Медэя"" с. Кочкурово, ул. Советская, 10",1313902619,"м-н с. Мурань, ул. Центральная, 56, Кочкуровский район",6,15/06/12,89297456768,,Жиркин Александр Федорович,
,,000029,,1081324000097,"м-н, с.Н.Пырма, ул.Центральная, 104, Кочкуровский р-н",,06/06/13,2-17-02,,Родькин Аллексей Николаевич,
,,,,,"м-н, с.Ст.Турдаки, ул.Коминтерна, 2а, Кочкуровский р-н",,,,,Тюрюков Максим Викторович,
,,,,,"м-н, с.М.Давыдово, ул.Центральная, 10а, Кочкуровский р-н",,,,,,
,,,,,"м-н, с.Семилей, ул. Рабочая, 9, Кочкуровский р-н",,,,,,
,,,,,"м-н п. Красномайский, ул. Центральная, 16, Кочкуровский",,,,,,
1,257,13 МЕ,"ООО ""ТриАл"" г. Саранск, ул. Невского, 101а",1326208045,"м-н ""Продукты"" с. Кочкурово, ул. Калядина",1,15/10/09,89030515423,,,
,,001016,,,,,15/10/12,,,,
1,17,13 МЕ,"ООО ""Околица"" с. Кочкурово, ул. Советская",1313902979,"м-н с. Кочкурово, ул. Советская",1,28/01/10,89631484766,,Костяев Александр Владимирович,
,,001123,,,,,28/01/13,,,,
1,205,13 РМ,"ООО ""Сартория"" г. Саранск, ул. 2-Промыш-",1327007920,"м-н с. Кочкурово, ул. Школьная, 16а",3,29/06/12,,,,
,,000096,"ленная, 7а ",,"м-н с. Кочкурово, ул. Советская, 112",,16/04/15,,,,
,,,,,"магазин ""Продукты"", с. Тат. Умыс, ул. Московская, 63 а, Кочкуровский район",,,,,,
1,206,13 РМ,"ООО ""Региональное Объединение Розничной",1327010520,"м-н с. Семилей, ул. Молодежная, 2, Кочкуровский район",8,29/06/12,29-18-62,,,
,,000097,"Торговли"" г. Саранск, ул. Строительная, 1",,"м-н ""Продукты"", с. Кочкурово, ул. Школьная, 16б",,15/07/14,,,,
,,,,,"магазин ""Продукты"", с. П.Тавла, ул. Московская, 68, Кочкуровский",,,,,,
,,,,,"магазин ""Продукты"", с. Н.Турдаки, ул. Ленина, 85а, Кочкуровский",,,,,,
,,,,,"магазин ""Продукты"", с. Кочкурово, ул. Пролетарская, 64а",,,,,,
,,,,,"магазин ""Продукты"", с. Семилей, ул. Центральная, 62, Кочкуровский район",,,,,,
,,,,,"магазин ""Продукты"", с. Кочелай, ул. Калинина, Кочкуровский район",,,,,,
,,,,,"магазин ""Продукты"", д. Кр. Зорька, ул. Центральная, 41, Кочкуровский район",,,,,,
1,123,13 РМ,"ЗАО ""Тандер"" г. Краснодар, ул. Леваневского,",2310031475,"м-н ""Магнит"", с. Кочкурово, ул. Советская, 3",1,15/05/12,,,,
,,000004,"185, филиал г. Саранск, ул. Невского, 101б",1022301598549,,13,15/03/16,,,,
1,218,13 МЕ,"ООО ТД ""Мечта"" г. Саранск, ул. Ухтомского, 47",1328904312,"магазин ""Продукты"", с. Н.Пырма, ул. Молодежная, Кочкуровский район",1,30/06/11,25-14-24,,Николаева Светлана Александровна,
,,001679,,1051328051730,,,30/05/16,55-46-55,,,
1,204,13 РМ,"ООО ""Феникс-Н"" г. Саранск, ул. Семашко, 8, 1",1327010954,"магазин ""Витязь"", с. Булгагово, ул. Центральная, 2, Кочкуровский район",3,29/06/12,75-65-69,,,
,,000095,,1101327001258,"магазин ""Продукты"", с. Кочкурово, ул. Калядина, 56",,29/06/13,,,,
,,,,,"кафе-бар, с. Кочкурово, ул. Калядина, 56",,,,,,
1,167,13 РМ,"ООО ""Мегаторг М"", г. Саранск, ул. Крупская, 29, оф. 6",1326220853,"магазин ""Продукты"", с. Кочкурово, ул. Советская, 115а",1,15/06/12,89375187721,,,
,,000045,,1121326000388,,,27/04/13,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
19,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,4,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
