"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Осинский район"" ",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
1,"ПО ""Осинское"", 8505003551",Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области и УОБАО,А167625 16.12.2009г.-7.04.2013 ,"с.Оса, ул.Котовского, м-н ""Кооператор""; с.Ирхидей, м-н ""ТПС""; с.Обуса, м-н ""ТПС""; с.Оса, ул.Набережная,46 столовая;д.Харай ул.Школьная,26;с.Оса,ул.Свердлова,92 м-н ""Родничок, д.Шотой, ул.Шотойская,8",,,,,,
2,"ФГУ ""Осинский лесхоз"", 8505000261",Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области и УОБАО,"А 167636 №2,30.03.2011-01.04.2012","с.Оса, Лесхоз, ул.Лесная, м-н ""Коробейники""",,,4/1/2012,,,
3,"ООО ""Европа"", 8505006094",Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области и УОБАО,А 167624  №3 27.04.2011-27.04.2012г. 27.04.2011г. Взамен 38 МЕ 00553 № 039-РАП от 27.04.2006,"д.Лузгино, ул.Жданова,55 кафе ""Европа"", с.Майск, ул.Мичурина,1 магазин ""Деревенька""",,,4/27/2012,,,
4,"ООО ""Звезда"", 8505006111",Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области и УОБАО,Ф 167634 №7 12.05.11-12.05.12г.,"с.Бильчир, ул.Трактовая, 3 м-н ""Звезда""",,,12.05.2012г.,,,
5,"ООО ""Приморье"", 8505005816",Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области и УОБАО,Ф 167635 06.06.11-06.06.12г.,"п.Приморский, 171 км. трассы Иркутск-Усть-Уда, кафе ""Трактир""",,,06.06.2012г.,,,
6,"ООО ""Орбита"", 8505006200",Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области и УОБАО,38МЕ 000919 №054-РАП 22.06.11г. - 22.06.12г.,"с.Оса, ул.Сверд-лова, 56 м-н ""Орбита"";д.Лузги-но, ул.Жданова, м-н ""Орбита""; с.Оса, ул.Свердлова, 55, м-н ""Саяны""; с.Оса, ул.Свердлова, кафе ""Саяны""",,,6/22/2012,,,
7,"ООО ""Престиж"", 8505006288",Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области и УОБАО,"38 МЕ 000602, №063-РАП, 04.07.2011г.- 04.07.2012г.","с.Оса, ул.Свердлова, 126, м-н ""Престиж""; с.Майск, ул.Трактовая, м-н ""Престиж""",,,7/4/2012,,,
8,"ООО ""Алсу"", 8505005848",Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области и УОБАО,"38 МЕ 000611, №072-РАП, 06.07.2006г.-06.07.2011г.","с.Енисей, ул.Кирова, м-н ""Алсу""",,,06.07.2011г.,,,
9,"ООО ""Бархан"", 8505006190",Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области и УОБАО,"А 167618, 22.12.2010г.-07.07.2011г. Взамен 38 МЕ 000619 №079-РАП от 07.07.2006 г.","с.Оса, ул.Больничная, 51, м-н ""Ландыш""; с.Бильчир, ул.Хангалова, м-н ""Селенга""; с.Бильчир, ул.Ленина, м-н ""Меркурий""; с.Обуса, ул.Обусинская,9, магазин ""Радуга""",,,07.07.2011г.,,,
