,,,,,,,
Реестр действующих лицензий на розничную продажу алкогольной продукции по состоянию на 01.05.2012 года,,,,,,,
Ханты-Мансийский район,,,,,,,
№ п/п,Номер,Наименование юридического лица,Адрес юридического лица,"Вид деятельности, адреса торговых объектов",Номер Серия,Срок действия,Доп. Информация
1,3483,"Обществу с ограниченной ответственностью ""Ласточка""  ИНН 8618006627","Место нахождения юридического лица:  п. Горноправдинск Ханты-Мансийского района  Ханты-Мансийского автономного округа-Югры Тюменской области,, пер. Школьный, 12 А (адрес места нахождения объекта см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"413889,  Б",01.09.2006 до 01.09.2011 Продлена до 01.09.2016,
,,,,"Адрес места нахождения объекта: п. Горноправдинск Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской области, пер. Школьный, 12 Б магазин ""Ласточка""",,,
2,3591,"Обществу с ограниченной ответственностью ""Оливия""  ИНН 8618006666","Место нахождения юридического лица:  п. Горноправдинск Ханты-Мансийского района  Ханты-Мансийского автономного округа-Югры Тюменской области,, пер. Школьный, 5 Д (адрес места нахождения объекта см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"000028,  Р №",11.10.2006 до 11.10.2011  Продлена до 11.10.2012,
,,,,"Адрес места нахождения объекта:  п. Горноправдинск Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской  области, пер. Школьный, 5 Д, отдел в магазине ""Оливия"".    ",,,
3,3926,"Обществу с ограниченной ответственностью ""Алекта""   ИНН 8618006659","Место нахождения юридического лица:  с. Нялинское Ханты-Мансийского района  Ханты-Мансийского автономного округа-Югры Тюменской области,, ул. Мира, д. 60 (адрес места нахождения объекта см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"000388,  Р№",02.02.2007 до 02.02.2012 Продлена до 02.02.2014,
,,,,"Адрес места нахождения объекта:  с. Нялинское Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской  области, ул. Мира, 60, магазин ""Продукты"".",,,
4,5,"Обществу с ограниченной ответственностью ""Вектор""   ИНН 8601015398","Место нахождения юридического лица:  п. Кирпичный Ханты-Мансийского района  Ханты-Мансийского автономного округа-Югры Тюменской области,, ул. Дурицина, 29 (адреса мест нахождения объектов см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"002766,  Р №",02.03.2007 до 31.12.2013 ,настоящая лицензия выдана в порядке переоформления лицензии   №  3975 от  02.03.2007  
,,,,"Адреса мест нахождения объектов:  1. с. Зенково Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Набережная, 18, магазин ТПС;  2. д. Шапша Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской области, пер. Северный, 1, магазин ТПС ""Перекресток;    3. п. Урманный Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Клубная, 18, магазин ТПС;  4. п. Выкатной Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Надежд, д. 1, магазин ТПС;  5. с. Тюли Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской области, пер. Северный, 4, магазин ТПС;  6. п. Кедровый Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. 60 лет Октября, 2 А, магазин ТПС;  7. с. Селиярово Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Лесная, 22, магазин ТПС;  8. п. Кирпичный Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Дурицина, 29, магазин ТПС;    9. с. Елизарово Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Советская, 23, магазин ТПС;  10. с. Троица Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Молодежная, 5, магазин ""Товаров повседневного спроса"".  ",,,
5,4378,"Обществу с ограниченной ответственностью "" У Марьи""  ИНН 8618006730","Место нахождения юридического лица:  п. Бобровский Ханты-Мансийского района  Ханты-Мансийского автономного округа-Югры Тюменской области,, ул. Центральная, д. 10 А (адрес места нахождения объекта см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"000856,  Р №",28.09.2007 до 28.09.2012,
,,,,"Адрес места нахождения объекта:  п. Бобровский Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской  области, ул. Центральная, д. 10 А, магазин ""У Марьи"".  ",,,
