"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО города Братска",,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,
,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями)
1,2,3,4,5,6,7,8,9,10
1,"Бр. ПО ""Кооператор""
ИНН: 3823042636","ИМНС России по Братскому району Ирк. обл.
Постановление(св-во) от 01.11.2002","А 194608 522 от 06.07.2009
 срок действия с 01.07.2009 по 05.04.2013;     ","Магазин

ул. Обручева, 28","
",,,,"М/о ""Братский район"""
,,,,"Закусочная

ул. Обручева, 28","
",,,,
,,,,"Магазин
п. Чекановский
ул. Заречная, 21б","
",,,,
,,,,"Магазин
п. Чекановский
ул. Ореховая, 2","
",,,,
,,,,"Торговый отдел

ул. Юности, 17","
",,,,
2,"ЗАО ""Иркутскнефтепродукт""
ИНН: 3800000742","ИМНС России по Правобережному округу г. Иркутска
Постановление(св-во) от 14.10.2002","АН00432Пр9 690 от 26.01.2011
 срок действия с 26.01.2011 по 10.01.2013;     взамен: АН00432Пр8 640 от 26.07.2010 с 26.07.2010 до 25.01.2011","Магазин

г. Братск, П17010100","
",,,,"М/о ""Город Иркутск"""
,,,,"Магазин

г. Братск, Р01030200","
",,,,
,,,,"Магазин

г. Братск, П20690100","
",,,,
,,,,"Магазин

г. Братск, П23110100","
",,,,
,,,,"Магазин

кольцо автодорог Братск-Тулун-Порожский","
",,,,
,,,,"Магазин

ул. Коммунальная, 11а","
",,,,
,,,,"Магазин

г. Братск, проезд Индустриальный, 15","
",,,,
3,"ОАО ""Горстрой-3""
ИНН: 3804027061","ИМНС России по Центральному окр г.Братска
Постановление(св-во) от 28.04.2003","38МЕ005890 345 от 23.01.2008
 срок действия с 23.01.2008 по 22.01.2013;     ","Магазин

 ул. Советская, 27а","
",,,,
4,"ООО ""АВИЦЕННА""
ИНН: 3804028530","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 08.01.2004","38МЕ006430 858 от 12.01.2012
 срок действия с 12.01.2012 по 11.01.2013;     ","Магазин

ж.р. Центральный, ул. Комсомольская, д. 34/1, пом. 1007","
",,,,
5,"ООО ""Автолайн""
ИНН: 3805711757","Межрайонаая ИФНС № 15 по  Иркутской области
Постановление(св-во) от 19.05.2010","38МЕ006488 913 от 29.05.2012
 срок действия с 29.05.2012 по 13.10.2012;     взамен: 38МЕ006440 рег. № 866 от 13.02.2012 с 13.02.2012 до 28.05.2012","Магазин

г. Братск, ул. Ленина, 22","
",,,,
,,,,"Торговый отдел
в торговом центре ""Москва""
г. Братск, ж.р. Центральный, ул. Маршала Жукова, 7/18","
",,,,
6,"ООО ""Алина""
ИНН: 3804034975","ИФНС по Центральному округу г.Братска Иркутск. Обл
Постановление(св-во) от 18.05.2006","38МЕ006320 746 от 17.06.2011
 срок действия с 17.06.2011 по 16.06.2016;     ","Магазин

г. Братск, ул. Гагарина, 65","
",,,,
7,"ООО ""АЛКИОН""
ИНН: 3805705023","МИФНС № 15 по Иркутской обл. и УОБАО
Постановление(св-во) от 23.10.2006","38МЕ006499 924 от 15.06.2012
 срок действия с 15.06.2012 по 13.12.2012;     взамен: 38МЕ006407, рег. № 832 от 03.10.2011 с 03.10.2011 до 14.06.2012","Магазин

г. Братск, ж.р. Гидростроитель, ул. Радищева, д.3, №1","
",,,,
,,,,"Магазин

г. Братск, ул. Зверева, 9","
",,,,
,,,,"Торговый отдел

г. Братск, ж.р. Центральный, ул. Коммунальная. 1 А, строение № 7, помещение № 1012","
",,,,
,,,,"Торговый отдел

г. Братск, ж.р. Энергетик, П 19 02 03 01, № 03, пом. 01","
",,,,
,,,,"Магазин

г. Братск, ул. Мечтателей, 7","
",,,,
8,"ООО ""Алые паруса""
ИНН: 3804032720","ИФНС по Центральному окр. г.Братска Иркутской обл.
Постановление(св-во) от 18.10.2005","38МЕ006083 517 от 11.06.2009
 срок действия с 11.06.2009 по 08.12.2013;     ","Магазин

ул. Подбельского, 27а","
",,,,
,,,,"Магазин

ул. Комсомольская, 53г","
",,,,
,,,,"Магазин

ул. Гагарина, 39","
",,,,
,,,,"Магазин

ул. Баркова, 37","
",,,,
,,,,"Магазин

ж.р. Центральный, ул. Космонавтов, 13","
",,,,
,,,,"Магазин

ж.р. Центральный, ул. Маршала Жукова, 5а","
",,,,
