"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по Черемховскому РМО",,,,,,,,,,
по состоянию на 1 августа  2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
1,"ООО ТД «Багульник» ИНН 3843002550
09.01.03г 
","Свидетельство № 1033802214049
от 09.01.2003г.
Межрайонная ИФНС №10 
","А 167707от 11.07.2011г. 
до 11.07.12г

","пос.Михайловка, квартал 2  
магазин,
квартал1 д 11  кафе «Ассоль»
",,,7/11/2012,,,
2,"ООО «Диалог» ИНН 3820011189
05.06.06г
","Свидетельство № 1063820011254
от 05.06.2006г.
Межрайонная ИФНС №10
","А-167706 от 30.06.2011г.
до 30.06.2012 г.
","п.Михайловка, ул Заводская,25
магазин «Диалог»
",,,30.06.2012г,,,
3,"ООО «Лиана» ИНН 3820011171
05.06.06г
","Свидетельство № 1063820011265
от 05.06.2006г.
Межрайонная ИФНС №10
","А-167705 от 30.06.2011г.
до 30.06.2012г
","д.Шаманаево ул Заозерная,14
кафе «Шаман»
",,,30.06.2012г,,,
4,"ООО «Березка-сервис» ИНН 3820011132
31.05.06г
","Свидетельство №  106382001120  
от 31.05.2006г
Межрайонная ИФНС №10
","38ме 002871 
от
29.06.2006г
до 29.06.2012г
","Прибайкальская  автодорога, 1754  км  кафе «Березка»",,,,,Администрация  городского  муниципального  образования  г.Черемхово,
5,"ООО «Автомагия»
ИНН 3820011238
16.06.06г
","Свидетельство
№1063820011320
от 16.06.06г
Межрайонная ИФНС №10
","А 167708
от
14.07.2011г
до 14.07.2012г
","п.Алехино
ул.Полевая,2
магазин 
",,,,,,
6,"ООО «Олимп-М»
Инн3819016908
21.04.06г
","Свидетельство
№ 1063819014038
от  21.04.06г
Межрайонная
ИФНС № 8
","24 серия А 224282
от 22.09.11г до 22.09.15г
","с.Бельск, ул.Иванова,66, магазин «Жемчужина»",,,,,Усольская  районная  администрация ,
7,"ООО « Надежда»
Инн 3820011252
19.06.06г
","Свидетельство
№1063820011331
от 19.06.06г
Межрайонная ИФНС №10
","А 214785
от 17.08.06г
продлена до 17.08.12г
","с.Голуметь, ул.Уварова,21  
магазин
",,,27.04.2012г,,,
8,"ООО «Роман»
Инн3820011365
10.07.06г
"," Свидетельство
№ 1063820011573
от 10.07.06г
Межрайонная ИФНС №10
","А 214786
от 21.08.06  до 21.08.2011г продлена до 21.08.12г
","с.Онот  ул.Советская,17а
Магазин
«Центральный»
Кафе
«Вечернее»
",,,,,,
9,"ООО «Викторис»
Инн3820011414
23.08.06г 
","Свидетельство
№ 1063820011595
от 11.07.06г
Межрайонная ИФНС №10
","А 167648
от 21.12.09г
продлена до 23.08.12г","п.Михайловка,  ул. Горького.1
магазин
«Викторис»

п.Михайловка
1 квартал 5а-82
магазин «Викторис»
",,,,,,
10,"ООО «Фортуна»
Инн 3820010682
19.09.06г
","Свидетельство
№1063820001420
от 30.01.06
Межрайонная ИФНС №10
",А 214787 ОТ 19.09.06Г ДО 19.09.2011Г,"п.Михайловка ул.Ленина,27а
павильон «Фортуна» 
",,,19.09.11г,,,
11,"ООО Союз  Трейд»
Инн 3820011407
От 11.07.06 

","Свидетельство
№1063820011606
от 11.07 06
Межрайонная ИФНС №10
","А 170134
от 20.03.08г
до 10.11.11г
ВЗАМЕН А 214789 ОТ 10.11.06Г ДО 10.11.2011Г
","с.Голуметь ул. Советская 62, магазин  «Каравай»,
    ул.Советская 105,магазин «Троика»
ул.Кирова,2  магазин  «Голуметский», п.Михайловка, ул.Советская,3 отдел в Т.Ц «Саянские родники
",,,10.11.11г,,,
12,"ООО « Голуметь  Хлебопродукт»
3820006799
10.08.06г


","Свидетельство
1023802216900
от 10.08.06г
Межрайонная ИФНС №10
",А 170137 ОТ 21.04.2008 ДО 09.11.2011Г             ВЗАМЕН А 214788 ОТ 09.11.2006Г ДО 09.11.2011Г,"с..Верхняя Иреть, магазин  «Исток», д.Бажей,
магазин «Бажейский»

с.Верхняя Иреть,
магазин «Исток»
",,,09.11.11г,,,
13,"ООО «Гермес»
Инн3820011647
21.09.06г
","Свидетельство
1063820011914
от 21.09.06
Межрайонная ИФНС №10
","А214790
от 20.11.06
до 20.11.2011г
","с.Лохово
Ул.Школьная № 36а магазин «Пятерочка»
",,,11/20/2011,,,
14,"ООО «Деметра»
ИНН  3820010650
От 27.01.06г


","Свидетельство
1063820001410
от 27.01.06г
Межрайонная ИФНС №!0
",А 167669 от 13.06.2012 взамен А167662 от 30.01.2012г,"п Михайловка,кв 2,дом 40 кв 2 магазин                              внесен п.Михайловка переулок Фабричный,8а магазин",,,,,,
15,"ООО «Булдин»
Инн 3820011686  от  05.10.06г
","Свидетельство
1063820011980
от  05.10.06
Межрайонная ИФНС №10
",А 167664 от 22.02.2012 до 22.02.2013г,п.Михайловка кв 3 д 21 кв 1  магазин «Хуторок»,,,,,,
16,"ООО «Дионис»
Инн3820011284
От 22.06.06г
","Свидетельство
1063820011441
от 22.06.06г
Межрайонная ИФНС №10
",38ме002944 от 14.03.2012,"с.Рысево, ул.Совхозная,2
Магазин
«Продукты»
",,,,,Администрация городского муниципального образования г.Черемхово,
17,"ООО «Дионис»
Инн 3820012023
От 24.01.07г
","Свидетельство
107382000209
от 24.01.07г
Межрайонная ИФНС №10
","А 214793
от 20.03.07г
до 20.03.2012г
","с.Тальники
ул.Лесозаготовительная, 66
магазин
",,,3/20/2012,,,
18,"ООО «Юстакс»
Инн 3820011057
17.05.06г
","Свидетельство
1063820011100
от 17.05.06
Межрайонная ИФНС №10
","А 214795
от 28.03.07  до 28.03.2012г
","с.Рысево
ул.Центральная,26
магазин
",,,28.03.2012г,,,
19,"ООО «Скорпион»
3820011830
22.11.06г
","Свидетельство
1063820012332
от 22.11.06
Межрайонная ИФНС №10
","А 214796
от 17.04.07
до 17.04.2012г
","с.Голуметь
ул.Калинина,14а
магазин
с.Саянское
ул.Саянская,10
магазин
",,,4/17/2012,,,
