Ичалковский район,,,,,,,,,,,
№,Регис-,Серия,"Наименование организации,",,Адреса,Кол - тво,Срок ,№ ,Дата,Ф.И.О.,
орга,тра-,лицензии,"юридический адрес, почтовый адрес",,торговых объектов,торговых,действия,"телефона,",приоста-,руководителя (учредителя),
низа,цион-,,,ИНН,,объектов,лицензииё,факс,новки и,,
ции,ный,,,ОГРН,,,,,возобнов-,,
,№,,,,,,,,ления,,
,лицен-,,,,,,,,лицензии,,
,зии,,,,,,,,,,
1,155,13 РМ,"Ичалковское райпо, Ичалковский район,",1310046550,"м-н ""Для Вас"" с. Кемля, ул. Новоселов, 30, Ичалковский",15,29/06/12,2-15-80,,Кузнецова Людмила Петровна,
,,000074,"п.Кемля, пер. Больничный, 1",1021300707603,"м-н ""Продукты"" п. Смольный, ул. Центральная,11, Ичал",,29/12/13,2-16-81,,,
,,,,,"м-н ""Продукты"" п. Смольный, ул. Садовая, 20, Ичалк",,,2-14-91,,,
,,,,,"м-н ""Продукты"" п. Смольный, ул. Тополей, 9а, Ичалк",,,89272754008,,Буянова Татьяна Сергеевна,
,,,,,"м-н ""Продукты"" с. Рождественно, ул. Полевая, 1",,,,,,
,,,,,"м-н ТПС с. Калши, ул. Лесная, 1а, Ичалковский район",,,,,,
,,,,,"магазин ""Для Вас"", с. Кемля, ул. Советская, 35а",,,,,,
,,,,,"магазин ТПС, с. Ичалки, ул. Октябрьская, 82а",,,,,,
,,,,,"магазин ""Гастроном"", с. Кемля, ул. Советская, 39",,,,,,
,,,,,"м-н ТПС с.Ульянки, ул. Сельская, 1, Ичалковский район",,,,,,
,,,,,"м-н ТПС с. Оброчное, ул. Ленина, 95 а, Ичалковский",,,,,,
,,,,,"магазин ""Универмаг"" (отдел №6), с. Кемля, ул. Советская, 39",,,,,,
,,,,,"м-н ТПС с. Б. Сыреси, ул. Советская, 1, Ичалковский",,,,,,
,,,,,"м-н ТПС с. Лада, ул. Базарная, 17, Ичалковский",,,,,,
,,,,,"м-н ТПС с. Рождествено, ул. Кулакова, 47, Ичалковский",,,,,,
1,186,13 РМ,"ПО ""Оброченское"" п. ст. Оброчное, ул. Почтовая, 41а",1310188266,"м-н п. ст. Оброчное, ул. Почтовая, 41, Ичалковский район",19,15/03/12,2-42-72,,Лошкарева Татьяна Николаевна,
,,000075,Ичалковский район,1091310000605,"м-н ТПС с. Парадеево, ул. Архипова, 2, Ичалковский",,15/04/14,,,,
,,,,,"м-н ТПС с. Парадеево, ул. Колхозная, 2, Ичалковский",,,,,,
,,,,,"м-н ТПС с. Болдасево, ул. Советская, 25, Ичалковский",,,,,,
,,,,,"м-н ТПС с. Папулево, ул. Центральная, 52а, Ичалковский",,,,,,
,,,,,"м-н ""Продукты"" с. Папулево, ул. Центральная, 10а, Ичалковский",,,,,,
,,,,,"м-н ТПС с. Б. Сыреси, ул. Советская, 1а, Ичалковский",,,,,,
,,,,,"м-н ТПС с. Вечкусы, ул. Ленинская, 5, Ичалковский",,,,,,
,,,,,"м-н ТПС ст. Оброчное, п. Сельхозтехника, ул. Мира, 1",,,,,,
,,,,,"м-н ТПС с. Ведянцы, ул. Л.Толстого, 25а, Ичалковский",,,,,,
,,,,,"м-н ТПС с. Инелей, ул. Ленинская, 1, Ичалковский",,,,,,
,,,,,"магазин, с. Селищи, ул. Центральная, 36а, Ичалковский район",,,,,,
,,,,,"м-н ТПС с. Тарханово, ул. Ленинская, 1, Ичалковский",,,,,,
,,,,,"м-н ТПС с. Дубровское, ул. Калинина, 25, Ичалковский",,,,,,
,,,,,"м-н ""Ваш выбор"" с. Оброчное, ул. Юбилейная,14а, Ичалковский",,,,,,
,,,,,"м-н ТПС п. Барахманы, ул. Лесная,1а, Ичалковский",,,,,,
,,,,,"м-н ТПС п. Сосновка, ул. Зеленая, 7, Ичалковский",,,,,,
,,,,,"м-н ""Дежурный"" с. Лада, ул. Базарная, 19, Ичалковский",,,,,,
,,,,,"м-н ТПС с. Камаево, ул. Шлукина, 2, Ичалковский",,,,,,
,,,,,"м-н ТПС с.Тарханово, ул. Ленинская, 19, Ичалковский",,,,,,
,,,,,"м-н ТПС с. Резоватово, ул. Советская, 13, Ичалковский",,,,,,
,,,,,"м-н ТПС, с. Калиново, ул. Садовая, 64, Ичалковский",,,,,,
,,,,,"м-н ТПС с. Лада, ул. Базарная, 17, Ичалковский",,,,,,
1,187,13 РМ,"ПО  ""Ичалковское"" с. Кемля, пер. Больничный, 1",1310188241,"м-н ""Продукты"" с.Кемля, ул. Советская, 143",17,29/06/12,2-23-56,бух,Канкаева Венера Равильевна,
,,000078,,1091310000583,"м-н ТПС с.Пермеево, ул. Садовая, 11, Ичалковский",,15/04/14,2-12-07,дир,,
,,,,,"м-н ""Продукты"" с. Н.Ичалки, ул. Садовая, 16, Ичалковский",,"""-""-""-""",,,,
,,,,,"м-н ТПС с. Инсаровка, ул. Ленинская, 2а, Ичалковский",,"""-""-""-""",,,,
,,,,,"м-н ТПС с. Кергуды, ул. Егорова, 7, Ичалковский район",,"""-""-""-""",,,,
,,,,,"м-н с.Гуляево, ул. Советская, 45, Ичалковский район",,"""-""-""-""",,,,
,,,,,"м-н ""Досуг"" п. Смольный, ул. Центральная, 12",,"""-""-""-""",,,,
,,,,,"м-н ТПС, п. Октябрьский, ул. Советская, 9, Ичалковский",,"""-""-""-""",,,,
,,,,,"м-н ТПС с.Пестровка, ул. Смоленская, 9, Ичалковский",,"""-""-""-""",,,,
,,,,,"м-н ТПС с. Атманки, ул. Ванина, 4, Ичалковский район",,"""-""-""-""",,,,
,,,,,"м-н ТПС с.Кендя, ул. Кооперативная, 21, Ичалковский",,"""-""-""-""",,,,
,,,,,"м-н с. Лобаски, ул. Революционная, 10, Ичалковский",,"""-""-""-""",,,,
,,,,,"м-н ТПС п. Троицк, ул. Мирная, 31, Ичалковский",,"""-""-""-""",,,,
,,,,,"м-н ТПС с. Инсаровка, ул. Дачная, 81, Ичалковский",,,,,,
,,,,,"магазин ""Центральный"", с. Кемля, пер. Больничный, 1",,,,,,
,,,,,"магазин ""Продукты"", с. Протасово, ул. Колхозная, 9, Ичалковский район",,,,,,
,,,,,"м-н ТПС с. Оброчное, ул. Ленина, 83, Ичалковский",,,,,,
