Табл. А.3. Перечень запросов**,,,,,,,,,
,,,,,,,,,
№,Наименование запрашиваемого документа (совокупности сведений),Наименование запроса,Внешние зависимости при выполения запроса,"Ведомство, ответственное за направление запроса","Должности лиц, ответственных за направление запроса","Ведомство, ответственное за направление ответа на запрос","Должности лиц, ответственных за направление ответа на запрос***",Описание запроса подготовлено на основании данных Реестр МВ*,
,"Укажите наименование документа (совокупности сведений), подлежащего получению по каналам МВ.","Укажите наименование запроса о получении данного документа по каналам МВ.
Наименование запроса будет использоваться, вместо полного перечисления атрибутов запроса (наименование подуслуги, документа, подуслуги, ответственных органов и т.д.). Поэтому желательно выбрать такое наименование, которое позволит отличить данный запрос от иных запросов в рамках анализируемой услуги.","Поле заполняется, если данный запрос не может быть направлен до получения ответа на какой-либо иной запрос, направляемый в рамках данной подуслуги.
Укажите номер(а) и наименование(я) запроса(ов), от которого(ых) зависит возможность направления данного запроса.","Укажите наименование ведомства, ответственного за направление запроса.","Укажите должности лиц, ответственных за направление запроса.","Укажите наименование ведомства, ответственного за подготовку ответа на запрос.","Укажите должности лиц, ответственных за направление ответа на запрос.","Введите код:
1 - если данный запрос внесён в Реестр МВ, и заполнение форм А4, А5 и А6 осуществлялось на основании сведений из Реестра МВ,
2 - если данный запрос отсутствует в Реестре МВ.",
1,Выписка из ЕГРЮЛ,Сведения из Единого государственного реестра юридических лиц,,Управление по развитию промышленности и предпринимательства Тамбовской  области,Сотрудники отдела лицензирования управления по развитию промышленности и предпринимательства области,ФНС России,"Сотрудники ФНС России , обслуживающие автоматизированную систему, предоставляющую выписки из ЕГРЮЛ",1,
2,"Справка о наличии (отсутствии) задолжности по уплате налогов, сборов, пеней и штрафов за нарушение законодательства РФ о налогах и сборах","Сведения о наличии (отсутствии) задолжности по уплате налогов, сборов, пеней и штрафов за нарушение законодательства РФ о налогах и сборах",,Управление по развитию промышленности и предпринимательства Тамбовской  области,Сотрудники отдела лицензирования управления по развитию промышленности и предпринимательства области,ФНС России,"Сотрудники ФНС России , обслуживающие автоматизированную систему, предоставляющую выписки из ЕГРЮЛ",1,
3,Документ об оплате государственной пошлины,Сведения о госпошлине,,Управление по развитию промышленности и предпринимательства Тамбовской  области,Сотрудники отдела лицензирования управления по развитию промышленности и предпринимательства области,УФК по Тамбовской области,Сотрудники УФК по Тамбовской области,(2),
4,"Документы, подтверждающие наличие у заявителя стационарных торговых объектов и складских помещений в собственности, хозяйственном ведении, оперативном управлении или в аренде","Сведения, подтверждающие наличие стационарных торговых объектов и складских помещений в собственности, хозяйственном ведении, оперативном управлении или в аренде",,Управление по развитию промышленности и предпринимательства Тамбовской  области,Сотрудники отдела лицензирования управления по развитию промышленности и предпринимательства области,Росреестр,Государственный регистратор,1,
5,Заключение специально уполномоченных органов о соответствии торговых и складских помещений организации санитарно-эпидемиологическим требованиям,"Сведения из санитарно-эпидемиологического заключения о соответствии зданий, строений, сооружений, помещений, оборудования и иного имущества, установленным требованиям",,Управление по развитию промышленности и предпринимательства Тамбовской  области,Сотрудники отдела лицензирования управления по развитию промышленности и предпринимательства области,"ФБУЗ ""Центр гигиены и эпидемиологии в Тамбовской области"" (Роспотребнадзор)","Сотрудники ФБУЗ ""Центр гигиены и эпидемиологии в Тамбовской области"" (Роспотребнадзора)",2,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
