Табл. А.2. Оптимизация услуги*,,,,,,,,,
,,,,,,,,,
№,"Наименование ""входного"" документа услуги",Каким образом будет оптимизирован порядок получения документа?,Содержание оптимизации,"Ведомство, ответственное за предоставление документа",Соответствующие пункты планов внесения изменений в правовые акты**,,,,
,"Перечислите все документы, необходимые для получения услуги (включая документы, не подлежащие получению по каналам МВ; включая те документы, которые планируется включить в число необходимых для получения услуги и которые планируется исключить из их числа).
","Введите код:
1. Оптимизация не планируется.
2. Документ будет получаться по каналам МВ, если не был предоставлен заявителем самостоятельно.
3. Документ будет получаться по каналам МВ взамен документа, не предоставленного заявителем самостоятельно.
4. Документ будет исключён из перечня необходимых для предоставления услуги.
5.Документ заменит исключённый документ и будет предоставляться заявителем.
6. Документ заменит исключённый документ и будет получаться по каналам МВ.","Заполните поле в том случае, если вы выбрали вариант ответа, отличный от 1.
Коротко опишите, почему было принято соответствующее решение, какие именно изменения в составе сведений планируется и т.д.","Заполните поле в том случае, если документ планируется получать в по каналам МВ (варианты ответов 2, 3, 6 в предыдущем поле).",Укажите номера пунктов Планов внесения изменений в правовые акты Потребителя и Поставщика данных (таблицы Б.1. и Б.2).,,,,
1,Заявление,1,,,,,,,
2,Копии учредительных документы ( с предъявлением оригиналов),1,,,,,,,
3,Копия документа о государственной регистрации организации - юридического лица,,,,,,,,
3.1,Свидетельство о государственной регистрации юридического лица,1,В соответствии с п. 3.2. ст. 19 Федерального закона от 22.11.1995 № 171-ФЗ (в ред от 21.07.2011)  ,ФНС России,Б. 1 - п. 1,,,,
4,Копия документа о постановке организации на учет в налоговом органе,,,,,,,,
4.1,Свидетельство о постановке на учет юридического лица в налоговом органе по месту нахождения на территории Российской Федерации,1,В соответствии с п. 3.2. ст. 19 Федерального закона от 22.11.1995 № 171-ФЗ (в ред от 21.07.2011)  ,ФНС России,Б. 1 - п. 1,,,,
5,Сведения об отсутствии у заявителя задолжности по уплате налогов и сборов,"2, 3",В соответствии с п. 3 ч. 9 ст. 19 Федерального закона от 22.11.1995 № 171-ФЗ (в ред от 21.07.2011),ФНС России,Б. 1 - п. 1,,,,
6,Копия документа об оплате государственной пошлины,,,,,,,,
6.1,Квитанция об оплате за наличный расчет,2,(с   1 января 2013 года),УФК по Тамбовской области,,,,,
6.2,Платежное поручение,2,(с   1 января 2013 года),УФК по Тамбовской области,,,,,
7,"Документ, подтверждающий наличие у заявителя уставного капитала", ,,,,,,,
7.1,"Справка банка, подтверждающая зачисление на расчетный счет денег в оплату уставного капитала",1,,Кредитные организации,,,,,
7.2,"Копия документа, подтвержающего право акционера (участника) на имущество, с приложением отчета об оценке объектов оценки и акта приема-передачи имущества",1,,,,,,,
7.3,Выписка из ЕГРЮЛ ,2,,ФНС России,,,,,
8,"Документы, подтверждающие наличие у заявителя стационарных торговых объектов и складских помещений в собственности, хозяйственном ведении, оперативном управлении или в аренде", ,, ,,,,,
8.1,Свидетельство о государственной регистрации права,2,В соответствии с п. 3.2. ст. 19 Федерального закона от 22.11.1995 № 171-ФЗ (в ред от 21.07.2011)  ,"УФС госрегистрации, кадастра и картографии",,,,,
8.2,Договор аренды (сведения содержатся в ЕГРП),2,В соответствии с п. 3.2. ст. 19 Федерального закона от 22.11.1995 № 171-ФЗ (в ред от 21.07.2011)  ,"УФС госрегистрации, кадастра и картографии",,,,,
8.3,Договор аренды (сведения не содержатся в ЕГРП),1,В соответствии с п. 3.2. ст. 19 Федерального закона от 22.11.1995 № 171-ФЗ (в ред от 21.07.2011)  ,"УФС госрегистрации, кадастра и картографии",,,,,
9,Заключения специально уполномоченных органов о соответствии торговых и складских помещений организации санитарно-эпидемиологическим требованиям,2,В соответствии с п. 3.2. ст. 19 Федерального закона от 22.11.1995 № 171-ФЗ (в ред от 21.07.2011)  ,"Федеральное бюджетное учреждение здравоохранения ""Центр гигиены и эпидемиологии в Тамбовской области""",Б. 1 - п. 1,,,,
