№ п/п,Наименование организации,ИНН организации,КПП организации,Место нахождения организации,Адрес электронной почты,Адрес места осуществления лицензируемого вида деятельности обособленным подразделением организации,КПП обособленного подразделения,Код субъекта РФ по месту нахождения организации,Код субъекта РФ по месту осуществления лицензируемого вида деятельности обособленным подразделением организации,Вид лицензируемой деятельности,Вид продукции,Номер лицензии,Регистрационный номер лицензии,Серия лицензии,"Наименование лицензирующего органа, выдавшего лицензию",Дата выдачи лицензии,Дата окончания действия лицензии,Дата приостановления действия лицензии,Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Статус лицензии,Дата изменения статуса
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,"Закрытое акционерное общество ""База закрытых учреждений Красногвардейского района""",7806111990,780601001,"Российская Федерация, 195176, Санкт-Петербург, Панфилова ул., д. 22",,"Санкт-Петербург, Панфилова ул., д. 22, литера А, помещение 1Н",,78,78,Розничная продажа алкогольной продукции,,78-003324,00671/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",13.10.2009,13.10.2012,,,,,Действует,13.10.2009
2,"Общество с ограниченной ответственностью ""Элис""",7814097516,781401001,"Российская Федерация, 197372, Санкт-Петербург, Ильюшина ул., д. 5, корп. 1",,"Санкт-Петербург, Ильюшина ул., д. 5, корп. 1, комн. 4-10,18, часть комн. 15",,78,78,Розничная продажа алкогольной продукции,,78-003325,00672/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",13.10.2009,13.10.2012,,,,,Действует,13.10.2009
3,"Общество с ограниченной ответственностью ""Антей""",7802476069,,"Российская Федерация, 194017, Санкт-Петербург, Енотаевская ул., д. 4, корп. 3, литера Б, помещение Н-1",,"Санкт-Петербург, Енотаевская ул., д. 4, корп. 3, литера Б, часть помещения Н-1 (комнаты 6-14)",,78,78,Розничная продажа алкогольной продукции,,78-003326,00673/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",13.10.2009,13.10.2012,,,,,Действует,13.10.2009
4,"Общество с ограниченной ответственностью ""Евразия-Победа""",7810549343,781001001,"Российская Федерация, 196105, Санкт-Петербург, Московский пр., д. 188а, литера АБ",,"Санкт-Петербург, Московский пр., д. 188а, литера АБ",,78,78,Розничная продажа алкогольной продукции,,78-003327,00674/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",13.10.2009,13.10.2012,,,,,Действует,13.10.2009
5,"Общество с ограниченной ответственностью ""Семь сорок""",7802231580,780201001,"Российская Федерация, 194156, Санкт-Петербург, Большой Сампсониевский пр., д. 108, литера А, помещение Н15",,"Санкт-Петербург, Большой Сампсониевский пр., д. 108, литера А, помещение Н15",,78,78,Розничная продажа алкогольной продукции,,78-003328,00675/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",13.10.2009,13.10.2012,,,,,Действует,13.10.2009
6,"Общество с ограниченной ответственностью ""Суши-бар Евразия""",7810546320,781001001,"Российская Федерация, 196070, Санкт-Петербург, Московский пр., д. 177, литера А, помещение 7Н",,"Санкт-Петербург, Московский пр., д. 192, литера А, помещение 16-Н",781001001,78,78,Розничная продажа алкогольной продукции,,78-003329,00676/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",13.10.2009,13.10.2012,,,,,Действует,13.10.2009
8,"Общество с ограниченной ответственностью ""СП Тайм Прожект""",7841406717,784101001,"Российская Федерация, 191186, Санкт-Петербург, Конюшенная пл., д. 2, литера В",,"Санкт-Петербург, Конюшенная пл., д. 2, литера В, помещение 17Н",,78,78,Розничная продажа алкогольной продукции,,78-003331,00678/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",13.10.2009,13.10.2012,,,,,Действует,13.10.2009
10,"Общество с ограниченной ответственностью ""Кафе на Широкой""",7820028253,782001001,"196620, Российская Федерация, Санкт-Петербург, Павловск, Детскосельская ул., дом 6, лит. А",,"Санкт-Петербург, Пушкин, Широкая ул., д. 26, лит. Б, часть пом. 3Н (ком. 5-18)",,78,78,Розничная продажа алкогольной продукции,,78-003333,00680/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",15.10.2009,15.10.2012,,,,,Действует,15.10.2009
11,"Общество с ограниченной ответственностью ""Сладкий мир""",7838346874,783801001,"Российская Федерация, 190031, Санкт-Петербург, Столярный пер., д. 10-12, офис 22",,"Санкт-Петербург, Литейный пр., д. 17-19, литера А, помещение 9Н",,78,78,Розничная продажа алкогольной продукции,,78-003334,00681/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",15.10.2009,15.10.2012,,,,,Действует,15.10.2009
