"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""город Саянск""",,,,,,,,,
по состоянию на 1августа 2012 года,,,,,,,,,
,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями)
1,2,3,4,5,6,7,8,9,10
1,"ООО «Парнас»
ИНН 3814009777",МИФНС № 14 по Иркутской области и УОБАО,"А 228512 № 16 
от 30.06.2006.,
с 01.07.2006г. 
по 30.06.2013г.","Магазин «Ночной Парнас»,
г. Саянск, м-н Юбилейный, д.11",,,,,
2,"ООО «Престиж»
ИНН 3814010740",МИФНС № 14 по Иркутской области и УОБАО,"                                                                                                                                                                                        38 МЕ 005331                                                                                                                                                                                              № 18-06/Пр2                                                                                                                                                                                          от 02.06.2011г.,                                                                                                                                                                                  с 02.06.2011г.                                                                                                                                                                                    по 30.06.2012 г.                                                                                                                                                                                взамен                                                                                                                                                                                                     А 154265 
№ 18-06/Пр15 
от 20.08.2007г.,
с 20.08.2007г. 
по 30.06.2011г.
взамен:
А 228514 № 18 
от 30.06.2006.,
с 01.07.2006г. 
по 30.06.2011г.","Отдел в магазине ""Светлана"", Зиминский р-н, с. Кимильтей, ул. Чкалова, д. 81",,,6/30/2012,,
3,"ООО «ВанДан»
ИНН 3814010839",МИФНС № 14 по Иркутской области и УОБАО,"                                                                                                                                                                                        38 МЕ 005276 
№ 19-06/Пр 7 
от 10.07.2009г.,
с 10.07.2009г.
по 30.06.2012г.
взамен:
А 228515 № 19 
от 30.06.2006.,
с 01.07.2006г. 
по 30.06.2011г.","Отдел в торговом комплексе «Для Вас», 
г. Саянск, м-н Олимпийский, д.8",,,6/30/2012,,
4,"ООО «Меркурий»
ИНН 3814009696",МИФНС № 14 по Иркутской области и УОБАО,"                                                                                                                                                                                                                  38 МЕ 005307
№ 21-06/Пр2
от 24.09.2010г.
с 24.09.2010 
по 06.07.2012г.
взамен
38 МЕ 005283                                                                                                                                                                                                                        № 21-06/Пр14 
от 13.11.2009г.,
с 13.11.2009г.
по 06.07.2011г.
взамен:
А 228520 № 21
от 07.07.2006г.,
с 07.07.2006г. 
по 06.07.2011г.","Отдел в продовольственном магазине, Зиминский р-н, п. Харайгун, ул. Центральная, д. 14",,,7/6/2012,,
5,"ООО «Добрыня»
ИНН 3814010155",МИФНС № 14 по Иркутской области и УОБАО,"                                                                                                                                                                                               А 228524 № 24
от 14.07.2006г.,
с 14.07.2006г. 
по 13.07.2012г.","Магазин «Добрыня», 
г. Саянск, м-н Строителей, д.50;
Кафе «Добрыня»,
г. Саянск, м-н Строителей, д.50",27.06.2012г. на срок по 13.07.2012 г,,7/13/2012,,
6,"ООО «Саянская производственная строительная компания»
ИНН 3814008131",МИФНС № 14 по Иркутской области и УОБАО,"                                                                                                                                                                                                  А 228527 № 27
от 27.07.2006г. 
с 27.07.2006г. 
по 26.07.2014г.","Отдел в магазине «Лео», 
г. Саянск, м-н Мирный, д.9",,,,,
7,"ООО «Надежда»
ИНН 3814010927",МИФНС № 14 по Иркутской области и УОБАО,"                                                                                                                                                                                                А 228534 № 31
от 02.08.2006г.
с 02.08.2006г.
по 01.08.2012г.","Магазин «Продукты», 
г. Саянск, м-н Мирный, д.14",,,8/1/2012,,
8,"ООО «Торговый дом
«Окинский»
ИНН 3806009491",МИФНС № 2 по Иркутской области и УОБАО," А 002276 № 08                                                                                                                                                                                       от 26.05.2011г.,                                                                                                                                                                                        с 26.05.2011 г.                                                                                                                                                                                        по 05.03.2014 г.                                                                                                                                                                                  взамен:                                                                                                                                                                                                      А 002271 № 17
 от 25.08.2010г.
с 25.08.2010г.
по 05.03.2014г.
взамен:
А 002270 № 10 
от 10.06.2010г.
с 10.06.2010г.
по 05.03.2014г.
взамен:
А 002265 № 1
от 21.05.2008г.,
с 21.05.2008г.
по 05.03.2009г.
по 05.03.2014г.","Магазин «Ромашка», 
г. Саянск, м-н Строителей, д.8;
Магазин «Вега», 
г. Саянск, м-н Центральны», д.6;
Магазин «Снежок», 
г. Саянск, м-н Октябрьский, д.10;
Магазин «Мирный»,
г. Саянск, м-н Мирный, д.5",,,,,Зиминское районное муниципальное образование
9,"ООО «Ника»
ИНН 3814004962",МИФНС № 14 по Иркутской области и УОБАО,"38 МЕ 005328                                                                                                                                                                                                № 06-06/Пр7                                                                                                                                                                                           от 27.04.2011г.                                                                                                                                                                                         с 27.04.2011г.                                                                                                                                                                                          по 05.04.2014г.                                                                                                                                                                                 взамен                                                                                                                                                                                                    38 МЕ 005321
№ 06-06/Пр6
от 15.02.2011г.
с 15.02.2011г.
по 05.04.2014г.","Магазин № 39 «Продукты»,
г. Саянск, м-н Мирный, д.2 (вставка);
Магазин № 11 «Продукты», 
г. Саянск, м-н Юбилейный, д.69;
Отдел в торговом комплексе «Ангара»,
г. Саянск, м-н Юбилейный, д.18;
Отдел № 1 в торговом комплексе «Эй-Би Маркет», д.4,
Отдел № 2 в торговом комплексе «Эй-Би Маркет», 
г. Саянск, м-н Солнечный, д.4,
Отдел в Универсаме ""Юбилейный"",                                                                                                                                                    г. Саянск, м-н Юбилейный, д.10;
Отдел в универсаме «Меркурий», 
г. Саянск, м-н Октябрьский, д.45;                                                                                                                                                      Отдел в магазине ""Маяк"", г. Зима, ул. Лазо, д. 27",,,,,
,,,"взамен                                                                                                                                                                                                    38 МЕ 005321
№ 06-06/Пр6
от 15.02.2011г.
с 15.02.2011г.
по 05.04.2014г.",,,,,,
,,,"взамен
38 МЕ 005299
№ 06-06/Пр5
от 30.04.2010г.
с 30.04.2010г.
по 05.04.2011г.",,,,,,
,,,"взамен:
38 МЕ 005292
№ 06-06/Пр4
от 04.03.2010г.
с 04.03.2010г.
по 05.04.2011г.",,,,,,
,,,"взамен:
38 МЕ 005279
№ 06-06/Пр10
от 06.08.2009г.
с 06.08.2009г.
по 05.04.2011г.",,,,,,
,,,"взамен:
А 228537 № 33
от 31.08.2006г.,
с 31.08.2006г.,
по 05.04.2011г.",,,,,,
,,,"взамен:
А 228501 № 6 
от 06.04.2006г., 
с 06.04.2006г. 
по 05.04.2011г.",,,,,,
10,"ООО «АМИК КЭШ ЭНД КЕРРИ»
ИНН 3810032648",ИМНС России по Ленинскому округу ,"38 МЕ 003387 АП3070Пр8
от 05.08.2010г.
с 15.11.2004г. 
по 11.11.2014г.
взамен:
38 МЕ 003274 АП3070Пр7
от 01.03.2010г.
с 15.11.2004г. 
по 11.11.2014г.
взамен:
38 МЕ 005117 № АП03070Пр6
от 26.08.2009г.,
с 15.11.2004г.
по 11.11.2009г. 
взамен:
38 МЕ 005043
АП03070Пр5
от 28.05.2009г.,
с 15.11.2004г.
по 11.11.2009г.
взамен:
38 МЕ 004857 АП03070Пр3
от 28.11.2008г.,
с 15.11.2004г. 
по 11.11.2009г.","Магазин, г. Саянск, м-н Юбилейный, д.31",,,,,Муниципальное образование г.Иркутск
11,"ООО «Луч»
ИНН 3814009738",МИФНС № 14 по Иркутской области и УОБАО," продлена                                                                                                                                                                                                 А 154254 
№ 12-06/Пр6
от 10.04.2007г.,
с 10.04.2007г.
по 08.06.2012г.
взамен:
А 228508 № 12 
от 09.06.2006г.,
с 09.06.2006г.
по 08.06.2011г.","Магазин «Фортуна», 
г. Саянск, м-н Олимпийский, д.6 (вставка)",,,6/8/2012,,
12,"ООО «Орбита»
ИНН 3806000481",МИФНС № 2 по Иркутской области и УОБАО,"А 154400 № 33                                                                                                                                                                                          от 14.12.2011г.                                                                                                                                                                                         с 14.12.2011г.                                                                                                                                                                                             по 19.12.2013г.                                                                                                                                                                                             взамен:                                                                                                                                                                                                    А 154301 № 8
от 11.07.2007г.,
с 11.07.2004г.
по 19.12.2011г.","Магазин «Надежда», 
г. Саянск, м-н Ленинградский, д.8 (вставка);
магазин «Кедр», 
г. Саянск, м-н Юбилейный, д.14",,,,,Зиминское городское муниципальное образование
13,"ООО «Престиж Плюс»
ИНН 3814012160",МИФНС № 14 по Иркутской области и УОБАО,"А 154263 № 13
от 16.08.2007.,
с 16.08.2007г. 
по 15.08.2012г.","Павильон «Престиж Плюс»
г. Саянск, м-н Центральный, ул. Ленина, в районе дома № 1",,,,,
14,"ООО «Отрада»
ИНН 3814009551",МИФНС № 14 по Иркутской области и УОБАО,"38 МЕ 005333                                                                                                                                                                                                № 16-05/Пр2                                                                                                                                                                                                    от 08.07.2011 г.,                                                                                                                                                                                                                                    с 08.07.2011г.                                                                                                                                                                                                по 08.12.2015г.                                                                                                                                                                                      взамен:","Павильон «Рябинушка»,                                                                                                                                                                             г. Саянск, м-н Строителей, в районе дома № 16;                                                                                                                                 Павильон «Тройка»,                                                                                                                                                                                    г. Саянск, м-н Строителей, в районе дома № 8;",,,,,
,,,"38 МЕ 005270                                                                                                                                                                                             № 16-05/Пр1                                                                                                                                                                                                   от 07.04.2009г.,                                                                                                                                                                                             с 07.04.2009г.                                                                                                                                                                                                по 08.12.2015г.                                                                                                                                                                                                       взамен:","Отдел в магазине «Незабудка»,                                                                                                                                                                г. Саянск, м-н Строителей, д.5;                                                                                                                                                   ",,,,,
,,,"38 МЕ 005268                                                                                                                                                                                                № 16-05/Пр20                                                                                                                                                                                                 от 23.12.2008г.,                                                                                                                                                                                        с 23.12.2008г.                                                                                                                                                                                                по 08.12.2010г.                                                                                                                                                                                                взамен:","Отдел в павильоне ""Новый"",                                                                                                                                                   Зиминский р-н, с. Покровка,                                                                                                                                                                    ул. Центральная, д. 9;                                                                                                                                                                 отдел в магазине ""Успех"",                                                                                                                                                                     Зиминский р-н, с. Батама,                                                                                                                                                                             пер. Пионерский, д. 17;",,,,,
,,,"А 154269                                                                                                                                                                                                        № 16-05/Пр16                                                                                                                                                                                                                                      от 29.10.2007г.,                                                                                                                                                                                             с 29.10.2007г.                                                                                                                                                                                                 по 08.12.2010г.                                                                                                                                                                                взамен:","кафе ""Наш Дворик"", Зиминский р-н,                                                                                                                                     автомагистраль Красноярск-Иркутск,                                                                                                                                                         1606 км + 200 м (слева);                                                                                                                                                                                                                                                                                                                          магазин ""Авоська"",                                                                                                                                                                                    г. Саянск, м-н Октябрьский, д. 1",,,,,
,,,"А 228505 № 9                                                                                                                                                                                          от 06.05.2006г.,                                                                                                                                                                                        с 06.05.2006 г                                                                                                                                                                                            по 08.12.2010г.                                                                                                                                                                                   взамен:",,,,,,
,,,"А 228499 № 4                                                                                                                                                                                          от 10.04.2006г.,                                                                                                                                                                                        с 10.04.2006г                                                                                                                                                                                                по 08.12.2010 г.                                                                                                                                                                                    взамен:",,,,,,
,,,"А 228492 № 16                                                                                                                                                                                          от 09.12.2005г.,                                                                                                                                                                                            с 09.12.2005 г                                                                                                                                                                                         по 08.12.2010г",,,,,,
15,"ООО «Круиз»
ИНН 3814011960",МИФНС № 14 по Иркутской области и УОБАО,"А 154270 № 18
от 07.11.2007г.,
с 07.11.2007г.
по 06.11.2012г.","Магазин «Круиз», 
г. Саянск, Промбаза, д.2",,,,,
16,"ООО «Сибпродукт»
ИНН 3814012297",МИФНС № 14 по Иркутской области и УОБАО,38 МЕ 005330                                                                                                                                                                                          № 19-07/Пр1                                                                                                                                                                                           от 31.05.2011г.                                                                                                                                                                                          с 31.05.2011г.                                                                                                                                                                                           по 13.11.2012г.                                                                                                                                                                                        взамен ,"Отдел в магазине ""Аленка"", г.Саянск, м-н Солнечный, д. 2, вставка, этаж 1; Отдел в универсаме «Меркурий»,
г. Саянск, м-н Октябрьский, д.45",,,,,
,,,"А 154271 № 19
от 14.11.2007г.,
с 14.11.2007г. 
по 13.11.2012г.",,,,,,
