Ромодановский район,,,,,,,,,,,
К-во,Регис-,Серия,"Наименование организации,",,Адреса,Кол - тво,Срок ,№ ,Дата,Ф.И.О.,
орга,тра-,лицензии,"юридический адрес, почтовый адрес",,торговых объектов,торговых,действия,"телефона,",приоста-,руководителя (учредителя),
низа,цион-,,,,,объектов,лицензииё,факс,новки и,,
ций,ный,,,ИНН,,,,,возобнов-,,
,№,,,ОГРН,,,,,ления,,
,лицен-,,,,,,,,лицензии,,
,зии,,,,,,,,,,
1,383,13 МЕ,"Ромодановское райпо,п.Ромоданово,ул.Кирова",1316015326,"м-н ""Кооператор"", п. Ромоданово, ул. Ленина, 128",30,30/11/11,2-12-32,п.29.01.08,Кузина Наталья Александровна,
,,001859,13,,"м-н ""Продукты"", п. Ромоданово, ул. Центральная.,11",,30/11/14,2-12-60 факс,в.7.02.08,,
,,,Всего 31,,"м-н ""Гастраном"" п. Ромоданово,ул. Кирова, 13",,,2-13-92 бух,,,
,,,,,"магазин ""На Пушкинской"", п. Ромоданово, ул. Пушкина, 13",,,89876901780,,,
,,,,,"м-н ""Кулинария"", п. Ромоданово, ул. Центральная, 11",,,,,,
,,,,,"м-н ""Ночка"", п. Ромоданово, ул. Маяковского, 33",,,,,,
,,,,,"кафе  п. Ромоданово, ул. Центральная, 11",,,,,,
,,,,,"бар ""Молодежный"" п. Ромоданово, ул. Центральная, 11",,,,,,
,,,,,"м-н с. Константиновка, ул. Центральная, 3, Ромодановский район",,,,,,
,,,,,"м-н №1 с. Липки, ул. Садовая, 5, Ромодановский",,,,,,
,,,,,"м-н с. Курилово, ул. Н.Эркая, 136, Ромодановский",,,,,,
,,,,,"м-н с. Ивановка, ул. Центральная,154, Ромодановский",,,,,,
,,,,,"м-н с. Кочуново, ул. Озерная, 24, Ромодановский",,,,,,
,,,,,"м-н с. Б.Чуфарово, ул. Раздольная, 26, Ромодановский",,,,,,
,,,,,"магазин ""Народный"", с. Трофимовщина, ул. Ленина, 2, Ромодановский район",,,,,,
,,,,,"м-н с. Уришка, ул. Клубная, 17, Ромодановский",,,,,,
,,,,,"пельменная п. Садовский, ул. Центральная, 100, Ромодановский район",,,,,,
,,,,,"м-н №2 п. Садовский, ул. Центральная, 101, Ромодановский район",,,,,,
,,,,,"магазин ""Придорожный"", п. Садовский, ул. Центральная, 100, Ромодановский район",,,,,,
,,,,,"м-н с. Ст. Михайловка, ул. Полежаева, 3а, Ромодановский район",,,,,,
,,,,,"м-н №1 с. Пушкино, ул. Центральная, 3, Ромодановский",,,,,,
,,,,,"м-н №2 с. Пушкино, ул. Центральная, 3, Ромодановский",,,,,,
,,,,,"м-н с. М.Березники, ул. Дорожная, 35, Ромодановский",,,,,,
,,,,,"м-н с. Курмачкассы, ул. Калинина, 1а, Ромодановский район",,,,,,
,,,,,"магазин, с. Анненково, ул. Центральная, 20, Ромодановский",,,,,,
,,,,,"магазин ""Центральный"", с. Анненково, ул. Центральная, 20, Ромодановский район",,,,,,
,,,,,"м-н с. Вырыпаево, ул. Школьная, 8, Ромодановский",,,,,,
,,,,,"магазин, д. Васильевка, ул. Ворошилова, 1а, Ромодановский район",,,,,,
,,,,,"м-н с. Михайловка, ул. Верхняя, 2б, Лямбирский район",,,,,,
,,,,,"магазин ""Русь"", п. Ромоданово, ул. Ленина, 130",,,,,,
,,,,,"кафе ""Встреча"", п. Ромоданово, ул. Ленина, 130",,,,,,
1,07,13 МЕ,"ООО ""Бытовик"" п. Ромоданово, ул. Ленина, 155,",1316101487,"м-н № 1с. Алтары, ул. Молодежная, 15, Ромодановский",11,30/01/12,2-22-75,,Яфуняев Наиль Равильевич,
,,001926,Всего - 12,1021300708549,"м-н № 2 ""Бирюза"" п. Ромоданово, ул. Вокзальная, 12а",,30/01/17,,,Валентина Ильинична,
,,,,,"м-н № 3 ""Березка"" п. Ромоданово, ул. Полежаева, 40",,,,,,
,,,,,"м-н № 4 п. Ромоданово, ул. А.Лусс, 12",,,,,,
,,,,,"кафе п. Ромоданово, ул. Вокзальная, 20",,,,,,
,,,,,"м-н № 5 п. Кр. Узел, ул. Дорожная, 1, Ромодановский",,,,,,
,,,,,"м-н № 6 ""Колос"" п. Ромоданово, ул. Полежаева, 11",,,,,,
,,,,,"м-н № 9 с. Курмачкасы, ул. Молодежная, 2а",,,,,,
,,,,,"м-н № 10 с. Уришка, ул. Клубная, 5, Ромодановский р-н",,,,,,
,,,,,"м-н № 11 с. Трофимовщина, ул. Центральная, 1, Ромод. ",,,,,,
,,,,,"м-н № 7 п. Ромоданово, ул. Вокзальная, 20",,,,,,
