,"Реестр лицензий на розничную продажу алкогольной продукции организаций, осуществляющих деятельность на территории Сургутского района в 2012 году",,,,,,,,
№ п/п,"Номер в реестре, дата внесения","Название предприятия 
ИНН",Место государственной регистрации (юридический адрес),Место нахождение объектов,"Номер,  серия лицензии, дата выдачи, срок действия","Дата приостановления  лицензии,  на какой срок",Дата возобновления лицензии,Дата аннулирования лицензии,Примечание
1,2,3,4,5,6,7,8,9,10
1,"218 
 ","Высокомысовское сельское потребительское общество ИНН 8617001288 

","Место нахождения юридического лица:  п. Высокий Мыс Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии-  адрес места нахождения объекта: п. Высокий Мыс Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Советская,22, магазин  «Смешанные товары»","016728, В 
17.02.2003
17.02.2006 до
17.02.2011
продлено
до 17.02.2013
",,,,
2,"229
","Сытоминское сельское
потребительское общество ИНН 8617003990","Место нахождения юридического лица:   с. Сытомино Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Центральная, д. 63, (адрес места нахождения объекта см. на обороте)

","Розничная продажа алкогольной продукции Обратная сторона лицензии-  адрес места нахождения объекта: 
с. Сытомино, Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области,  ул. Комсомольская, 12, магазин № 1;
с. Сытомино, Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области ул. Набережная 20, магазин № 3;
с. Сытомино, Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области ул. Центральная, 73 А, магазин № 4.
","016740, В
15.04.2003
15.04.2006 до
15.04.2011
продлено
до 15.04.2014
",,,,
3,46,"Ляминское  сельское потребительское общество     
ИНН 8617000862
","Место нахождения юридического лица:  д. Лямина, Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул.Центральная, д. 8   (адреса места нахождения объектов см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии-  адрес места нахождения объекта: 
1.  д. Лямина Сургутский район Ханты-Мансийский автономный округ - Югра Тюменская область, ул. Центральная, д. 8, Магазин ""Смешанные товары"";
 2. пос. Песчаный, сельское поселение Лямина, Сургутский район Ханты-Мансийский автономный округ - Югра Тюменская область, ул. Береговая, д. 9, магазин № 10 ""Смешанный"".


","006605, Р№
11.05.2012
продлена до 
30.04.2014
",,,,настоящая лицензия выдана в порядке переоформления лицензии 332 от 30.04.2004
4,400,"Общество с ограниченной ответственностью ""Кантык - Ях""  
ИНН 8617020562","Место нахождения юридического лица:  село Угут, ул. Советская 9, Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии-  адрес места нахождения объекта: 
1.с.  Угут,  Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области,  ул. Советская 9, магазин «Смешанные товары»


","016549, В

18. 04.2005
18.04.2008
продлена
 18.04.2013
",,,,
5,"35
","Потребительское общество «ЛОКОСОВО»
ИНН 8617013830
","Место нахождения юридического лица: село Локосово, ул. Центральная, д. 39, Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области (адрес места нахождения объекта см. на обороте)
","Розничная продажа алкогольной продукции Обратная сторона лицензии-  адрес места нахождения объекта: 
1. село Локосово,  Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области,  ул. Центральная, д. 39 магазин «Юбилейный""; 
2. село Локосово,  Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Заводская, д. 5, магазин «Продукты»;
3. село Локосово,Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области,  ул. Центральная, д.26 магазин «Северный"". 
","002894, Р

30.12.2011 до
28.11.2013",,,,настоящая лицензия выдана в порядке переоформления лицензии №438 от 28.11.2005
6,452,"Общество с ограниченной ответственностью ""Многоотраслевая фирма «Самур»
ИНН 8617002330
","Место нахождения юридического лица:  п. Белый Яр, ул. Островского, д. 1, Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии-  адрес места нахождения объекта: 
1.г. Сургут, Ханты-Мансийского автономного округа-Югры Тюменской области,  пр-т  Мира, д. 9/2 , 
магазин «Продукты»

","016598, В

19. 12. 2005
19. 12. 2008
продлена
19.12.2013","
",,,
7,54,"Общество с ограниченной ответственностью «ЛАЧИН»
ИНН 8617014600
","Место нахождения юридического лица:  п. Солнечный, ул. Сибирская,   д. 7, Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области (адреса мест нахождения объектов см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии-  адреса мест нахождения объектов: 
1. пос. Солнечный, Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области, 22 км Нефтеюганского шоссе, магазин «Лачин»;
2. пос. Солнечный, Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области, 22 км Нефтеюганского шоссе,  кафе «Лачин».","006613, Р№

01.08.2012 до
30.12.2013","
",,,настоящая лицензия выдана в порядке переоформления лицензии № 18 от 12.07.2011
8,"2899

","Общество с ограниченной ответственностью ""Магнит""  ИНН 8602004920","Место нахождения юридического лица:  пгт. Федоровский Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области,, ул. Энтузиастов, д. 7 (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии-  адрес места нахождения объекта:                                                                                       пгт. Федоровский Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Энтузиастов, д.7, магазин ""Магнит"". ","056961,  Д
27.03.2006 до 27.03.2011
продлено до
27.03.2012
продлено до 27.03.2013",,,,
9,"22
","Общество  с ограниченной ответственностью ""СтройВест""  ИНН 8617023482","Место нахождения юридического лица:  пгт. Федоровский Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Федорова, д. 3/1 (адреса мест нахождения объектов см. на обороте)","Розничная продажа алкогольной продукции. Обратная сторона лицензии-  адреса мест нахождения объектов:
1. пгт. Федоровский Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Федорова, д. 3/1, магазин ""Алла""; 
2. пгт. Федоровский Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Федорова, д. 5 А, магазин ""Звезда""; 
3. пгт. Федоровский Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Савуйская, д. 17/2, магазин ""Милена"";
","003062, Р№
30.08.2011 до 
19.05.2014",,,,настоящая лицензия выдана в порядке переоформления лицензии №20 от 28.07.2011
