"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Баяндаевский район"" ",,,,,,,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
№ п/п,"Наименование лицензиата, ИНН",,Место государственной регистрации лицензиата,,"Серия, номер, дата выдачи, срок действия лицензии",,,"Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности ",,"Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями,
1,2,,3,,4,,,5,,6,7,8,9,10,
1,"ООО ""Век""  8502003602          (прекращена)",,Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области и УБОАО,,№005-РАП 38МЕ000789 от 22.02.2007 года срок действия с 22.02.2007 г по 22.02.2012 г.  ,,,"1.Иркутская область, Баяндаевский район, с. Нагалык, ул.Ленина, 13",,,,2/23/2012,,,
2,"ОАО ""Баяндаевское ХПП""  8502001281          (выдана)",,Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области и УБОАО,,№036-РАП 38МЕ000837 от 08.08.2007 года срок действия с 08.08.2007 г по 08.08.2012 г.  ,,,"1.Иркутская область, с. Баяндай, ул. Комарова, 1",,,,,,,
3,"ООО ""Фортуна""  8502003659          (прекращена)",,Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области и УБОАО,,№037-РАП 38МЕ000925 от 23.08.2007 года срок действия с 23.08.2007 г по 23.08.2012 г.  ,,,"1.Иркутская область, с. Баяндай, ул. Заречная, 27",,,,4/18/2012,,,
4,"ООО ""Шанс""  8502003730          (выдана)",,Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области и УБОАО,,№042-РАП 38МЕ000852 от 19.11.2007 года срок действия с 19.11.2007 г по 19.11.2012 г.  ,,,"1.Иркутская область, Баяндаевский район, с.Нагалык, ул. Подгорная",,,,,,,
5,"ООО ""Селенга""  8502003754          (переоформлена)",,Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области и УБОАО,, взамен №055-РАП 38МЕ000977 от 27.12.2007 года срок действия с 27.12.2007 г по 27.12.2012 г.     выдана лицензия №13 серия А167589 от 16.11.2010г. Срок действия от 16.11.2010г по 27.12.2012 г. ,,,"1.Иркутская область, с. Баяндай, пер. Комсомольский, 1                         2.Иркутская область,  Баяндаевский район, с.Половинка, ул. Фрунзе, 11                                                                3.Иркутская область, с. Баяндай, ул. Борсоева, 2А                  4. Иркутская область, с. Баяндай, ул. Советская, 136",,,,,,,
6,"ООО ""Хороший""  8502003810          (выдана)",,Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области ,,№1 серия А167571 от 16.06.2008 года срок действия с 16.06.2008 г по 16.06.2013 г.  ,,,"1.Иркутская область, Баяндаевский район, с.Байша, ул. Молодежная",,,,,,,
7,"ООО ""Северный""  8502003747          (выдана)",,Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области и УБОАО,,№2 серия А167573 от 08.05.2009 года срок действия с 09.05.2009 г по 08.05.2014 г.  ,,,"1.Иркутская область, Баяндаевский район, с.Баяндай, ул.Российская, 1А",,,,,,,
8,"ООО ""Гермес+""  8502003842          (выдана)",,Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области ,,№4 серия А167577 от 08.06.2009 года срок действия с 08.06.2009 г по 08.06.2014 г.  ,,,"1.Иркутская область, Баяндаевский район, с.Люры, ул.Горького,10",,,,,,,
9,"ООО ""Байкал""  8502003867          (выдана)",,Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области ,,№5 серия А167578 от 22.07.2009 года срок действия с 22.07.2009 г по 22.07.2014 г.  ,,,"1.Иркутская область, Баяндаевский район, с.Половинка, ул.Фрунзе, 35",,,,,,,
