"Выписка из реестра  выданных лицензий на розничную продажу алкогольной продукции, 
лицензий, действие которых приостановлено, и и аннулированнных лицензий 
на территории Петрозаводского городского округа",,,,,,,,,
,Лицензирующий орган:  с 01.05.10 г,,,,,,,,
№,,Дата ,,Реквизиты лицензии,,Срок действия лицензии,,Продление лицензии,Разграничение реализации по % спирта
," ОФПР, название, место нахождения, телефон, 
ФИО руководителя","приема
 док-тов",выдачи лицензии,серия ,"рег.
номер ",начало ,конец,на срок по ,
1,5,22,23,24,25,26,27,28,36
1,"Горпо,Петрозаводское,Петрозаводск,Анохина,43,.",16/07/03,24/07/03,Б393154,102,27/07/03,27/07/06,28/07/11,вся АП
2,"ЗАО,Ленобщепит,Олонец,Свирских дивизий,3,",20/02/04,04/03/04,Б393018,16,04/03/04,04/03/07,05/03/12,вся АП
3,"ЗАО,ПИ-ЭМ-СИ,Петрозаводск,Борнаволокская,2/28,",25/12/06,27/12/06,1109,,01/01/07,31/12/11,,вся АП
4,"ЗАО,Дикси-Петербург,филиал Петрозаводск,Санкт-Петербург,3-я Красноармейская,10/7,",26/03/07,27/03/07,Б393318,23,27/03/07,27/03/12,,вся АП
5,"ООО,Метро,Петрозаводск, Дзержинского,11,",02/07/07,04/07/07,Б393061,49,04/07/07,04/07/12,,вся АП
6,"ООО,Агентстово международного туризма Северный путник,Петрозаводск,пр.К.Маркса,22,",30/04/04,13/05/04,Б393349,32,17/05/04,17/05/07,17/05/12,вся АП
7,"ООО,Алвална,Петрозаводск,Березовая аллея,31,75-05-80",15/12/05,23/12/05,Б393273,152,23/12/05,23/12/08,23/12/13,вся АП
8,"ООО,Аликс,Петрозаводск,Муезерская,130,53-20-72,",26/12/05,28/12/05,Б393278,156,30/12/05,30/12/08,30/12/13,вся АП
9,"ООО,Альтана,Петрозаводск,Краснофлотская,16,74-51-32,",14/07/04,22/07/04,Б393072,59,22/07/04,22/07/07,22/07/12,"вся АП, более 15 % - с 8 до 23"
10,"ООО,Араз,Петрозаводск,Калинина,5-56,",29/06/04,08/07/04,Б393063,51,08/07/04,08/07/07,08/07/12,вся АП
11,"ООО,Ависта, пр.А.Невского,73-18, ",05/12/06,12/12/06,1047,,12/12/06,12/12/11,,вся АП
12,"ООО,Арт-Холл,Петрозаводск,пр.Первомайский,2,",09/06/05,16/06/05,Б393185,115,16/06/05,16/06/08,16/06/13,вся АП
13,"ООО,Аюдак,Петрозаводск,Красная,34а,76-34-27,",14/07/04,22/07/04,Б393066,54,22/07/04,22/07/07,22/07/12,вся АП
14,"ООО,Аист,Петрозаводск,Сортавальская,9,",02/02/07,12/02/07,Б393014,13,06/02/07,06/02/12,,вся АП
