"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО Куйтунский район",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
1.  ,ООО «Метелица»            ИНН 3814009706,"Иркутская область,      Куйтунский район,   р.п.Куйтун, ул.Красный Октябрь, 125 «а»                                                 МИФНС №14",А 244917 № 100 от 28.12.2011 до 30.12.2012,"р.п. Куйтун, ул.Красного Октября, 125а – кафе «Метелица»",,,,,,
2.,СПК «Колхоз Труд»                         ИНН 3832001996 окончание срока действия лицензии,"Иркутская обл.,      Куйтунский р-он,   с. Каразей МИФНС №14",А173595 №3 21.04.2006г. до 21.04.2011г. Продлена 19.04.2011 до 21.04.2012г.,"с. Каразей, ул. Мира,60 –магазин",, ,21.04.2012г.,,,
3.,ООО «Ассоль»         ИНН 3814010892,"Иркутская обл.,      Куйтунский р-он,   р.п.Куйтун,             ул.Молодежная,             23-1                                МИНФС №14",А173600 №8 26.07.2006г.-26.07.2011г. Продлена 15.07.2011 до 26.07.2012,"р.п.Куйтун, ул.Фрунзе,72 – отдел                                       ",,,,,,
,,,,"р.п.Куйтун, ул.Молодежная 6а – отдел",,,,,,
4.,ООО «Энергия» ИНН 3814009689           переоформление,"Иркутская обл.,      Куйтунский р-он,   р.п.Куйтун, ул.Красный Октябрь, 23-2 МИНФС№14",А 244838 №15 27.12.2006г. 30.06.2006 г. по 30.06.2011г. Продлена 28.06.2011 до 30.06.2012,"р.п. Куйтун, ул.Красного Октября,128 – отдел",06.02.08 г.,15.02.08 г.,6/30/2012,,,
,,,,"р.п. Куйтун, ул.Красного Октября, 23-2 – отдел",,,,,,
,,,,"р.п. Куйтун, ул.Белинского 8 – отдел",,,,,,
,,,,"ст. Куйтун, ул. Нахимова, 4 – отдел",,,,,,
,,,,"р.п. Куйтун,             ул.22-ая Годовщина Октября, 2 «а» - отдел",,,,,,
,,,,"р.п.Куйтун ул.Тургенева, 2 а – отдел",,,,,,
5.,ООО «Транзит»        ИНН 3814011487,"Иркутская обл.,      Зиминский р-он,   г. Саянск, мкр. Центральный, 11-116                                         МИНФС№14",А 244918 № 99 от 28.12.2011 до 29.12.2012,Куйтунский  район автодорога Красноярск-Иркутск 1579км+600м вправо и автодорога Куйтун–Уян-Новая Када-Харик-Карымск-Иркутск-Красноярск-14м+200м влево – Кафе «У Веры»,,,,,,
6,ООО «Здоровье»         ИНН 3832003672 выдача,"Иркутская обл.,      Куйтунский р-он,  р.п.Куйтун, ул.Красный Октябрь, 31                   МИНФС №14",А 244920 №1 15.02.2012г.до 15.02.2017г.,"р.п.Куйтун, ул.Карла Маркса, 13 – магазин",,,,,,
,,,,"с.Лермонтово, ул.Мира, 3 – магазин",,,,,,
,,,,,,,,,,
,,,,"р.п.Куйтун, ул.Красного Октября, 21-2 – магазин",,,,,,
,,,,"р.п. Куйтун, ул. 1 Рабочая, 12 А",,,,,,
7.,ООО «Здоровье»         ИНН 3832003672 ,"Иркутская обл.,      Куйтунский р-он,  р.п.Куйтун, ул.Красный Октябрь, 31                   МИНФС №14",А 244842 №1 12.01.2007г. 03.02.2006г. по 03.02.2011г Продлена 01.02.2011 до 03.02.2012              Взамен                    А 244919 № 101 от 30.12.2011 до 03.02.2012,"р.п.Куйтун, ул.Карла Маркса, 13 – магазин",,,03.02.2012г.,,,
,,,,"с.Лермонтово, ул.Мира, 3 – магазин",,,,,,
,,,,,,,,,,
,,,,"р.п.Куйтун, ул.Красного Октября, 21-2 – магазин",,,,,,
,,,,"р.п. Куйтун, ул. 1 Рабочая, 12 А",,,,,,
8.,ООО «Ани»                       ИНН 3814011568,"Иркутская обл.,      Куйтунский р-он,  р.п.Куйтун, переулок Матросова, 10              МИНФС №14",А 244843 №2 16.02.2007г.-16.02.2012г.,"р.п. Куйтун, ул.Красного Октября, 56 -  кафе «Ани»                         ",,,16.02.2012г.,,,
9.,ООО «Нико»                ИНН  3804036683,"Иркутская обл., г.Братск, ул.Маршала Жукова, 8-155",А 224921 №3 от 30.03.2012г.до 30.03.2013г.,"р.п.Куйтун, ул.Красный Октябрь,52 – кафе «Надежда»",,,,,,
