"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО Балаганский район ",,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,
,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями)
1,2,3,4,5,6,7,8,9,10
1.,Балаганское ПосПо ,МИ МРФ по налогам и сборам  № 2 по Иркутской области ,А 179425  ,"п. Балаганск, ул. Комарова, 1",,,,,
,ИНН 3806001887,,30.04.2010 г. по ,магазин № 3;,,,,,
,,,30.04.2015 г.,"п. Балаганск, ул. Кольцевая, 84 ",,,,,
,,,А 179427,магазин № 10;,,,,,
,,,30.04.2010 г.," с. Коновалово, ул. Чапаева, 2 магазин № 14; ",,,,,
,,,по 30.04.2011 г.,"д. Ташлыкова, ул. Школьная, д. 4",,,,,
,,,А 179427,магазин № 16,,,,,
,,,27.04.2011 г. до,"с. Тарнополь, ул. Советская, 47 магазин № 17; ",,,,,
,,,01.05.2012 г.,"д. Анучинск, ул. Школьная, 3",,,,,
,,,,магазин № 19;,,,,,
,,,А 179 438,"д. Метляева, ул. Трудовая, 23",,,,,
,,,23.05.2012 г. до 23.05.2013 г.,магазин № 22;,,,,,
,,,,"д. Тарасовск, ул. Школьная, 3",,,,,
,,,,магазин № 26;,,,,,
,,,,"д. Заславская, ул. Ленина, 16",,,,,
,,,,магазин № 27;,,,,,
,,,,"с. Шарагай, ул. Школьная, 10",,,,,
,,,,магазин № 31,,,,,
2.,ООО «Багульник» ИНН 3806003926 ,МИ ФНС № 2 по Иркутской области и УОБАО,"А 179400  30.06.2006 г. по 30.06.2011г.              А 179400  
27.06.2011 г. до 02.07.2012 г.
","п. Балаганск, ул. Ленина, 21",,,,,
,,,,отдел в магазине «Продукты» ,,,,,
3.,ООО «Ассорти» ИНН 3806003877 ,МИ ФНС № 2 по Иркутской области и УОБАО,"А 179399  30.06.2006 г. по 30.06.2011г.               А 179399  
27.06.2011 г.
до 30.06.2012 г.
","п. Балаганск, ул. Горького, 63",,,6/30/2012,,
,,,,отдел в магазине «Шанс» ,,,,,
,,,,,,,,,
4.,ООО «Дионис» ИНН 3806003958 ,МИ ФНС № 2 по Иркутской области и УОБАО,А 179398  14.07.2006 г. до 14.07.2011г.,"п. Балаганск, ул. Кольцевая, 59 ",,,14.07.2011 г.,,
,,,,отдел в магазине «Колос»; ,,,,,
,,,,"п. Балаганск, ул. Колхозная, 27",,,,,
,,,,отдел в магазине «Малахит»  ,,,,,
5.,ООО «Ангара»,МИ ФНС № 2 по Иркутской области и УОБАО,"А 179420  08.07.2009 г. по 20.07.2011г.           А 179420
14.07.2011 г. до 20.07.2012 г. 
","с. Бирит, ул. 1-я Советская, 3",,,"20.07.
2012 г.
",,
,ИНН 3822001299,,,магазин; ,,,,,
,,,,"с. Бирит, ул. 3-я Советская, 1 магазин",,,,,
6.,ООО «Рыбачий домик»,МИ МРФ по налогам и сборам № 2 по Иркутской области,А  179414  30.05.2008 г. по 21.07.2011г.,"п. Балаганск, ",,,22.07.2011 г.,,
,ИНН 3806001950,,,"ул. Панкратьева, 2 б ",,,,,
,,,,кафе «Рыбачий домик»,,,,,
7.,ООО «Роспак-Байкал»,МИ  МНС России № 7 по УОБАО,А 179417   ,"п. Балаганск, ул. Горького, 66",,,19.10.2011 г.,,
,ИНН 8506005248,, 22.09.2008 г.,отдел в магазине «Анастасия»; ,,,,,
,,,по 29.12.2011г.,"п. Залари, ул. Красина, 33",,,,,
,,,А 179428, отдел в магазине «Продукты».,,,,,
,,,09.03.2011 г.,,,,,,
,,,по 29.12.2011г.,,,,,,
8.,ООО «Родник»,МИ ФНС № 2 по Иркутской области и УОБАО,А 179407 ,"с. Кумарейка,",,,,,
,ИНН 3806005169,,09.10.2007 г.," ул. Заречная, д. 40-1 ",,,,,
,,, по 09.10.2012г.,отдел в магазине «Исток» ,,,,,
,,,А 179426,,,,,,
,,,18.06.2010 г.,,,,,,
,,,по 09.10.2012 г.,,,,,,
9.,ООО «Иволга»,МИ ФНС № 2 по Иркутской области и УОБАО,А 179411,"п. Балаганск, ул. Горького, 35 ",,,,,
,ООО «Иволга» ИНН 3806004969,, А 179411 19.12.2007г. по 19.12.2012г. ,"п. Балаганск, ул. Горького, 35 отдел в кафе «Ангара» ",,,,,
10.,ООО «ДИАНА» ИНН 3814013075,МИ ФНС №14 по Иркутской области,"А 179416 02.07.2008 г. по 02.07.2013г.  А 179430
24.08.2011 г.
по 02.07.2013 г.
","с. Шарагай, ул. Новая, 3-1",,,,,
,,,,"отдел в магазине «Удачный»  с. Шарагай, ул. Школьная, 7
отдел в магазине «Удачный»
с. Шарагай, ул. Школьная, 7
отдел в кафе «Светлячок» 
",,,,,
11.,ООО «Русакова»,МИ ФНС №14 по Иркутской области,А 179418 06.10.2008г. по 06.10.2013г.,"д. Заславская, ул. Гагарина, 19 ",,,,,
,ИНН 3814013050,,,отдел в магазине «Диана»,,,,,
12.,ООО «Исток» ,МИ ФНС №14 по Иркутской области,А 179419 06.05.2009г. по 06.05.2014г.,"п. Балаганск, ул. Горького, 72 отдел в магазине «Аладдин»",,,,,
,ИНН 3814014336,,,,,,,,
13.,ООО «Лотос»,МИ ФНС №14 по Иркутской области,А 179421 24.07.2009г. по 24.07.2014г.,"п. Балаганск, ул. Ангарская, 54 отдел в магазине «Рубин»",,,,,
,ИНН 3814014505,,,,,,,,
14.,ООО «Ритм» ,МИ ФНС №14 по Иркутской области,А 179422 от 21.12.2009г. по 21.12.2014г.,"п. Балаганск, ул. Строительная, 2 отдел в магазине «Находка»",,,,,
,ИНН 3814014960,,,"с. Бирит, ул. Октябрьская, 4 отдел в магазине «Ольга»",,,,,
15.,ООО «Ветер»,МИ ФНС № 17 по Иркутской области,Г 888805 от ,"п. Балаганск, ул. Кольцевая, 26",,,,,Администрация Шелеховского муниципального района
,ИНН 3812122167,,25.11.2010 г.,отдел в кафе «Иверия»,,,,,
,,,по 13.10.2014 г.,"п. Балаганск, ул. Кольцевая, 26",,,,,
,,,,отдел в магазине «Иверия»,,,,,
,,,,"с. Бирит, ул. Нагорная, 1 А",,,,,
,,,,отдел в магазине,,,,,
16.,ООО «Гауди»,МИ ФНС России № 7 по Иркутской области и УОБАО,38 МЕ 003055,"п. Балаганск,",,,,,Администрация муниципального образования «Нукутский район»
,ИНН 8504003975,,11.07.2011 г. до,"ул. Ленина, 16",,,,,
,,,04.12.2012 г.,отдел в магазине «Меркурий»,,,,,
17.,ООО «Айсберг»,МИ ФНС № 17 по Иркутской области,38 МЕ 003955,"п. Балаганск, ",,,,,Администрация г. Иркутска
,ИНН 3827035654,,02.04.2012 г. по,"ул. Ангарская, 67",,,,,
,,,09.12.2015 г.,отдел в магазине «БУМ»,,,,,
18.,ООО «Крепость-Юг»,МИ ФНС № 15 по Иркутской области,38 МЕ 006395        05.09.2011 г по 22.03.2012г.,"п. Балаганск, ул. Ангарская, 53 А",,,22.03.2012 г.,,Администрация 
,ИНН 3805712373,,05.09.2011 г по ,отдел в магазине «Радуга»,,,,,г. Братска
,,,,"п. Балаганск,",,,,,
,,,22.03.2012г.,"ул. Панкратьева, 2 Б",,,,,
,,,,кафе «Рыбачий домик»,,,,,
19.,ООО «Изумруд»,МИ ФНС № 14 по Иркутской области,А 179429,"п. Балаганск,",,,"17.06.
2012 г.
",,
,ИНН 3814016510,,17.06.2011 г. по 17.06.2012 г.,"ул. Некрасова, 13",,,,,
,,,,отдел в магазине «Визит»,,,,,
