"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО Киренский район",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
1.,Общество с,"666703,",Г 117144,"маг. ""Березка"",",,,23.06.2012г.,,,
,ограниченной,"Иркутская область,",№64 ,"г.Киренск, ул.Комарова, 12;",,,,,,
,ответственностью,"г.Киренск,",от 07.12.2011г.,"маг. ""Подснежник"",",,,,,,
,"""Березка""","ул.Соснина, 5",до 23.06.2012г.,"г.Киренск, ул.Ленрабочих;",,,,,,
,,,взамен,"маг. ""Черемушки"", г.Киренск,",,,,,,
,ИНН 3831004218,,Г 117121,"ул.Трудовых резервов, 2а;",,,,,,
,,,№43,"маг. ""Березка"",",,,,,,
,,,от 23.04.2009г.,"Киренский район,",,,,,,
,,,продлена,"п.Бубновка, ул.Ленина, 18;",,,,,,
,,,взамен,"маг. ""Рубин плюс"", ",,,,,,
,,,Г 117112,"Киренский район,",,,,,,
,,,№37,"п.Алексеевск, ул.Седова, 5;",,,,,,
,,,от 10.10.2008г.,"маг. ""Березка"",",,,,,,
,,,взамен,"Киренский район, с.Алымовка,",,,,,,
,,,Г 117080,"ул.Центральная, 5;",,,,,,
,,,№16,"маг. ""Березка"",",,,,,,
,,,от 14.03.2007г.,"г.Киренск, ул.Якутская.",,,,,,
,,,взамен,,,,,,,
,,,Г 117066,,,,,,,
,,,№1,,,,,,,
,,,от 23.06.2006г.,,,,,,,
2.,Общество с,"666703,",Г 117067,"маг. ""Подснежник-2"",",,,,,,
,ограниченной,"Иркутская область,",№3,"г.Киренск, ул.Колхозная;",,,,,,
,ответственностью,"г.Киренск, ",от 17.07.2006г.,"маг. ""Чинара"",",,,,,,
,"""Чинара""","ул.Соснина, 28, кв.1",до 17.07.2011г.,"г.Киренск, ул.Комарова, 15.",,,,,,
,,,продлена,,,,,,,
,ИНН 3831004320,,до 17.07.2012г.,,,,,,,
3.,Общество с,"666703,",Г 117068,"маг. ""Луч"",",,,02.08.2011г.,,,
,ограниченной,"Иркутская область,",№4,"г.Киренск, ул.Косыгина, 36;",,,,,,
,ответственностью,"г.Киренск,",от 02.08.2006г.,"маг. ""Енисей"",",,,,,,
,"""Луч""","ул.Косыгина, 36",до 02.08.2011г.,"г.Киренск, ул.Ленрабочих, 43а;",,,,,,
,,,,"маг. ""Овощи-фрукты"",",,,,,,
,ИНН 3831004360,,,"г.Киренск, ул.Комарова, 11а.",,,,,,
4.,Общество с,"666703,",Г 117141,"маг. ""Луч"",",,,,,,
,ограниченной,"Иркутская область,",№61,"г.Киренск, ул.Косыгина, 36;",,,,,,
,ответственностью,"г.Киренск,",от 09.08.2011г.,"маг. ""Енисей"",",,,,,,
,"""Луч""","ул.Косыгина, 36",до 09.08.2012г.,"г.Киренск, ул.Ленрабочих, 43а;",,,,,,
,,,,"маг. ""Овощи-фрукты"",",,,,,,
,ИНН 3831004360,,,"г.Киренск, ул.Комарова, 11а.",,,,,,
5.,Общество с,"666703,",Г 117069,"маг. ""Вега"", г.Киренск,",,,,,,
,ограниченной,"Иркутская область,",№5,"ул.Партизанская, 22а;",,,,,,
,ответственностью,"г.Киренск,",от 17.08.2006г.,"маг. ""Темп"",",,,,,,
,"""Шанс""","ул.Транспортная, 5",до 07.08.2011г.,"г.Киренск, ул.Ленина, 6;",,,,,,
,,,продлена,"маг. ""Шанс"", г.Киренск,",,,,,,
,ИНН 3831004338,,до 07.08.2016г.,"ул.Транспортная, 6;",,,,,,
,,,,"маг. ""Вояж"",",,,,,,
,,,,"г.Киренск, ул.Заводская, 15.",,,,,,
6.,Общество с,"666702,",Г 117136,"маг. ""Баргузин"", г.Киренск,",,,09.10.2011г.,,,
,ограниченной,"Иркутская область,",№56,"ул.Матросова, 10;",,,,,,
,ответственностью,"г.Киренск,",от 03.02.2011г.,"маг. ""Лицей"", г.Киренск,",,,,,,
,"""Баргузин""","ул.Партизанская, ",до 09.10.2011г.,"ул.Трудовых резервов, 8.",,,,,,
,,"24, кв. 25",взамен,,,,,,,
,ИНН 3831004401,,Г 117090,,,,,,,
,,,№22,,,,,,,
,,,от 09.11.2007г.,,,,,,,
,,,взамен,,,,,,,
,,,Г 117071,,,,,,,
,,,№7,,,,,,,
,,,от 09.10.2006г.,,,,,,,
7.,Общество с,г.Киренск,Г 117135,"маг. ""Бригантина"", ",,,11.10.2011г.,,,
,ограниченной,Межрайонная,№55,"г.Киренск, ул.Сибирская, 6;",,,,,,
,ответственностью,инспекция,от 29.12.2010г.,"маг. ""Орион"",",,,,,,
,"""Орион""",налоговой службы,до 11.10.2011г.,"г.Киренск, ул.Строителей, 2;",,,,,,
,,№13 по Иркутской,взамен,"маг. ""Вента"", ",,,,,,
,ИНН 3831004426,области и УОБАО,Г 117129,"г.Киренск, ул.Северная, 71;",,,,,,
,,,№49,"кафе ""Прибой"", г.Киренск,",,,,,,
,,,от 05.05.2010г.,"переулок Тупик, 7;",,,,,,
,,,взамен,"маг. ""Берег"",",,,,,,
,,,Г 117091,"г.Киренск, ул.Партизанская;",,,,,,
,,,№23,"маг. ""Мираж"", г.Киренск,",,,,,,
,,,от 13.12.2007г.,"микрорайон ""Мельничный"",",,,,,,
,,,взамен,"квартал ""Совхозный"", 36а.",,,,,,
,,,Г 117073,,,,,,,
,,,№9,,,,,,,
,,,от 11.10.2006г.,,,,,,,
8.,Общество с,"666730,",Г 117074,"маг. ""Уником"", ",,,13.10.2011г.,,,
,ограниченной,"Иркутская область, ",№10,"Киренсий район, ",,,,,,
,ответственностью,"Киренский район, ",от 13.10.2006г.,"с.Кривая Лука, ",,,,,,
,"""Уником""","с.Кривая Лука,",до 13.10.2011г.,"ул.Терешковой, 6.",,,,,,
,,"ул.Терешковой, 6",,,,,,,,
,ИНН 3831004391,,,,,,,,,
9.,Общество с,"666701,",Г 117126,"маг. ""Гороскоп"",",,,13.10.2011г.,,,
,ограниченной,"Иркутская область,",№47,"г.Киренск, ул.Лесная, 13;",,,,,,
,ответственностью,"г.Киренск,",от 28.12.2009г.,"маг. ""Азарт"",",,,,,,
,"""Сфера""","ул.Королева, 14",до 13.10.2011г.,"Киренский район, пос.Гарь,",,,,,,
,,,взамен,"ул.Школьная, 17а;",,,,,,
,ИНН 3831004377,,Г 117075,"павильон ""Дюна"", ",,,,,,
,,,№11,"г.Киренск, ул.Советская;",,,,,,
,,,от 13.10.06г.,"павильон ""Тайга"",",,,,,,
,,,,"г.Киренск, ул.Озерная;",,,,,,
,,,,"маг. ""Тайга"",",,,,,,
,,,,"г.Киренск, ул.Озерная, 2а.",,,,,,
10.,Общество с,"666701,",Г 117143,"маг. ""Гороскоп"",",,,,,,
,ограниченной,"Иркутская область,",№63,"г.Киренск, ул.Лесная, 13;",,,,,,
